sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag,A,E,T,L1,L2,L,S,tag
6384246,10261456,14,avanema,,all,ohvitser,ohvitseridele,Tänu Kunnase edukale teenistusele ameeriklaste staabis on avanenud laiemad praktiseerimisvõimalused ka teistele Eesti ohvitseridele .,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
12073717,19327146,17,takistama,,ad,patseerija,patseerijail,"Hoolimata sellest , et nüüd on ülekäigurada tehtud mitmeosaliseks ja kenad kettidega ühendatud postid takistavad hullunud patseerijail otse üle tee tormamast , tuleb välja , et sellest ei piisa .",,,,,yes,no,no,no,no,no,no,A
3957897,6373702,3,tulema,välja,el,kest,kestast,Nõel tuleb kestast välja ainult piste tegemiseks ja ühtlasi vähendab haiguste ülekannet vere kaudu .,,,,,no,no,no,yes,no,yes,no,L
44392,76735,31,eemalduma,,el,muusikal,muusikalist,"“ Sellel , et Padar “ Miss Saigoni ” proovi ei läinud , pole aga neiu Katariinaga midagi pistmist , ” kinnitab üks Padari sõber , kelle sõnul eemaldus laulja muusikalist hoopis etendust tootva Smithbridge Productioni lepingupoliitika tõttu .",,,,,no,no,no,yes,no,yes,no,L
3048436,4890851,11,pühenduma,,all,köök,Köögile,"Nn disainilood ( "" Sahtel nagu sirklikarp "" , "" Köögile pühendunud mees - Toivo Rande "" ) oleksid vajanud karmimat toimetajakätt .",,,,,no,no,no,yes,no,yes,no,L
8252042,13239435,2,koostama,,el,käsitööõpetaja,käsitööõpetajast,Koostasime käsitööõpetajast siseministrile nimekirja selle nädala kõige jubedamatest saatepäevadest .,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
13490081,21576399,31,lööma,,abl,tuntus,tuntuselt,"Kui Dallase ettevõtja Abraham Zapruder 22. novembri hommikul koju kaamera järele tõttas , polnud tal aimugi , et algul erutusest , hiljem šokist kergelt väriseva käega vändatud 26sekundiline amatöörfilm lööb tuntuselt mis tahes Oscari-laureaati .",,,,,no,no,no,no,no,no,no,
7782216,12476609,6,saama,villand,el,kari,karjast,Lõpuks sai mul käratsevast poisikluttide karjast villand ning ma otsustasin nad põnevast vaatemängust ilma jätta .,,,,,no,no,no,yes,no,yes,no,L
780958,1245504,14,avaldama,,el,kiri,kirjast,"Saksa ajaleht Bild avaldas eile katkendeid Kristlik-Demokraatliku Liidu ( CDU ) endise varalaekuri kirjast ekskantsler Helmut Kohlile , mis asetab finantsskandaali sattunud Kohli veelgi suurema surve alla .",,,,,no,no,no,no,yes,yes,no,L
16354971,25300542,9,esitama,,el,ettevalmistamine,ettevalmistamisest,ERI esitab kord aastas nõukogule aruande kolmanda etapi ettevalmistamisest .,,,,,no,yes,no,no,no,no,no,E
8271094,13267038,5,juhtima,,all,eluviis,eluviisidele,Südamenädal juhib tähelepanu tervislikele eluviisidele,,,,,no,no,no,no,no,no,yes,S
7079641,11381158,16,lööma,välja,el,Krimm,Krimmist,"Ja meie ootame , millal ta uuesti välja tuleb — siis lähme , lööme venelased Krimmist välja , "" lubas partorg Sufjan .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,no,no,no,no,L
3185602,5116401,12,looma,,el,hobi,hobist,"Viimase kahe aastakümnega on Lindal Private Grupi juht Ramon Lindal oma hobist loonud rahvusvahelise ettevõtte , millel on kliente üle kogu maailma .",,,,,no,no,no,no,yes,yes,no,L
11905362,19052260,2,mõtlema,,all,Kreeka-mäng,Kreeka-mängule,"Mõtleb Kreeka-mängule , mitte lepingule",,,,,no,yes,no,no,no,no,no,E
8567178,13732045,4,langema,,ill,augustisse-september,augustisse-septembrisse,Need langevad just augustisse-septembrisse .,,,,,no,yes,no,no,no,no,no,E
4504409,7241752,25,suurenema,,all,ruutkilomeeter,ruutkilomeetrile,""" 50 aasta jooksul , alates 1951. aastast on 1300-aastase ajalooga Lhasa linnas toimunud ulatuslikud muudatused , linna pindala on suurenenud kolmelt ruutkilomeetrilt 52 ruutkilomeetrile , rahvastik kasvanud 30.000 inimeselt 200.000 , "" seisab näitust tutvustavas pressiteates .",,,,,no,no,no,yes,no,yes,no,L
4280980,6887865,8,võitma,,el,avaetapp,avaetapist,"Mullu oli doktoriks kutsutav itaallane võitnud kolmest avaetapist kaks ning tõusnud maailmameistrivõistluste kindlaks liidriks , praegu vireleb mees klassis MotoGP 40 punktiga alles viiendal kohal .",,,,,no,yes,no,no,no,no,no,E
14968917,23482255,9,pruukima,,el,pakkumine,pakkumisest,"Nad vist ei oska aimata , et Evertoni pakkumisest paremat ei pruugi kunagi tulla .",,,,,no,no,no,yes,no,yes,no,L
11283976,18083809,5,tunnistama,,el,tsiviilõhupatrull,tsiviilõhupatrullist,"Major Cynthia Ryan Nevada tsiviilõhupatrullist tunnistas neljapäeval , et ülesanne sarnaneb nõela otsimisega heinakuhjast .",,,,,no,no,no,yes,no,yes,no,L
2942385,4717604,12,laekuma,,all,maa-amet,maa-ametile,"Linnavalitsus eraldas maa-ametile maamaksu tõusu hüvitamiseks mullu kokku 400 000 krooni , maa-ametile laekus 2003. aasta jooksul 630 toetuse saamise tingimustele vastavat avaldust ning taotlejatele maksti välja 315 611 krooni .",,,,,no,no,no,yes,no,yes,no,L
16119495,25022380,9,põhinema,,el,august,augustist,"Teine küsimus põhineb ministri käskkirjal käesoleva aasta 30. augustist , mille alusel Keeleameti juhtimine on antud Kooliameti osakonnajuhatajale töövõtulepingu alusel .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,time,,no,no,no,no,no,no,no,T
6409876,10304247,2,pakkuma,,abl,vorm,vormiltki,"Ning vormiltki pakub Urmeti pööripäeva-palmik võluvaid "" riime "" ja hoolikalt lihvitud sõnastust , mis "" seltsib väljendusrikka keele ja tabavate kujundilahendustega "" - kui heatahtlikult kasutada Jaak Urmeti enda sõnastust ühe teise luuletaja kohta .",,,,,no,no,no,no,no,no,no,
15001133,23534435,12,ununema,,ad,lava,Laval,Marju viimase aja katsumuste hulka kuulub esinemine murtud käeluuga : « Laval valu ununes ja õnneks kleidi selgapanemist ja äravõtmist publik ei näe . »,,,,,no,yes,no,no,no,no,no,E
2494299,3999990,1,nägema,,all,küsimus,Küsimusele,"Küsimusele , millal tulete Lasnamäele hommikul kell seitse , ei ole teid 10 aastat näinud , sain vastuseid - ei näe ka järgmised 10 aastat , kell 7 meie magame veel , Lasnamäel on igal poisikesel gaasiballoon , sinna meie ei tule oma tervist rikkuma .",,,,,no,no,no,no,no,no,no,
14361576,22788049,12,asutama,,all,menetlus,menetlusele,"Enne lõikes 1 märgitud kuupäeva asutab nõukogu vastavalt artiklis 189b sätestatud menetlusele sõltumatu järelevalveorgani , mis vastutab eespool nimetatud ühenduse õigusaktide ühenduse institutsioonide ja organite suhtes kohaldamise jälgimise eest ja võtab vajaduse korral kõik muud asjakohased meetmed . ”",,,,,no,yes,no,no,no,no,no,E
2227974,3563833,10,elama,,el,koondamisraha,koondamisrahast,""" Pean ausalt ütlema , et esimese töötukuu elasin koondamisrahast ja nautisin puhkust täiel rinnal , "" mõtiskleb Below .",,,,,no,no,no,no,no,no,yes,S
3708509,5972285,6,tunnistama,,el,Urvaste,Urvastest,"Marge Kannela ( 13 ) Urvastest tunnistas , et on väikevenna Kaikkoga laste suvelaagris esimest korda .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,no,no,no,no,L
2117030,3379289,29,segama,,el,ajam,ajamist,"Fingi tunnistuse kohaselt helistas talle vene keelt kõnelnud mees , kes teatas , et viimase majaostuga ( kultuuriministeeriumi hoone - toim ) segab Fink "" meie inimestel äri ajamist "" .",,,,,no,no,no,no,no,no,no,
749913,1195148,4,jätkama,,all,islamiseparatist,islamiseparatistidele,India jätkas rünnakuid islamiseparatistidele ka eile .,,,,,yes,no,no,no,no,no,no,A
6768343,10888716,12,takistama,,ad,poliitik,poliitikutel,"Kuid Keskerakond pole ainus tegur , mis takistab tsentrist paremale jäävatel poliitikutel rahulikult oma asju ajada .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
4360894,7015337,16,saavutama,,el,asutamine,asutamisest,"Peaminister tunnistas ASiga Werol tehased seotud probleemide ja äriühingu juhtimist kommenteerides , et alates ettevõtte asutamisest kuni ettevõtte aktsiate võõrandamiseni see ettevõte suurt edu majandamises ei ole saavutanud .",,,,,no,yes,no,no,no,no,no,E
12539209,20069756,10,eelistama,,all,hävimine,hävimisele,"eenia lõunaosas tunnistasid mitu külavanemat , et eelistaksid küla hävimisele venelastele alistumist .",,,,,no,no,no,no,no,no,no,
241861,386878,17,võtma,,all,Moskva,Moskvale,"Hiljem selgus , et pingutus oli asjatu - lennuk oli pooltühi , ainult lollikesed võtsid suuna Moskvale ...",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,no,no,no,no,L
9007429,14482177,5,kirjutama,,el,Hoffmann,Hoffmannist,1930. aastail kirjutas ta Hoffmannist oma magistritöö .,|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER,no,no,no,no,no,no,no,A
8986951,14449203,4,hakkama,peale,all,eelarve,eelarvele,"“ Vaatamata napile eelarvele hakkab linn jaama taastamisega peale , ” kinnitas Mägi .",,,,,no,no,no,no,no,no,no,
464874,729132,13,tundma,ära,in,kes,kelles,"On videolõik televisioonist , kus Mariellalt väljuvas kiirabiautos oli näha meest , kelles paljud tundsid ära kapten Pihti .",,,,,yes,no,no,no,no,no,no,A
11953509,19129284,11,suhtuma,,ill,Myllylä,Myllylässe,"Aukland seevastu on veendunud , et Norra spordipublik ei suhtu Myllylässe paremini , kui suhtub tema .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC,no,no,no,no,no,no,no,L
4130577,6648820,18,meenutama,,abl,hoiak,hoiakutelt,"Huvitaval kombel tõstab Jamesi biograaf Leon Edel esile , et oma halvematel hetkedel meenutas James ise nii hoiakutelt kui ka käitumiselt vägagi Osmondit .",,,,,no,no,no,no,no,no,no,
590495,935789,10,tekkima,,el,aktsiatevahetus,aktsiatevahetusest,Komissar Uno Reediku sõnul ei ole advokaat Viira nimetatud aktsiatevahetusest tekkinud konflikt hetkel politsei põhiversiooniks .,,,,,no,no,no,yes,no,yes,no,L
7825476,12540575,4,rääkima,,el,Göring,Göringist,“ Räägin loo Göringist ja kahest suursaadikust . ”,|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER,no,no,no,no,no,no,no,A
3573074,5753457,6,käima,,abl,sportlane,sportlastelt,WADA töötajad käivad paljudes laagrites sportlastelt proove võtmas .,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
378975,588563,3,kaotama,,all,Mars,Marsile,Maa kaotas Marsile,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,no,no,no,yes,no,yes,no,L
1349969,2146540,3,vähenema,,all,kokkuhoiupoliitika,kokkuhoiupoliitikale,"Tänu rangele kokkuhoiupoliitikale ning pankade 1998. aasta liitumise järgse sünergia tekkele , vähenesid muud administratiivkulud märgatavalt : ( pro forma Ühispanga ja Tallinna Panga kontsern koos 1998.aastal ) on need kulud vähenenud 22% võrra .",,,,,no,no,no,no,no,no,no,
18551392,28081584,6,aitama,,all,järjepea,järjepeale,"Terv , Aitab ehk keegi järjepeale , ei tea ise kustotsast harutama hakata .",,,,,no,no,no,no,yes,yes,no,L
6646754,10695244,8,pruukima,,el,DNA-proov,DNA-proovist,"Siin tuleb aga tugineda tunnistajatele , sest DNA-proovist ei pruugi süüdimõistmiseks piisata .",,,,,no,no,no,yes,no,yes,no,L
10877772,17422056,11,ilmutama,,el,investeerimispank,investeerimispangast,"Vare rõhutas , et kümnest suuremast Kesk- ja Ida-Euroopas tegutsevast investeerimispangast on kaheksa ilmutanud huvi Eesti Telekomi vastu .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,organisation,,no,no,no,yes,no,yes,no,L
733948,1169177,9,tulema,,all,Island,Islandile,"Tähele pandi küll üht imelikku asja : kui Islandile tuli mõni Vene võistkond , pani Mikson kohe poe kinni , läks ära koju ega masseerinud kunagi .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,no,no,no,no,L
15671618,24453670,11,lõpetama,,abl,piimatootja,piimatootjatelt,"29. juunist lõpetas Eesti Piimatootjate Ühistu Vändra meierei Koonga kandi piimatootjatelt piimaveo , sest ühel heal päeval ei võtnud partnerid enam Vändra meiereilt piima vastu .",,,,,yes,no,no,no,no,no,no,A
10467704,16786571,15,hankima,,abl,hulgimüüja,hulgimüüjalt,Nii käib ta näiteks oma autoga linnuvabrikus pihve ja mune toomas ning hangib suhkrut hulgimüüjalt .,|A|AE|AL|AS|AT|AET|ALT|AST|,,organisation,,no,no,no,yes,no,yes,no,L
6523051,10492519,6,kohtama,,el,enamik,enamikust,"Samas kohtab mari keelt erinevalt enamikust Venemaa soome-ugri keeltest ka rahvusooperis ja humanitaarteadustes , ilmuvad marikeelsed ajalehed , ajakirjad , luulekogud .",,,,,no,no,no,no,yes,yes,no,L
809243,1291092,6,lahutama,,el,lektüür,lektüürist,"Sitt-nikk-kräkk-mudelit kirjanduses lahutab WC seinte lektüürist õhkõrn , kuid siiski põhimõtteline tinglikkuse piir .",,,,,no,no,no,yes,no,yes,no,L
10647052,17064365,3,lähtuma,,all,kodanik,kodanikule,"Seaduseandja on kodanikule vajalikke normatiivakte vorpides lähtunud põhimõttest , et vasak käsi ei tohi teada , mis parem teeb .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
5902771,9475527,8,tekkima,,abl,meri,merelt,"Tänavuse orkaanihooaja rekordiline 21. torm tekkis Kariibi merelt ja tugevnes kiiresti 5. kategooria orkaaniks , mis on kõige tugevam orkaanide mõõtmise skaalal .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC,no,no,no,no,no,no,no,L
21187103,29965013,8,kaduma,ära,ad,poiss,poisil,fleits: hehe ei maganud ta midagi poisil kadus lihcalt nett ära,,,,,yes,no,no,no,no,no,no,A
19450183,29123048,5,tasuma,,abl,tge,tgelt,QbaAff: ei tasu tgelt,,,,,no,no,no,no,no,no,no,
6523434,10493183,18,pajatama,,el,saamislugu,saamisloost,""" Seelik on minu vana , osa rõivaid on laenatud Linnateatrist , "" pajatab Aime Unt rõivaste saamisloost .",,,,,no,no,no,no,yes,yes,no,L
5903313,9476432,26,piirama,,all,eetikaressurss,eetikaressurssidele,"Meil aga sätestab üks konkreetne seadus venelastele valimisõiguse , andes neile sellega reaalse poliitilise jõu , kuid teine piirab nende juurdepääsu ainult keele kaudu ligipääsetavatele eetikaressurssidele , mis võimaldaksid teha teadlikku valikut .",,,,,no,no,no,yes,no,yes,no,L
395560,614889,12,kandma,,all,pearaamatupidaja,pearaamatupidajale,"Riisalu ei osanud vastata , miks kannab Bahama firma regulaarselt ettevõtte pearaamatupidajale , haridusministeeriumi endise kantsleri Georg Aheri abikaasa nimele üle toetussummasid .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
7279578,11700008,43,kujutama,,all,suveräänsus,suveräänsusele,Ka hilisem riigiõiguslik areng 1933. a Eesti Vabariigi põhiseaduse muutmise seaduse 134 ( mis nihutas võimu raskuspunkti riigivanemale ja viis autoritaarse režiimi kehtestamisele 1934. a ) ja Eesti Vabariigi 1938. a põhiseaduse 135 ( mis kujutas endast teatud tagasiliikumist riigivõimu suveräänsuselt rahva suveräänsusele 136 ) näol kinnitab kohaliku omavalitsuse lahutamatut seost demokraatiaga .,|S|AS|LS|ST|AST|LST|,,state,,no,no,no,no,yes,yes,no,L
5721588,9176333,16,langema,,all,87.,87.-le,"Eesti koondis on endiselt 67. kohal ning Läti 93. , Leedu on langenud 86. kohalt 87.-le.",,,,,no,no,no,yes,no,yes,no,L
7874468,12615256,11,jagama,,el,ehitus,ehitusest,"“ Viimases hädas tunnistas ta ausalt , et ei jaga ehitusest midagi , kuna ta on agronoom , ” väidab Soidro .",,,,,no,no,no,no,yes,yes,no,L
4424660,7115528,3,võtma,maha,abl,kuusk,kuuselt,"Kui lapsed kuuselt ehteid maha võtavad ja viimasedki okkad põrandalt tolmuimejasse rändavad , on suurte puhkepäevad juba möödas .",,,,,no,no,no,yes,no,yes,no,L
9849978,15805742,6,tekitama,,in,berliinlane,berliinlastes,"Saksamaa pealinna Berliini jõudmine tekitab berliinlastes lootusi , et koos võimuga jõuavad nende linna ka rahavood .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
8801354,14127330,19,nägema,,el,esik,esikust,"Poisid ikka muud kui mängisid , aga selle juures jõudis tema korraks ka oma korterisse lipsata , nägi esikust seda ohtlikku ja julmtugevat inimest seismas harkisjalu keset põrandat , käed selja taga kokku põimitud ja vaikselt ning sugestiivselt midagi rääkimas .",,,,,no,no,no,yes,no,yes,no,L
1857757,2958884,4,olema,tarvis,ad,laupäev,laupäeval,"Nüüd on tarvis laupäeval Eesti meistrivõistlust= el sama edukalt esineda , "" lubas Mati Alaveri hoolealune .",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,time,,no,no,no,no,no,no,no,T
6248205,10036250,1,aitama,kaasa,all,kettatulemus,Kettatulemusele,"Kettatulemusele aitas kaasa ideaalne tuul , "" rõõmustas Pahapill .",,,,,no,no,no,no,no,no,no,
133872,224155,6,loobuma,,all,lõunastaja,lõunastajaile,"Eesti kunstiajaloolasena loobusin peagi restoranides lõunastajaile ja inglise farmereile kaasa tundmast , kuna päevarahad võimaldasid nagunii ainult tervislikult toituda .",,,,,yes,no,no,no,no,no,no,A
15640588,24403424,6,tõttama,,all,piiga,piigadele,"Õnneks leidus noormehi , kes piigadele appi tõttasid .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
2417253,3875986,11,lõpetama,,all,Saaremaa,Saaremaale,"Vabariigi President ja proua Ingrid Rüütel lõpetasid täna õhtul maakonnavisiidi Saaremaale , teatab presidendi kantselei pressiteenistus .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,no,no,no,no,L
10435438,16735556,8,kasvama,,all,kirjandus,kirjandusele,"Saadik avaldas lootust , et tänu hispaaniakeelsele kirjandusele kasvab Eestis ka uusi diplomaate ja kultuurisaadikuid , kes tahavad Ladina-Ameerika riikidega sidemeid luua .",,,,,no,no,no,no,no,no,no,
15744446,24565943,22,takistama,,ad,pakkuja,pakkujatel,"olenemata märkimisväärsetest edusammudest riigihangete liberaliseerimisel on Ameerika Ühendriigid 1988. aastal vastuvõetud Trade Act'i VII jaotisega kehtestanud sanktsioonid , mis takistavad ühenduse pakkujatel konkureerimast Ameerika Ühendriikide keskvalitsuse sellistele riigihangetele , mis ei kuulu kokkuleppe rakendusalasse ; ühendus peab neid sanktsioone ebaõiglaseks ja põhjendamatuks ;",,,,,yes,no,no,no,no,no,no,A
313127,491351,9,kaotama,,el,imidž,imidžist,Seitsmekümnendate aastate lõpul kaotasid universaalarvutid palju oma müstilisest imidžist .,,,,,no,no,no,no,yes,yes,no,L
5814368,9328838,8,pidama,,abl,paremus,paremuselt,Erastamisagentuur aga peab praegu läbirääkimisi lepingu sõlmimiseks paremuselt teise pakkuja Baltic Rail Service'ga ( BRS ) .,,,,,no,no,no,no,no,no,no,
18734409,28316001,3,hoidma,eemale,el,rämpstoit,RÄMPSTOIDUST,HOIDKE EEMALE RÄMPSTOIDUST .,,,,,no,no,no,yes,no,yes,no,L
7424323,11921089,6,rääkima,,el,Katerina,Katerinast,Ja siis rääkisid sa talle Katerinast .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC,no,no,no,no,no,no,no,L
2659636,4267067,22,käituma,,in,suu,suus,"Lõpetuseks võiks julgemad proovida tapiokipudingut ( 59.- ) , mis meenutab veidi piimjat kalamarja , maitseb kergelt maisitärklise järgi ja suus käitub nagu tarretis .",,,,,no,no,no,yes,no,yes,no,L
7251084,11660809,8,jaguma,,ad,vastuvõtt,vastuvõtul,"Aumärke , meeneid ja tänukirju jagus tol vastuvõtul küll peaaegu igale osalejale .",,,,,no,yes,no,no,no,no,no,E
13538538,21652178,6,süüdistama,,el,pori,porist,"Ehkki avariisse sattunud autojuhid pole porist valgusfoori õnnetuses süüdistanud , teevad päikese käes nähtamatuks muutuvad tolmused foorid ja liiklusmärgid neile peavalu igal kevadel .",,,,,no,no,no,yes,no,yes,no,L
9567410,15357013,8,tekitama,,el,Jurjev,Jurjevist,Vajaliku meeleolu tekitasid kohe haruldased filmid vanast Jurjevist .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC,no,no,no,no,no,no,no,L
2456399,3938439,3,rääkima,,el,A-duur,A-duurist,Igal juhul A-duurist ja viimasest pubi-tuurist ta ei räägi .,,,,,no,no,no,no,yes,yes,no,L
9866983,15832871,4,kohtama,,el,endasarn,endasarnast,"Lisaks kohtab Beethoven endasarnast , kuid õrnemat sugupoolt Missyt ja armub temasse .",,,,,no,no,no,no,no,no,no,
9296712,14934425,1,kavatsema,,all,teine,Teistele,Teistele kavatseb põllumajandusülikooli üliõpilasvolikogu pakkuda võimalust arvutit rentida .,,,,,yes,no,no,no,no,no,no,A
230035,369823,15,mõjutama,,all,leiutis,leiutisele,"Fakt , et leiutisega on seotud arvuti riistvara või tarkvara , ei mõjuta üldjuhul leiutisele patendi andmist",,,,,no,no,no,no,yes,yes,no,L
2382627,3818145,6,laekuma,,all,logokonkurss,logokonkursile,""" Möödunud aastal välja kuulutatud logokonkursile laekus küll saja töö ringis , kuid nende seast ei leidnud me ühtegi sobivat , "" ütles Roman Baskin .",,,,,no,yes,no,no,no,no,no,E
7254449,11665863,14,kohtama,,el,üliõpilane,üliõpilasest,"Tanki-invasiooni päevil Prahasse kohtasid maalt saabunud Juhan Viiding ja Ott Arder ühte oma üliõpilasest tuttavat , kes korraldas häppeningi - vedas Viru tänaval järel plekist tanki .",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A
132221,221423,11,jääma,puudu,el,materjal,materjalist,"Kahjuks jääb algklasside muidu headel pedagoogidel puudu just kohalikust statistilisest materjalist , liikluse ja liiklusohtude tundmisest .",,,,,no,no,no,yes,no,yes,no,L
212212,346304,1,piisama,,ad,mina,Mul,"Mul piisas vaid mainida presidendi põhjapõtra ja kaamera lindistama lülitada , ning tulemuseks oli selgelt struktureeritud jutt sellest , kuidas presidendi põhjapõdra saatus on olnud traagiline : esimene emasloom kadus jäljetult koos vasikaga , alles jäi vaid üks noor ja nõrk vasikas , kes suutis imekombel suureks kasvada ning nüüd peaks iga hetk sünnitama oma esimese järglase .",,,,,yes,no,no,no,no,no,no,A
7665200,12290437,6,kippuma,,el,pressikonverents,pressikonverentsist,"Eile toimunud rahandusministeeriumi ja tolliameti pressikonverentsist kippus kujunema kõnekoosolek , kus ajakirjanikel avanes võimalus kuulda õlimeeste etteheiteid riigiametnikele .",|E|AE|EL|ET|AET|ELT|,,event,,no,yes,no,no,no,no,no,E
13530925,21640154,10,soovima,,el,eurolinn,eurolinnast,Eesti eurolaulu ” Diamond of Night ” esitajad soovivad eurolinnast Jeruusalemmast teile mõnusat ja pinevat telekaõhtut .,,,,,no,no,no,yes,no,yes,no,L
11053817,17703489,6,valutama,,ad,Leena,Leenal,"Noorikute jutust selgub , et Leenal valutab kõht , mis on eriti häiriv seetõttu , et järgmisel päeval peab ta oma sünnipäevaks kreemitordi küpsetama .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,no,no,no,no,L
