sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,simple_sentences_gpt4o,tags,timex_tag,ekilex_tag,ner_tag,A,E,T,L1,L2,L,S,tag,initial_cat,verb_head_same_sent,head_verbi_alluv
8557729,13716125,19,maksma,kinni,in,tingimus,tingimustes,"Soojus on fikseeritud hinnaga kaup ja seda võib vanas vaimus edasi jagada üksnes juhul , kui keegi tootja tingimustes paratamatu kahjumi talle kinni maksab .","['Soojus on fikseeritud hinnaga kaup.', 'Soojust võib vanas vaimus edasi jagada ainult juhul, kui keegi maksab tootja tingimustes paratamatu kahjumi kinni.']",,,,,no,no,no,no,no,no,yes,S,elt_n80_as,y,y
13082997,20934463,8,sõitma,tagasi,ad,saamine,saamisel,Mustlased asüüli ei palunud ning sõitsid käsu saamisel rahumeelselt koju tagasi .,"['Mustlased ei palunud asüüli.', 'Mustlased sõitsid käsu saamisel rahumeelselt koju tagasi.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
5310480,8519470,4,minema,lahku,ad,kõrgus,kõrgusel,""" 1200 meetri kõrgusel läksid lahku , et ohutult varjud lahti teha . ""","['1200 meetri kõrgusel läksid inimesed lahku.', 'Inimesed läksid lahku, et ohutult varjud lahti teha.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
2792300,4477915,1,kooskõlastama,,ad,vajadus,Vajadusel,Vajadusel kooskõlastab Eesti viisataotluse mõne teise Euroopa Liidu ühtsesse viisaruumi kuuluva liikmesriigiga .,['Eesti kooskõlastab vajadusel viisataotluse mõne teise Euroopa Liidu ühtsesse viisaruumi kuuluva liikmesriigiga.'],,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
6233481,10011469,4,viima,läbi,el,riskihinnang,riskihinnangutest,"Riigikontroll viib tulenevalt riskihinnangutest läbi erinevate kohalike omavalitsusüksuste auditeid , mis eeldab auditeerimisega kaasneva töökoormuse tõusu tõttu vähemalt 20-25 täiendava töökoha loomist riigikontrolli .","['Riigikontroll viib läbi auditeid.', 'Auditeid viiakse läbi erinevate kohalike omavalitsusüksuste juures.', 'Auditeerimine tuleneb riskihinnangutest.', 'Auditeerimine eeldab töökoormuse tõusu.', 'Töökoormuse tõus nõuab vähemalt 20-25 täiendava töökoha loomist riigikontrolli.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,n,e
15501895,24208708,11,peremehetsema,,ad,püha,pühal,"Niisiis ei ole mitte venelased okupandid , vaid eestlased peremehetsevad pühal Venemaal .","['Venelased ei ole okupandid.', 'Eestlased peremehetsevad pühal Venemaal.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,e
6912065,11109304,35,leppima,kokku,in,mittekallaletung,mittekallaletungis,"1939. aasta imeliselt soojas septembris , mil sõda oli just alanud , – aga Helenele räägiti , et see kestab vaid mõni nädal ja Eestit ei puuduta , sest Stalin ja Hitler on vastastikuses mittekallaletungis kokku leppinud – astuski ta üle oma tulevase teenistuskoha läve , mille kitsaste klaasakendega valge uks peitis ühtlasi Helene esimest oma kodu – kuueruutmeetrist helehallil taustal valgeroosiliste paanidega värskelt tapetseeritud kambrikest seinakapi , kitsukese voodi ja lauakesega selle kõrval .","['1939. aasta september oli imeliselt soe.', 'Sõda oli just alanud.', 'Helenet veendi, et sõda kestab vaid mõni nädal.', 'Helenet veendi, et sõda Eestit ei puuduta.', 'Stalin ja Hitler leppisid kokku vastastikuses mittekallaletungis.', 'Helene astus üle oma tulevase teenistuskoha läve.', 'Teenistuskoha valge uks peitis Helene esimest oma kodu.', 'Helene esimene kodu oli kuueruutmeetrine kambrike.', 'Kambrike oli helehallil taustal valgeroosiliste paanidega värskelt tapetseeritud.', 'Kambrikeses oli seinakapp.', 'Kambrikeses oli kitsuke voodi.', 'Kambrikeses oli lauake voodi kõrval.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
4362842,7018404,2,teadma,,ad,puudus,puudusel,"Arengukava puudusel ei tea trammipark isegi seda , mida ootab linnavalitsus meilt järgmisel aastal , ammugi ei te me , mis toimub kahe , kolme või viie aasta pärast , "" kinnitas Heinvere .","['Trammipargil puudub arengukava.', 'Arengukava puudumisel ei tea trammipark, mida linnavalitsus ootab järgmisel aastal.', 'Trammipark ei tea, mis toimub kahe aasta pärast.', 'Trammipark ei tea, mis toimub kolme aasta pärast.', 'Trammipark ei tea, mis toimub viie aasta pärast.', 'Seda kinnitas Heinvere.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
8784986,14100284,14,sarnanema,,in,rassiviht,rassivihas,"Ent Venemaa ei sarnane kujunenud olukorras NATOga , pigem sarnaneb ta oma shovinistlikus rassivihas hoopis Serbiaga , kes rakendas genotsiidi separatistlikult meelestatud teiseusuliste suhtes .","['Venemaa ei sarnane NATOga.', 'Venemaa sarnaneb Serbiaga.', 'Venemaa sarnaneb Serbiaga oma shovinistlikus rassivihas.', 'Serbia rakendas genotsiidi separatistlikult meelestatud teiseusuliste suhtes.']",,,,,no,no,no,no,no,no,yes,S,elt_n80_as,y,y
2556971,4102261,15,valama,,ill,hõbe,hõbedasse,"Mõni aasta tagasi varastati Pärnust näituselt üks tema taies , mille ta nüüd valas hõbedasse ja kinkis uuesti Pärnu Uue Kunsti Muuseumile .","['Mõni aasta tagasi varastati Pärnust näituselt üks tema taies.', 'Ta valas varastatud taiese hõbedasse.', 'Ta kinkis hõbedasse valatud taiese uuesti Pärnu Uue Kunsti Muuseumile.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
10957007,17549382,4,paistma,,ad,Vähi,Vähil,"Pealegi paistab lahkuval Vähil olevat üks ja kindel soov : kui lahkub tema , siis peab Reformierakonna eest lahkuma ka Kallas .","['Lahkuval Vähil on üks kindel soov.', 'Kui Vähk lahkub, peab Reformierakonna eest lahkuma ka Kallas.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,n,y
9769025,15674621,8,mainima,,ad,võimalus,võimalusel,"Kuidas seletab eraisik Meister , kes igal võimalusel mainib oma madalat valuläve ja suurt missioonitunnet , mil moel jäid pärast komisjonist lahkumist tema valdusse helilindid ja politsei poolt kogutud pääsenute tunnistused .","['Eraisik Meister mainib igal võimalusel oma madalat valuläve.', 'Eraisik Meister mainib igal võimalusel oma suurt missioonitunnet.', 'Komisjonist lahkumise järel jäid tema valdusse helilindid.', 'Komisjonist lahkumise järel jäid tema valdusse politsei poolt kogutud pääsenute tunnistused.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,e
3311971,5325276,10,muutma,,in,asu,asus-,"-viia läbi avaliku teenistuse reform , mis muudab asus- tuste juhtimise paindlikumaks ja kaotab senised palgaastmed ( takistuseks võib kujuneda "" ametnike partei "" vastuseis )","['Avaliku teenistuse reform tuleb läbi viia.', 'Reform muudab asutuste juhtimise paindlikumaks.', 'Reform kaotab senised palgaastmed.', 'Takistuseks võib kujuneda ""ametnike partei"" vastuseis.']",|S|AS|LS|ST|AST|LST|,,state,,no,no,no,no,no,no,no,,elt_n80_as,y,e
3450579,5555918,8,tõusma,,abl,54%,54%-lt,Kohaliku õlle hulgas Saku turuosa aga tõusis 54%-lt 55%-ni .,['Kohaliku õlle hulgas tõusis Saku turuosa 54%-lt 55%-ni.'],,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
10636709,17048412,10,erastama,,in,kuu,kuus,Praeguseks on viieteistkümnest Aafrika riigist oma kohalikud telefonioperaatorid erastanud kuus ning veel kaheksa riiki plaanivad seda aastaks 2000 teha .,"['Viieteistkümnest Aafrika riigist on kuus erastanud oma kohalikud telefonioperaatorid.', 'Veel kaheksa riiki plaanivad telefonioperaatorite erastamist aastaks 2000.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,e
2283231,3655369,11,kommenteerima,,in,võidujoovastus,võidujoovastuses,""" See on küll kõige väiksem mure , "" kommenteeris võidujoovastuses EOK-i president Mart Siimann Veerpalule ja Jaak Maele makstavaid preemiasummasid .","['EOK-i president on Mart Siimann.', 'Mart Siimann kommenteeris Veerpalule ja Jaak Maele makstavaid preemiasummasid.', 'Mart Siimann ütles, et see on kõige väiksem mure.']",,,,,no,no,no,no,no,no,yes,S,elt_n80_as,n,y
7276985,11696920,5,põhjustama,,ad,katselehm,katselehmadel,"Kui K2CO3 lisasöötmine põhjustas katselehmadel kuivaine söömuse vähenemist , siis karbamiidi lisasöötmine ei mõjutanud statistiliselt oluliselt ei kuivaine ega teiste uuritud toitefaktorite söömust .","['K2CO3 lisasöötmine põhjustas katselehmadel kuivaine söömuse vähenemist.', 'Karbamiidi lisasöötmine ei mõjutanud statistiliselt oluliselt kuivaine söömust.', 'Karbamiidi lisasöötmine ei mõjutanud statistiliselt oluliselt teiste uuritud toitefaktorite söömust.']",,,,,yes,no,no,no,no,no,no,A,elt_n80_as,y,y
5169145,8292800,10,tõusma,,el,kandidatuur,kandidatuurist,"Te olete 100% kindel , et küsimus Tunne Kelami kandidatuurist valimiskogus ei tõuse ?","['Te olete 100% kindel.', 'Te olete kindel, et küsimus Tunne Kelami kandidatuurist valimiskogus ei tõuse.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
3751787,6042330,8,möönma,,in,see,selles,"Väikese pausi järel möönis mees endagi süüd selles , et teda kusagil ei usaldata ning omaks ei võeta .","['Mees möönis väikese pausi järel oma süüd.', 'Mees möönis, et teda kusagil ei usaldata.', 'Mees möönis, et teda omaks ei võeta.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,n,y
18440013,27943087,41,püüdma,kinni,in,karjavara,karjavaras,"Vist parim näide sellisest ametnikust on 19. saj ameerika sherif - kui kari kadunuks jäi , tulid talunikud kokku , patsutasid mõnele omade seast õlale ja ütlesid : « Sina , mees oskad siin meist paremini lasta , mine püüa karjavaras kinni , meie aitame sind Sina oled meie sherif . »","['19. sajandil oli Ameerikas sherif.', 'Kui kari kadunuks jäi, tulid talunikud kokku.', 'Talunikud patsutasid mõnele omade seast õlale.', 'Talunikud ütlesid: ""Sina, mees, oskad siin meist paremini lasta.""', 'Talunikud ütlesid: ""Mine püüa karjavaras kinni.""', 'Talunikud ütlesid: ""Meie aitame sind.""', 'Talunikud ütlesid: ""Sina oled meie sherif.""']",,,,,yes,no,no,no,no,no,no,A,elt_n80_as,y,e
4882592,7838912,15,tõmbama,,ad,selgitamine,selgitamisel,Kergejõustiku hallihooajal väljapaistvalt esinenud Virge Naeris ja Erki Nool on tõmmanud tähelepanu ka suhete selgitamisel Eesti Olümpiakomitee ja Eesti Kergejõustikuliiduga .,"['Virge Naeris ja Erki Nool esinesid kergejõustiku hallihooajal väljapaistvalt.', 'Virge Naeris ja Erki Nool on tõmmanud tähelepanu suhete selgitamisel Eesti Olümpiakomitee ja Eesti Kergejõustikuliiduga.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
9670382,15518513,4,takerduma,,ad,tase,tasemel,Praegu takerdub sel tasemel koostöö just materiaalsete võimaluste taha .,['Koostöö takerdub praegu sel tasemel materiaalsete võimaluste taha.'],,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
10581568,16961389,3,koosnema,,ad,ideaaljuht,ideaaljuhul,"Õppetöö koosneb ideaaljuhul kolmest faasist : 1 ) kodutöö korras toimuv põgus tutvumine trükitud õppematerjaliga , 2 ) selle materjali audio-visuaalne omandamine loengusaali ekraanilt koos pedagoogi selgituste ja näidismaterjali vahetu demonstratsiooniga ja 3 ) loengul märkustega varustatud trükitud õppematerjali lõplik omandamine eksamiperioodil .","['Õppetöö koosneb ideaaljuhul kolmest faasist.', 'Esimene faas on kodutöö korras toimuv põgus tutvumine trükitud õppematerjaliga.', 'Teine faas on selle materjali audio-visuaalne omandamine loengusaali ekraanilt.', 'Teise faasi juurde kuuluvad pedagoogi selgitused ja näidismaterjali vahetu demonstratsioon.', 'Kolmas faas on loengul märkustega varustatud trükitud õppematerjali lõplik omandamine eksamiperioodil.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
2624248,4210696,10,mäletama,,el,loog,loost,""" Tegemist on tankistiga , kes ei mäleta autode loost midagi , sest need registreeriti tema nimele mitu aastat tagasi , "" ütles uurija .","['Tegemist on tankistiga.', 'Tankist ei mäleta autode loost midagi.', 'Autod registreeriti tema nimele mitu aastat tagasi.', 'Seda ütles uurija.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,e
3102730,4981956,6,mõjutama,,ad,tema,neil,"Eraldi rõhutas Pajuri , et neil ei mõjuta tagatisobjekti vanus laenuprotsenti , seda käsitletakse ikka rohkem kliendi ja panga suhtest lähtuvalt .","['Pajuri rõhutas eraldi ühte asja.', 'Neil ei mõjuta tagatisobjekti vanus laenuprotsenti.', 'Tagatisobjekti vanust käsitletakse rohkem kliendi ja panga suhtest lähtuvalt.']",,,,,yes,no,no,no,no,no,no,A,elt_n80_as,y,y
205825,335817,7,mäletama,,el,lood,loost,""" Ausalt öeldes mäletan ma sellest loost ainult niipalju , et meie suvereporter Jaan Olmaru käis neid konstaableid kohapeal taga ajamas ja mina rääkisin prefekt Otsaltiga . ""","['Ausalt öeldes mäletan ma sellest loost ainult niipalju.', 'Meie suvereporter Jaan Olmaru käis neid konstaableid kohapeal taga ajamas.', 'Mina rääkisin prefekt Otsaltiga.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,e
9181110,14756931,7,kärpima,,ad,vajadus,vajadusel,"Tema hinnangul on mõistlik , kui vajadusel kärbib eelarvet valitsus .","['Tema hinnangul on mõistlik, kui vajadusel kärbib eelarvet valitsus.']",,,,,no,no,no,no,no,no,yes,S,elt_n80_as,y,e
12827702,20519778,9,sõudma,,ad,üheline,ühelisel,"Ta polnud veel kindel , et sõuab Ateenas ühelisel .","['Ta polnud veel kindel.', 'Ta polnud kindel, et sõuab Ateenas ühelisel.']",,,,,no,no,no,no,no,no,yes,S,elt_n80_as,y,y
10729192,17192087,5,taastuma,,in,käsi,käes,"Kui operatsioon õnnestub ja käes verevarustus taastub , pole arstidel ja patsiendil veel võit käes .","['Operatsioon võib õnnestuda.', 'Käes võib verevarustus taastuda.', 'Arstidel ja patsiendil pole veel võit käes.']",,,,,no,no,no,no,no,no,yes,S,elt_n80_as,n,e
4010093,6455424,11,parandama,,ad,juhtimine,juhtimisel,Vancouveris sai vahepeal positsiooni parandanud Canucks uue peatreeneri Mike Keenani juhtimisel esimese kaotuse .,"['Vancouveris parandas Canucks vahepeal positsiooni.', 'Canucks sai uue peatreeneri Mike Keenani juhtimisel esimese kaotuse.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,n,e
4925616,7908509,20,soostuma,,ad,polka,polkal,"Ainult sõidud maksti tollal kinni , aga mis sõit see oli - praegu ei soostuks ükski sportlane üldvaguni kolmandal polkal reisima ; tagasisõidul olime tihti suisa näljas .","['Ainult sõidud maksti tollal kinni.', 'See sõit polnud midagi erilist.', 'Praegu ei soostuks ükski sportlane üldvaguni kolmandal polkal reisima.', 'Tagasisõidul olime tihti suisa näljas.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
12695235,20311259,5,pakkuma,,adit,U-Kaart,U-Kaarti,"Ühispank pakub alates kolmapäevast U-Kaarti , mida reaalselt pole olemaski , ent mis aitab arvutikasutajal interneti abil sisseoste teha või teenuste eest maksta .","['Ühispank pakub alates kolmapäevast U-Kaarti.', 'U-Kaart reaalselt ei eksisteeri.', 'U-Kaart aitab arvutikasutajal interneti abil sisseoste teha.', 'U-Kaart aitab arvutikasutajal teenuste eest maksta.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,e
178139,296134,7,võtma,kaasa,ad,arvutiketas,arvutikettail,Märtsi lõpus võttis kaitseministeeriumi endine ametnik arvutikettail kaasa ametkondlikuks kasutamiseks mõeldud infot ning jagas seda tuttavatega .,"['Märtsi lõpus võttis kaitseministeeriumi endine ametnik arvutikettail kaasa ametkondlikuks kasutamiseks mõeldud infot.', 'Ta jagas seda infot tuttavatega.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
7335710,11769014,3,esinema,,ad,Müller,Mülleril,esinevad juba Mülleril ja on ilmselt tõlkelaenud saksa keelest ( Habicht 2001 : 63-69 ; vt. ka Hasselblatt 1990 ) .,"['Need esinevad juba Mülleril.', 'Need on ilmselt tõlkelaenud saksa keelest.', 'Seda on mainitud Habichti töös (2001: 63-69).', 'Seda on mainitud ka Hasselblatti töös (1990).']",,,,,yes,no,no,no,no,no,no,A,elt_n80_as,y,y
160863,267637,6,töötama,,el,poja,pojast,"Leili ja Kalju kolmest täiskasvanud pojast töötavad kaks kodutalu metsades , kolmas teenib metsaveotraktoriga raha - mõni kuu 7000-8000 krooni , teine kuu peab Leili oma väiksest sissetulekust teda toetama .","['Leili ja Kalju kolmest täiskasvanud pojast töötavad kaks kodutalu metsades.', 'Kolmas poeg teenib metsaveotraktoriga raha.', 'Mõni kuu teenib ta 7000-8000 krooni.', 'Teine kuu peab Leili oma väiksest sissetulekust teda toetama.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,elt_n80_as,y,e
13502145,21595462,9,sõitma,maha,in,joove,joobes,Tund pärast südaööd Karja tänaval kihutades sõitis raskes joobes kohtlajärvelane Centrali restorani ees maha laternaposti ja põrkas vastu tuletõrjemaja seina .,"['Tund pärast südaööd kihutas Karja tänaval raskes joobes kohtlajärvelane.', 'Ta sõitis Centrali restorani ees maha laternaposti.', 'Ta põrkas vastu tuletõrjemaja seina.']",|S|AS|LS|ST|AST|LST|,,state,,no,no,no,no,no,no,yes,S,elt_n80_as,n,e
12891624,20621775,8,astuma,ette,in,korsett,korsetis,"Rumeenia kauni büstiga Luminita astub ette hõbedases korsetis , lavale on taritud tohutu hulk kollaseid tünne , millel trummi lüüakse , osa kinnitatakse isegi jalgadele .","['Rumeenia kauni büstiga Luminita astub ette hõbedases korsetis.', 'Lavale on taritud tohutu hulk kollaseid tünne.', 'Tünnidel lüüakse trummi.', 'Osa tünne kinnitatakse isegi jalgadele.']",,,,,no,no,no,no,no,no,yes,S,elt_n80_as,y,y
7823699,12537908,10,suhtuma,,in,soos,soosides,"Nii halastamatult suhtub selektiivne mälu elulugudesse igal ajal , soosides häälekalt ühte tüüpi elulugusid , et siis järgmisel hetkel need ajaloo prügikasti visata ja väärtustada teistsuguseid story'sid .","['Selektiivne mälu suhtub elulugudesse igal ajal halastamatult.', 'Selektiivne mälu soosib häälekalt ühte tüüpi elulugusid.', 'Selektiivne mälu viskab need elulood järgmisel hetkel ajaloo prügikasti.', ""Selektiivne mälu väärtustab teistsuguseid story'sid.""]",,,,,no,no,no,no,no,no,no,,elt_n80_as,n,e
10223665,16406043,15,töötama,,el,koostamine,koostamisest,"Arvutimekas sai ta omal nahal kogemuse , kuidas  hi-tech  firmad töötavad , alates dokumentatsiooni koostamisest ja lõpetades raha küsimisega .","['Arvutimekas sai ta omal nahal kogemuse.', 'Ta koges, kuidas hi-tech firmad töötavad.', 'Ta koges seda alates dokumentatsiooni koostamisest.', 'Ta koges seda lõpetades raha küsimisega.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
5947138,9547045,32,mõjutama,,ad,tagajärg,tagajärjel,"Tähendab , kuna ma ei ole neid müünud ja ei ole absoluutselt mingit tulu sellest ju saanud , siis see ei saa ju olla mingi korruptiivne tulu , et selle teo tagajärjel oleksin nagu kedagi õudselt mõjutanud ja mul oleks mingisugused tulud tekkinud .","['Ma ei ole neid müünud.', 'Ma ei ole sellest absoluutselt mingit tulu saanud.', 'See ei saa olla korruptiivne tulu.', 'Selle teo tagajärjel ei ole ma kedagi õudselt mõjutanud.', 'Selle teo tagajärjel ei ole mul mingisugused tulud tekkinud.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
14979738,23499881,2,lähenema,,in,nöök,nöökides,Justkui nöökides lähenesid kalevlastele hommikul võõrustajad .,"['Hommikul lähenesid kalevlastele võõrustajad.', 'See toimus justkui nöökides.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,n,e
15261878,23837870,16,töötlema,,in,ulatus,ulatuses,"Kui turustusaasta käigus leitakse , et töötlejad ei ole neile lepingute alusel tarnitud tootekogust täies ulatuses töödelnud , peavad nad maksma rahatrahvi .","['Turustusaasta käigus leitakse, et töötlejad ei ole neile lepingute alusel tarnitud tootekogust täies ulatuses töödelnud.', 'Töötlejad peavad sellisel juhul maksma rahatrahvi.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
14184510,22549174,7,põhjustama,,ad,sina,sul,"Lang : Seesama üks pitsa põhjustab sul suure pildi lehes no parim reklaam , mis üldse olla võib , täiesti tasuta tuleb kätte !","['Lang ütles midagi.', 'Üks pitsa põhjustab sul suure pildi lehes.', 'See on parim reklaam, mis üldse olla võib.', 'See reklaam tuleb täiesti tasuta kätte.']",,,,,yes,no,no,no,no,no,no,A,elt_n80_as,y,y
14076208,22413034,1,lähenema,,ad,vanahärra,Vanahärral,"Vanahärral ta iga lähenes juba 80-le oli tavaks lugeda , kirjutada või malet mängida kella 3-4 hommikul ning magada siis kella 11.","['Vanahärral oli tavaks lugeda, kirjutada või malet mängida kella 3-4 hommikul.', 'Vanahärra iga lähenes juba 80-le.', 'Vanahärral oli tavaks magada siis kella 11-ni.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,elt_n80_as,n,e
10610272,17006548,2,paiskuma,välja,ad,andmed,andmetel,Esialgsetel andmetel paiskus Tõnu traktorikabiinist välja ja raske masin lömastas ta .,"['Esialgsetel andmetel paiskus Tõnu traktorikabiinist välja.', 'Raske masin lömastas Tõnu.']",,,,,no,no,no,no,no,no,no,,elt_n80_as,y,y
310630,487382,9,võtma,,adit,norm,normi,Aga kolm päeva hiljem võtsin juba vana kaevuri normi . ”,['Kolm päeva hiljem võtsin juba vana kaevuri normi.'],,,,,no,no,no,no,no,no,no,,elt_n80_as,y,e
11931,20494,5,esinema,,ad,ajakirjanik,ajakirjanikul,Sellist vedamist esineb ühel ajakirjanikul harva .,['Sellist vedamist esineb ühel ajakirjanikul harva.'],|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,elt_n80_as,y,y
