sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,opinion,simple_sentences,simple_sentences_gpt4o,tags,timex_tag,ekilex_tag,ner_tag,A,E,T,L1,L2,L,S,tag,initial_cat,verb_head_same_sent,head_verbi_alluv
1518677,2416707,2,suutma,,el,koht,kohast,Hoolimata kohast riikliku naftafirma juhatuses ning kuulumisest parlamenti pole presidendi poeg suutnud endale tõsist mainet kujundada .,???,"Presidendi poeg kuulub riikliku naftafirma juhatusse.
Presidendi poeg kuulub parlamenti.
Presidendi poeg pole suutnud endale tõsist mainet kujundada.","['Presidendi poeg kuulub riikliku naftafirma juhatusse.', 'Presidendi poeg kuulub parlamenti.', 'Presidendi poeg pole suutnud endale tõsist mainet kujundada.']",,,,,no,no,no,yes,no,yes,no,L,a_n50,,
6752792,10863306,3,tulema,,all,Jaani,Jaanile,Siis tuleb Jaanile meelde Reinu õpetus .,,,['Jaanile tuleb meelde Reinu õpetus.'],|AL|ALT|,,location,PER,yes,no,no,no,no,no,no,A,a_n50,,
769389,1226822,17,jääma,ilma,el,aktsiis,aktsiisist,"Erik Kaldase sõnul käib praegu uurimine , kus kütust solgitakse ja kui suures ulatuses riik mootorikütuse aktsiisist ilma jääb .",,,"['Erik Kaldase sõnul käib praegu uurimine.', 'Uurimine selgitab, kus kütust solgitakse.', 'Uurimine selgitab, kui suures ulatuses jääb riik mootorikütuse aktsiisist ilma.']",,,,,no,no,no,yes,no,yes,no,L,a_n50,,
1708610,2719631,13,leidma,,all,audiitor,audiitorile,Prokuröri hinnangul on Kallase ( 52 ) süü Eesti Panga juhina keskpanga audiitorile valeandmete esitamises kohtus tõendamist leidnud ning seetõttu tuleb teda karistada rahatrahviga .,???,"Siim Kallas on 52-aastane.
Prokurör leidis, et Kallase süü on kohtus tõendamist leidnud.
Kallas esitas Eesti Panga juhina keskpanga audiitorile valeandmeid.
Seetõttu tuleb teda karistada rahatrahviga.","['Prokuröri hinnangul on Kallase süü tõendamist leidnud.', 'Kallas esitas Eesti Panga juhina keskpanga audiitorile valeandmeid.', 'Prokuröri hinnangul tuleb Kallast karistada rahatrahviga.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
16460744,25407442,2,tahtma,,el,igavus,igavusest,"Tahaks igavusest mingit nende mängu proovida , koodi oleks vaja korgi alt .",???,"Tahaks igavusest mingit nende mängu proovida.
Selle mängu jaoks oleks vaja koodi.
Kood on “korgi alt”.","['Ma tahaksin igavusest proovida mõnda nende mängu.', 'Mängu jaoks oleks vaja koodi korgi alt.']",,,,,no,no,no,no,no,no,yes,S,a_n50,,
10904358,17463756,10,minema,vaja,ad,Pikaro,Pikarol,Külma verd on 25 aastat miilitsas ja politseis töötanud Pikarol vaja läinud õige mitmel korral .,,,"['Pikar on töötanud 25 aastat miilitsas ja politseis.', 'Pikar on vajanud külma verd õige mitmel korral.']",|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC,yes,no,no,no,no,no,no,A,a_n50,,
11197462,17937929,9,elama,,el,akadeemia,akadeemiast,Praegu on mul elamistingimused väga head : elan akadeemiast jalgsi umbes kümne minuti kaugusel .,,,"['Praegu on mul elamistingimused väga head.', 'Ma elan akadeemiast jalgsi umbes kümne minuti kaugusel.']",|L|AL|EL|LS|LT|ALT|ELT|LST|,,organisation,,no,no,no,yes,no,yes,no,L,a_n50,,
12618274,20191803,6,lootma,,all,dopinguagentuur,dopinguagentuurile,"Kaspergi loodab ROK-i moodustatavale rahvusvahelisele dopinguagentuurile , kuid ta kindlus ei veena .",,,"['Kaspergi loodab ROK-i moodustatavale rahvusvahelisele dopinguagentuurile.', 'Kaspergi kindlus ei veena.']",,,,,no,no,no,yes,no,yes,no,L,a_n50,,
5269131,8452143,14,lööma,,el,Panionio,Panioniost,"Täisedu , üheksa võiduga jätkab üllataja Ateena Peristeri , kes viimati lõi Ateena Panioniost 78 : 76.",syntax,"Üllataja Peristeri B.C. jätkab täiseduga.
Peristeri on võitnud üheksa mängu.
Peristeri alistas viimati Panionios B.C. tulemusega 78 : 76.","['Ateena Peristeri jätkab täiseduga.', 'Ateena Peristeril on üheksa võitu.', 'Ateena Peristeri võitis viimati Ateena Panioniost 78 : 76.']",|L|AL|EL|LS|LT|ALT|ELT|LST|,,,ORG,no,no,no,yes,no,yes,no,L,a_n50,,
4072265,6554869,17,andma,välja,all,muusikaõpetaja,muusikaõpetajale,"Riho Pätsi Koolimuusika Fond annab igal aastal välja stipendiumeid viimase kolme aasta jooksul eriliselt silma paistnud muusikaõpetajale , instrumendiõpetajale , heliloojale , muusikapedagoogika uurijale ja koolimuusika edendajale .",,,"['Riho Pätsi Koolimuusika Fond annab igal aastal välja stipendiume.', 'Stipendiumid antakse viimase kolme aasta jooksul eriliselt silma paistnud muusikaõpetajale.', 'Stipendiumid antakse viimase kolme aasta jooksul eriliselt silma paistnud instrumendiõpetajale.', 'Stipendiumid antakse viimase kolme aasta jooksul eriliselt silma paistnud heliloojale.', 'Stipendiumid antakse viimase kolme aasta jooksul eriliselt silma paistnud muusikapedagoogika uurijale.', 'Stipendiumid antakse viimase kolme aasta jooksul eriliselt silma paistnud koolimuusika edendajale.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
12879242,20601501,7,vanduma,alla,all,seltsiline,seltsilistele,Lõpus vandus Dęhlie alla ka oma seltsilistele - Ilmar Udamile ja itaallasele Andrea Piccoliorile .,,,"['Dęhlie vandus lõpus alla oma seltsilistele.', 'Dęhlie vandus lõpus alla Ilmar Udamile.', 'Dęhlie vandus lõpus alla itaallasele Andrea Piccoliorile.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
5817968,9334876,12,leidma,,all,algatus,algatusele,Tervishoiuprobleemide pärast peaminister Juhan Partsi tagandamist kavandanud sotsiaaldemokraadid ei leidnud oma algatusele liitlasi .,,,"['Sotsiaaldemokraadid kavandasid peaminister Juhan Partsi tagandamist tervishoiuprobleemide pärast.', 'Sotsiaaldemokraadid ei leidnud oma algatusele liitlasi.']",,,,,no,no,no,no,no,no,no,,a_n50,,
1849060,2944712,10,kavandama,,all,tema,neile,"Kas soomlased tajusid , et pikas perspektiivis kavandas idanaaber neile samasugust saatust ja lämmatatud Eesti oli tegelikult tuleviku Soome ?",,,"['Soomlased tajusid, et idanaaber kavandas neile pikas perspektiivis samasugust saatust.', 'Soomlased tajusid, et lämmatatud Eesti oli tegelikult tuleviku Soome.']",,,,,yes,no,no,no,no,no,no,A,a_n50,,
6844848,11012712,2,mõtlema,,all,edasipääsuvõimalus,edasipääsuvõimalustele,Eesti edasipääsuvõimalustele ta mängu ajal ei mõtle .,,,['Ta ei mõtle mängu ajal Eesti edasipääsuvõimalustele.'],,,,,no,no,no,no,no,no,yes,S,a_n50,,
10808882,17311387,3,pruukima,,ad,sportlane,sportlastel,"Pruugib Eesti sportlastel mõnel maailmamastaabiga võistlusel esinemine ebaõnnestuda , kui ühiskonnas vallandub teenitud meelepaha : milleks raisatakse rahva raha , mida võiks kasutada kasvõi nende poolte eestlaste toitmiseks-katmiseks , kes Jaak Alliku andmetel parasjagu nälgivad .",,,"['Eesti sportlastel ebaõnnestub mõnikord esinemine maailmamastaabiga võistlusel.', 'Sellisel juhul vallandub ühiskonnas teenitud meelepaha.', 'Meelepaha põhjus on rahva raha raiskamine.', 'Rahva raha võiks kasutada nende poolte eestlaste toitmiseks-katmiseks, kes Jaak Alliku andmetel parasjagu nälgivad.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
3449293,5553715,5,võitma,,all,kaitsetegevus,kaitsetegevusele,Kreeka võitis tänu hingestatud kaitsetegevusele ning Efthimios Rentziase ja Nikos Ekonomou heale mängule .,???,"Kreeka võitis.
Võidu põhjuseks oli hingestatud kaitsetegevus.
Efthimios Rentzias mängis hästi.
Nikos Ekonomou mängis hästi.","['Kreeka võitis tänu hingestatud kaitsetegevusele.', 'Kreeka võitis tänu Efthimios Rentziase heale mängule.', 'Kreeka võitis tänu Nikos Ekonomou heale mängule.']",,,,,no,no,no,no,no,no,no,,a_n50,,
1716275,2732183,16,pöörduma,,all,rahvas,rahvale,"Alles siis ronis K-Fori rahuvalvajate juhataja , Saksa kindral Klaus Reinhardt Briti tankile ja pöördus rahvale kõnelema .",,,"['K-Fori rahuvalvajate juhataja oli Saksa kindral Klaus Reinhardt.', 'Klaus Reinhardt ronis Briti tankile.', 'Klaus Reinhardt pöördus rahvale kõnelema.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
9914955,15905727,10,lisanduma,,all,grupeering,grupeeringutele,"Uus rühmitus lisandub juba varem rahvusvahelise majanduskoostöö edendamiseks loodud grupeeringutele , mille hulka peale G7 kuuluvad näiteks G10 ja G24 .",,,"['Uus rühmitus lisandub rahvusvahelise majanduskoostöö edendamiseks loodud grupeeringutele.', 'Nende grupeeringute hulka kuulub G7.', 'Nende grupeeringute hulka kuulub G10.', 'Nende grupeeringute hulka kuulub G24.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,no,no,no,yes,no,yes,no,L,a_n50,,
5763046,9245109,16,laskma,,ad,avameri,avamerel,Soome ajalehe väitel lasevad suured Tallinki liinilaevad Romantika ja Meloodia endistviisi oma pesu- ja tualetivee avamerel Läänemerre .,,,"['Soome ajalehe väitel lasevad Tallinki liinilaevad Romantika ja Meloodia oma pesuvee avamerel Läänemerre.', 'Soome ajalehe väitel lasevad Tallinki liinilaevad Romantika ja Meloodia oma tualetivee avamerel Läänemerre.']",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,,no,no,no,yes,no,yes,no,L,a_n50,,
1354468,2152699,5,kandma,,all,Inglismaa,Inglismaale,"Kannaksin selle raha otse Inglismaale sinna selle kooli või kolledži arvele , kus ta õpib !",???,"Ma kannaksin selle raha otse Inglismaale.
Ma kannaksin raha selle kooli või kolledži arvele.
Ta õpib selles koolis või kolledžis.","['Ma kannaksin selle raha otse Inglismaale.', 'Ma kannaksin selle raha selle kooli või kolledži arvele, kus ta õpib.']",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,yes,no,yes,no,L,a_n50,,
1482904,2360290,1,soovima,,el,Eesti,Eestist,"Eestist soovivad Venemaale või mõnda teise SRÜ riiki ümber asuda keskmisest haritumad mittekodanikud , selgub eile avalikustatud uuringust .",,,"['Eestist soovivad Venemaale ümber asuda keskmisest haritumad mittekodanikud.', 'Eestist soovivad mõnda teise SRÜ riiki ümber asuda keskmisest haritumad mittekodanikud.', 'See selgub eile avalikustatud uuringust.']",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,yes,no,yes,no,L,a_n50,,
12565181,20108405,15,olema,tarvis,ad,suusataja,suusatajail,Eesti suusaliidu peasekretär Kaarel Zilmer säras kui pühademuna : vaatamata Kristina Šmiguni õnnetusele pole suusatajail tarvis koju tagauksest siseneda .,,,"['Eesti suusaliidu peasekretär on Kaarel Zilmer.', 'Kaarel Zilmer säras kui pühademuna.', 'Kristina Šmiguni õnnetusest hoolimata pole suusatajail tarvis koju tagauksest siseneda.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
3537862,5697343,4,tahtma,,el,kaaslane,kaaslasest,Heast ja kannatlikust kaaslasest ei tahaks lapsed ja kasvatajad aga loobuda .,,,"['Heast ja kannatlikust kaaslasest ei tahaks lapsed loobuda.', 'Heast ja kannatlikust kaaslasest ei tahaks kasvatajad loobuda.']",,,,,yes,no,no,no,no,no,no,A,a_n50,,
2868731,4600234,25,piinama,,el,sügis,sügisest,"Päris sama koosseisuga ei saaks neljapaat kuidagi aga edasi sõita , kuna eessõudja Andrei Jämsä pole lahti saanud kõhu- ja seljavaludest , mis teda sügisest saati piinavad .",,,"['Päris sama koosseisuga ei saaks neljapaat edasi sõita.', 'Eessõudja Andrei Jämsä pole lahti saanud kõhuvaludest.', 'Eessõudja Andrei Jämsä pole lahti saanud seljavaludest.', 'Kõhu- ja seljavalud on teda piinanud sügisest saati.']",|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,time,,no,no,yes,no,no,no,no,T,a_n50,,
4530501,7282195,2,köitma,,el,liikluskorraldaja,liikluskorraldajatest,"Tallinna liikluskorraldajatest ja parkimisametnikest , maanteeameti liiklusohutusspetsialistidest , liikluspolitseinikest ja inseneribüroo Stratum töötajatest koosneva ümarlaua tähelepanu köitsid viimastel kuudel toimunud järjestikused ränkade tagajärgedega otsasõidud Tallinna vöötradadel .",???,"Tallinnas on liikluskorraldajad ja parkimisametnikud.
Seal on ka maanteeameti liiklusohutusspetsialistid.
Seal on liikluspolitseinikud.
Seal töötavad inseneribüroo Stratum töötajad.
Need inimesed moodustasid ümarlaua.
Ümarlaua tähelepanu köitsid viimastel kuudel toimunud järjestikused ränkade tagajärgedega otsasõidud Tallinna vöötradadel.","['Tallinna liikluskorraldajad osalesid ümarlauas.', 'Tallinna parkimisametnikud osalesid ümarlauas.', 'Maanteeameti liiklusohutusspetsialistid osalesid ümarlauas.', 'Liikluspolitseinikud osalesid ümarlauas.', 'Inseneribüroo Stratum töötajad osalesid ümarlauas.', 'Ümarlaua tähelepanu köitsid viimastel kuudel toimunud järjestikused otsasõidud.', 'Need otsasõidud toimusid Tallinna vöötradadel.', 'Need otsasõidud olid ränkade tagajärgedega.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
11437343,18326289,2,väärima,,el,kaotanu,kaotanutest,Poolfinaalis kaotanutest väärinuks ainsana finaalipääsu KK Tartu .,,,"['Poolfinaalis kaotanutest väärinuks finaalipääsu KK Tartu.', 'KK Tartu väärinuks finaalipääsu ainsana.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
1770245,2818602,8,hääletama,,all,planeering,planeeringule,"Sellega hääletasid nad vastu valmivale Saare maakonna planeeringule , mis näeb ette Ruhnu valla liitmist Kuressaare või Pärnu linnaga .",,,"['Nad hääletasid vastu valmivale Saare maakonna planeeringule.', 'Planeering näeb ette Ruhnu valla liitmist Kuressaare linnaga.', 'Planeering näeb ette Ruhnu valla liitmist Pärnu linnaga.']",,,,,no,no,no,no,no,no,no,,a_n50,,
15010528,23549113,2,kasvama,,all,asi,asjale,"Mõnele asjale , mis tema puhul häirib , vaatan , ah , kasva veel .",syntax,,"['Mõni asi tema puhul häirib mind.', 'Ma vaatan mõnele häirivale asjale ja mõtlen, et kasva veel.']",,,,,no,no,no,no,no,no,no,,a_n50,,
3000456,4812747,9,keelama,,ad,esindaja,esindajail,Trüb Switzerland AG tootejuht Stephan Hofstetter keelas ARK esindajail lepingu konfidentsiaalsusele viidates uue loa hinda avalikult välja öelda .,,,"['Trüb Switzerland AG tootejuht on Stephan Hofstetter.', 'Stephan Hofstetter keelas ARK esindajail uue loa hinda avalikult välja öelda.', 'Stephan Hofstetter viitas lepingu konfidentsiaalsusele.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
8858567,14232449,7,langema,,all,ajakirjandus,ajakirjandusele,"See oli mõjukas kõne , milles ajakirjandusele langes osaks küllalt karm kriitika , võiks isegi ütelda , et süüdistused täielikus väärkäitumises .",,,"['See oli mõjukas kõne.', 'Kõnes langes ajakirjandusele osaks küllalt karm kriitika.', 'Kõnes esitati süüdistusi ajakirjanduse täielikus väärkäitumises.']",,,,,no,no,no,yes,no,yes,no,L,a_n50,,
10439332,16741696,22,piiskama,,el,ulmekas,ulmekast,"Universumiavarus peidab endas kohutavat tõde , mis on koguni nii ebameeldiv , et selle kujutamiseks pole piisanud Ridley Scotti 1979. aasta ulmekast “ Alien ” .",verb = piisama?,,"['Universumiavarus peidab endas kohutavat tõde.', 'See tõde on koguni nii ebameeldiv, et selle kujutamiseks pole piisanud Ridley Scotti 1979. aasta ulmefilmist “Alien”.']",,,,,no,no,no,no,no,no,no,,a_n50,,
4325300,6958332,10,võitma,,el,Lillehammer,Lillehammerist,Kolm aastat hiljem tuli olümpiavõitjaks 10 000 meetris ja 1994 Lillehammerist võitis samal distantsil olümpiapronksi .,,,"['Kolm aastat hiljem tuli ta olümpiavõitjaks 10 000 meetris.', '1994. aastal Lillehammeris võitis ta samal distantsil olümpiapronksi.']",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,yes,no,no,no,no,no,E,a_n50,,
1093286,1737677,15,alustama,,all,Saaremaa,Saaremaale,"1962. ja 1966. aastal sündinud mehed alustasid reede hommikul väikese päramootoriga paadiga teed Vilsandilt Saaremaale , et otsida poest abi ühe paadisolija hambavalu vastu , ütles piirivalve pressiesindaja BNS-ile .",,,"['1962. aastal sündinud mees alustas reede hommikul teed Vilsandilt Saaremaale.', '1966. aastal sündinud mees alustas reede hommikul teed Vilsandilt Saaremaale.', 'Nad sõitsid väikese päramootoriga paadiga.', 'Nad otsisid poest abi ühe paadisolija hambavalu vastu.', 'Seda ütles piirivalve pressiesindaja BNS-ile.']",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,yes,no,yes,no,L,a_n50,,
3562443,5736582,3,lähenema,,all,iirlane,iirlastele,"Tööpuudus läheneb iirlastele seni utoopilisena tundunud kümne protsendini ja sisemaine kogutoodang inimese kohta oli eelmisel aastal suurem kui Suurbritannias , mis saarlastele muidugi suurt rõõmu valmistab .",,,"['Tööpuudus läheneb iirlastele seni utoopilisena tundunud kümne protsendini.', 'Sisemaine kogutoodang inimese kohta oli eelmisel aastal suurem kui Suurbritannias.', 'See valmistab saarlastele suurt rõõmu.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
105347,177625,3,esinema,,el,kolesterool,kolesteroolist,Veres olevast kolesteroolist esinebki põhiosa kahel kujul : madala tihedusega lipoproteiinina ( LDL ) ja kõrge tihedusega lipoproteiinina ( HDL ) .,,,"['Veres olevast kolesteroolist esineb põhiosa kahel kujul.', 'Üks neist on madala tihedusega lipoproteiin (LDL).', 'Teine neist on kõrge tihedusega lipoproteiin (HDL).']",,,,,no,no,no,no,no,no,no,,a_n50,,
8924817,14346161,9,püsima,,all,linnapea,linnapeale,Tänaseks võivad valimas käinud kergendatult ohata - tänu linnapeale ja siseministrile Tartu võimuliit püsib .,???,"Tänaseks võivad valimas käinud kergendatult ohata.
Tartu linnapea ja siseminister tegid midagi.
Tartu võimuliit püsib.","['Tänaseks võivad valimas käinud kergendatult ohata.', 'Tartu võimuliit püsib tänu linnapeale ja siseministrile.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
4870996,7819993,4,äratama,,in,tegelane,tegelastes,See äratas komsomolimeelsetes tegelastes pilkeid ja rahva hulgas suurt poolehoidu .,,,"['See äratas komsomolimeelsetes tegelastes pilke.', 'See äratas rahva hulgas suurt poolehoidu.']",,,,,yes,no,no,no,no,no,no,A,a_n50,,
6484627,10428322,29,jääma,välja,el,duuma,duumast,""" Jõudude ühinemine ei tule nähtavasti jälle välja ning me näeme presidendivalimistel jälle Jabloko kandidaati Javlinskit ja võib-olla kedagi veel Paremjõudude Liidust , kuid uutes tingimustes , mil duumast välja jäänud parteid peavad koguma kandidaadi toetuseks kaks miljonit allkirja , on parempoolsete osalus suure küsi-märgi all . """,,,"['Jõudude ühinemine ei tule nähtavasti jälle välja.', 'Me näeme presidendivalimistel jälle Jabloko kandidaati Javlinskit.', 'Me näeme võib-olla kedagi veel Paremjõudude Liidust.', 'Uutes tingimustes peavad duumast välja jäänud parteid koguma kandidaadi toetuseks kaks miljonit allkirja.', 'Parempoolsete osalus on suure küsimärgi all.']",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,,no,no,no,yes,no,yes,no,L,a_n50,,
19564159,29177912,6,kasvatama,,all,suguelund,suguelunditele,Lisa-maria: kasvata ennem oma suguelunditele karvad,,,"['Lisa-Maria ütles: ""Kasvata ennem oma suguelunditele karvad.""']",,,,,no,no,no,no,no,no,no,,a_n50,,
5822852,9343076,13,mõtlema,,el,kaasalöömine,kaasalöömisest,"Neljapaat tähendab paljudele perspektiivi , tagab konkurentsi - ka Jüri Jaanson mõtleb kaasalöömisest - ja annab tööisu .",???,"Neljapaat tähendab paljudele perspektiivi.
Neljapaat tagab konkurentsi.
Jüri Jaanson mõtleb kaasalöömisest.
Neljapaat annab tööisu.","['Neljapaat tähendab paljudele perspektiivi.', 'Neljapaat tagab konkurentsi.', 'Jüri Jaanson mõtleb neljapaadis kaasalöömisest.', 'Neljapaat annab tööisu.']",,,,,no,no,no,no,no,no,no,,a_n50,,
1651470,2628094,3,langema,,all,Finnair,Finnairile,"Valik langes Finnairile , sest Helsingi lennujaamas Pariisi lennuki ootamise aeg oli kõige lühem .",,,"['Valik langes Finnairile.', 'Helsingi lennujaamas oli Pariisi lennuki ootamise aeg kõige lühem.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER,no,no,no,no,no,no,no,A,a_n50,,
7973329,12786868,15,lahutama,,el,maavägi,maaväest,"Aga pöörates pealtnäha meeleheitlikule taganemisele , meelitasid mongolid rüütliväe oma kannule ja lahutasid nad maaväest .",,,"['Mongolid pöörasid pealtnäha meeleheitlikule taganemisele.', 'Mongolid meelitasid rüütliväe oma kannule.', 'Mongolid lahutasid rüütliväe maaväest.']",,,,,no,no,no,yes,no,yes,no,L,a_n50,,
12753203,20400469,5,mõtlema,,el,alagrupp,alagrupist,Neissaar ei mõtle esialgu alagrupist edasipääsule .,,,['Neissaar ei mõtle esialgu alagrupist edasipääsule.'],,,,,no,no,no,yes,no,yes,no,L,a_n50,,
14330004,22749634,5,tulema,,all,Kiidjärv,Kiidjärvele,Mõni aeg tagasi tuli Kiidjärvele saksakeelne tänukaart .,,,['Mõni aeg tagasi tuli Kiidjärvele saksakeelne tänukaart.'],|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC,no,no,no,yes,no,yes,no,L,a_n50,,
13972197,22242712,6,seisma,ees,ad,Mari-Liisi,Mari-Liisil,"Georg Otsa nimelises muusikakoolis seisab Mari-Liisil ees viimane õppeaasta , kevadel peaks ta käes hoidma koorijuhi diplomit .",,,"['Georg Otsa nimelises muusikakoolis seisab Mari-Liisil ees viimane õppeaasta.', 'Kevadel peaks Mari-Liis käes hoidma koorijuhi diplomit.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER,yes,no,no,no,no,no,no,A,a_n50,,
4902796,7871871,4,vajama,,el,muhameedlane,muhameedlastest,Ma ei vaja muhameedlastest fundamentaliste rohkem kui näiteks Jehoova-tunnistajaid .,???,,"['Ma ei vaja muhameedlastest fundamentaliste.', 'Ma ei vaja Jehoova-tunnistajaid.']",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50,,
