head_id|head_form|head_lemma|verb_form|verb|verb_compound|morph_case|sentence_id|sentence|phrase|ekilex_tag
62460|Palmses|Palmse|toimub|toimuma||in|36126|Mis seal Palmses toimub , mind ei huvita .|Mis seal Palmses toimub|location
24479|lapsepõlves|lapsepõlv|toimub|toimuma||in|14149|Minu arusaamade järgi toimub põhiline kasvatustöö varases lapsepõlves .|arusaamade järgi toimub kasvatustöö lapsepõlves|time
77677|augustis|august|toimusid|toimuma||in|44967|Sama aasta augustis toimusid Prahas pöördelised sündmused .|augustis toimusid Prahas sündmused|time
80147|veebruaris|veebruar|toimub|toimuma||in|46493|Pulmakutsedki on juba välja saadetud : pidu toimub veebruaris Collinsi kodulinnas Londonis .|pidu toimub veebruaris kodulinnas|time
85504|Märtsis|märts|toimub|toimuma||in|49474|Märtsis toimub Eestis teiste osatäitjate leidmiseks casting . ”|Märtsis toimub Eestis leidmiseks casting|time
85527|septembris|september|toimus|toimuma||in|49488|Kohtumine toimus septembris ÜRO Millenium Summiti ajal , kui Christopher mind lastega New Yorki komandeeringusse sõites kaasa võttis .|Kohtumine toimus septembris ajal võttis|time
96064|Septembris|september|toimus|toimuma||in|55462|Septembris toimus Hiina Kommunistliku Partei ( HKP ) 15. kongress , mis kiitis heaks senise majanduspoliitika , tõstis Deng Xiao-pingi “ teooria ” partei juhtideoloogiaks ja kinnistas praeguse liidergrupi , “ kolmanda põlvkonna kollektiivse juhtkonna ” võimupositsioone eesotsas parteijuhi ja riigi presidendi Jiang Ze-miniga .|Septembris toimus kongress|time
96497|reaalajas|reaalaeg|toimus|toimuma||in|55745|CNN-i näidatud Lahesõda toimus reaalajas , see oligi sõda ise , interaktiivne teleaktsioon TV monitoride ees ja vahendusel .|Lahesõda toimus reaalajas|time
107434|maailmavaadetes|maailmavaade|toimus|toimuma||in|62509|Kas Bosnias Euroopa Liidu nimel missiooni täites toimus Teie maailmavaadetes teatud muutusi ?|Kas täites toimus maailmavaadetes muutusi|not_location
115908|kaasajas|kaasaeg|toimub|toimuma||in|67402|Peaaegu kõigi 20 võistlusfilmi tegevus toimub kaasajas .|tegevus toimub kaasajas|time
123523|lähitulevikus|lähitulevik|toimub|toimuma||in|72038|See tendents asendub hiljem taas tasemete ühtlustumisega , kuid mina ei usu , et see toimub lähitulevikus .|see toimub lähitulevikus|time
56488|Pärnus|Pärnu|treeninud|treenima||in|32865|Mitmendat suve Pärnus rahvusvaheliste spetside käe all mõõga- , noa- , kaika- ja rusikavõitlust treeninud mehed sooritasid äsja kõrgema astme eksami .|suve Pärnus käe all mõõga- treeninud|location
704015|Kehtnas|Kehtna|treenib|treenima||in|449690|Andres Oper treenib Kehtnas koos Eesti jalgpallikoondisega , kes valmistub EM-valikmänguks võõrsil Fääri saarte vastu , kuigi Aalborgi ründaja peab seda kohtumist laupäeva õhtul kodus telerist vaatama .|Andres treenib Kehtnas koos jalgpallikoondisega|location
725908|Tallinnas|Tallinn|treenivad|treenima||in|462924|""" Metstak ja Rumma treenivad senini Tallinnas , tahame neid juba Turus proovida , "" ütles Kiiker ."|Metstak treenivad senini Tallinnas|location
878678|Itaalias|Itaalia|treenis|treenima||in|556005|Mühlegg , kes treenis tihti Itaalias , sai lähemalt tuttavaks sealsamas harjutanud Hispaania koondisega .|kes treenis tihti Itaalias|location
941232|olümpialinnas|olümpialinn|treeninud|treenima||in|593755|Eile saabus Tallinna kaks nädalat tulevases olümpialinnas Sydneys treeninud kümnevõistleja Erki Nool , kes tutvus võistluspaigas valitsevate oludega .|olümpialinnas Sydneys treeninud|location
941232|Sydneys|Sydney|treeninud|treenima||in|593755|Eile saabus Tallinna kaks nädalat tulevases olümpialinnas Sydneys treeninud kümnevõistleja Erki Nool , kes tutvus võistluspaigas valitsevate oludega .|olümpialinnas Sydneys treeninud|location
1112372|Eestis|Eesti|treenib|treenima||in|699138|Helde treenib Eestis nii kaua , kuni veeolud võimaldavad ehk järvede ja jõgede jäätumiseni .|Helde treenib Eestis kaua võimaldavad|location
1431665|olümpialinnas|olümpialinn|treenib|treenima||in|898547|Suusaliidu ametliku teate põhjal treenib Katrin šmigun individuaalprogrammi alusel neli kuud tulevases olümpialinnas Salt Lake Citys koos USA koondisega .|teate põhjal treenib Katrin alusel kuud olümpialinnas koos koondisega|location
1492639|Eestis|Eesti|treenib|treenima||in|937344|Eestis treenib Suranga harva .|Eestis treenib Suranga harva|location
1493212|Eestis|Eesti|treenib|treenima||in|937705|Eestis treenib Suranga harva .|Eestis treenib Suranga harva|location
1066278|jaanuaris|jaanuar|treenis|treenima||in|670540|""" Mae treenis jaanuaris planeeritult väga intensiivselt , tal on tugevad treeningud veel kontides ."|Mae treenis jaanuaris planeeritult intensiivselt|time
1171070|vanuses|vanus|treenib|treenima||in|735061|""" Esialgu treenib minu juures kuus last nelja kuni üheksa aasta vanuses ."|Esialgu treenib minu juures last vanuses|time
2010605|Permis|perm|treenisid|treenima||in|1265092|Kui enne mänge Permis treenisid klubide koondislased koos vaid korra , siis tänase Tallinna-tuuri eel on liikumisi lihvitud viis korda .|enne mänge Permis treenisid koondislased koos korra|time
4148945|detsembris|detsember|treeninud|treenima||in|2585165|Ta on detsembris väga palju mägedes treeninud ja võistelnud .|Ta on detsembris palju mägedes treeninud|time
6252823|Juunis|juuni|treenis|treenima||in|3882361|Juunis ja juulis treenis ta abikaasa näpunäidete järgi Otepääl .|Juunis treenis ta näpunäidete järgi Otepääl|time
6897502|Detsembris|detsember|treenis|treenima||in|4287055|Detsembris treenis ta kolm nädalat Itaalias , sai justkui väga heasse seisu , aga Nove Mesto MK-etapi kohta teate - 54.|Detsembris treenis ta nädalat Itaalias|time
7880949|novembris|november|treenisin|treenima||in|4908249|Ma ei ole treeningtunde kokku arvestanud , kuid kilomeetrites võin öelda , et eelmise aasta novembris treenisin tänavusega võrreldes 200 kilomeetrit rohkem .|novembris treenisin võrreldes rohkem|time
7972696|juuniski|juuni|treeniks|treenima||in|4965540|Kuna ülikooli treener soovib , et hoolealused jääksid suve-kooli ja treeniks veel juuniski koos , jõuab Ärmpalu kodumaale tagasi alles juuli algul .|treeniks veel juuniski koos|time
8148942|Juulikuus|juulikuu|treenib|treenima||in|5077280|Juulikuus treenib Alekna koos Aleksander Tammertiga Palangas .|Juulikuus treenib Alekna koos Aleksander Palangas|time
10203751|juulis|juuli|treenis|treenima||in|6350323|Helsingi MM-i vahele jätnud Loskutov polnud vahepeal pikalt võistlemas , sest juulis treenis ta kaks nädalat eksootilises Kolumbias .|juulis treenis ta nädalat Kolumbias|time
12556|teatrikoolis|teatrikool|Õpetas|õpetama||in|7313|Õpetas teatrikoolis teisigi selle järgi etüüdideks keha ja nägu väänama .|Õpetas teatrikoolis teisigi selle järgi etüüdideks väänama|location
15765|kodus|kodu|õpetas|õpetama||in|9190|Sõbranna õpetas talle kodus selgeks sõnad “ tere ” ja “ aitäh ” .|Sõbranna õpetas talle kodus selgeks sõnad|location
94653|Tartus|Tartu|õpetab|õpetama||in|54602|Valt õpetab liivi keelt Tartus ülikooli juures .|Valt õpetab keelt Tartus ülikooli juures|location
138021|kõrgkoolides|kõrgkool|õpetas|õpetama||in|81066|1922. aastal jõudis ta Hiina ja USA kaudu tagasi Poolasse , kus hiljem õpetas kõrgkoolides keemiat .|hiljem õpetas kõrgkoolides keemiat|location
178308|Narvas|Narva|õpetavad|õpetama||in|105793|Keeleinspektsiooni andmetel õpetavad Narvas emakeelt ka kõrgharidusega insener-tehnoloogid ja mõni arstki , keskeriharidusega õpetajate seast võib leida zootehniku ja klarnetimängija .|andmetel õpetavad Narvas emakeelt insener-tehnoloogid|location
237399|Kõrgkoolis|kõrgkool|õpetab|õpetama||in|142404|Arnold Keyserlingi , kes levitab üle maailma Uue Ajastu ideid ning Viini Tarbekunsti Kõrgkoolis mõttestiilide ajalugu õpetab , võib lugeda  new age  'i mõtteviisi isaks .|Kõrgkoolis ajalugu õpetab|location
281576|Tehnikagümnaasiumis|tehnikagümnaasium|õpetavad|õpetama||in|169088|Tallinna Tehnikagümnaasiumis õpetavad alates 1995. aastast tehnikaülikooli õppejõud ning sarnaselt Reaalkooliga on siin vastuvõtt gümnaasiumisse eranditult konkursi alusel - 3-4 põhikooli lõpetanut kohale .|Tehnikagümnaasiumis õpetavad alates aastast õppejõud|location
290565|ülikoolis|ülikool|õpetas|õpetama||in|174698|Päeval õpetas ta ülikoolis inglise keelt .|Päeval õpetas ülikoolis keelt|location
393206|ülikoolis|ülikool|õpetab|õpetama||in|245918|Ühtlasi õpetab ta ühes teises ülikoolis .|Ühtlasi õpetab ta ülikoolis|location
426926|ülikoolis|ülikool|õpetasime|õpetama||in|270399|Me mõlemad õpetasime samas ülikoolis , meie vahel oli mingi vennalik sõprussuhe , me olime praktiseerinud koos ja kindlasti mänginuks koos ka veel tulevikus , nii et diplomaatlik käitumine oli igati põhjendatud .|Me õpetasime ülikoolis|location
55861|õmbluskoolis|õmbluskool|õpetab|õpetama||in|32543|Ema on mul olnud alati õmblustöö inimene ja õpetab seda praegu ühes õmbluskoolis teistelegi .|õpetab seda praegu õmbluskoolis teistelegi|event
2091732|lapsepõlves|lapsepõli|õpetas|õpetama||in|1316249|Maria Tia on kirjutanud ka leivavalmistamise luuletuse , kus on juttu sellest , kuidas ema talle seda kaunist kunsti lapsepõlves õpetas .|ema talle kunsti lapsepõlves õpetas|time
2208324|laululaagris|laululaager|Õpetas|õpetama||in|1388477|Õpetas suvel Annikoru laste laululaagris|Õpetas suvel laululaagris|event
3461714|olukordades|olukord|õpetanud|õpetama||in|2167205|30 aastat kõikvõimalikes olukordades ja maailma paikades inglise keelt võõrkeelena õpetanud Mark Fletcher demonstreeris nädala lõpus Tallinnas , kuidas on võimalik keelt selgeks saada nn ajusõbraliku metoodikaga ( Brain-friendly Language Learning ) .|aastat olukordades keelt võõrkeelena õpetanud|state
4417466|rahvakunstiansamblis|rahvakunstiansambel|õpetas|õpetama||in|2754470|Ta õpetas läbi aasta-kümnete tantse Tartu ülikooli rahvakunstiansamblis .|Ta õpetas tantse rahvakunstiansamblis|not_location
4570858|lapsepõlves|lapsepõli|õpetas|õpetama||in|2850154|Juba lapsepõlves õpetas bioloogist isa loomi austama ja armastama ning eks see seletabki Reeda suurt huvi loomade vastu .|lapsepõlves õpetas bioloogist loomi austama|time
4879687|vanuses|vanus|õpetab|õpetama||in|3041789|Samas väidan , et võistlemine distsiplineerib ja õpetab igas vanuses last keskenduma .|õpetab vanuses keskenduma|time
7246505|suveülikoolis|suveülikool|õpetavad|õpetama||in|4507570|Samas suveülikoolis õpetavad ka itaalia kirjanduse uurijad Verona ülikooli professor Michelangelo Zaccarello , Chieti ülikooli professor Gaetano Bonetta ja Londoni Ülikooli Kolledži professor Anna Laura Lepschy .|suveülikoolis õpetavad uurijad|event
8324538|igapäevaelus|igapäevaelu|õpetab|õpetama||in|5188818|Valgjärve vallavolikogu esimees on 30. aastates naine Ell Sellis , kes igapäevaelus õpetab kohaliku põhikooli lastele keemiat ja bioloogiat .|kes igapäevaelus õpetab lastele keemiat|state
8754800|šokis|šokk|õpetavad|õpetama||in|5460284|""" Kui vaatad ameerika seriaalist 911 , kuidas nad seal šokis inimesi õpetavad , ja kuidas käib asi meil , on vahe suur , "" arutleb Johanna vanaema ."|nad seal šokis inimesi õpetavad|state
54396|Aafrikas|Aafrika|kasvanud|kasvama|üles|in|31692|Aga Aafrikas üles kasvanud poisina ei teadnud ta midagi Eestist , kus ta nüüd maailma väikseimat iseseisvat ortodoksset kirikut juhatab .|Aafrikas üles kasvanud|location
105869|põgenikelaagrites|põgenikelaager|kasvavad|kasvama|üles|in|61570|Kuni aga tõsimeeli taotleb kompromisslahendust ainult Maroko , võib konflikt jätkuda veel aastakümneid , mille jooksul kasvavad põgenikelaagrites üles üha uued põlvkonnad .|mille jooksul kasvavad põgenikelaagrites üles põlvkonnad|location
115977|USA-s|USA|kasvas|kasvama|üles|in|67436|Meiegi ei saa olla ükskõiksed , eriti mitte Välis-Eestis , sest “ ammendatud ” sugupõlve õitseaeg langes 1960. ja 1970. aastaisse , seega perioodi , mil USA-s , Kanadas ja Rootsis kasvas üles suur osa 1944.a. Eestist pagenud põlvkonna lastest .|USA-s kasvas üles osa|location
137921|Tallinnas|Tallinn|kasvas|kasvama|üles|in|81015|I 1886 ) ja kasvas üles Tallinnas kasuisa Oscar von Hoyningen-Huene perekonnas .|kasvas üles Tallinnas perekonnas|location
181685|Avinurmes|Avinurme|kasvanud|kasvama|üles|in|107978|Olen Avinurmes üles kasvanud ja tean , et sealsed riistameistrid pidid kogu aeg muutuva turuga kohanema .|Olen Avinurmes üles kasvanud|location
204965|Washingtonis|Washington|kasvas|kasvama|üles|in|122344|Al juunior kasvas üles Washingtonis , õppides prestiizhikas St.|juunior kasvas üles Washingtonis õppides|location
279210|Taanis|Taani|kasvaks|kasvama|üles|in|167554|Kui Buchi lapsed elaks ja kasvaks üles Taanis , siis oleks nende identiteediga siiski teistsugused lood .|kasvaks üles Taanis|location
425837|talumajas|talumaja|Kasvasin|kasvama|üles|in|269897|“ Kasvasin üles vanas talumajas ja ma ei mäleta midagi jubedat , ainult tavaline pimedusekartus ja pööninguuks minu toa kõrval .|Kasvasin üles talumajas|location
479629|kesklinnas|kesklinn|kasvas|kasvama|üles|in|305799|Peipsi kandist pärit Venjamin Tsõganovi poeg kasvas üles Tallinna kesklinnas ja käis eesti lasteaias .|poeg kasvas üles kesklinnas|location
778589|Montenegros|Montenegro|kasvas|kasvama|üles|in|495151|Serblane Savovic kasvas üles Montenegros , Albaaniast põhja ja Kosovost lääne pool asuvas Aadria mere äärses provintsis .|Serblane kasvas üles Montenegros põhja provintsis|location
6368|teadmises|teadmine|kasvas|kasvama|üles|in|3760|Ema laulja , isa Endel Padrik , näitleja ja kauaaegne raadiodiktor - nii kasvas väike Jaana üles teadmises , et kuidagipidi peab tema elu ikka loominguga seotud olema .|laulja nii kasvas Jaana üles teadmises|state
1152175|pärisorjuses|pärisorjus|kasvanud|kasvama|üles|in|723065|Neli põlvkonda oli selleks ajaks üles kasvanud juhmide valitsejate pärisorjuses maailmast vaimselt ja füüsiliselt isoleerituna .|põlvkonda oli ajaks üles kasvanud pärisorjuses maailmast vaimselt isoleerituna|state
1660687|pioneerilaagrites|pioneerilaager|kasvanud|kasvama|üles|in|1044272|Rannasaare sõnul toob osa vanemaid lapsed laagrisse ka nostalgiast , sest on ise suvistes pioneerilaagrites üles kasvanud .|on ise pioneerilaagrites üles kasvanud|event
3373054|teadmises|teadmine|kasvanud|kasvama|üles|in|2113021|Weihenmayer pole sünnist saati pime , küll aga on ta sündi-nud haruldase geneetilise haigusega ning kasvanud üles teadmises , et kaotab nägemise umbes 13. eluaastaks .|kasvanud üles teadmises kaotab|state
3470079|vaeses|vaene|kasvas|kasvama|üles|in|2171988|Lafontaine kasvas üles vaeses , sõjas isata jäänud peres Saarimaal .|Lafontaine kasvas üles vaeses|not_location
5418949|teadmises|teadmine|kasvas|kasvama|üles|in|3368128|"Erenurm lisab sellele kõrvalpilgu läbi lapse silmade , kes kasvas üles teadmises , et Eestis sündinud ema töö kuskil müütilises "" Klubis "" on tabuteema , millest ei räägita ."|kes kasvas üles teadmises|state
5978511|botastes|botas|kasvas|kasvama|üles|in|3712153|Eestis kasvas suur osa sellest põlvkonnast üles Tartu botastes ja Dovženko-nimelise filmistuudio märulitele kaasa elades .|Eestis kasvas osa põlvkonnast üles botastes elades|not_location
6561692|lapsepõlves|lapsepõli|kasvanud|kasvama|üles|in|4076513|Terve põlvkond on lapsepõlves üles kasvanud kosmosemütoloogia vaimus .|põlvkond on lapsepõlves üles kasvanud vaimus|time
7045746|vaeses|vaene|kasvas|kasvama|üles|in|4380340|Igal juhul kasvas ta üles vaeses Dorchesteri linnaosas .|juhul kasvas ta üles vaeses linnaosas|not_location
11519682|vaeses|vaene|Kasvas|kasvama|üles|in|7161384|Kasvas üles NY vaeses , kuid intellektuaalses äärelinnas .|Kasvas üles NY vaeses|not_location
8036|Austriast|Austria|saabus|saabuma||el|4660|Et just saabus ta Austriast , kus nende rühm esindas Eestit meie Erna-retke sarnasel rahvusvahelisel võistlusel .|just saabus ta Austriast|location
30472|Viinist|Viin|saabunud|saabuma||el|17725|Marko Matvere ( 33 ) ei pääsenud Viinist saabunud Peebole ( 30 ) lillekimbuga lennujaama vastu töö tõttu .|Viinist saabunud|location
101039|Kasahstanist|Kasahstan|saabunud|saabuma||el|58559|“ Tagasi pole vaja , ” ütles Kasahstanist saabunud üliõpilasehitaja kassapidajale kärtsus rublalist letile pannes .|Kasahstanist saabunud|location
106407|Moskvast|Moskva|saabuvad|saabuma||el|61906|“ Kord teatati , et Moskvast saabuvad neli kindralit asja uurima , ” meenutab Raukas .|Moskvast saabuvad kindralit uurima|location
112130|Moskvast|Moskva|saabus|saabuma||el|65311|Shebarshin lahkus Tallinnast 24. jaanuaril 1990 ja nädal hiljem saabus Moskvast KGB peamajast korraldus evakueerida Eestist nn. operatiivtoimikute arhiiv .|hiljem saabus Moskvast korraldus|location
112246|peamajast|peamaja|saabunud|saabuma||el|65372|Nimelt saabunud pärast agenditoimikute Venemaale viimist KGB peamajast paar-kolm arvutispetsialisti .|Nimelt saabunud pärast viimist peamajast arvutispetsialisti|location
112330|Moskvast|Moskva|saabunud|saabuma||el|65413|“ Kui esimest korda istusime maha , ei suutnud Moskvast saabunud kindral Shironin oma muiet varjata , kuna ta sai kohe aru , et KGB-st ei tea keegi meist mitte midagi , ” meenutab ENSV KGB likvideerimiskomisjoni liige Jüri Kaljuvee .|Moskvast saabunud|location
116513|Volgogradist|Volgograd|saabunud|saabuma||el|67750|Ülejäänud 14% olid omal ajal Volgogradist saabunud keraamikakombinaadi töötajad .|ajal Volgogradist saabunud|location
142000|Hankost|Hanko|Saabusin|saabuma||el|83462|Saabusin Tallinna Hankost , kus käisin laevatehase ülesandel uurimas Estonia visiiri .|Saabusin Hankost|location
160646|idast|ida|saabus|saabuma||el|95056|Sinna saabus idast kottide-kompsudega tuhandeid võõrtöölisi .|Sinna saabus idast kottide-kompsudega võõrtöölisi|location
2495|itaallasest|itaallane|saabubki|saabuma||el|1371|“ Kui kümnest itaallasest kaheksa saabubki siia tüdrukute pärast , siis kaks tuleb kindlasti selleks , et tõsiselt tööd teha , ” teatab ta .|itaallasest kaheksa saabubki tüdrukute pärast|not_location
220518|Paidest|pai|saabus|saabuma||el|131691|Esimestena olidki kohal päästeameti töötajad , 10-15 minuti jooksul saabus Paidest kiirabi , hoopis hiljem jõudis kohale reanimobiil Tallinnast .|minuti jooksul saabus Paidest kiirabi|not_location
270684|Paidest|pai|saabus|saabuma||el|162596|Viis minutit hiljem pressisid end “ Eesti Kontserdi ” uksest sisse õhevil ja heatujulised kohvritega mehed : meeskoor saabus külalisreisilt Paidest ning valmistus järgmisel päeval Rakverre suunduma .|meeskoor saabus külalisreisilt Paidest|not_location
722638|inglasest|inglane|saabus|saabuma||el|460996|Viimasena saabus eile pärastlõunal inglasest odaviskaja Steve Backley , pressikonverentsile ta ei jõudnud .|Viimasena saabus eile pärastlõunal inglasest odaviskaja|not_location
985419|kaasajast|kaasaeg|saabub|saabuma||el|621194|Enne kui tüki lõpus saabub Mari oodatud noormees kaasajast , jõuab sama noormees ilmuda kuuest erinevast ajaloo etapist - ürgajast , muinasajast , keskajast , ärkamisaegsest tsaariajast , vabadussõja ajast , nõukogude ajast .|Enne lõpus saabub noormees kaasajast|time
1157796|sõjapõgenikust|sõjapõgenik|saabunud|saabuma||el|726897|Albaania ja Makedoonia , kuhu on saabunud ligi pooled 800 000 Kosovo sõjapõgenikust , ei suuda pagulastehorde toita ega katta .|on saabunud pooled sõjapõgenikust|not_location
1293131|albaanlasest|albaanlane|saabus|saabuma||el|810478|Makedoonia piiripunkti Blaces saabus eile 3000 Kosovo albaanlasest põgenikku , teatas ÜRO põgenikekomisjon .|piiripunkti saabus eile albaanlasest põgenikku|not_location
1420751|kirjutajaist|kirjutaja|saabub|saabuma||el|891717|Sest just siis saabub enamikel kirjutajaist loominguline kriis , äkki ei suudeta enam kirjutada , vähemasti sedavõrd kvaliteetselt , kui ihatakse .|siis saabub kirjutajaist kriis|not_location
1591229|osalejatest|osaleja|saabusid|saabuma||el|999149|Teisipäeval Riias alanud Balti panganduskonverentsile Baltics 2000 saabusid vaid pooled algul registreerunud osalejatest .|panganduskonverentsile saabusid pooled osalejatest|not_location
1666951|lõbunaistest|lõbunaine|saabus|saabuma||el|1048088|LAVi lõbunaistest saabus esimesena kohale Cindy Vanstone , kellel on ette näidata õpilasviisa .|lõbunaistest saabus esimesena kohale Cindy|not_location
12350|Kodukontoris|kodukontor|avab|avama||in|7164|Kodukontoris avab miljonär kirsipuust kapis salalaeka .|Kodukontoris avab miljonär kirsipuust kapis salalaeka|location
20340|kesklinnas|kesklinn|avas|avama||in|11862|Inglismaal resideeruv eestlannast supermodell Kaja Wunder avas Londoni kesklinnas Denmark Streetil putiigi Modo , kus müüb ainult eliitkaubamärkide tooteid .|supermodell avas kesklinnas putiigi müüb|location
111267|Poolas|Poola|avanud|avama||in|64771|Daewoo on Poolas tütarettevõtte avanud ning poolakad saavad ematehases väljaõpet .|Daewoo on Poolas tütarettevõtte avanud|location
