,lemma,form,verbifraas,lause_id
66,ehituskomitee,ehituskomitees,me käisime Peterburis ehituskomitees,126110
71,ajama,Ajas,Ajas astus pihtimusega üles retsidivist,135656
74,Inglismaa,Inglismaal,armastatakse siis Inglismaal käib suhtlemine kutsete abil,140421
76,kirjandus,kirjanduses,kirjanduses liiguvad väited,143536
77,missioon,missioonil,nad käivad aeg missioonil,146036
81,seitsmekümnes,seitsmekümnendatel,originaalitsemine käis juba seitsmekümnendatel,153263
85,komsomol,komsomoli,mees astus komsomoli,161125
87,Võrumaa,Võrumaal,kes käis Taaliga koos koolis Võrumaal,166403
90,puhkepäev,puhkepäeval,meremehel jookseb palk puhkepäeval,171855
92,rühm,rühmas,rühmas käib lapsi üle Tallinna,176315
93,semester,semestril,kes Amicusse astus semestril,178666
94,vajadus,vajadusele,käis koos vastavalt vajadusele,180365
95,tapp,Tapalt,üldse käib inimest Tapalt väljaspool tööl,183404
97,väljamaa,väljamaal,Leo käiski väljamaal hööveldamas,187694
102,kesklinlane,kesklinlastest,Pendeldajaid liigub kesklinlastest rohkem tööpäevadel,204251
103,võrgustik,võrgustikesse,kes on liikunud kiiremini võrgustikesse,214317
104,juhutöö,juhutöödel,eestlased ookeani taga juhutöödel käivad,217037
105,ühiskond,ühiskonnas,raha ühiskonnas liigub,233281
106,kehtivus,kehtivusest,Nii käib siin jutt käitumisnormi kehtivusest läbi prisma,239086
108,üleminekuriik,üleminekuriikides,sissesöömine käib üleminekuriikides,243363
110,kasutusala,kasutusaladel,Samuti kasutusaladel käib haldusmenetluses testimine,249280
112,tagajärg,tagajärjel,kes on ametist lahkunud tagajärjel,251641
114,kvantmaailm,kvantmaailmas,aga kvantmaailmas liiguvad osakesed,259464
118,Madalmaad,Madalmaile,Sittow on lahkunud poisina Tallinnast Madalmaile,266002
119,paiste,paistel,lauajuppidel istub paistel meest,267804
121,doktoriõpe,doktoriõppesse,aastal astus R. Kangro doktoriõppesse suundus,286715
122,lävi,lävele,Astunud topoloogiaks lävele,287782
124,jõud,jõule,käsi istus enne jõule vahi all,309008
125,suvelõpupäev,suvelõpupäeval,suvelõpupäeval istuvad meest tänaval autosse,309055
127,koolitustellimus,koolitustellimustest,jutt käib koolitustellimustest erialadele,309667
128,multimeediastuudio,multimeediastuudios,multimeediastuudios istus,315868
129,varundusseade,varundusseadmesse,andmed liiguvad kettasüsteemist läbi serveri varundusseadmesse,320413
130,MM-eriala,MM-erialale,Pärast klassi astusin MM-erialale,323448
132,Taaveti,Taavetist,jutt käib Taavetist,346052
134,teispoolsus,teispoolsusesse,teispoolsusesse lahkunud,348213
135,MM,MM-il,Viimati astus suursoosikuna võistlustulle sõudja MM-il teda,351962
136,rüseleja,rüselejal,rüselejal käisid sussid,352434
137,rivistus,rivistuses,liider astub juunil Tallinnas Eesti vastu rivistuses,353511
138,õpireis,õpireisidel,Käis õpireisidel Soomes,360647
139,tsenter,tsentrist,tipus liigub õhk tsentrist eemale,365478
140,tasandik,Tasandikul,liiguvad tornaadod Tasandikul,365502
141,Niva,Nivas,haiglasse Nivas kõrvalistmel istunud,375339
142,kõrvaliste,kõrvalistmel,haiglasse Nivas kõrvalistmel istunud,375339
146,töökoht,töökohalt,töötut oli eelmiselt töökohalt lahkunud soovil,391736
149,vaateplatvorm,vaateplatvormile,mööda treppe kõrgele vaateplatvormile astunud,396248
153,võim,Võimult,Võimult lahkunud,400413
154,paber,paberil,paberil dokumente liigub vähem,403716
156,võitlustuli,võitlustulle,enne seda astuvad võitlustulle veel truppi,404431
157,korpus,korpuses,Päästearmee korpuses käis,408750
158,NBA-ahvatlus,NBA-ahvatlusele,Vaatamata NBA-ahvatlusele käis ta ülikoolitee lõpuni,412173
163,protsess,protsessil,protsessil käis kuulamas juhataja,425589
167,Vormsi,Vormsil,kolleeg pole käinud Vormsil saarel,432100
168,loom,loomale,astub perenaine mesimagusalt loomale ligi,432220
182,kaksik,kaksikutel,kaksikutel poegadel jookseb elusuvi,459262
191,rahakott,rahakotile,Nädalavahetustel käin vastavalt rahakotile keskturul,482600
192,sadul,sadulasse,lähe istun laupäeval sadulasse,484004
193,hommikupimedus,hommikupimeduses,Istus hommikupimeduses Otepääl autosse,484462
195,põlengupaik,põlengupaigal,Öösel põlengupaigal käinud,488913
201,muusikal,muusikalis,Esmakordselt astus püünele inimene muusikalis aastal,496016
206,pilv,pilvel,pilvel istuvat,500776
210,operatsioon,operatsioonil,käis operatsioonil ära,505919
211,iimi,iimist,iimist power lahkub auto kohe lülitab,507962
212,meriväli,Meriväljal,Aleksandr istusid teisipäeval kodumajas Meriväljal tee tuli,509145
213,korsten,korstnale,haigur istus puhkama korstnale Inglismaal Northamptonis,510214
219,teelõik,teelõigul,mis liikus teelõigul eksikombel vastassuunas,519181
220,draamateater,draamateatris,Lisaks jooksevad filmid tänavu draamateatris,520449
221,maarjamaa,Maarjamaalt,kes nädala pärast lahkub Maarjamaalt,530925
222,kuku-klubi,Kuku-klubis,lapsepõlves käis ta Kuku-klubis söömas,531264
227,lähedus,läheduses,nad hommikuti ikka läheduses liiguksid,543730
234,latt,latile,jooksis latile liialt sisse,566993
238,äärelinn,äärelinnades,äärelinnades käivat lahingud,580034
245,Elvi,Elvis,südamesse astus Elvis aastal nägi,594664
270,kriis,kriisile,kriisile otsimine jookseb täistuuridel,643647
278,rakk,rakku,lugemisajaks jooksevad emmed-issid leidmiseks mööda linna jalad rakku,660120
279,luu,luust,see käib luust läbi,660838
301,varjupaik,varjupaigas,Inge käivad varjupaigas abiks mees,701397
303,nüüdismaailm,nüüdismaailmas,nüüdismaailmas liigub tehnoloogia kiiresti käest kätte,702711
317,nisupõld,nisupõllul,nisupõllul käib kuud ehitustegevus tahetakse,718979
318,turbiinisaal,turbiinisaalis,tudengid astuvad täna publiku ette vanal Kalmuneiuga turbiinisaalis puiesteel,726358
321,trajektoor,trajektooril,Võrumaal trajektooril liikunud,731632
327,sügishooaeg,Sügishooajal,Sügishooajal käin ilmselt korda perega Rootsis pidamas,745052
337,kuub,kuuel,jookseb kuuel,757483
340,vabaõhulava,vabaõhulaval,Eile Londonis vabaõhulaval üles astunud,761801
350,Alatskivi,Alatskivil,lapsed käivad Alatskivil keskkoolis,780609
360,kehastus,kehastuses,lavale astub ta kehastuses,806246
366,toetus,toetusel,tõe-näoliselt astus Kvashnin järsult kaitseministri vastu välja toetusel,817722
369,käsi-käsi,käsi-käes,Arusaamine käib käsi-käes küpsusega,822846
378,kultuurikolledõi,kultuurikolledõisse,astusin kultuurikolledõisse õppima,849801
382,delta,deltas,deltas provintsis käisin linnas,862955
389,üliõpilane,üliõpilasest,aastal käis ta seal korda külas üliõpilasest vennal,878311
391,pluss,plussis,börsid liikusid reedel plussis,878726
392,rahaauto,rahaautos,rahaautos istunud,880360
393,kapitaalremont,kapitaalremondis,kilomeetrit buss on korra käinud kapitaalremondis,880605
408,RBH,RBHsse,alusel liikusid varad Nordikast RBHsse,923831
413,ootus,ootuses,ootuses käisin aeg massaažis,936370
414,rockmuusikal,rockmuusikalis,Kõrvuti astuvad rockmuusikalis lavale lauljad,938812
421,vormelimaailm,vormelimaailmas,Muidugi liigub vormelimaailmas raha,951848
426,aju-uuring,aju-uuringul,diktaator käis korda päeva jooksul aju-uuringul,960296
427,ettekirjutus,ettekirjutusest,pole ettekirjutusest hoolimata siit seni ka lahkunud,963373
432,judotatami,judotatamile,president astus eile korda kuu jooksul Jaapanis judotatamile heideti,973451
433,võimuliit,võimuliidust,Koonderakond lahkus reedel võimuliidust,975583
437,trollima,trollis,mina aga istusin trollis,978373
438,võrgumaailm,võrgumaailmas,võrgumaailmas käib elanike vahel suhtlemine,979004
447,siselist,siselistidel,väitlus käib juba siselistidel,996954
462,trollipeatus,trollipeatusse,kaaslane jooksis pärast õnnetust trollipeatusse,1027628
464,mõisamaja,mõisamajast,päev käib ta mõisamajast läbi,1030773
470,jõulud,jõuludele,mobiilitootjad astuvad jõuludele vastu noortetelefonidega,1039619
475,maakonnakeskus,maakonnakeskuses,maakonnakeskuses käib otsimas inimest,1050241
476,lauspommitamine,lauspommitamisest,Järelikult käib jutt lauspommitamisest,1050495
482,värbamine,värbamisel,värbamisel käib konkurents,1062766
483,rahvariie,rahvariideis,kõnnivad rahvariideis,1065921
484,olemasolu,olemasolul,mäng jookseb ilusti protsessori olemasolul,1072314
494,Paksa,Paksas,Pärast tagasiastumist lahkus Paksas parteist,1085744
498,põhjapoolus,põhjapoolusel,kes käisid mais ekspeditsioonil põhjapoolusel,1097588
503,Bem,Bemis,Bemis nüüd välja käib,1101776
506,isamaaliit,Isamaaliidust,astus välja Isamaaliidust,1107363
526,tööreis,tööreisidel,Olen käinud Eestis tööreisidel,1167150
527,kaldapealne,kaldapealsel,Kõnnime kaldapealsel,1167391
536,vaegnägija,vaegnägijatele,käis vaegnägijatele esinemas,1189545
544,valitseja,valitsejale,valitsejale astub vastu number,1202479
562,Peipsi,Peipsil,Peipsil kalal käinud,1233068
584,Kaukaasia,Kaukaasias,Kaukaasias käisid piigad ujumas,1295910
586,dokument,dokumendist,jutt käib dokumendist,1304280
616,hokitrenn,hokitrennis,poeg käib hokitrennis uisutamas,1377774
622,pääsküla,Pääskülast,Tuttavad jooksevad Pääskülast kohale,1384098
637,mahitus,mahitusel,Ma olen mahitusel käinud aastal,1408095
641,linnapea,Linnapeadest,Linnapeadest käisid peale platsil linnapea,1410912
646,sakstekamber,sakstekambris,sakstekambris istusid laua taga mehed,1414728
651,palliväli,palliväljadel,liikusid palliväljadel vallutuseni,1429264
655,ülekäiguraja,ülekäigurajale,pärastlõunal kell astus Raivo ülekäigurajale,1436107
656,noorim,noorimal,siis noorimal käisid päkapikud,1440216
658,toidumüügiturg,toidumüügiturule,Kalda astub toidumüügiturule viimase peal tehnika,1442744
662,jaemüüja,jaemüüjatele,kaup liiguks töötlejalt jaemüüjatele hindadega,1446616
663,Warriorss,Warriorsist,jõud käis võõrsil 118 üle Golden Warriorsist,1447763
676,istekoht,istekohal,Istun istekohal,1480067
679,80.,80ndatel,kes käisid seal 80ndatel,1489708
689,koduõu,koduõuele,koduõuele astunud,1504224
694,tervis,tervisest,Sestsaadik tehti liiguvad pidevalt kuuldused tervisest,1518682
697,Pihva,Pihvas,käisime korra ettevalmistustel Pihvas diviisis,1523057
705,viht,vihast,aastat tagasi põrkasid jooksis viimane vihast näoga boksi juurde,1534806
723,Pitcairn,Pitcairnilt,Lennuk lahkus Pitcairnilt,1570581
725,Delfi,Delfis,Delfis käib tihti andmine omade vahel põrkuvad,1571442
731,asukoht,asukohale,ilmselt tänu asukohale käis näitusel külastajaid,1579334
747,doonoripäev,doonoripäeval,doonoripäeval käis andmas inimest,1606940
756,mootorpaat,mootorpaadis,mootorpaadis istus tuukrit,1628179
763,liikumisrada,liikumisrajal,Viimati käisid Andrus liikumisrajal teisipäeval,1636558
768,kvaliteet,kvaliteedis,erakonnad astuvad valijate ette kvaliteedis,1653522
771,väikeettevõtja,väikeettevõtjale,mis väikeettevõtjale käib üle jõu,1666252
774,Sardiinia,Sardiiniast,Ta lahkus Sardiiniast korra saanud,1674173
775,mitmepäevasõit,mitmepäevasõidul,profid astusid mitmepäevasõidul leeri,1674968
779,ummiktee,ummikteel,aastat liikus Venemaa ummikteel,1688511
783,riigikirjand,riigikirjandites,sõnul jooksis mullu riigikirjandites tekst,1700544
788,arvutifirma,arvutifirmas,Firenzes käisime arvutifirmas,1707827
797,Aivar,Aivarilt,aastat olen Aivarilt käinud küsimas,1724370
799,arvutitelk,arvutitelgis,arvutitelgis käis eile huvilist,1734631
804,vastukülaskäik,vastukülaskäigul,Virumaal vastukülaskäigul käinud,1774603
806,sihtasutus,sihtasutuses,Sergejeva käis sihtasutuses novembris,1776620
810,rätt,rättides,aedades istusid rättides naised,1795363
812,mini,minis,Talvel minis hästi ei käi,1802331
817,ebaõnnestumine,ebaõnnestumisest,ebaõnnestumisest hoolimata lahkun Eestist muljetega,1807772
818,korvpallikool,Korvpallikoolis,Korvpallikoolis käinud,1809893
823,plaju,plajudele,hankimine käib plajudele mehhiklastele üle jõu,1813144
829,jõudmine,jõudmisest,ei lahku abilinnapea kohalt enne jõudmisest ette novembril,1824388
834,telefonirežiim,telefonirežiimis,menüüd ei liiguks telefonirežiimis aeglaselt,1835720
836,äss,ässadele,hooaegadel on ta ässadele valusalt kannale astunud,1838496
846,uusrajoon,uusrajoonis,kes käis uusrajoonis hääletamas,1858393
850,Amasoonia,Amasoonias,mis ju Amasoonias edukalt käib,1861798
860,Tallina,Tallinas,hiljuti Tallinas käinud,1870058
870,avariihetk,Avariihetkel,Avariihetkel juhi kõrval istunud,1889232
877,esinemispaik,esinemispaigas,ajal astuvad esinemispaigas õllesõprade ette lauljad,1901956
879,Sigulda,Siguldas,Nädalavahetusel Siguldas MKetapil käinud,1903190
884,imik,imikutest,väitel käib Jõulumäel rahvast alates kõhul imikutest kuni pensionärideni välja,1907980
893,kangisaal,kangisaalis,Nüüd käisin päeva enne võistlust kangisaalis,1925431
900,veinipidu,veinipeol,Korra käis Ööbik Rakverest väljaspool veinipeol,1933255
908,McLaren,McLarenisse,McLarenisse lahkunud,1959066
910,tualetipott,Tualetipotist,Tualetipotist mööda istunud,1962711
917,sinine,sinisesse,Marika istus eemal sinisesse Fordi,1983579
927,juveeliäri,juveeliärisse,Astuvad sisse juveeliärisse,2015995
932,naiskodukaitse,naiskodukaitsesse,naiskodukaitsesse astuvad,2025388
950,Ikaru,Ikarust,Praegu liigub liinidel sõnul päev kaks Ikarust,2071710
961,festivalivõitja,festivalivõitjast,Eestist astub seekord lavale rohkearvuliselt lauljaid alates festivalivõitjast,2079657
963,külapidu,külapidudel,aeg-ajalt käib ta külapidudel mängimas,2081700
965,parandusmasin,parandusmasinale,remont käib tänu parandusmasinale kiiremini,2084703
970,neljasilmavestlus,neljasilmavestlusel,korda käisin neljasilmavestlusel,2090451
973,seisus,seisusest,oleks astuksin ma seisusest otsekohe välja,2095742
981,taaspühitsemine,taaspühitsemisest,Piiskop-emeeritus on käinud olavipäeval aastal alates taaspühitsemisest,2106317
988,lennundus,lennundusele,Estonian liigub lennundusele suunas aastal,2126296
992,kinnipeetav,kinnipeetavast,kinnipeetavast astus eile esimesena kabinetti Eenmaa,2132945
1003,kuru,kurus,lennukid pole kurus käinud,2164423
1004,tagaots,tagaotsas,Ustimenko istus tagaotsas pannud,2168867
1015,Amsterdam,Amsterdamis,Esmaspäevani istus ta Amsterdamis trellide taga,2197885
1018,lahkumine,lahkumisest,käis dislussioon lahkumisest,2204217
1027,ühinemisläbirääkimised,Ühinemisläbirääkimistesse,Ühinemisläbirääkimistesse on astunud Eesti,2231299
1029,luide,luidetelt,luidetelt liigub liiv hoovuste mõjul veel muulide vahele laevakanalisse sonni,2236851
1036,valimiskomisjon,valimiskomisjonis,ma esmaspäeval end valimiskomisjonis registreerimas käisin,2247330
1038,aura,Auras,palju käib Auras lätlasi,2251934
1040,eramu,eramutes,ajal käivad vargad eramutes sees päeva ajal toimetavad,2254387
1043,töökorraldus,töökorralduses,juurutamisega astub linn töökorralduses sammu edasi,2257437
1055,ujula,ujulas,Nad käisid siin ujulas ujumas,2280525
1058,vangistus,vangistuses,laureaat istus protestidest hoolimata vangistuses,2287509
1071,eetika,eetikasse,Ühelt jookseb ta sisse eetikasse,2319121
1082,põhiväärtus,põhiväärtustest,Jutt käib põhiväärtustest,2337797
1084,õhuruum,õhuruumis,Nüüd kõnnivad õhuruumis laevamudelite vahel muuseumikülalised,2343433
1087,sügissuplem,sügissuplemas,käib hoidmiseks koos setteri veerel sügissuplemas,2349133
1103,sõjaväeterritoorium,sõjaväeterritooriumil,konvoi käis linnast sõjaväeterritooriumil,2392365
1126,konjakireis,konjakireisil,klubi käib korra Prantsusmaal konjakireisil,2423032
1133,uulits,uulitsal,Seega on karud uulitsal käinud,2435177
1136,Bal-neomi,Bal-neomis,Bal-neomis käib traumadega inimest,2440747
1138,majaelanik,majaelanikest,Tänaval peal käib majaelanikest kolmandik,2450709
1142,orienteerumisvõistlus,orienteerumisvõistlusel,ilmselt käin üle aja taas orienteerumisvõistlusel,2465706
1143,kultuurifestival,Kultuurifestivalil,Kultuurifestivalil Kopenhaagenis astuvad üles muusikud,2466893
1145,diivaninurk,diivaninurgal,Helene istub diivaninurgal nii istuvad,2473880
1157,taksondus,taksonduses,Alates päevast tekkisid käib taksonduses kammajaa,2502392
1166,tööpataljon,Tööpataljonis,Tööpataljonis käisime üle metsatöödel,2525783
1180,Petseri,Petseris,kutsel Petseris käisin,2548089
1183,proovilava,proovilaval,Vahetult enne Gerlit proovilaval käinud,2553959
1187,euroaju,euroajudes,euroajudes liigub mõte,2566893
1189,orhideevorm,orhideevormidele,Näiteks Floridas käib orhideevormidele jaht,2570540
1198,foon,foonil,Reklaamplakatil istub Gorbatšov tagaistmel foonil,2598046
1200,rentsel,rentslisse,astu rentslisse,2601065
1211,humanitaarala,Humanitaaraladel,Humanitaaraladel on tegelastest lahkunud Berk,2627818
1212,uni,unes,sõnul kõnnib vend sageli unes,2628470
1222,tarbekunstigalerii,tarbekunstigaleriis,jalas käisid nad tarbekunstigaleriis jäädes,2645260
1223,hävitamine,hävitamisel,likvideerimine käib hävitamisel stsenaariumi järgi,2647370
1226,sotsiaalkeskus,sotsiaalkeskuses,sotsiaalkeskuses tegemas käivad,2660218
1231,hommikukuub,hommikukuues,kes istub hommikukuues kiiktoolis,2675484
1247,headus,headuses,Polkovniku astuvad Madis headuses,2703614
1252,energiafirma,energiafirmast,Jutt käib energiafirmast,2711646
1274,1960.,1960-ndatel,kirjamees astus kirjandusellu 1960-ndatel oli,2758759
1278,Kajakas,Kajakast,Jutt käib Kajakast aastast,2776427
1292,äriringkond,äriringkondades,kes istuvad äriringkondades,2833469
1296,La,Las,Näiteks käib Las Vegases esinemas Elton,2843537
1298,MM-etapp,MM-etapil,MM-etapil poodiumile astunud,2849951
1299,prostitutsiooniprotsess,prostitutsiooniprotsessis,pidajad astuvad nädala pärast prostitutsiooniprotsessis süüdistatavatena kohtu ette,2850446
1306,sunniit,sunniidist,mis valitsusajal astus vastu sunniidist režiimile,2868126
1308,digitaalplatvorm,digitaalplatvormile,nähtav siis alates eilsest liikus kanal digitaalplatvormile,2868797
1313,toomemägi,Toomemäele,mis koos rongkäigulistega Toomemäele liigub,2876995
1316,Show,Show'l,Show'l astub ülesse poeg,2881047
1322,list,listides,debatt on listides käinud,2894951
1331,Mäo,Mäolt,kes alates Mäolt Sõmerpalu poole astus abistada,2914970
1342,rongivagun,rongivagunis,plahvatus käis kell hommikul rongivagunis,2935416
1351,talumees,talumeestest,mis liiguvad küll talumeestest kiiremini,2948429
1356,hasart,hasardist,paljud käivad sisseastumiskatsetel lihtsalt hasardist,2958172
1360,arvutimess,arvutimessil,Peeter käis Saksamaal arvutimessil,2969584
1387,sessioon,sessioonil,sessioonil istus seltskond arutama,3020436
1396,traal,traalidel,Puhkuse ajal käis Mart kuulmisega traalidel,3046804
1404,muusikamaastik,muusikamaastikust,Jutt käib muusikamaastikust,3074835
1409,väikeplokk,väikeplokkidest,Külas käis väikeplokkidest ehitamine saama,3084667
1424,Taanimaa,Taanimaalt,Taanimaalt noruspäi lahkuvad,3123460
1429,reaktor,reaktorist,Soojusenergia lahkub reaktorist hoopis heeliumi abil,3133883
1448,Kazimirez,Kazimirezis,ta pole käinud Kazimirezis,3168075
1454,olümpia-mäng,olümpia-mängudel,olümpia-mängudel käis kultuuriminister,3182877
1464,seganeljane,seganeljases,seganeljases istusid veel Silver,3204280
1465,õhtuhämar,õhtuhämaras,kuuseäri ees käis eile õhtuhämaras riietumine,3204762
1475,eksamikeskus,eksamikeskuses,Eile käisid eksamikeskuses küsimas abituriendid,3225693
1485,huvialaring,huvialaringides,Erinevalt käib ta sagedamini huvialaringides,3239061
1491,türklane,türklastest,Tihtipeale astusid nad türklastest mööda,3249470
1495,Martha,Martha's,Martha's on Russo käinud perega aastaid,3259912
1506,massaažikool,massaažikoolis,kes käivad massaažikoolis lihtsalt huvist,3281083
1518,videvik,Videvikus,Videvikus liiguvad loomad kanapimedus,3325590
1522,töömaht,töömahust,komisjonid ei käi töömahust üle,3331061
1524,europarlament,europarlamendis,õnneks ei käi poliitika europarlamendis riigiti,3333735
1525,suurendamine,suurendamisest,jutt käib suurendamisest,3336383
1542,välibassein,välibasseinis,Noormehed käisid välibasseinis,3375644
1547,Tammsaare-lavastus,Tammsaare-lavastuses,kes Tammsaare-lavastuses astub üles Indrekuna,3405462
1551,müügitehing,müügitehingul,kelm käis ise müügitehingul võtmas kannatanud,3413771
1553,kõrvalejäämine,kõrvalejäämisele,hinnanguil käis vaatamata kõrvalejäämisele hääletamas protsendi erandina,3420792
1554,Reaalkool,Reaalkoolist,Reaalkoolist pole jookul lahkunud õpetaja,3422332
1559,naisteosakond,naisteosakonnas,käis naisteosakonnas,3430512
1560,golfiraja,golfirajal,Tulles käime golfirajal,3433331
1564,Schäuble,Schäublel,Käed liiguvad Schäublel aga tänu imele,3436940
1567,laadaplats,Laadaplatsil,Laadaplatsil käib elu,3438008
1569,seitsmetund,seitsmetunnist,kes astus pärast seitsmetunnist mängu meie juurde,3444370
1577,korraldusmeeskond,korraldusmeeskonnast,Tänavu on Rock korraldusmeeskonnast lahkunud mehed,3455409
1581,seenekasvatusprojekt,seenekasvatusprojektile,käisid majandusministri juures seenekasvatusprojektile palumas,3465113
1583,kips,kipsis,kellest 10 lahkusid kliinikumist kipsis jalaga,3468572
1590,infosajand,infosajandisse,infosajandisse astuvat,3483713
1591,hakatus,hakatusel,alatasa käime talle hakatusel meenutamas,3485620
1596,lasterong,lasterongis,juhataja istuvad lasterongis nimega,3500618
1609,pakkuja,pakkujast,kes on liikunud sammhaaval pakkujast,3538303
1621,ettevalmistusraha,ettevalmistusrahast,jutt käib ettevalmistusrahast,3574800
1634,tervisehäire,tervisehäirele,protsenti oli vaatamata tervisehäirele käinud tööl,3608094
1642,Togo,Togost,president lahkus eile Togost,3647282
1651,varasügis,varasügisel,konkurent käis varasügisel välja Ristküsitluse,3669837
1662,net,netis,netis tüübid käivadki,3684619
1668,töörühm,töörühmas,esindajad istusid tõepoolest töörühmas,3690852
1678,politseikolledž,Politseikolledžisse,Politseikolledžisse astunud,3709812
1680,klubides-pubides-kontsert,klubides-pubides-kontsertidel,kes klubides-pubides-kontsertidel käivad,3713348
1685,erarõivas,erarõivastes,Koalitsiooniväed liiguvad aladel tihti erarõivastes kasutades,3729764
1686,pdagoogikaülikool,pdagoogikaülikoolis,Olen käinud pdagoogikaülikoolis otsimas,3730989
1689,projekteerimine,projekteerimisel,näiteks käivad tööd projekteerimisel,3733351
1698,kaklus,kakluses,varem istus ta aastat kinni tapmise eest kakluses,3751782
1702,silt,siltidele,keeleinspektorid käiksid linnaosas siltidele näitamas,3764499
1716,rannahoone,rannahoones,lapsed käisid juba neljapäeval koos rannahoones peol,3797735
1733,Floro,Floros,Tiia jooksis Norramaal Floros tõkkeid rekordiga,3840396
1736,majaosa,majaosas,majaosas käib ehitus,3855297
1737,lina,linal,kes astub korda üles linal,3855999
1739,lapsepõlvemaailm,lapsepõlvemaailmas,Priit käis ekskursioonil lapsepõlvemaailmas,3863063
1750,kaitsekonfiguratsioon,kaitsekonfiguratsioonist,armee käiks pingutuseta üle kaitsekonfiguratsioonist,3872019
1772,lauatoake,lauatoakeses,lauatoakeses istume,3919614
1775,üksikrajatis,üksikrajatistest,toetuste puhul ei käi jutt üksikrajatistest,3933321
1776,Bain,Baini,praegugi käib USA-s Baini rajaja vahel vaidlus,3933930
1780,VIP-sektor,VIP-sektoris,Kõndisin staadonil ringi VIP-sektoris,3950991
1787,põhikoosseis,põhikoosseisust,KuPS-ist lahkus pool põhikoosseisust,3963269
1789,IT-äri,IT-ärisse,aastat tagasi astus Siff jõuliselt IT-ärisse,3980137
1791,printsess,Printsessi,Printsessi käib Tallinnas leinamas kooliõpilasi,3984643
1795,kroonimispidustus,kroonimispidustustel,Venelased käisid seal kroonimispidustustel,3989471
1809,kanep,Kanepile,Vähem istub Kanepile võrdlemine ameeriklanna,4029694
1811,pst,pst-l,Istume Pirital pst-l džiipi,4032312
1812,medalivõit,medalivõidust,jutt käib suusakuninganna medalivõidust,4033022
1816,veehaare,veehaardesse,mis aga liigub veehaardesse,4039516
1821,pallimäng,pallimängudelt,Küll jooksevad staadioni äärde pallimängudelt tantsu-tüdrukud,4045004
1838,tähetorn,tähetornist,astume tähetornist välja,4093097
1843,eesosa,eesosas,eesosas liigub pea,4099400
