text,id,label,review,text_id,las
"” Jaan usub , et Kadrile poleks meeldinud , kui ta üksi jääks .",2012,"[{""start"": 51, ""end"": 55, ""text"": ""üksi"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,187,61.5
"Ta ütleb ikka , et Joosepil on vennaga vedanud .",2013,"[{""start"": 9, ""end"": 13, ""text"": ""ikka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,194,22.2
"Jaan leiab , et ega see ei tähenda , et nüüd tuleks vastu seina joosta ja kurvastama hakata .",2014,"[{""start"": 40, ""end"": 44, ""text"": ""nüüd"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,216,44.4
"“ Une , kohvi , võileibade ja eelkõige kellaga .",2015,"[{""start"": 30, ""end"": 38, ""text"": ""eelkõige"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,227,66.7
Mehed itsitavad ning Jaanus räägib lühidalt oma kooliskäimisest .,2016,"[{""start"": 35, ""end"": 43, ""text"": ""lühidalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,234,62.5
"“ See on investeering emotsioonidesse , mis on end mitmekordselt ära tasunud . ”",2017,"[{""start"": 51, ""end"": 64, ""text"": ""mitmekordselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,246,46.2
"1930. aastatest peale , kui N Liidus hakati looma totalitaarset riiki , saadeti väga paljud eestlased Krimmist välja , seltsimajad pandi kinni ja nende liikmeid kiusati taga .",2018,"[{""start"": 80, ""end"": 84, ""text"": ""väga"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,277,48.1
Just sellise esimese impulsina olidki eestlaste suvepäevad Krimmis mõeldud .,2019,"[{""start"": 0, ""end"": 4, ""text"": ""Just"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,297,0.0
Ei ühele ega teisele olnud laevahuku põhjus mingiks saladuseks .,2020,"[{""start"": 0, ""end"": 2, ""text"": ""Ei"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,328,0.0
"Kui Estonia komisjon oli oma aruande avaldanud , siis selgus , et läkski .",2021,"[{""start"": 49, ""end"": 53, ""text"": ""siis"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,333,53.8
"Tembeldagem meresõiduamet tavaliseks kirjakontoriks , kus isegi laevaõnnetus võib ununeda lauasahtlisse .",2022,"[{""start"": 58, ""end"": 63, ""text"": ""isegi"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,341,36.4
Kuid Bureau Veritase puhul ei saa seda kuidagi teha .,2023,"[{""start"": 39, ""end"": 46, ""text"": ""kuidagi"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,342,22.2
"Samuti on ümberlükkamatu tõsiasi , et nende laevade puhul tähendanuks visiiri lahtirebenemine lõppu .",2024,"[{""start"": 0, ""end"": 6, ""text"": ""Samuti"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,350,0.0
Laeva ehitamisel oli jämedalt eiratud konventsiooni Eluohutus Merel ( SOLAS ) esmanõudeid .,2025,"[{""start"": 21, ""end"": 29, ""text"": ""jämedalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,354,8.3
"Aino Järvesoole saadetud kirjadest saaks vapustava raamatu fassaaditagusest Eestist , kus sirguv nooruk läheb pigem võõrleegioni kui Eesti sõjaväkke , sest tema meelest on riik , kus ta elab , võõras ja lastevaenulik .",2026,"[{""start"": 110, ""end"": 115, ""text"": ""pigem"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,373,42.4
Enam kui kaks kolmandikku kirjadest sisaldab abipalveid ja on tulnud meeleheitlikus olukorras peredest .,2027,"[{""start"": 0, ""end"": 8, ""text"": ""Enam kui"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,385,0.0
"Kirjutajad loetlevad lausraiskamisi , nagu haridusministeeriumi Tartusse kolimine , poliitilised turismireisid , kallid autod , luksuslikud remondid jne ; poole miljoni krooni riigi rahaga Saaremaale rajatud golfiväljak , raudteenõustamise miljonid või Maapanga raha , mille kantisid endale need , kes vangimõistetud Eenmaale korraldusi jagasid .",2028,"[{""start"": 38, ""end"": 42, ""text"": ""nagu"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,395,6.8
"Kolme lapse ema üheksa lapselapsega arvab , et emad peaksid saama ka sünnituseelset toetust ja et praegune lastetoetus on naeruväärne ning alandav .",2029,"[{""start"": 66, ""end"": 68, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,402,50.0
Lisasissetuleku allikana nähakse nii astmelist tulumaksu kui ka Tallinna ja Harjumaa ettevõtluse taasmaksustamist .,2030,"[{""start"": 61, ""end"": 63, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,406,46.2
"Teine kolmeteistkümneaastane pihib , et tal lihtsalt on vaja südant kergendada .",2031,"[{""start"": 44, ""end"": 52, ""text"": ""lihtsalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,418,27.3
Lootust ei kaota ka 41-aastane viie 18-11-aastase lapse ema .,2032,"[{""start"": 17, ""end"": 19, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,432,33.3
Aga nüüd tuleb üks vanem daam ja nõuab riigilt aru .,2033,"[{""start"": 4, ""end"": 8, ""text"": ""nüüd"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,453,0.0
"Valitsus peab mõistma , et meie lapsed ongi ju riik , mida nad valitsevad .",2034,"[{""start"": 44, ""end"": 46, ""text"": ""ju"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,458,28.6
Ja kes iseäranis teenekad .,2035,"[{""start"": 7, ""end"": 16, ""text"": ""iseäranis"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,463,0.0
Ehk mõtleb president Meri välja mõne uue auraha neile meestele medalina kaelas kandmiseks ?,2036,"[{""start"": 0, ""end"": 3, ""text"": ""Ehk"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,490,0.0
"Majas aga toimetavad asjalikult pisipeda endised ja praegused õpilased Annika , Ain , Alar , Karin , Katrin , Kätlin ja Kristel , vanuses 20-26 aastat .",2037,"[{""start"": 21, ""end"": 31, ""text"": ""asjalikult"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,498,10.7
Mõnele kujuneb kohvituba ka pärast haiglast lahkumist sotsiaalse suhtlemise kohaks .,2038,"[{""start"": 25, ""end"": 27, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,509,30.0
Kanada on tegemas või juba teinud sama .,2039,"[{""start"": 22, ""end"": 26, ""text"": ""juba"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,547,57.1
Tuli ju selle loomiseks tappa kalu .,2040,"[{""start"": 5, ""end"": 7, ""text"": ""ju"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,586,16.7
"Kui nende toodete hinnad aga langevad , on arengumaades oodata hoopis toiduainete eksporditulude vähenemist .",2041,"[{""start"": 63, ""end"": 69, ""text"": ""hoopis"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,599,78.6
"Jüri algul nõustus , hiljem aga mingil põhjusel keeldus .",2042,"[{""start"": 21, ""end"": 27, ""text"": ""hiljem"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,629,33.3
"Kord tungis Ants isale kallale , ema Meeta ärritus , sai infarkti ja suri .",2043,"[{""start"": 0, ""end"": 4, ""text"": ""Kord"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,641,0.0
"Tänaseks pole Kukkede perekonnast enam kedagi elus , viimasena suri 1990. aastate algul isa , kes pärast poja traagilist surma oli hakanud habet kasvatama .",2044,"[{""start"": 0, ""end"": 8, ""text"": ""Tänaseks"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,644,0.0
"Ning et Belomor olla ainus suits , mida tõmmata tasub - pikka torusse kondenseerub kõik kahjulik ilusasti ära , samal ajal kui kasulik kraam sisse tõmmatud saab .",2045,"[{""start"": 97, ""end"": 105, ""text"": ""ilusasti"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,656,59.3
Selle külge seoti kivi ja püüti nõnda köit üle müüri visata .,2046,"[{""start"": 32, ""end"": 37, ""text"": ""nõnda"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,663,54.5
Nõnda ei valmistanud edasijõudmine talle erilisi raskusi .,2047,"[{""start"": 0, ""end"": 5, ""text"": ""Nõnda"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,666,0.0
"Uskus kirjasõnasse , see oli Kuke jaoks otse püha .",2048,"[{""start"": 40, ""end"": 44, ""text"": ""otse"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,691,33.3
"Perekondlikku läbikäimist kolleegidel Kukega polnud , kuid seda , et Kukk oma lapsi väga armastas ning peret hoidis , võis tunda igal sammul .",2049,"[{""start"": 84, ""end"": 88, ""text"": ""väga"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,697,26.1
"Prantsusmaalt tulles jagas Kukk kolleegidele oma reisimuljeid , mis olid ülimalt positiivsed .",2050,"[{""start"": 73, ""end"": 80, ""text"": ""ülimalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,703,58.3
Loomulikult ta solvus .,2051,"[{""start"": 0, ""end"": 11, ""text"": ""Loomulikult"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,722,0.0
Niisama jalgalaskmine ei tulnud Kuke puhul kõne allagi !,2052,"[{""start"": 0, ""end"": 7, ""text"": ""Niisama"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,737,0.0
Ülikooli toonane rektor Arnold Koop soovitas siiski valimine kõigi reeglite kohaselt läbi viia .,2053,"[{""start"": 45, ""end"": 51, ""text"": ""siiski"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,738,46.2
"Toda novellistide laialt levinud lemmikvõtet , terviku peegeldumist detailis , kasutab Külvet erineva eduga pea kõikides lugudes .",2054,"[{""start"": 18, ""end"": 24, ""text"": ""laialt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,775,5.9
"Mõne aasta eest sai meie kirjanduskriitikas välja öeldud mõte , justnagu pärssinuks Stalini nime kohustuslik väljajätmine proosatekstidest kirjanduse arengut .",2055,"[{""start"": 64, ""end"": 72, ""text"": ""justnagu"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,806,47.4
"Ühest küljest on see tõesti nii , loomise eeltingimuseks on vabadus .",2056,"[{""start"": 21, ""end"": 27, ""text"": ""tõesti"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,807,9.1
"Tallinna Matusebüroo tegevdirektor Toomas Daum väidab , et ärisse on jäänud vaid need , kes sõna peavad ja keda “ süsteem ” tunnustab .",2057,"[{""start"": 76, ""end"": 80, ""text"": ""vaid"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,836,30.4
"Kristini matusebüroo osaniku ja tegevjuhi Sven-Erik Nielseni arvates on konkurents viinud teenuste kvaliteedi üles , kuid hinnad on jäänud suhteliselt madalaks .",2058,"[{""start"": 139, ""end"": 150, ""text"": ""suhteliselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,837,90.5
"Nobedad noorikud , kes samuti matusebüroo palgal , valmistavad pärgi ja kimpe , kunstnikukäega mehed raiuvad hauaplaatidele kirju .",2059,"[{""start"": 23, ""end"": 29, ""text"": ""samuti"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,843,5.6
Ülima täiuse ahelas on Eesti oludes üks nõrk lüli - surnuaeda platsi hankima või olemasolevale platsile uut hauda registreerima peab lahkunu lähedane ise minema .,2060,"[{""start"": 150, ""end"": 153, ""text"": ""ise"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,844,87.5
Andrei ametivendi on Eestis kõvasti alla saja .,2061,"[{""start"": 28, ""end"": 35, ""text"": ""kõvasti"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,863,14.3
Kristini morgis on palgal ka üks naisinimene .,2062,"[{""start"": 26, ""end"": 28, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,864,57.1
"Nielsen ütleb , et selle töö peale on oskajaid ning kõvanärvilisi raske leida , kuid tema alluvuses teeb seda tööd ka üks naine .",2063,"[{""start"": 115, ""end"": 117, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,865,82.6
Need võivad olla tavalisest musterpaberist kõige peenema valge siidini .,2064,"[{""start"": 43, ""end"": 48, ""text"": ""kõige"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,894,11.1
"Ja kus on teie kõnemees , nad pole muusikuga kokku leppinud !",2065,"[{""start"": 45, ""end"": 50, ""text"": ""kokku"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,904,45.5
"“ Ma tahan täielikult kummutada Vene ajal kujunenud müüdi , et kõik , kes surnutega tegelevad , peavad olema purjus , ” ütleb Tallinna Krematooriumi üks asutajatest Heigo Rohtla .",2066,"[{""start"": 11, ""end"": 21, ""text"": ""täielikult"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,908,13.8
"Seda on märgata ka koltunud näidistelt , mille vanus ulatub mitmetesse aastatesse .",2067,"[{""start"": 16, ""end"": 18, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,922,25.0
"Tallinna krematooriumis töötab kolm inimest ahjuoperaatoritena , kes ühtlasi teevad transporditööd ning pesevad-riietavad lahkunuid ning panevad säilmed urni .",2068,"[{""start"": 69, ""end"": 76, ""text"": ""ühtlasi"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,950,33.3
Rapla urnitreialitel on kogemusi toodangu Ameerikasse eksportimisega - erinevalt meil kasutusel olevast kolmeliitrisest urnist nõuab Ameerika standard neljaliitrist tuhaanumat .,2069,"[{""start"": 71, ""end"": 126, ""text"": ""erinevalt meil kasutusel olevast kolmeliitrisest urnist"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,959,21.4
"“ Ühel hetkel inimene vaatab seda urni , järgmisel on ta seal sees , ” filosofeerib Villand .",2070,"[{""start"": 57, ""end"": 61, ""text"": ""seal"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,961,47.1
"Kirstud on väga erineva suurusega , poolteise meetri sügavune hauakaevik aga standardne .",2071,"[{""start"": 11, ""end"": 15, ""text"": ""väga"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,972,0.0
"Looduslähedust ihkavatele eestlastele meeldivad ka kodumaised põllukivid , mille töötlemist kivimeistrid ära ei põlga .",2072,"[{""start"": 48, ""end"": 50, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,982,28.6
"Kivi lõikamiseks , lihvimiseks ja poleerimiseks on rakkes vähemalt kolm inimest .",2073,"[{""start"": 58, ""end"": 66, ""text"": ""vähemalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,983,72.7
"Kalmistutel pakutakse hooldamisteenust neile , kes kaugemal elavad või käsi määrida kardavad .",2074,"[{""start"": 51, ""end"": 59, ""text"": ""kaugemal"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,992,33.3
"Sajandivahetuseks oli samalaadseid juba 17 , kuid need kuulusid mitte-eestlastele .",2075,"[{""start"": 35, ""end"": 39, ""text"": ""juba"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1029,20.0
"Geograafiliselt paiknesid need kõikides Eesti linnades ja väikeasulates , mis muutis nad rahvalähedaseks ja usaldusväärseks .",2076,"[{""start"": 0, ""end"": 15, ""text"": ""Geograafiliselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1039,0.0
Kahjuks ei leia ühistegevus krediidiasutustes tänapäeval sellist kõlapinda kui eelmise sajandi algul .,2077,"[{""start"": 0, ""end"": 7, ""text"": ""Kahjuks"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1058,0.0
"Kuigi nende poolt küsitud laenuintress on kõrgem pankade omast , on neil siiani turunišš linnades olemas .",2078,"[{""start"": 73, ""end"": 79, ""text"": ""siiani"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1096,75.0
Laenuriski minimeerimiseks laenatakse meelsamini väiksemaid summasid 5 000 kuni 20 000 krooni vahel .,2079,"[{""start"": 38, ""end"": 48, ""text"": ""meelsamini"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1100,27.3
Eestis oli algselt laenu- ja hoiuühistute asutamise aluseks Eesti Panga presidendi käskkiri 23. veebruarist 1993. aastal .,2080,"[{""start"": 11, ""end"": 18, ""text"": ""algselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1111,12.5
Nüüd on 10 tegutsevat ühistulist finantsasutust hakanud koostööd tegema ja asutanud selleks katusorganisatsioonina Eesti Hoiu-laenuühistute Liidu .,2081,"[{""start"": 0, ""end"": 4, ""text"": ""Nüüd"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1117,6.2
"Nende keskmine kapitali adekvaatsus oli 62,5% , samal ajal kui kommertspankades on ta alla 20 protsendi ( minimaalne nõue 10% ) .",2082,"[{""start"": 86, ""end"": 90, ""text"": ""alla"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1124,38.1
"Suhteliselt tagasihoidlik on HLÜdes hoiuste summa , seda vaatamata kõrgete intresside lubamisele .",2083,"[{""start"": 0, ""end"": 11, ""text"": ""Suhteliselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1125,0.0
Näiteks lubab Põlvamaa HLÜ oma kodulehel tähtajaliselt hoiuselt intressi 7% aastas (  ) .,2084,"[{""start"": 41, ""end"": 54, ""text"": ""tähtajaliselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1126,61.5
"Sotsiaalametnikud vastavad , et nende arvutiprogramm tunnistab ainult nn.  pika kontoga  panku , s.t. kommertspanku ? .",2085,"[{""start"": 63, ""end"": 69, ""text"": ""ainult"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1136,50.0
"Ühistegevust juhtivad organisatsioonid on mitmel korral esinenud initsiatiiviga nii Põllumajandusministeeriumis kui mitmetel foorumitel luua HLÜdele kommertspankadega võrdsed konkurentsitingimused , kuid siiani pole edu saavutatud .",2086,"[{""start"": 204, ""end"": 210, ""text"": ""siiani"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1161,75.0
"Ühistuliste krediidiasutuste võrgu tihenemine Eestis toob eelduste kohaselt kaasa mitmeid sotsiaalmajanduslikke positiivseid tulemusi , mida kontsentreerunud ja võõrkapitali kontrolli all olev kommertspangandus ilmselt ei suuda pakkuda .",2087,"[{""start"": 211, ""end"": 218, ""text"": ""ilmselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1181,76.9
Mitmed uuringud on seda ka kinnitanud .,2088,"[{""start"": 24, ""end"": 26, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1194,16.7
"Toome lõpetuseks veel asjaosalise , Kehtna HLÜ juhatuse liikme , arvamuse nendest eelistest .",2089,"[{""start"": 17, ""end"": 21, ""text"": ""veel"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1204,30.8
"Enne kui hakata rahva käest kogutud ressurssi kulutama , peab olema veendunud , mida tahetakse saavutada .",2090,"[{""start"": 0, ""end"": 8, ""text"": ""Enne kui"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1237,0.0
Ja eraldama selleks ka ressursid .,2091,"[{""start"": 20, ""end"": 22, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1259,60.0
Ka riik peab mõtlema turgudele ja kliendile .,2092,"[{""start"": 0, ""end"": 2, ""text"": ""Ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1279,0.0
"Kas see noormees , siseminister või parlament .",2093,"[{""start"": 0, ""end"": 3, ""text"": ""Kas"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1296,0.0
Aga suurte asjade puhul tuleb seda raudselt teha .,2094,"[{""start"": 35, ""end"": 43, ""text"": ""raudselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1311,62.5
Seda ju pole .,2095,"[{""start"": 5, ""end"": 7, ""text"": ""ju"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1323,0.0
"Keskkonnakeskset looduskäsitlust ( elik uus keskkondlik paradigma ) tuleks kõrvutada aga modernsuse hilisele etapile omase keskkonnateadvusega , mis teadvustab eksiteerivaid keskkonnaprobleeme ja püüab neid tehnoloogia ja ekspertsüsteemide abil parandada .",2096,"[{""start"": 85, ""end"": 88, ""text"": ""aga"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1353,34.5
Moderniseerunud ühiskondade funktsioonisüsteemides valitsev instrumentaalne ratsionaalsus toob teatud komplekssusastmest või arenguetapist kaasa ka ohtude sisulise muutumise .,2097,"[{""start"": 145, ""end"": 147, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1360,75.0
"Loodusmeediat jälgiti sel perioodil aktiivselt , kuid osalt defitsiidi sündroomi tõttu , sest ajakirjade tellimine - elik ligipääs infole - oli piiratud .",2098,"[{""start"": 36, ""end"": 59, ""text"": ""aktiivselt , kuid osalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1393,19.0
"Lääne ja nõukogude modernsused tootsid sisuliselt sarnaseid keskkondlikke tagajärgi , kuid autoritaarsel riigikorral on teatud omapärad , mis võimendavad industriaalühiskonna põhjustatud keskkonnaprobleeme .",2099,"[{""start"": 39, ""end"": 49, ""text"": ""sisuliselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1399,22.7
"Samas on ühiskonna valdav materialistlik suunitlus toonud kaasa süsteemikriitiliste indiviidide tekke , kollektiivsus naaseb killustatud indiviidide väärtuspõhise koondumisena .",2100,"[{""start"": 0, ""end"": 5, ""text"": ""Samas"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1445,5.6
"Loodus on süsteemi piirialal , sellest kõneldakse vähe ; peamiseks kõneaineseks on keskkond .",2101,"[{""start"": 50, ""end"": 54, ""text"": ""vähe"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1455,53.8
"Sagenenud on ka riskide ja globaalsete keskkonnaprobleemide kajastamine , kuid neid teemasid vahendatakse reeglina läbi rahvusvaheliste uudisteagentuuride või välismeedia ning Eestis ilmuvad nad online-väljaannetes .",2102,"[{""start"": 13, ""end"": 15, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1467,0.0
"Looduskaitse ekspertide hinnangud sellele , kuidas meedia käsitleb looduse ja keskkonnaga seonduvat , on jäänud suhteliselt sarnaseks kahekümne aasta taguse ajaga .",2103,"[{""start"": 112, ""end"": 123, ""text"": ""suhteliselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1468,76.2
Ettevõtluskultuur ei tunnista veel endakohaste keskkondlike andmete avalikustamist kolmanda osapoole poolt .,2104,"[{""start"": 30, ""end"": 34, ""text"": ""veel"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1486,27.3
"Nende poolt uuritud traditsionaalses ( loodusrahva ) kultuuris , kus polnud olulist rikkust ning kus inimesed olid enamasti orienteeritud nauditavale perekonnaelule , ei esinenud märkimisväärset depressiooni , polnud vägivalda ega kuritegusid .",2105,"[{""start"": 115, ""end"": 123, ""text"": ""enamasti"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1559,41.9
"Kolm kannatanut , kes veel elumärki andsid , viidi kiirabiautoga haiglasse , kuid kaks neist surid teel .",2106,"[{""start"": 22, ""end"": 26, ""text"": ""veel"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1620,5.9
"Tõepoolest , valimised toimuvad Eestis iga nelja aasta tagant ja neist hoidumine tähendaks otsustamisõiguse andmist kellelegi teisele .",2107,"[{""start"": 0, ""end"": 10, ""text"": ""Tõepoolest"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1633,0.0
Jamaika sprinter Merlene Ottey jäi vahele anaboolsete steroidide tarvitamisega ega stardi homme Sevillas algavatel MM-võistlustel .,2108,"[{""start"": 90, ""end"": 95, ""text"": ""homme"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1656,60.0
