verb,verb_compound,morph_case,classification2,sentence_id,head_id,head_loc,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,is_abstract
alluma,,all,loc,17431233,26728907,41,harmoneerimine,harmoneerimisele,"Minu arvates on need ette nähtud juba praeguses maareformi seaduses , kuid miski ei takista meid seda seadust muutmast , sest üks tingimus , millega me läksime läbirääkimistele Euroopa Liiduga , oli see , et kõik meie reformiseadused ei allu harmoneerimisele , ühtlustamisele .",,,,no,"The phrase 'harmoneerimisele' refers to a conceptual action rather than a physical place, hence it is not classified as an adverbial of place.",no,no,no,no,yes
alluma,,all,loc,691325,1099635,13,kaitseminister,kaitseministrile,"Kas teie arvates peaks põhiseadust muutma nii , et kaitseväe juhataja alluks kaitseministrile , mitte presidendile nagu praegu ?",,alive,,yes,,,,,,
andma,,adit,UNK,466289,731484,20,keel,keelde,"Seda pandi laiemalt tähele ja meid kutsuti ühele Peter Gabrieli korraldatud WOMAD-festivalile ( WOMAD on lühend , mida eesti keelde annab tõlkida - maailmamuusika ja - tants ) .",,,,no,"The phrase 'keelde' refers to language or speech and does not indicate a location, so it is not classified as an adverbial of place.",no,no,no,no,no
andma,,adit,UNK,8840737,14202941,5,sõnakuulmine,sõnakuulmisse,"Õed annavad ennast kloostriülema sõnakuulmisse ja peavad arvestama kolimisega uude riiki , kui siinne kogudus kosub ja neid kusagil mujal rohkem vajatakse .",,,,no,"The phrase 'sõnakuulmisse' refers to obedience or submission, not a physical location, hence it is not an adverbial of place.",no,no,no,no,no
andma,,adit,UNK,12158320,19467544,6,majonees,majoneesi,"Jelena andis Galinale uue purgi majoneesi , kuid ei nõustunud kliendile kinni maksma raiskuläinud salatit .",,,,no,"The phrase 'majoneesi' refers to the object given, not a location where something occurs, so it is not an adverbial of place.",no,no,no,no,no
andma,,adit,UNK,12045056,19279917,3,lisaressurss,lisaressurssi,See annaks lisaressurssi 56 miljonit krooni .,,,,no,"The word 'lisaressurssi' refers to additional resources and does not denote any physical location, so it is not an adverbial of place.",no,no,no,no,no
andma,,adit,UNK,19856516,29318004,7,kepp,keppi,naga: kiisu miisu aga muidu keppi annad vä,,,,no,"The phrase 'keppi' refers to 'keppi' in phrasing, not indicating a location, so it is not an adverbial of place.",no,no,no,no,no
andma,,adit,loc,12836907,20532966,6,rikkumine,rikkumisse,Proovisõiduautol andsid oma panuse teetunnetuse rikkumisse veel ka talverehvid küllap oleks suvekummidega mulje natukenegi parem olnud .,,event,,no,"The phrase 'rikkumisse' refers to corruption or disruption, not a location, so it is not an adverbial of place.",no,no,no,no,yes
andma,,adit,loc,5762752,9244548,21,Pakistan,Pakistani,"Šveitsi kodanik Yeslam Binladin , kes kirjutab oma nime teisiti kui terroriliider , andis ütlusi 300 miljoni dollari ülekandmise kohta Pakistani , väidetavalt olla üks tema firmadest 2000. aastal sellise ülekande teinud , kõneles üks justiitsametnik .",,location,LOC,yes,,,,,,
andma,,adit,loc,2743930,4401375,7,saatkond,saatkonda,"Nimelt annavad vastutustundetud Vene turismifirmad Saksamaa saatkonda valeinfot , kui nad esitavad dokumente Saksa viisade saamiseks .",,,,yes,,,,,,
andma,,adit,loc,11845810,18957791,26,disainimisse-konstrueerimine,disainimisse-konstrueerimisse,"Jaapani autosid on siiani laidetud silmatorkamatuteks argiliikuriteks , kuid uue põlvkonna Nissan Primera on lausa prantslasliku elegantsiga pilgupüüdja - kuigi ühistöö Renault'ga pole tolle auto disainimisse-konstrueerimisse veel oma panust andnudki .",,,,no,"The phrase 'disainimisse-konstrueerimisse' refers to an activity or process rather than a place, so it is not an adverbial of place.",no,no,no,no,yes
andma,,adit,loc,5985151,9605267,13,ajalugu,ajalukku,""" Tehnikaülikoolis proovin saada informaatikasse ja rahvamajandusse , aga Tartusse andsin dokumendid ajalukku ning inglise keelde ja kirjandusse , "" räägib Tartu Mart Reiniku nimelise gümnaasiumi lõpetanud Anngert .",,,,yes,"The phrase 'ajalukku' refers to history as a metaphorical place, hence classified as an adverbial of place.",,,,,
andma,ette,all,UNK,13060615,20898465,20,ajanäitaja,ajanäitajale,"Boulderi standardite- ja tehnoloogiainstituudi teadlaste tööna valminud kella mehhanism pole riisiterast palju suurem , kuid täpsuse poolest annab igale ajanäitajale silmad ette .",,,,no,"The phrase 'ajanäitajale' refers to a comparator (a timepiece) rather than a specific location, so it is not adverbial of place.",no,no,no,no,no
andma,ette,all,UNK,13687492,21870398,7,tugitool,tugitoolidelegi,Kiiktooli mugavus annab silmad ette enamikule tugitoolidelegi .,,,,no,"The phrase 'tugitoolidelegi' refers to objects (armchairs) and does not denote a physical location, so it is not adverbial of place.",no,no,no,no,no
andma,ette,all,UNK,7437317,11941396,21,klaverimuusika,klaverimuusikale,"Töötlus Lennoni “ Imagine'ist ” , mida miskipärast pidevalt biitlikomplekti surutakse , andis silmad ette  Richard Claydermani  “ ühehäälsele kergele klaverimuusikale ” .",,,,no,The phrase 'klaverimuusikale' is not an adverbial of place because it refers to the type of music rather than a location.,no,no,no,no,no
andma,ette,all,UNK,3440400,5538696,13,pood,poele,Energia kaubanduskeskus Järvel annab oma nõukogudeaegsusega silmad ette nii mõnelegi omalaadsust taotlevale poele .,,,,no,"The phrase 'poele' refers to a target or recipient rather than a location, so it was not classified as an adverbial of place.",no,no,no,no,no
andma,ette,all,UNK,16507014,25458721,8,areng,arengule,"Küsimus on selles , kas me anname arengule ette mingisuguse regulatsiooni , näeme ette mingeid ohtusid ja püüame neid vältida või me ei tee seda .",,,,no,"The phrase 'arengule' refers to development as a concept, not to a specific place.",no,no,no,no,no
andma,ette,all,loc,9292038,14927043,8,kirjastus,kirjastustele,"Haridusministeeriumi kantsleri Georg Aheri sõnul annab ministeerium kirjastustele vähemalt kaks aastat ette nimekirja õpikutest , mida uue õppekava järgi on lähitulevikus vaja .",,,,yes,,,,,,
andma,ette,all,loc,3805217,6129099,9,erakliinik,erakliinikule,""" Vastuvõtt annab nüüd silmad ette ka mõnele erakliinikule , "" oli Szirko uhke .",,location,,yes,,,,,,
andma,ette,all,loc,16804850,25862152,4,aut,Audile,"Maastikuvõimekuselt annab mersu Audile siiski silmad ette , sest GL on varustatud aeglustuskasti , lukustatava kesk- ja tagadiferentsiaali ning vajaduse korral koguni 30 cm kõrguseks tõstetava kliirensiga .",,,,yes,,,,,,
andma,ette,all,loc,4923692,7905485,16,saade,saatele,"Emori värske uuringu põhjal andis Oti seitsmest saatest kuus silmad ette näiteks TV1 märtsi vaadatuimale saatele , samuti kerkis märgatavalt TV1 osakaal telekanalite vaatamisajas .",,,,yes,,,,,,
andma,ette,all,loc,1767134,2813647,6,hulgifirma,hulgifirmadele,""" Minu teada annavad piimatöötlejad hulgifirmadele ette hinnataseme , millega need müüvad kaupa kauplustele .",,location,,yes,,,,,,
eelistama,,all,UNK,11970645,19157513,13,deebetkaart,deebetkaardile,"Mõnikord on ainus maksevõimalus aga hoopis krediitkaart , sest paljud kaupmehed eelistavad deebetkaardile krediitkaarti .",,,,no,"The phrase 'deebetkaardile' was classified as 'no' because it refers to a payment method or means, not a physical location.",no,no,no,no,no
eelistama,,all,UNK,2469909,3959881,20,isevalmistamine,isevalmistamisele,"Tema sõnul on väikemajade kasvutrendi üheks põhjuseks see , et inimesed väärtustavad üha rohkem oma aega ning eelistavad ostmist isevalmistamisele .",,,,no,"The phrase 'isevalmistamisele' refers to a preference or direction, not a location, so it is not an adverbial of place.",no,no,no,no,no
eelistama,,all,UNK,11021366,17652880,3,kaval,kavalale,"Tshubais eelistas kavalale Berezovskile kindlamat tutvust Venemaa suuruselt neljanda , ONEXIM-panga presidendi  Vladimir Potanin  iga , aidates viimasel suurendada oma äriimpeeriumi .",,,,no,"The phrase 'kavalale' describes a characteristic of Berezovsky, not a place.",no,no,no,no,no
eelistama,,all,UNK,7657504,12278077,5,ajaleht,ajalehtedele,Teiseks eelistavad eestlased nüüd ajalehtedele ja ajakirjadele raadiot ja televisiooni .,,,,no,"The phrase 'ajalehtedele' refers to a preference or target and not a spatial location, so it is classified as 'no'.",no,no,no,no,no
eelistama,,all,UNK,11806075,18894717,6,ankeet,ankeetidele,Silmast silma kõnelemisele eelistasid linlased ankeetidele vastamist .,,,,no,"The phrase 'ankeetidele' indicates the target of an action but not a location, so it is not adverbial of place.",no,no,no,no,no
eelistama,,all,loc,6352958,10208245,8,ajateenistus,ajateenistusele,"Samuti ütles ta , et eelistab kohustuslikule ajateenistusele palgaarmeed .",,,,no,"The phrase 'ajateenistusele' refers to obligatory military service, which is not a spatial or locational context, so it is not adverbial of place.",no,no,no,no,yes
eelistama,,all,loc,10292600,16517487,24,Rolls-Royce,Rolls-Royce'ile,"Just niimoodi elabki tüüpiline USA miljonär : ta kulutab ülikonnale kõige rohkem 360 , kingapaarile 140 , käekellale 200 dollarit ning eelistab uhiuuele Rolls-Royce'ile kolme-nelja aasta vanust Fordi .",,,LOC,yes,,,,,,
eelistama,,all,loc,8963620,14410392,7,Koonderakond,Koonderakonnale,Truu sõnul eelistaks ta PPE ühinemispartnerina Koonderakonnale ja EME-le hoopis Mõõdukaid .,,,ORG,yes,,,,,,
eelistama,,all,loc,4616105,7419006,23,ametikoht,ametikohtadele,"Euroopa Liidu institutsioonidesse tööle minna kaaluvatel inimestel tasuks kiirustada , sest lähiaastatel kaovad uutele liitujatele kehtivad soodsamad tingimused , mis eelistavad teatud ametikohtadele uutest liikmesriikidest pärit inimesi .",,,,yes,,,,,,
eelistama,,all,loc,11925709,19083215,20,Indrek,Indrekule,"Oper kaitses kamraadi : Siin pole midagi tunduda , rohkem kui kindel , et Rudbæk Becki varasemate saavutuste eest Indrekule eelistab .",,,PER,yes,,,,,,
eksima,,in,UNK,17691373,27026540,8,kontseptuaalne,kontseptuaalses,"Võimalik , et ka Siseministeeriumi töögrupp milleski kontseptuaalses eksib , ja et vältida asjatut kära ja ažiotaaži , siis enne valitsuses arutusele panekut seda teha kavas ei ole .",,,,no,"The phrase 'kontseptuaalses' describes a conceptual error, not a physical location, thus it is not adverbial of place.",no,no,no,no,no
eksima,,in,UNK,2193272,3505642,5,roll,rollis,Ellen Niit eksis jänese rollis,,,,no,"The phrase 'rollis' describes a role or character, which refers to a state or condition rather than a physical location, so it is not classified as adverbial of place.",no,no,no,no,no
eksima,,in,UNK,14784185,23257171,10,detail,detailis,"Ott lisas , et ajakirjandus on eksinud vaid ühes detailis : kallaletungi hetkel ei olnud tema veres mitte 3 , 9 promilli alkoholi , vaid tunduvalt rohkem .",,,,no,"The phrase 'detailis' describes a particular aspect or element rather than referring to a physical location, so it is not an adverbial of place.",no,no,no,no,no
eksima,,in,UNK,18804875,28406948,5,vastus,vastuses,"Jah , oma eelmises vastuses ma eksisin selles mõttes , et Reformierakond oli teinud oma ettepanekud eelnõu eelmise redaktsiooni kohta ja vastavalt nendele paragrahvinumbritele , mis seal olid .",,,,no,"The phrase 'vastuses' refers to a concept ('answer') and not to a location, so it is not adverbial of place.",no,no,no,no,no
eksima,,in,UNK,69389,119366,1,mis,Milles,Milles briti lordid eksisid ?,,,,no,"The phrase 'Milles' asks for the context or matter in which something occurred, not a location, so it is not classified as an adverbial of place.",no,no,no,no,no
eksima,,in,loc,12069228,19319580,7,Rio,Rios,Selles ta ei eksinud vähemalt mitte Rios .,,,LOC,yes,,,,,,
eksima,,in,loc,6957012,11179063,8,tiru,tirus,"Sprindi 36-ndana lõpetanud Dimitri Borovik eksis esimeses tirus kahel korral , kuid tõusis sellest hoolimata 18. kohale .",,,,yes,"The phrase 'tirus' specifies a location where the action occurred, so it is classified as an adverbial of place.",,,,,
eksima,,in,loc,16014777,24898867,11,fail,failis,eieiei .. kui ma ei eksi siis viirus pidi olema failis win.com .. laskem see maha ... irw,,,,yes,,,,,,
eksima,,in,loc,11117178,17808754,2,draama,draamas,Lõpusekundite draamas eksisid nii kogenud Augenijus Vaskys kui ka noorukesed Asko Paade ja Marek Doronin .,,,,yes,,,,,,
eksima,,in,loc,4219946,6791264,6,penaltidraama,penaltidraamas,"Kas polnud irooniline , et penaltidraamas eksis ainsana just David Trezeguet , Buffoni klubikaaslane Torino Juventuses ?",,,,yes,,,,,,
jooma,,el,UNK,10147346,16280032,6,pärnaõis,pärnaõitest,"Jooge järjest kaks-kolm tassi teesegu pärnaõitest , leedripuumarjadest ja kummelist ning heitke tunniks ajaks voodisse paksu teki alla .",,,,no,"The phrase 'pärnaõitest' describes material or composition, not a physical location, hence it is not an adverbial of place.",no,no,no,no,no
jooma,,el,UNK,8916408,14332992,12,kristallklaas,kristallklaasidest,Otse meie takso kõrval parklas joob esinduslik seltskond valge Volga kapotil kristallklaasidest šampust .,,,,no,"The phrase 'kristallklaasidest' indicates the material of the glasses and not a location, so it is not an adverbial of place.",no,no,no,no,no
jooma,,el,UNK,3084426,4951260,38,väeti,väetist,"Siin peab teadma , et toimib ainult õige kogus sütt ja see on päris suur : 1 g sütt patsiendi kehakaalu iga kilo-grammi kohta ( näiteks 40 kg poisile , kes on kogemata joonud vales pudelis olnud väetist või mürki , tuleb anda 40 g sütt .",,,,no,"The phrase 'väetist' refers to an object (fertilizer) and not a place, so it is not an adverbial of place.",no,no,no,no,no
jooma,,el,UNK,919848,1465334,32,higi,higist,"Kogu ta lugu hakkab natuke tahumatus stiilis jutustama kõmupiltnik Rai , nahktagi ja tanksaabastega mees ( n.-ö "" naiivne jutustaja "" ) , kelle "" foto-graafisilmad "" ahnelt joovad maailma "" higist kuuma katkist tausta "" .",,,,no,"The phrase 'higist' describes a quality or state rather than a location, and therefore is not adverbial of place ('no').",no,no,no,no,no
jooma,,el,UNK,13208140,21129790,5,soolalahk,soolalahust,"Enne testi jõid naised soolalahust , mis oli 20 korda kangem kui tavaline spordijook , teises katses jõid nad testi eel naatriumilahust , mis oma koostiselt vastas tavalisele spordijoogile .",,,,no,"The phrase 'soolalahust' refers to a substance that was consumed, not a location, so it is not adverbial of place.",no,no,no,no,no
jooma,,el,loc,12845199,20546260,9,inglanna,inglannadest,"Kolmandal kohal on hollandlannad , kes joovad noortest inglannadest pea-aegu poole vähem .",,alive,,yes,"The phrase 'inglannadest' was classified as 'yes' because it indicates a group of people from a specific place (England), which refers to location-based context.",,,,,
jooma,,el,loc,7110525,11435879,10,rohupudel,rohupudelist,"Rutt sulgeb õudusega silmad , sest hunt joob vanaema rohupudelist ...",,,,yes,,,,,,
jooma,,el,loc,9127513,14674271,13,tops,topsist,Ja pikka aega järjest ei joo ka mingist teisest ühest ja samast topsist .,,,,yes,,,,,,
jooma,,el,loc,60616,104268,21,kaev,kaevust,"Hirm tuli siis , kui kanti ette , et seal ja seal sõitis keegi kodukootud miini otsa või jõi mürgitatud kaevust - muidugi , ohvitserid seletasid , et see oli lubamatu lohakus , TshP (  tshrezvõtshainoje proisshestvije  - erakorraline juhtum ) , sest üldiselt kulgeb operatsioon rahulikult ja peatselt tuleb sellel lõpp .",,location,,yes,,,,,,
jooma,,el,loc,3860979,6218370,72,rind,rinnast,"Nimekirja jõudsid küllaltki lapsik "" Tu madre tiene un bigote "" ( Su emal on vuntsid ) ja raskekoeline "" Anda la puta que te pari "" ( Mine tagasi prostituudi juurde , kes sind sünnitas ) , kuid mitte seda , mille eest oleks teda kindlasti Bernabeu staadionil ära lintšitud , nimelt "" Me cago en la leche que mamaste "" ( Ma situn sellesse piima , mida sa ema rinnast jõid ) .",,,,yes,"The phrase 'rinnast' specifies the source or origin (from the breast) and refers to a physical location, classifying it as an adverbial of place.",,,,,
järgnema,,el,UNK,1573070,2502663,18,olümpiavõitja,olümpiavõitjast,"Tallinna linnavolikogu istungitelt puudujate edetabelit juhib tänavu fraktsiooni Rahva Valik liige Aleksandr Beloussov , kellele järgneb kahekordsest olümpiavõitjast keskerakondlane Erika Salumäe ( pildil ) .",,alive,,no,"The phrase 'olümpiavõitjast' refers to a person and not a location, so it is not adverbial of place.",no,no,no,no,no
järgnema,,el,UNK,1440097,2291488,6,karjainstinkt,karjainstinktist,Hobune järgneb teise hobuse hüppele karjainstinktist aetuna .,,,,no,"The phrase 'karjainstinktist' refers to a cause or reason, not a location, so it is not an adverbial of place.",no,no,no,no,no
järgnema,,el,UNK,5358308,8595243,8,fakt,faktist,"Võibolla see polegi tähtis , sest pelgast faktist endast järgnevad veelgi positiivsemad loogilised järeldused , mis puudutavad Eestit kui üht esimest riiki , kus on riiklikul tasemel loodud nn mudelkodaniku konkreetse portree ; see omakorda võimaldab riigi ja ühiskonna märksa lihtsamat ja ökonoomsemat juhtimist-majandamist , kõigi huvide arvestamist .",,,,no,The phrase 'faktist' was classified as 'no' because it does not describe a location or direction related to place.,no,no,no,no,no
järgnema,,el,UNK,5990820,9614563,10,valmisolek,valmisolekust,President Arnold Rüütli saabumisele järgneb kaitseliidu ülema ettekanne presidendile valmisolekust võidupüha paraadiks .,,state,,no,"The phrase 'valmisolekust' was classified as 'no' because it describes a state or condition, not a location.",no,no,no,no,no
järgnema,,el,UNK,3937597,6341656,21,lähenemislaad,lähenemislaadist,"Pääoma , peaoma , omapäi , isepäi , päioma , iseoma ... "" Järgneb terve pikk heietus kantuna üllatavalt filoloogilisest lähenemislaadist .",,,,no,"The phrase 'lähenemislaadist' refers to a manner or approach rather than a physical place, so it is not adverbial of place.",no,no,no,no,no
