sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag
1940825,3093367,9,puhkema,,in,N. Liit,N. Liidus,Juba 1987-88 Eestis ja hiljem kogu N. Liidus puhkenud kakskeelsusdiskussioonis asus Starovoitova allasurutute poolele : ta mõistis impeeriumi keelepoliitikute soositud ühesuunalise kakskeelsuse ebaõiglust .,,,LOC
8050236,12920213,13,ruttama,,ill,jalatsiäri,jalatsiärisse,Kotivenelastelt idee saanud 13aastased mehehakatised tühjendasid oma hoiukarbid ja ruttasid Viru tänava jalatsiärisse .,,,
8324485,13341656,8,käima,,ill,kohus,kohtusse,"KAI KRAUS : “ Asi käis kohtust kohtusse , üks lükkas edasi , teine tagasi , ” on Vindi tänava maja elanike eestkõneleja kohturallist lõplikult tüdinud .",,,
16609841,25578200,17,tarnima,,ill,hoidla,hoidlasse,"Kui tootja saadab teravilja teise liikmesriiki , ekspordib teravilja kolmandasse riiki või tarnib tähtpäevatehingu raames tunnustatud hoidlasse , maksab maksud tootja .",,location,
17987453,27371102,3,kõrguma,,in,torn,tornis,"Aotäht kõrgus tornis juba kiriku pühitsemise ajal 1810 , kuid see raudplekist täht ei pidanud ilmastikule sajanditki vastu .",,location,
15872965,24703731,5,pidama,,ill,rahvas,rahvasse,"Me peame kogu Eesti rahvasse ja kõikidesse inimestesse , kes elavad ükskõik missugustes majades , kas niisugustes , kus on üks korter , kaks , kolm , neli korterit jne või 12 korterit ja 13 korterit , suhtuma ühtemoodi .",,alive,
7054626,11334990,10,looma,,ill,puu,puusse,Vastuseks lõi rähn noka Gerhardi pea kohal raevuka tärinaga puusse .,,,
676139,1075135,7,jooma,,in,baar,baaris,Nõudsid minult - ma olin ju baaris veidi joonud ka - minuti kaupa tapmisõhtu tegevust .,,,
1868550,2975952,9,sõitma,,el,Bagdad,Bagdadist,"Eksperte saatvad diplomaadid ütlesid , et sõidavad esmalt Bagdadist 175 kaugusel asuvasse Tikritisse , mille lähedal sündis Saddam , ja seejärel Mosulisse , kus paikneb põhjapoolseim presidendipalee .",,location,LOC
515757,812223,12,kukkuma,,ill,Antarktika,Antarktikasse,16 miljonit aastat tagasi Marsi küljest murdunud ning 13 000 aasta eest Antarktikasse kukkunud asteroid on üks kandidaate seda teooriat toetama .,,location,LOC
5890720,9455573,4,kohtama,,in,Lääne-Euroopa,Lääne-Euroopas,"Teiselt poolt kohtab Lääne-Euroopas uskumatut ükskõiksust teemal , mis peaks humanismi kuritegusid hukka mõistma .",,location,LOC
10030222,16090570,7,elama,kaasa,in,Pireus,Pireuses,Kreeka meistrivõistluste kaheksanda vooru põnevusheitlusele elas Pireuses kaasa 5000 lärmakat pealtvaatajat .,,location,LOC
8092120,12985105,1,startima,,abl,naissaar,Naissaarelt,Naissaarelt stardivad mehed laupäeva varahommikul Porkkala majaka suunas .,,,
49151,84868,10,ilutsema,,in,akvaarium,akvaariumis,"Lilleletil , pikkade kaunite rooside vahel ilutseb väikeses ümmarguses akvaariumis kuldkala .",,location,
13780320,21970992,12,sõitma,ringi,in,lootus,lootuses,"Mõni on oma arust kaval - sõidab ringi vana nartsuga , lootuses , et äkki ei varastatagi .",,,
2756165,4420220,32,lõhkema,,in,peakorter,peakorteris,"Et justiitsministeeriumi registrikeskus on kõigi 18 tegutseva erakonna nimekirja avalikustamiseks valinud viisi , mis teeb nende kontrollimise võimatuks , on vaid aja küsimus , mil säärane nimekirjapomm lõhkeb mõne muu partei peakorteris .",,location,
10128994,16250376,1,lamama,,ad,hoov,Hoovil,"Hoovil lamanud 26-aastane Aleksandr viidi Maarjamõisa haiglasse , kus ta ööpäev hiljem teadvusele tulemata suri .",,,
7624736,12231559,4,sõitma,ringi,in,kabinet,kabinetis,"Ta sõitis tooliga kabinetis ringi , kuni tundis ennast ukse lähe dal hästi .",,,
359292,556660,3,varisema,kokku,in,lift,liftis,Ta varises liftis kokku ja oleks peaaegu surnud .,,,
1363623,2167808,5,kohama,,in,ookeanitagune,ookeanitaguses,"JÄÄHOKI Ükski eurooplane pole ookeanitaguses NHL-is kohanud niisugust edu , kui põhjanaabrite hoki-iidol Jari Kurri ( 40 ) .",,location,
16790977,25839155,6,tutvustama,,in,Viljandi,Viljandis,"Lauljatar tutvustab uut plaati veel Viljandis , Tartus ja Haapsalus .",,location,LOC
4856756,7798185,12,kihutama,,ill,veehoidla,veehoidlasse,"Hiina edelaosas hukkus 36 inimest , kui kahekorruseline buss populaarses turismipiirkonnas veehoidlasse kihutas , teatas ajaleht Beijing Morning Post laupäeval .",,location,
496811,781137,7,tunglema,,in,kassasaba,kassasabas,"1967. aasta lõpus tungles Ameerika noorsugu kassasabas , et näha Dustin Hoffmani läbimurdefilmi "" Abiturient "" .",,alive,
3076769,4938754,6,kukkuma,alla,in,kortermaja,kortermajas,"Möödunud reedel kukkus oma Moskva kortermajas viiendal korrusel asuva kodu aknast alla ajalehe Kommersant ajakirjanik Ivan Safronov , kirjutab Kommersant .",,location,
15644991,24410504,19,tulema,ära,el,apelsin,Apelsinist,"Aga õige pauk läks Rock Hoteliga lahti siiski alles 1980. aastal , kui hakkasime lindistama ja ma tulin Apelsinist ära .",,,
16453318,25400149,20,magama,,in,elu-mõte,elu-mõtteis,"Samamoodi usun ma , et ma oma kodus omaenda maja varingu alla ei jää ja niimoodi rahulikult oma kodus elu-mõtteis magan .",,,
10607979,17003504,10,tooma,ära,el,tulemus,tulemustest,Eilne pühapäevaleht Welt am Sonntag tõi olenevalt valimiste võimalikest tulemustest ära koguni 16 varianti Bundestagi võimaliku koosseisu kohta .,,,
19209323,28966871,28,tooma,tagasi,ill,riigikogu,Riigikogusse,"Millised need ümberkorraldused Edelaraudteel on , hakkab väga paljuski sõltuma , ma usun , ka Riigikogu tahtest , sest täna teatavasti algatati eelnõu , mis selle küsimuse Riigikogusse tagasi toob .",,location,ORG
7102491,11421606,10,panema,,adit,jagu,jakku,"Joost kahetses , et ta Rajarit sügisel kohe teise jakku ei pannud , sest Rajar oli väga andekas õpilane .",,,
15493601,24195561,4,kukkuma,,ill,Hispaania,Hispaaniasse,"Viimase nädala jooksul Hispaaniasse kukkunud vähemalt 10 arbuusisuurust jääpalli ( üks neist fotol ) on ilmselt komeedipraht , mitte aga lennukitelt alla visatud ja õhus jäätunud inimväljaheited .",,location,
4997248,8023852,12,looma,,ill,Kesk-Aasia,Kesk-Aasiasse,"Lühemaajalisem programm näeb ette Talibani kukutamist Põhja-Alliansi poolt , mis looks Kesk-Aasiasse Venemaa huve teeniva puhvertsooni . """,,location,LOC
8229861,13205537,24,pesitsema,,in,klubi,klubis,"Väga imelikuks teeb asja veel see , et vanuse piirang ei ole selles klubis mitte 18 a , vaid 21 a , kuna klubis pesitseb ka kasiino .",,,
671695,1068065,1,paistma,,abl,esietendus,Esietenduselt,"Esietenduselt paistis aga , et publiku lemmikuks nii ei saa .",,event,
9565664,15354262,8,maabuma,,in,kaldalõik,kaldalõikudes,"Salgad , mis teelt eksisid , maabusid kaldalõikudes , kus neil polnud mingit toetust oodata juba kasvõi seetõttu , et keegi ei teadnud , kus nad paiknevad .",,,
11679017,18693367,2,põrkama,kokku,in,rüsin,rüsinas,Ühes rüsinas põrkas Poom vastasega kokku ning tegi õlale haiget .,,event,
14191673,22561348,12,ronima,,adit,rahvusmuuseum,Rahvusmuuseumi,1961. aastal ronis töötu autojuht Kempton Bunton läbi lahti jäetud Londoni Rahvusmuuseumi ja viis kaenla all minema Goya « Wellingtoni hertsogi portree » .,,location,
60558,104142,1,kohtama,,in,Moskva,Moskvas,"Moskvas olid nad küll kohanud paari inimest , kes üsna hästi F. Kafka loomingut tundsid , aga “ Praha kevadest ” ei osanud või ei julenud nendega keegi rääkida .",,location,LOC
13275226,21238947,5,võtma,,ill,Sauber,Sauberisse,""" Ta võttis BMW Sauberisse ka Robert Kubica , kes käis läbi samasuguse tee .",,,
15529744,24253379,6,saama,välja,el,Liidu,Liidust,siis kui Eesti sai N Liidust välja oli mitu ärevat hetke .,,,ORG
9086352,14610305,4,vedelema,,ad,ehitusplats,ehitusplatsil,"Tatari tänava äärsel ehitusplatsil vedeles eile kellegi ära visatud koduapteegi sisu , mis võinuks ohtu seada mängivate laste tervise .",,,
5478508,8782879,4,pagema,,ill,psühhiaatriahaigla,psühhiaatriahaiglasse,"Väidetavalt pages Lvov psühhiaatriahaiglasse vabatahtlikult pärast seda , kui tema ärisuhted Venemaalt Eestisse ammust rahaküsimust klaarima tulnud ärimeestega üle kuumenesid .",,location,
1068815,1698220,13,ootama,,ill,Norra,Norrasse,"Sukeldumises osalevad Venemaa tuukrid on juba mõnda aega Peterburis ja ootavad pääsu Norrasse , kus nad välja õpetatakse .",,location,LOC
13265426,21223621,12,kaduma,,ill,kerglus,kerglustesse,"Tuleb loota , et selle lipu kõrgel hoidmine kitšlikult lihtsustatud maailma kerglustesse ei kao .",,,
5952862,9555931,15,süütama,,in,Iraak,Iraagis,Jaanuaris süütas sama rühmitus ühe Taani Stockholmi saatkonna auto protestiks Taani vägede viibimise vastu Iraagis .,,location,LOC
2503122,4013764,2,möllama,,in,Kaug-Ida,Kaug-Idas,"Venemaa Kaug-Idas möllas ööl vastu eilset viimase 50 aasta rängim lumetorm , halvates liikluse Vaikse ookeani sadamalinnades Vladivostokis ja Nahhodkas .",,location,LOC
11533719,18470482,13,rajama,,in,tööstusküla,tööstuskülas,"Linnajuhid loodavad kokku leppida veel kahe ettevõttega , et ka need rajaksid tööstuskülas tootmise .",,,
6112295,9810345,4,kõndima,,in,silm,silmis,"Kokrobite , suvitajate silmis Gaana ranniku üht kõige popimat randa pidi kõnnivad kaks apelsine müütavat poissi , nii umbes 6-7 aastased .",,,
1917864,3055793,11,pääsema,välja,el,hoov,hoovistki,Hõbehalli Ford Sierrata ei pääseks ratastoolis naine oma Lasnamäe kodu hoovistki välja .,,,
2359060,3780428,25,mahtuma,ära,ill,ruum,ruumidesse,"Lisaks tuleb arvestada , et kuigi 80 aastat tagasi ehitatud koolihooned võisid rajamisel olla oma ala uusim sõna , 21. sajandi arusaamad koolikeskkonnast neisse ruumidesse enam ära ei mahu , restaureeri ja remondi kasvõi miljardi eest .",,,
11255719,18037816,8,astuma,läbi,el,mullivann,mullivannist,Ja ilmselt pärast pealtkuulamisaparaadi paigaldamist astusid nad mullivannist ka veel läbi ! »,,,
652676,1036960,13,kolima,tagasi,ill,hoone,hoonesse,"Ligi kümme aastat mööda linna rännanud Raeapteek kolib jaanuaris tagasi oma vanasse hoonesse , mis saab teoks tänu Tartu Ülikoolile , kes hakkab apteegi kaas-omanikuks .",,location,
2948786,4728551,9,olema,alles,in,ettevõte,ettevõtteis,"Jõulupreemiate maksmisel pole ühtseid põhimõtteid : tugevate AÜdega ettevõtteis on preemia alles , teistel lubavad preemiat maksta ülihead majandustulemused , osa on juba mõnda aastat preemiast loobunud , kirjutab Äripäev .",,,
4090328,6583381,10,tulema,ära,el,köök,köögist,""" Ametilt on naine kokk , kuid tuli kooli köögist töölt ära madala palga tõttu .",,,
3195385,5132074,2,saatma,välja,el,tund,tunnist,Saadate tunnist välja ?,,,
9641738,15472646,6,einestama,,in,keldribaar,keldribaaris,Enne seda oli ta ühes keldribaaris einestanud .,,,
12203424,19538148,2,peetuma,,in,Eskilstuna,Eskilstunas,"Rootsis Eskilstunas peetud puuetega inimeste ujumisvõistlustel püstitas Eela Kokk klassis S-11 lühiradade maailmarekordi , läbides 200 m vabalt 2 .",,location,LOC
20614625,29684558,7,tulema,ära,el,masingam,masingamast,"koaala: kolum , tule sealty masingamast ära , saad kah asjale pihta",,,
14515378,22954619,7,minema,ära,el,Lihula,Lihulast,"Eile ütles Kastepõld , et läheb Lihulast ära ega naase volikokku .",,location,LOC
5295758,8495901,4,kulgema,,ill,Sparta,Spartasse,Jooks kulges Ateenast Spartasse ja selle jooksis lõpuni 243 inimest .,,location,LOC
11861478,18982531,6,käima,,in,Amigo,Amigos,"Mäletan , et käisin novembris Amigos esinemas , lühike nahkkleit seljas , kitarr puusal , aga see kleit venis eest veelgi lühemaks ja üks vanem mees püüdis muudkui selle alla piiluda , » meenutab Airi naerdes .",,,LOC
15671501,24453457,5,sõitma,tagasi,all,mander,mandrile,Maksin arve ja sõitsin mandrile tagasi ...,,location,
2629746,4219538,19,märatsema,,in,kesklinn,kesklinnas,"Küsitlusest selgus , et aprillikriis süvendas vähemusrahvuste sildistamist eestlaste silmis ja soodustas venekeelse kogukonna protestiidentiteeti , sest Tallinna kesklinnas märatsenud noortejõugu kujundas meedia kogu venekeelse elanikkonna süm-boliks .",,location,
11056846,17708598,2,tahtma,tagasi,ill,Smolensk,Smolenskisse,Tagasi Smolenskisse ei taha Vorobjova sellegi poolest .,,location,
18029529,27432872,12,baseeruma,,in,põhiosa,põhiosas,"Selles kasutatav keel on eelnõu autorite kasutatav keel , mis oma põhiosas baseerub 1960. aastate ENSV kriminaalkoodeksil .",,,
15582451,24327830,73,tellima,,el,kesklagu,kesklaost,"Osta endale jaapani siseturu mudel ja hullemat « kemaroidi » välja mõelda tõesti vist ei saagi , elementaarne loogika harjutus ütleb , et kui rattaid tehakse jaapani turule siis neid juppe saab jaapanist ja MITTE KUSKILT MUIALT üks kõik kui head kataloogid Hr . Jaanusel , Madisel või Mallel kuskil on ja neid juppe ei hakkagi kuskil mujal kui Jaapanis olema va . mõni maaletooja kes on kogematta midagi kunagi kellegi tellimuse peale jaapani kesklaost tellinud .",,,
10043395,16112695,16,pöörduma,tagasi,all,lääneriik,lääneriikidele,"Sest miks muidu rääkis ta võimalike sanktsioonide plussidest ja miinustest , mis pöörduvad teistpidi tagasi lääneriikidele enestele .",,location,
2143046,3423255,14,kõndima,ringi,in,Jugoslaavia,Jugoslaavias,"President Kostunicat peetakse aga isiklikult vastutavaks , et ligemale 20 sõjakuritegudes kahtlustatut siiani Jugoslaavias vabalt ringi kõnnivad .",,location,LOC
13122751,20997631,19,seiklema,,in,koht,kohas,"Madis hoiatab , et palju lapsi on just seetõttu ära eksinud , et nad seiklevad liiga julgelt võõras kohas .",,,
14164327,22515943,19,röövima,,el,aiand,aiandist,"Eile öösel tungisid tundmatud kurjategijad Jõhvi vallas Edise küla aiandis valvurile kallale , sidusid ta kinni ning röövisid aiandist veoauto Gaz .",,,
10127831,16248447,10,lõpetama,,ill,jää,jäässe,Kimonosse vöötatud elegantse sõidustiiliga uisutshempion lõpetas etteaste samuraimõõga otsapidi jäässe löömisega .,,,
16851,29018,5,lõpetama,,ill,peegel,peeglisse,“ Esiteks lõpetasin ma peeglisse vaatamise .,,,
17068847,26235440,1,kavandama,,ill,üldhariduskool,Üldhariduskoolidesse,"Üldhariduskoolidesse kavandame sisse viia kutsehariduskursused , kaasata kutsehariduse arendamisse ettevõtjad ja sisse seada kompensatsioonid kutsekoolide lõpetanute töölevõtmisel .",,location,
1518686,2416720,3,saatma,,adit,Aserbaidžaan,Aserbaidžaani,OSCE saatis Aserbaidžaani ligi 200 vaatlejat .,,location,LOC
6270505,10073277,26,põrutama,,ill,Torremolino,Torremolinosse,"Kahe nädala pärast , täpsemalt 10. veebruaril pakivad Albert ja Juhanson ning tulevikulootus Raimo Raudsepp oma seitse asja ning põrutavad autoga kolmeks kuuks Malaga lähistele Torremolinosse laagrisse .",,,LOC
5270228,8454004,8,valitsema,,in,DDR,DDR-is,"Siseminister on seda kommenteerides öelnud : "" DDR-is valitsenud süsteem on jätnud maha ränga vaimse ja hingelise purustuse "" .",,,
415405,646467,27,astuma,sisse,ill,känd,Kännusse,"Nii et kui teil on isu täis restoranidest , kus ülbed kelnerid võtavad suurt jootraha ning á la carte jätab kõhu pooltühjaks , siis astuge sisse Kännusse !",,,LOC
5683219,9114667,7,tooma,ära,el,London,Londonist,"Virginia , kelle mees on toonud Londonist ära , väikesesse provintsilinna "" tervenema "" , tahab "" tagasi Londonisse , kesk suurlinna julma rütmi "" .",,location,
1532445,2438810,16,koolitama,,in,Ülikool,Ülikoolis,"Loodusmuuseum avas eile näituse "" Looduseuurija leiud "" , mis eksponeerib akadeemiku , aastakümneid Tartu Ülikoolis biolooge-geograafe koolitanud professor Viktor Masingu arvukatelt reisidelt kaasa toodut .",,,ORG
5276347,8463715,3,võimutsema,,in,pesapall,pesapallis,Kuuba võimutseb pesapallis,,,
3880813,6250411,14,väljuma,,abl,sisemaa,sisemaalt,"Kokkuleppel teeäärsete kruntide omanikega on varakult teada ka kohad , kust autod "" sisemaalt "" peateele väljuvad .",,location,
1503611,2392792,9,hoidma,kinni,in,kett,ketis,"Mõni inimene põeb , et kunagi hoidis Balti ketis võõraste inimestega käest kinni ja lehvitas rahvuslippu .",,,
2594718,4164136,19,laskma,maha,in,tüli,tülis,"Tallinna vanglas poos end reedel üles Ilja Frolov ( 20 ) , kes talvel lasi raha tõttu tekkinud tülis maha ärimehest isa .",,,
6673364,10737186,7,ootama,,ill,Ameerika,Ameerikasse,Täielikult valmis saanud auto ootab nüüd Ameerikasse sõitmist .,,location,LOC
11249139,18027077,25,jooksma,,ill,jalgrattakuur,jalgrattakuuridesse,"Ning kogu etenduse kestel ikka-jälle tibutanud vihm lahvatas üksvahe sääraseks vägevaks valinguks , et nii kohus kui kohtualune , nii näitlejad kui publik paanikas jalgrattakuuridesse ja keldrisse varju jooksid .",,,
2159140,3449157,2,tahtma,,ill,klubi,klubisse,Saksamaa klubisse tahan küll minna .,,,
5744641,9214108,6,otsustama,,ill,konsortsium,konsortsiumisse,"Juhtkomitee otsustab uute liikmete kaasamise konsortsiumisse , mille koosseis ei kuulu enne septembrit ei avalikustamisele , teatas EE .",,,
3639582,5861166,20,jõudma,tagasi,el,Monako,Monakost,""" Varem tõmbasime pärast õnnestunud mängu pudelilt korgi , "" ütles kogenud poolkaitsja Marko Kristal , kui meeskond oli Monakost Küprose-laagrisse tagasi jõudnud .",,,PER
8825169,14172782,8,parkima,,all,mäenõlv,mäenõlvale,Veerand tundi hiljem parkis Toomas auto idüllilisele mäenõlvale pseudogooti stiilis lossi kõrval - kui ma midagi üldse arhitektuuristiilidest teadsin .,,location,
15003515,23538018,10,liikuma,edasi,ill,loe,loodesse,Pärast hävitustööd Põhja-Carolinas ja Virginia osariigis liikus torm edasi loodesse Pennsylvania suunas .,,location,
13069454,20912242,24,nappima,,in,konverentsisaal,konverentsisaalis,"Tõepoolest enne kontserdi algust jäid kümned ja kümned pileti ostnud nurisemata seina äärde seisma , sest istekohti Viru hotelli muidu nii avaras Grandi konverentsisaalis pehmelt väljendudes nappis .",,location,
2525121,4049779,3,kiirustama,,adit,tuba,tuppa,"Ning kiirustab tuppa , keerates ukse enda järel hoolikalt lukku .",,location,
8197886,13158157,10,vedelema,,ad,muuseumiesine,muuseumiesisel,"Vargad olid oma saagiga üsna hooletult ringi käinud , muuseumiesisel vedeles maas skeleti küljest pudenenud luid , mis viis politsei üha kindlamale oletusele , et tegemist oli amatööridest varastega .",,,
6017287,9657374,1,unustama,,ill,teos,Teosesse,"Teosesse "" Sakalamaa ei unusta : nimede register "" on registreeritud 8824 Viljandimaal sündinud või seal represseeritud isiku saatus .",,,
5234137,8397099,1,kõndima,,in,London,Londonis,"Londonis , kust kõik kuumad trendid alguse saavad , kõnnivad noored , püksid rebadel , juba mõnda aega .",,location,
17917131,27309199,16,võtma,kaasa,adit,pult,pulti,"Kuid järgmiste küsimuste jaoks on mul siin valmis pandud ka hulk õpikuid , mida ma pulti kaasa ei võtnud .",,location,
11111503,17799793,9,peitma,,ill,katusealune,katusealusesse,"Poolteist kuud oli ema peitnud poja ööseks külma katusealusesse vatitekivirna alla , et kui otsijad tulevad , jääb Andres ehk leidmata , ja päevaks varjanud ta kõrvaliste pilkude eest umbsesse tuppa .",,location,
3811169,6138998,32,kirjutama,,ill,ametijuhend,ametijuhendisse,"Ideaalis mõtleb uue ametikoha järele vajadust tundev tööandja enne sobiva isikuga töölepingu sõlmimist läbi selle koha täitja ülesanded , õigused , kohustused ja vastutuse ning kirjutab need selgelt ja üheselt mõistetavalt ametijuhendisse .",,,
5630174,9028673,5,rajama,,in,ootus,ootuses,Mõni seltskond on tundidepikkuses ootuses rajanud siia oma väikese pesa ja tarvitab joovastavaid jooke .,,,
5086254,8163972,6,õpetama,,in,Havanna,Havannas,Argentiina vutilegend Diego Maradona õpetas Havannas Fidel Castrole oma ametisaladusi - palli valdamise kunsti ning mängutaktikat .,,location,LOC
3829706,6168570,16,surema,,in,Aserbaidžaan,Aserbaidžaanis,"GENF , 14. märts ( Reuters-EPLO ) - Maailma tervishoiuorganisatsioon WHO teatas teisipäeval , et Aserbaidžaanis suri kolm naist linnugrippi .",,location,LOC
2354235,3772344,7,andma,,ill,halduskohus,halduskohtusse,"Paralleelselt kriminaalasjaga andis naine Fertilitase ka halduskohtusse , kus pooled saavutasid kohtuvälise leppe - Fertilitas maksis naisele valuraha ja naine kirjutas politseile avalduse , et loobub Fertilitase vastu esitatud süüdistustest .",,location,
13766116,21949350,51,eksportima,,ill,Zimbabwe,Zimbabwesse,"Lõikeid 1 ja 2 ei kohaldata üksnes humanitaar- või kaitseotstarbeks mõeldud mittesurmava sõjavarustuse ja sellega seotud tehnilise abi või koolituse suhtes ; samuti ei kohaldata seda kaitseriietuse , sealhulgas kuulivestide ja sõdurikiivrite suhtes , mida ÜRO töötajad , massiteabevahendite esindajad ning humanitaar- ja arenguabitöötajad ja nendega seotud personal ajutiselt ekspordivad Zimbabwesse enda tarbeks .",,location,
1461099,2325081,7,valitsema,,in,Brüssel,Brüsselis,Rahva võistluspaigast äratoimetamisel valitses avamängu järel Brüsselis tõeline kaos .,,,LOC
2993525,4801603,9,rippuma,,in,Donetsk,Donetskis,"Donbassi tudengite sõnul rippusid juba aasta enne valimisi Donetskis plakatid , kus Juštšenko oli Saksa vormis .",,location,LOC
8371059,13414057,3,helisema,,in,ateljee,ateljees,Priit Pärna ateljees heliseb telefon .,,location,
5492330,8805974,7,valvama,,in,lootus,lootuses,"400 meest valvas öösiti Hannoveris pangaautomaate lootuses , et "" rõdumonstrumiks "" kutsutud kurjategija tuleb oma järgmise ohvri pangakaardiga raha välja võtma .",,,
8102476,13001847,15,olema,vaja,ill,liivarand,liivarandadesse,""" Randade loomulikku kaitsevõimet ei tohi vähendada ja asi peaks käima hoopis vastupidi - liivarandadesse on vaja liiva juurde tuua . """,,location,
14573579,23017626,11,seisma,,in,Delfi,Delfis,"See siin tõesti Delfi kõige populaarsem sõnavõtu koht , mujal Delfis elu seisab .",,location,ORG
7439888,11945442,3,tellima,,el,ajakirjandus,ajakirjandusest,"Hansatee tellib ajakirjandusest artikleid , jne.",,,
19943436,29366210,8,võtma,kaasa,adit,japs,japsi,"antrax: Seven - võta mind teinekord japsi kaasa - ma sulle ommikul richteri skaala järgi ütlen , kas jäime ellu või mitte :P",,alive,
12161127,19472284,7,kukkuma,alla,in,Stockholm,Stockholmis,Kuu enne tütre ilmaletoomist kukkus Sahlene Stockholmis alla järsust kivitrepist ja viidi mõneks päevaks haiglasse .,,location,LOC
11354042,18191168,5,hoidma,kinni,in,õhk,õhus,Võib-olla hoiab tolm heli õhus kinni ?,,,
4356541,7008016,9,juhatama,,in,Oskar,Oskaris,""" Näib , et nüüd , kus Laast Oskaris vägesid juhatab , läheb klubi kiiresti ülesmäge .",,,ORG
2220529,3551161,2,jooksma,,all,karu,Karudele,""" Karudele jooksis vesi külje alla , loomade urud on vett täis ja nad peavad välja kõrgema koha peale ronima , "" rääkis Kaal .",,alive,
8421228,13497665,8,tutvustama,,in,Pariis,Pariisis,Peugeot'd ja Citroeni tootev PSA grupp tutvustab Pariisis Peugeot' 406 uusi modifikatsioone ja Citroeni väikeveoki Berlingo pereversiooni .,,location,LOC
3207109,5151354,17,ravima,,in,pussitamine,pussitamises,"Whipps Crossi haiglas suri üks pussitamise ohver , North Middlesexi haigla teatas , et ravib viit pussitamises viga saanut .",,,
6033905,9683980,4,võtma,kaasa,ill,mägi,mägedesse,Kindlasti võtab Kalle mägedesse kaasa kahed päikeseprillid .,,,
11579769,18542556,11,pagema,,all,elektrirong,elektrirongile,"Piirdusin küll vaid paari klaasi kuiva veiniga ja pagesin öisele elektrirongile , seal aga . . .",,,
11386231,18245156,5,hankima,,el,tapamaja,tapamajast,"Jaapanis hankisid doktor Frankensteinid tapamajast ühe lehma kümme munarakku , vahetasid nende tuumad teise lehma omade vastu ja istutasid kolmandasse .",,location,
16274531,25204965,18,maksma,,ill,eelnõu,eelnõusse,"Nii et see on probleem , mida võiks eraldi käsitleda , aga ma arvan , et siia eelnõusse ei maksaks väga uusi probleeme sisse tuua , sest siis jääb see järjekordselt venima mitmeks kuuks .",,,
2650934,4253647,16,vedama,,adit,jõgi,jõkke,"Tema ees peesitavad Kalevipoja koerad Irmi , Armi ja Mustukene , taamal veab paharet mõõka jõkke .",,,
6912492,11110448,37,kandma,,adit,taru,tarru,"Andreas rebis Stella enda vastu ja suudles ta laupa , silmi , palgeid , huuli , kaela , siis jälle huuli otsekui oleks ta mõni mesilane , kes enne külmade tulekut ja õite närbumist meeleheitlikult mett tarru kannab .",,location,
552288,872478,24,käima,ringi,in,boks,boksis,"Sellest hetkest alates ei andnud Häkkinen juhtpositsiooni kordagi käest , välja arvatud siis kui ta käis 20. ja 22. ringi vahel esimest korda boksis .",,location,
2162412,3454260,3,kogunema,,in,Kadriorg,Kadriorus,"Reedel koguneb Kadriorus presidendi akadeemiline nõukogu , mille president Arnold Rüütel otsustas moodustada 25. aprillil .",,,ORG
1968582,3139159,14,süttima,,in,finaalmäng,finaalmängus,"JALGPALLI MM : Kiidetud prantslase Zinedine Zidane'i täht süttis eredalt õigel hetkel , finaalmängus",,event,
