lause;form
Kuni filmigrupp Veronas ringi liigub , käivad Romeo ja Julia õue uudistamas ka teised õnnekad .;Veronas
“ Ükskord talveööl käis metsavend ka meil .;talveööl
Näiteks see , kus mina ja Marianne'i-nimeline tüdruk istume korvtoolidel .;korvtoolidel
Anne Kahro ütleb : “ Kõige suurem šokk oli tagasi tulles , et inimesed käivad üksteisest läbi nagu mühakad .;üksteisest
Käisid hiljuti Pariisi ja Milano kangamessidel - kuhu mood suundub ?;kangamessidel
Üldiselt treenin enda jaoks , aga olen käinud ka maratonidel .;maratonidel
Ta lahkus pärast võitlust oma vennaga itta , lubades sealt kunagi tagasi tulla .;itta
Vaatamata ühiskonna eitavale hoiakule astus valitsus siiski juba 1993. aastal samme , et võimalikest kriisidest puhtana välja tulla .;hoiakule
1972. aasta detsembrini käis kuue Apollo-laevaga Kuul kokku 12 meest .;Kuul
Pidevalt valitsuses istunud põllumeeste esindajad suutsid eelarvet oma kasuks mõjutama hakata alles pärast karmikäelise Vähi asendamist pehme Siimanniga .;valitsuses
Mullu politseisse toimetatud alaealistest Narvas 11 ja Ida-Virus 17% ei käinud koolis .;Narvas
Leidmata eest pisikuid , ei lahku kohaletulnud immuunrakud ometi maoseinast .;maoseinast
Kui Kanepi kolhoos laiali läks , lahkus siitkandist äraelamise otsinguil hulk inimesi .;otsinguil
Bremenit tabanud hiigellaine võis koosneda mitmest üksiklainest , mis üldjuhul rahulikult liiguvad .;üldjuhul
Korra käid pesulas - 100-150 liitrit ehk vannitäis vett jälle läinud .;pesulas
Teisalt liigub veri sääse iminokas ainult ühes suunas .;iminokas
Kuid kui me astume tagasi selt inimliku ülbuse positsioonilt , siis võime läheneda ka teisiti : see on keel , mis kõneleb läbi inimese ja mitte vastupidi .;positsioonilt
Andres Tarandi valitsus 4. novembrist 1994.a. kuni 17. aprillini 1995.a. Tuli võimule seoses umbusalduse avaldamisega Mart Laarile , mille tulemusel peaminister astus tagasi .;tulemusel
Käisin tualetis nina puuderdamas ning tagasi tulles leidsin eest kaks vaenulikku leeri .;tualetis
Kui me käisime Peterburis ehituskomitees ja andsime infot meie firmade kohta - mida me toodame , missugused on meie võimalused - , sain aru , et neil on huvi Eesti ettevõtjate vastu , kes tuleksid oma kapitaliga ja lükkaksid mõnegi asja käima .;ehituskomitees
Eesti Ajas astus pihtimusega üles retsidivist Aivo Käoküla , kes tema enda kinnitust mööda teinud Moskvas salaja läbi KGB erikursuse , kaardistanud hiljem Türi pastoraadi ümbruse teed ning osalenud pastor Meri ja tema koduabilise tapmises .;Ajas
Kui mandril armastatakse suhtlemisruumi laiendada tänavale ( inimesed söövad , joovad , veedavad aega , suhtlevad seal ) , siis Inglismaal käib suhtlemine rohkem kutsete abil ja eraldatumais paigus , nagu aiavastuvõttudel .;Inglismaal
Astronoomilises kirjanduses liiguvad väited , et 100-meetriste ja suuremate ohtlike asteroidide arv võib ulatuda 300 000.;kirjanduses
Sellisel juhul on Eesti rahuvalvekompanii pidevas valmisolekus , sinikiivritel on pikemad lepingud ja nad käivad kogu aeg missioonil .;missioonil
Nende eesnimed enam õiged eesti nimed polegi , nimedega originaalitsemine käis juba seitsmekümnendatel .;seitsmekümnendatel
Ajalooline paratamatus seisnes selles , et mees astus nii komsomoli kui parteisse olude sunnil , mitte iseenda algatusel .;komsomoli
“ Ma tunnen Olari Taali kui jahi- ja kalameest ammusest ajast ja mul polnud põhjust kahelda , kui see taotlus tehti , ” kinnitab Villu Reiljan , kes käis Taaliga koos Viitina koolis Võrumaal .;Võrumaal
Soome meremehel jookseb palk ka puhkepäeval .;puhkepäeval
Darja ja Dima on suure töö ära teinud - rühmas , mis alustas Tallinna Tõnismäe reaalkooli lastega , käib lapsi üle Tallinna .;rühmas
Väike Trull on ju muude tunnuste poolest Oleg-Lembit Mutt , kes Amicusse astus alles teisel semestril 1939.;semestril
Komitee koosnes ministritest ja teistest juhtivatest riigitegelastest ning käis koos vastavalt vajadusele .;vajadusele
KR :  Sadakond , üldse käib 500 inimest Tapalt väljaspool tööl .;Tapalt
Uskuge või mitte , Leo käiski väljamaal silmi hööveldamas .;väljamaal
Pendeldajaid liigub kesklinlastest suhteliselt rohkem ( erinevus kuni 10% ) tööpäevadel tööle mineku ja töölt tuleku ajal : hommikul kl 8 : 30-9 : 30 ja õhtul 16 : 30-18 : 00.;kesklinlastest
Kuigi Eesti on olnud üks neist maadest , kes on liikunud kõige kiiremini globaalsetesse kommunikatsiooni võrgustikesse , on Eesti kaotanud ligi pool sajandit globaalses moderniseerumise protsessis .;võrgustikesse
Esimene kirjeldab , kuidas ettevõtlikud eestlased ookeani taga juhutöödel käivad .;juhutöödel
Need teadmised on a ) konkurentsivõimelised teadmised tehnoloogiavaldkonnast , millest ideed pärineb , b ) konkurentsivõimelised teadmised ärivaldkonnast ehk üldine arusaamine sellest , kuidas raha ühiskonnas liigub ja kuidas majandus toimib .;ühiskonnas
[ 3 ] Nii käib siin jutt sotsiaalse käitumisnormi õiguslikust kehtivusest läbi riigi seadusandliku tegevuse prisma .;kehtivusest
Uute turgude sissesöömine käib üleminekuriikides ja Aafrikas .;üleminekuriikides
Samuti nagu muudel kasutusaladel käib ka haldusmenetluses proportsionaalsuse testimine sobivuse , vajalikkuse ja mõõdukuse kaudu .;kasutusaladel
Vaatluse alt olen välja jätnud need ministrid , kes on ametist lahkunud ( a ) haiguse tagajärjel ( b ) terve valitsuse ametist ( c ) ühe valitsuse osapoole valitsusest lahkumisega .;tagajärjel
Et aga kvantmaailmas liiguvad osakesed valguse kiirusel , siis juba mõõtmise lõppedes on osakese asukoht muutunud ja kiirus samuti .;kvantmaailmas
Sittow on lahkunud 15-aastase poisina Tallinnast Brüggesse Madalmaile ning tal on õnnestunud saada seal just nagu isegi ootamatult õpilaseks tollal väga kuulsa Hans Memlingi töökotta .;Madalmaile
Ja pakkudele seatud lauajuppidel istub tosina rasvaküünla paistel neli- või viiskümmend meest .;paistel
Samal aastal astus R. Kangro Tartu Ülikooli doktoriõppesse , kust 1992. a sügisel suundus õpinguid jätkama Carnegie Melloni Ülikooli .;doktoriõppesse
Astunud topoloogiaks nimetatava hoone lävele , heidame nüüd põgusa pilgu ka hoone sisemusse .;lävele
Lvovi parem käsi Nikolai Holopov istus enne jõule nädalakese vahi all .;jõule
Ühel suvelõpupäeval istuvad kaks meest Pärja tänaval Astera direktori Andronovi autosse .;suvelõpupäeval
On olnud huvitav jälgida dispuuti kõrghariduse rahastamise teemal : pilkupüüdvad pealkirjad räägivad  haridusest  , aga jutt käib koolitustellimustest  erialadele  .;koolitustellimustest
Rootsi-poolses multimeediastuudios istus ja esines professor Björn Pehrson .;multimeediastuudios
Varundatavad andmed liiguvad kettasüsteemist läbi serveri varundusseadmesse .;varundusseadmesse
Pärast kaheksandat klassi astusin TEMTi MM-erialale ( täna Tallinna Kõrgem Tehnikakool ) , 1987 lõpetasin (  c   um   l   aude  ) ja viisin paberid kohe TPI õhtusesse osakonda , tuli hakata end ise majandama .;MM-erialale
( Am 5 : 10-12 ) Kui etiooplane Ebed-Melek , hoovkondlane , kes viibis kuningakojas , kuulis , et nad olid Jeremija pannud kaevu - kuningas istus parajasti Benjamini väravas - , siis Ebed-Melek läks kuningakojast ja rääkis kuningaga … ( Jr 38 : 7 ) Siis kuningas ( jutt käib Taavetist ) tõusis ja istus väravasse .;Taavetist
Kuna kristluse üheks “ firmamärgiks ” oli igavese elu idee , oli selge , et teispoolsusesse lahkunud nii nais- kui ka meespühakute hauad said erilise tähelepanu osaliseks .;teispoolsusesse
Viimati astus suursoosikuna võistlustulle sõudja Jüri Jaanson 1995. aasta MM-il , enne teda trekirattur Erika Salumäe Barcelona olümpial .;MM-il
Lausetes  Järsku olid auto rattad taeva poole  'autol olid rattad ülespoole' ja  Nõrgemal rüselejal käisid sussid vastu taevast  toimib  taevas  ruumiorientiirina .;rüselejal
Jalgpalli EM-i 9. valikgrupi liider Tshehhimaa astub 5. juunil Tallinnas Eesti vastu peaaegu parimas rivistuses .;rivistuses
Käis õpireisidel Soomes , Saksamaal , Rootsis , Taanis .;õpireisidel
Äikesepilve tipus liigub kuivaks sadanud õhk orkaani tsentrist eemale ja moodustab orkaani ülaosas silmast mitmesaja kilomeetri kaugusele küündiva antitsüklonaalse õhupöörise .;tsentrist
Eriti sagedasti tekivad ja liiguvad tornaadod Ameerika Ühendriikide Suurel Tasandikul , kus neid registreeritakse aastas üle 700 ja nad tapavad aastas üle 100 inimese .;Tasandikul
Raskes seisus toimetati Märjamaa haiglasse Nivas juhi kõrvalistmel istunud hooldekodu velsker Enna ( 58 ) , kes sai hulgaliselt luumurde .;Nivas
16.000 töötut oli eelmiselt töökohalt lahkunud omal soovil ja 16.000 olid enne tööotsingute alustamist mitteaktiivsed ( õppijad , lapsehoolduspuhkusel olijad , kodused ) .;kõrvalistmel
16.000 töötut oli eelmiselt töökohalt lahkunud omal soovil ja 16.000 olid enne tööotsingute alustamist mitteaktiivsed ( õppijad , lapsehoolduspuhkusel olijad , kodused ) .;töökohalt
""" Mulle meeldib siin väga , "" tunnistas mööda treppe kõrgele vaateplatvormile astunud ning moevaatemängu ja muusikat kaifiv kultuuriminister Signe Kivi "" Õhtulehele "" .";vaateplatvormile
""" Võimult lahkunud valitsusi aga vaadatakse tagantjärele nostalgiliselt - ega neil viga olnudki . """;Võimult
Paljud Jõgevamaa vallavalitsused on internetiühenduse puudumise pärast mures , kuna üha rohkem informatsiooni riigiasutustest muutub tasapisi elektrooniliseks ning paberil dokumente liigub järjest vähem , kirjutab ajaleht Vooremaa .;paberil
Laupäeval selgub õnnelik tiitliomanik , enne seda astuvad võitlustulle veel kaks truppi .;võitlustulle
Päästearmee Kopli korpuses käis;korpuses
"Vaatamata NBA-ahvatlusele käis ta ülikoolitee Wake Forestis lõpuni ja lõikab nüüd dividende . """;NBA-ahvatlusele
Linnakodanikke hämmastas , et Mamutovi protsessil käis kohtuotsust kuulamas Tartu autoregistribüroo juhataja Nikolai Sess .;protsessil
Minu hea eesti kolleeg pole käinud Vormsil ega Prangli saarel , aga meie abikaasaga viibisime möödunud nädalal Halliste jõel kanuumatkal .;Vormsil
""" Atlasss ! "" astub perenaine mesimagusalt suurele loomale ligi ja sügab tedagi sarvede tagant .";loomale
Tema kaksikutel poegadel Savilil ja Simeonil jookseb neljas elusuvi .;kaksikutel
Nädalavahetustel käin vastavalt oma rahakotile keskturul .;rahakotile
"Enne lennukisse minekut oli Tombak lahinguvalmis : "" Kui enesetunne hullemaks ei lähe , istun laupäeval sadulasse .";sadulasse
Istus hommikupimeduses Otepääl autosse ja roolis Tallinna , võttis Toompeal peaministrilt preemia ja sõi temaga pidulikku lõunat , kohtus lugematute õnnitlejatega ja andis äsja spordi avastanuile intervjuusid .;hommikupimeduses
Öösel põlengupaigal käinud inimesed rääkisid , et tuli sai alguse rahvamajaga ühe katuse alla ehitatud elektrita hoiuruumist , mille eraldi sissepääs oli lahti .;põlengupaigal
"Esmakordselt astus püünele porgandpaljas inimene New Yorgis muusikalis "" Juuksed "" 1968. aastal";muusikalis
Tal on pikad juuksed , hall habe ja vasaku rinna kohal on tal tätoveering , mis kujutab pilvel istuvat naist .;pilvel
Võttis lihtsalt puhkuse varem välja ja käis operatsioonil ära .;operatsioonil
Re ( ogonek ) iimist power lahkub auto kohe , kui juht lülitab sisse kiirusehoidiku .;iimist
Norrast Eestisse vääriskala vedav ja seda Keskturul müüv Oleg Lvov , 44 , ning Venemaalt Kesk-Euroopasse kala importiv Aleksandr Klepatš istusid teisipäeval Lvovi kodumajas Meriväljal Ida tee ja Heki tee nurgal , kui keskkriminaalpolitsei tuli , Lvovi käed raudu pani ja ta eeluurimisele viis .;Meriväljal
Kalalkäigult tulnud haigur istus puhkama Maureen Brewini korstnale Inglismaal Northamptonis .;korstnale
Kokkupõrke põhjustas rahukontingendile KFOR kuuluv sõiduk , mis liikus ühesuunalisel teelõigul eksikombel vastassuunas .;teelõigul
Lisaks juba mullu festivali filme demonstreerinud kinomajale , Sakala keskusele , kinole Sõprus ja vene kultuurikeskusele jooksevad festivali filmid tänavu ka vene draamateatris ja Tartu kinos Illusioon .;draamateatris
""" Ega see mulle eriti veel kohale pole jõudnud , "" naerab lauljatar Hanna-Liina Võsa , kes nädala pärast lahkub Maarjamaalt ja alustab õpinguid Ameerikas .";Maarjamaalt
Ehkki lapsepõlves käis ta Kuku-klubis päevasel ajal söömas ning vaatas Kunstifondi ruumidest Niguliste kiriku põlemist .;Kuku-klubis
""" Oleme patrullidele sõnad peale lugenud , et nad hommikuti ikka koolide läheduses liiguksid , "" märkis ta .";läheduses
"Kõrgushüppe kohta kostis Nool , et jooksis 2.00-l latile liialt sisse : "" Jõudu jätkus , aga see ei suundunud üles .";latile
Veebilehe andmeil viidi pühapäeval linna veel 800 võitlejat , äärelinnades käivat juba lahingud .;äärelinnades
Raamatu autori südamesse astus Elvis umbes 1977. aastal , kui toona 13aastane Tõnu nägi telerist juhuslikult klippi Elvise matustest , mida austas oma kohaleolekuga ligi 7000 inimest .;Elvis
Jugoslaavia kriisile diplomaatilise lahenduse otsimine jookseb täistuuridel - esirinnas on vähemasti sõnades ikka Venemaa ja tema järel nüüd ka ÜRO peasekretär Kofi Annan , OSCE ja euroliit ning ilmselt kõige tõsisemalt viimase eesistujariik Saksamaa .;kriisile
Kohustusliku kirjanduse lugemisajaks jooksevad emmed-issid mõne teose leidmiseks mööda linna jalad rakku .;rakku
Kui ta katsub perenaist majapidamistöödes abistada , saadetakse ta ära kambrisse , kui ta üritab seal klaverit mängida , hakkab haige vanaperemees tagatoas köhima , oigama ning palub viimaks : jätku kallis laps ometi järele , see käib luust ja lihast läbi !;luust
Inge Ojalal käivad varjupaigas abiks ka mees ja tütar .;varjupaigas
Ja nüüdismaailmas liigub tehnoloogia suhteliselt kiiresti käest kätte .;nüüdismaailmas
Kosovo lõunaosas asuva Urosevaci linnast idas asuval nisupõllul käib juba kaks kuud kõva ehitustegevus , kus USA rahuvalvajatele püstitatava baasiga tahetakse sõduritele luua kodune atmosfäär ja kaitsta neid rünnakute eest .;nisupõllul
"Teatrikooli XIX lennu tudengid astuvad täna publiku ette vanal seto lugulaulul põhineva "" Kalmuneiuga "" Tallinna vana elektrijaama turbiinisaalis Põhja puiesteel , nüüd energeetikamuuseumis .";turbiinisaalis
Võrumaal Ruusmäe , Rõngu , Antsla ja Sõmerpalu trajektooril liikunud maru tõttu langes seal rivist välja 450 trafopunkti .;trajektooril
Sügishooajal käin ilmselt paar korda perega Rootsis ja mõned korrad mujal Euroopas konverentsidel või loengut pidamas .;Sügishooajal
Suure sihi nimel teeb Tiidemann nädalas 25 treeningut -- ujub ja jookseb kuuel , vehkleb ja tulistab viiel ning ratsutab kolmel korral .;kuuel
Eile Londonis suurel vabaõhulaval üles astunud Chris De Burgh oma kolmetunnisest Tamula kontserdist otseülekannet teha ei lubanud .;vabaõhulaval
Pala lapsed käivad Alatskivil ja Tartus keskkoolis , Alatskivi vallaga on ühine vallaarst .;Alatskivil
Populaarne naiskriminalist Miss Marple toimetab juurdlusi Christie 12 romaanis ja 20 lühijutus , Vanemuise lavale astub ta Maimu Krinali kehastuses .;kehastuses
Aga tõe-näoliselt astus Kvashnin nii järsult kaitseministri vastu välja president Vladimir Putini teatud toetusel .;toetusel
Arusaamine käib käsi-käes küpsusega .;käsi-käes
Küllap oleksingi mammiks jäänud , nagu mind mees ja hiljem lapsedki kutsusid , aga võtsin end kokku ja astusin kultuurikolledõisse raamatukogundust õppima .;kultuurikolledõisse
""" Kollase Jõe deltas , Shandongi provintsis käisin kahes linnas .";deltas
Sel aastal käis ta seal teist korda külas oma üliõpilasest vennal .;üliõpilasest
Euroopa börsid liikusid reedel plussis , kuid Wall Streeti avanemine miinuses vallandas kasumivõtmise .;plussis
Tsurkan ja Harkin lavastasid rahaautos istunud Kuusksalule kallaletungi ning sõitsid rahaveomasinaga minema .;rahaautos
Miljon kilomeetrit ehk 25 korda ümber maakera sõitnud buss on ühe korra käinud kapitaalremondis .;kapitaalremondis
Arge oli omal ajal sõlminud Nordika ja RBH vahelise arvelduskrediidi lepingu 10 miljoni krooni peale , mille alusel liikusid varad Nordikast RBHsse ning vastutasuks ei pidanud Nordika oma Rävala büroo kolme korruse eest renti maksma .;RBHsse
Puhastuse ootuses käisin kogu aeg massaažis .;ootuses
Kõrvuti Draamateatri näitlejate Lembit Ulfsaki , Mait Malmsteni , Kleer Maibaumi , Veikko Tääri ja Taavi Teplenkoviga astuvad rockmuusikalis lavale noored lauljad Jakko Maltis , Kaire Vilgats , Kelli Uustani , Ele Raik , Maria Kasepalu-Joffe , Lauri Liiv ja Bert Pringi .;rockmuusikalis
Muidugi liigub vormelimaailmas väga suur raha .;vormelimaailmas
Endine Tšiili diktaator Augusto Pinochet käis teist korda viimase üheksa päeva jooksul aju-uuringul , mille tulemusi aga arstid ei avalda .;aju-uuringul
Seni on Morozov keeldunud legaliseerimast enda viibimist Eestis ega pole ettekirjutusest hoolimata siit seni ka lahkunud .;ettekirjutusest
Vene president Vladimir Putin astus eile juba teist korda viimase kahe kuu jooksul Jaapanis judotatamile , kus ta aga 10-aastase koolitüdruku poolt selili heideti .;judotatamile
Tallinna linnavalitsus ei kavatse koonderakondlasest Kristiine linnaosavanemat Juhan Hindovit ( pildil ) ametist vabastada , kuigi Koonderakond lahkus möödunud reedel Tallinna võimuliidust .;võimuliidust
Tänavad blokeeriti , mina aga istusin koos emaga trollis ning meil oli vaja jõuda Balti jaama , et sealt siis bussiga seenele sõita .;trollis
Või näiteks kuivõrd fundamentaalne on ikkagi Tartu-Tallinna füüsiline vastuolu , ehkki võrgumaailmas käib kahe linna elanike vahel tihe suhtlemine .;võrgumaailmas
"Ametlikku kandidaatide süsteemi pole , kuigi väitlus käib juba ajalehtede siselistidel , "" ütles Tammerk .";siselistidel
Natalja ehmunud kaaslane jooksis pärast õnnetust trollipeatusse ja sõitis minema .;trollipeatusse
Peaaegu iga päev käib ta mõisamajast , mida praegu Rõuge huvikojaks kutsutakse , läbi .;mõisamajast
Kõik suuremad mobiilitootjad astuvad jõuludele vastu tuliuute noortetelefonidega .;jõuludele
Ida-Viru maakonnakeskuses Jõhvis käib tööd otsimas umbes 1200 inimest kuus ehk keskmiselt 50 inimest päevas .;maakonnakeskuses
Järelikult käib jutt järjekordsest Vene-pärasest teede ja külade lauspommitamisest , mitte NATO poolt demonstreeritud täpsuslöökidest .;lauspommitamisest
"Paljud pangad on sel aastal oma töötajatele juba maksnud "" kuldsete käeraudadena "" mõjuvaid preemiaid , kuna andekamate töötajate värbamisel käib tihe konkurents .";värbamisel
Arendavad keelt , kultuuri , kõnnivad rahvariideis , helistavad kannelt .;rahvariideis
Mängu tootja Blizzard kinnitab , et mäng jookseb ilusti 233-megahertsise protsessori , 32 MB mälu , 650 MB vaba kettaruumi ja DirectX graafikakaardi olemasolul .;olemasolul
Pärast tagasiastumist valitsusjuhiametist 1999. aasta lõpus lahkus Paksas ka konservatiivide parteist ning asus Liberaalide Liidu etteotsa .;Paksas
Naised , kes käisid 1997. aasta mais ekspeditsioonil põhjapoolusel , alustasid oma retke lõunapoolusele 24. novembril , olles eelnevalt 18 kuud Norras treeninud .;põhjapoolusel
""" Kui tulemus , mille Bemis nüüd välja käib , pole midagi sellist , mis oleks väärinud niisugust poolehoidu , siis ollakse tulevaste taoliste aktsioonide suhtes kindlasti palju skeptilisemad , "" rääkis sotsioloog .";Bemis
Pärast seda esitas Vaik lahkumisavalduse vallavanema kohalt ning astus välja ka Isamaaliidust .;Isamaaliidust
Olen käinud Eestis palju tööreisidel , ei tunne aga ometi kuigi hästi neid põhimõtteid , milledele tuginedes toimivad teie kohalikud omavalitsused .;tööreisidel
Kõnnime kaldapealsel , mis veel paarikümne aasta eest oli nii püha , et siin vaid vilja kasvatati .;kaldapealsel
Merike räägib loo ajast , kui käis vaegnägijatele esinemas .;vaegnägijatele
Maailma viimase 15 aasta valitsejale Kasparovile ( 37-aastane , Elo 2849 ) astub vastu rahvusvahelise alaliidu FIDE edetabeli teine number ( 25 , 2770 ) , kuu aega kestvas matshis mängitakse 16 partiid .;valitsejale
Peipsil kalal käinud kolme lätlase vahel tekkis tagasiteel tüli , mille käigus Viktor ( 46 ) pussitas Vladimirit ( 47 ) ja Antonit ( 42 ) .;Peipsil
Kaukaasias käisid piigad ujumas .;Kaukaasias
Samal ajal väidavad mõned allikad , näiteks Saksa nädalaleht Der Spiegel , et jutt käib dokumendist , mille koostas Hiina kompartei keskkomitee sõjaline allkomitee .;dokumendist
Ta 12aastane poeg käib hokitrennis ja 14aastane tütar uisutamas .;hokitrennis
""" Tuttavad jooksevad Pääskülast kohale , näost valged .";Pääskülast
Ma olen Laari mahitusel käinud , 1993. aastal .;mahitusel
Linnapeadest käisid peale Suklese ja Mägi platsil Pärnu linnapea Andres Sooniste , Kuressaare linnapea Jaanus Tamkivi , Tapa linnapea Voldemar Nellis ja Rapla linnapea Aare Heinvee .;Linnapeadest
Kitsukeses sakstekambris istusid ühe laua taga Delta mehed kaasadega ja teises tantsutüdrukud .;sakstekambris
United ja Real polnud oskusi mõõtnud koguni 32 aastat - toona jäid inglased meistrite sarja poolfinaalis peale ja liikusid Euroopa palliväljadel esimese suure vallutuseni .;palliväljadel
Laupäeva pärastlõunal kell 15.20 astus Raivo Kumm , 8 , Raplas Tallinna maantee ja Kooli tänava ristmikule maha märgitud ülekäigurajale ehk sebrale .;ülekäigurajale
Ta ise sobib siin hästi näiteks : kui kahe vanema , 1974. ja 1975. sündinud tütre detsember tähendas vaid jõuluvana ootust , siis 1979. aastal sündinud noorimal käisid ka päkapikud .;noorimal
Tartus tööle hakanud Kalda Konsum astub toidumüügiturule viimase peal tehnika , suure parkla ja tugeva turvasüsteemiga .;toidumüügiturule
Analüüsitud lepingutest nähtub , et töötlejate poolt hulgiettevõtjatele antavad maha- ja allahindlused on erinevad , seega on välistatud olukord , kus kaup liiguks töötlejalt jaemüüjatele ühesuguste hindadega .;jaemüüjatele
Philadelphia 76ersi jõud käis võõrsil 118 : 110 üle Golden State Warriorsist .;Warriorsist
Istun linnadevahelise bussi kümnendal istekohal ja üritan magama jääda .;istekohal
Need inimesed , kes käisid seal 80ndatel , poleks ehtsasse Studio 54 sisse saanud , sest see oli niivõrd elitaarne .;80ndatel
Kotitäis õunu näpus , tunnistame naisele viisakalt üles , kellega tegemist ja uurime tema suhtumist koduõuele astunud võõrastesse .;koduõuele
Sestsaadik , kui Geidar Alijevile mullu südameoperatsioon tehti , liiguvad pidevalt kuuldused tema halvast tervisest .;tervisest
No käisime korra teatud ettevalmistustel Pihvas diviisis .;Pihvas
Paar aastat tagasi , kui Coulthard ja Schumacher Belgias kokku põrkasid , jooksis viimane vihast tulipunase näoga McLareni boksi juurde ning oli valmis shotlasele kere peale andma .;vihast
Lennuk lahkus Pitcairnilt , lastiks tohutul hulgal mandariine , apelsine , kookospähkleid , ananasse , papaiasid , sidruneid , greipe , laime , banaane , leivapuu vilju , mangosid ja muud värsket , mida üks küllusesaar võib pakkuda .;Pitcairnilt
"Asja ei muuda see , et Delfis käib tihti vihane andmine ka "" omade "" vahel , vaata näiteks eile alanud diskussiooni kaitseväe kordusõppuste üle , sest sel juhul põrkuvad lihtsalt kaks gruppi , kes esindavad mingit kindlat hoiakut ja materdavad nad teineteist argumentidega , mis on jäänud muutumatuks alates Delfi sünniaegadest .";Delfis
Raske on sellise disainikultuuriga maal nagu Taani kedagi üllatada , kuid ilmselt tänu soodsale asukohale Kopenhaageni kesklinnas käis näitusel väga palju külastajaid .;asukohale
Riigikogu doonoripäeval käis verd andmas 17 inimest , neist vaid neli olid Riigikogu liikmed .;doonoripäeval
Ühes mootorpaadis istus kolm tuukrit ja teises neli .;mootorpaadis
Viimati käisid Andrus ja Marek Nõmme vastsel liikumisrajal teisipäeval .;liikumisrajal
Erakorraliste valimiste ebameeldivus seisneb selles , et kähmluselt tabatud erakonnad astuvad valijate ette enam-vähem võltsimata kvaliteedis .;kvaliteedis
Kui ettevõtja tahab võtta paremat töötajat , peab ta maksma vastavalt vallandatava töötaja staažile kuni kaheksa kuupalga ulatuses hüvitust , mis väikeettevõtjale käib üle jõu , ütles Kriis .;väikeettevõtjale
Ta lahkus Sardiiniast vaid korra , kui oli Esimese maailmasõja aegu granaadist haavata saanud .;Sardiiniast
Ag2r profid Jaan Kirsipuu ja Lauri Aus astusid tänavusel mitmepäevasõidul mõlemad katkestajate leeri ning puhkasid võistlusväsimust välja kodus , tuuri viimaste etappide aegu .;mitmepäevasõidul
Ligi 70 aastat liikus Venemaa ummikteel , viimasel kümnendil on aga Venemaa ammendanud oma vapustuste limiidi .;ummikteel
Madisso sõnul jooksis mullu paljudes riigikirjandites arusaamatu tekst , mille mõtet oli raske tabada .;riigikirjandites
