COLLECTION	SPANSTART	TYPE	TEXT
458435	1613	S	x Eluasemefondist saavad eluasemelaenu noored pered ; lasterikkad pered , kus on kolm või enam vanematega koos elavat last ; vanaduspensionärid ; I ja II grupi invaliidid või perekonnad , kus vähemalt üks ülalpeetav on I või II grupi invaliid ; orvud kolme aasta jooksul pärast kasvatusasutusest lahkumist ; eelarveliste asutuste töötajad ; tervishoiuasutuste ja sotsiaalhoolekandeasutuste arstid , keskmeditsiini- , hooldus- ja majanduspersonal ; magistrandid ja üliõpilased , kellel on erialane töökoht Tartu linnas ; ebaseaduslikult süüdi mõistetud ja hiljem rehabiliteeritud isikud ; need , kelle eluruum on hävinud või muutunud elamiskõlbmatuks loodusõnnetuse või tulekahju tagajärjel ; riiklike või ühiskondlike kohustuste täitmisel , inimelu päästmisel või õiguskorra kaitsel hukkunud isikute perekonnad .
458435	1613	Odeprel	parataxis flat root nmod amod nsubj punct nsubj:cop aux cop parataxis mark nummod obl punct punct amod conj punct mark cop nummod cc conj conj case acl nmod punct parataxis punct amod cc conj nmod conj cc conj punct mark advmod det nsubj:cop cop amod cc conj nmod acl punct conj nummod nmod case case nmod nmod punct amod nmod conj punct nmod cc conj conj punct conj punct conj cc conj punct conj cc conj punct acl:relcl cop amod nsubj:cop nmod obl punct advmod advmod conj cc advmod conj obj punct conj punct nmod nsubj aux acl:relcl cc conj xcomp nmod cc conj obl punct amod cc conj nmod conj punct nmod conj cc nmod obl acl nmod conj punct
458435	1613	Sdeprel	parataxis flat root nmod amod nsubj _ _ _ _ _ _ _ _ _ punct amod appos punct mark cop nummod cc conj obl case acl nmod punct conj punct amod cc conj nmod conj cc conj punct mark advmod det nsubj:cop cop amod cc conj nmod conj punct conj nummod nmod case case nmod nmod punct amod nmod conj punct nmod cc conj conj punct conj punct conj cc conj punct conj cc conj punct acl:relcl cop amod nsubj:cop nmod obl punct advmod advmod conj cc advmod conj obj punct conj punct nmod nsubj aux acl:relcl cc conj xcomp nmod cc conj obl punct amod cc conj nmod conj punct nmod obl cc nmod conj conj nmod nsubj punct
			
689716	2917	O	OPEL : Esiteks: ei ole sellel autol mingit välimust ( ta on kole lihtsalt ) Kui ma seda teist pilti siin foorumis vaatasin hakkas tõesti sees keerama veitsa !
689716	2917	S	OPEL : Esiteks : ei ole sellel autol mingit välimust Kui ma seda teist pilti siin foorumis vaatasin hakkas tõesti sees keerama veitsa !
689716	2917	Odeprel	parataxis punct advmod punct aux cop det root det nsubj:cop punct nsubj:cop cop advmod parataxis punct mark nsubj det det obj advmod obl advcl advcl advmod advmod xcomp nsubj punct
689716	2917	Sdeprel	root punct advmod punct aux cop det parataxis det nsubj:cop _ _ _ _ _ _ mark nsubj det amod obj advmod obl advcl advcl advmod advmod xcomp nsubj punct
			
687099	50796	O	Nagu näitex auto alarm , või garaazi uxed , et vajutad nuppu ja kui receiver selle signaali kätte saab , siis reageerib ( näitex relee klõpsti kinni )
687099	50796	S	Nagu näitex auto alarm , või garaazi uxed , et vajutad nuppu ja kui receiver selle signaali kätte saab , siis reageerib
687099	50796	Odeprel	mark nmod nmod root punct cc nmod conj punct mark acl obj cc mark nsubj det obl case advcl punct advmod conj punct parataxis flat flat:foreign compound:prt punct
687099	50796	Sdeprel	mark nmod nmod advcl punct cc nmod conj punct mark acl obj cc mark nsubj det obl case advcl punct advmod root _ _ _ _ _ _
			
632442	7251	O	0302 69 87 - - - - mõõkkala ( Xiphias gladius ) 15 15 -
632442	7251	S	0302 69 87 - - - - mõõkkala 15 15 -
632442	7251	Odeprel	root punct punct punct punct appos punct appos flat:foreign punct compound nummod punct
632442	7251	Sdeprel	root punct punct punct punct parataxis _ _ _ _ compound nummod punct
			
603694	362	O	Seitsme võidu järel kolm kaotust saanud ( USA-lt , Venemaalt ja Brasiilialt ) Kuuba alistas pingevabalt mänginud Itaalia 3 : 1 .
603694	362	S	Seitsme võidu järel kolm kaotust saanud Kuuba alistas pingevabalt mänginud Itaalia 3 : 1 .
603694	362	Odeprel	nummod obl case nummod obj aux punct parataxis punct conj cc conj punct nsubj root advmod conj obj obl punct flat
603694	362	Sdeprel	nummod obl case nummod obj aux _ _ _ _ _ _ _ nsubj root advmod acl nsubj obl punct flat
			
119209	308	O	Portugalis Vale do Lobos , kus ITF-i turniiri auhinnarahaks 10 000 krooni , oli Sandra Kvelstein üksikmängu kvalifikatsiooni esimeses ringis vaba , teises kaotas aga brasiillannale Tassia Sonole ( Bra ) 5 : 7 , 6 : 4 , 6 : 7 ( 12 : 14 ) .
119209	308	S	Portugalis Vale do Lobos , kus ITF-i turniiri auhinnarahaks 10 000 krooni , oli Sandra Kvelstein üksikmängu kvalifikatsiooni esimeses ringis vaba , teises kaotas aga brasiillannale Tassia Sonole 5 : 7 , 6 : 4 , 6 : 7 .
119209	308	Odeprel	obl amod nmod nsubj:cop punct mark nmod nmod acl nummod nsubj:cop punct cop nsubj:cop flat nmod nmod amod obl root punct obl conj cc obl nsubj flat punct parataxis punct obl punct flat punct flat punct flat punct parataxis punct punct
119209	308	Sdeprel	obl amod nmod nsubj:cop punct mark nmod nmod acl nummod nsubj:cop punct cop nsubj:cop flat nmod nmod amod obl root punct obl conj cc obl nsubj flat _ _ _ obl punct flat punct flat punct flat _ _ _
			
556321	41405	O	( 90 ) 294 Riivits-arkonsvo Iivi Tallinn , 0 : 55 : 56.0 N40 10 ; 579.
556321	41405	S	294 Riivits-arkonsvo Iivi Tallinn , 0 : 55 : 56.0 N40 10 ; 579.
556321	41405	Odeprel	punct parataxis punct nummod root flat flat punct conj punct flat punct nummod conj flat punct conj
556321	41405	Sdeprel	_ _ _ nummod root appos flat punct conj punct flat punct nummod conj flat punct parataxis
			
432909	673	O	Tänavuseks hooajaks on vormel-1 autode tehnilistes tingimustes tehtud kaks põhjapanevat muudatust ( lisaks hulk vähem olulisi ) .
432909	673	S	Tänavuseks hooajaks on vormel-1 autode tehnilistes tingimustes tehtud kaks põhjapanevat muudatust .
432909	673	Odeprel	amod xcomp aux nummod nmod amod obl root nummod acl obj punct obl nsubj:cop advmod parataxis punct punct
432909	673	Sdeprel	amod obl aux nummod nmod amod obl root nummod acl obj _ _ _ _ _ _ punct
			
578299	3714	O	34 . voor : Bilbao - Villarreal 2 : 0 ( Julen Guerrero 5 , Santi Ezquerro 25 ) , Celta - Real Sociedad 2 : 2 ( Valeri Karpin 35 , Tomas Hervas 71 - Darko Kovacevic 10pen , Inago Idiakez 16 ) , Extremadura - Tenerife 1 : 0 ( Laurent Viaud 46 ) , Real Betis - Deportivo 0 : 3 ( Pauleta Recende 26 , 46 , Flavio Conceicao 41 ) , Real Madrid - Oviedo 2 : 1 ( Fernando Morientes 37 , 64 - Dely Valdes 7 ) , Zaragoza - Atlético 2 : 0 ( Gerard Lopez 28 , Yordi Gonzalez 71 ) , Salamanca - Alavés 1 : 0 ( Walter Silvani 43 ) , Valencia - Espanyol 1 : 2 ( Claudio Lopez 90 - Raul Tamudo 71 , Martin Posse 90 ) , Barcelona - Valladolid 1 : 1 ( Luis Enrique 62 - Harold Lozano 82 ) , Santander - Mallorca 1 : 0 ( Ismael Ruiz 64 ) .
578299	3714	S	34 . voor : Bilbao - Villarreal 2 : 0 , Celta - Real Sociedad 2 : 2 , Extremadura - Tenerife 1 : 0 , Real Betis - Deportivo 0 : 3 , Real Madrid - Oviedo 2 : 1 , Zaragoza - Atlético 2 : 0 , Salamanca - Alavés 1 : 0 , Valencia - Espanyol 1 : 2 , Barcelona - Valladolid 1 : 1 , Santander - Mallorca 1 : 0 .
578299	3714	Odeprel	amod root punct parataxis punct appos nummod punct nummod punct parataxis flat nummod punct conj flat nummod punct punct conj punct parataxis flat nummod punct nummod punct parataxis flat nummod punct conj flat nummod punct conj flat flat punct conj flat nummod punct punct conj punct parataxis nummod punct nummod punct parataxis flat flat punct punct conj flat punct parataxis nummod punct nummod punct parataxis flat nummod punct conj flat nummod punct punct conj flat punct parataxis nummod punct nummod punct parataxis flat nummod punct conj flat nummod punct punct conj punct parataxis nummod punct nummod punct parataxis flat flat punct conj flat nummod punct punct conj punct parataxis nummod punct nummod punct parataxis flat nummod punct punct conj punct parataxis nummod punct nummod punct parataxis flat nummod punct conj flat nummod punct conj flat nummod punct punct conj punct parataxis nummod punct nummod punct parataxis flat nummod punct conj flat nummod punct punct conj punct appos nummod punct nummod punct parataxis flat nummod punct punct
578299	3714	Sdeprel	amod root punct parataxis punct appos flat punct nummod _ _ _ _ _ _ _ _ _ punct conj punct appos flat nummod punct flat _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ punct conj punct appos nummod punct nummod _ _ _ _ _ punct conj flat punct parataxis nummod punct nummod _ _ _ _ _ _ _ _ _ punct conj flat punct parataxis nummod punct nummod _ _ _ _ _ _ _ _ _ punct conj punct appos goeswith punct flat _ _ _ _ _ _ _ _ _ punct conj punct appos goeswith punct flat _ _ _ _ _ punct conj punct appos flat punct flat _ _ _ _ _ _ _ _ _ _ _ _ _ punct conj punct appos goeswith punct flat _ _ _ _ _ _ _ _ _ punct conj punct appos flat punct flat _ _ _ _ _
			
700631	167575	O	- kasutamata laenuvõimalused ( laenuandmist , väärtpaberite ostu , tagatiste andmist või aktseptimisvõimalusi käsitlevad lepingud ) , mille esialgne tähtaeg on kõige rohkem üks aasta või mille võib igal ajal tingimusteta ja etteteatamata tühistada ,
700631	167575	S	- kasutamata laenuvõimalused , mille esialgne tähtaeg on kõige rohkem üks aasta või mille võib igal ajal tingimusteta ja etteteatamata tühistada ,
700631	167575	Odeprel	punct amod nsubj punct parataxis punct nmod conj punct nmod conj cc conj root nsubj punct punct nmod amod nsubj:cop cop advmod advmod det acl:relcl cc obj aux det obl obl cc conj conj punct
700631	167575	Sdeprel	punct amod root _ _ _ _ _ _ _ _ _ _ _ _ _ punct nmod amod nsubj:cop cop advmod advmod nummod acl:relcl cc obj aux det obl obl cc conj conj punct
			
405307	418	O	Lõhmusel , Jüri Mõisal ja Hannes Tamjärvel tuleb eelkõige vältida , et lisaks saldejumsile saab eestlastele tuntuks lähedase kõlaga sõna zaudejums ( läti k. kahjum ) .
405307	418	S	Lõhmusel , Jüri Mõisal ja Hannes Tamjärvel tuleb eelkõige vältida , et lisaks saldejumsile saab eestlastele tuntuks lähedase kõlaga sõna zaudejums .
405307	418	Odeprel	obl punct conj flat cc conj flat root advmod csubj punct mark obl nmod ccomp obl xcomp amod nmod obj nsubj punct amod parataxis punct conj punct punct
405307	418	Sdeprel	obl punct conj flat cc conj flat root advmod csubj punct mark obl nmod ccomp obl xcomp amod nmod nmod nsubj _ _ _ _ _ _ punct
			
604225	1402	O	Ukraina 16 ( 8 ) , Venemaa , Island ja Prantsusmaa 15 ( 8 ) .
604225	1402	S	Ukraina 16 , Venemaa , Island ja Prantsusmaa 15 .
604225	1402	Odeprel	nmod root punct parataxis punct punct conj punct conj cc conj nummod punct parataxis punct punct
604225	1402	Sdeprel	nmod root _ _ _ punct conj punct conj cc conj nummod _ _ _
			
603681	17	O	Eesti Karate Föderatsiooni aasta parimad karatekad : Marko Luhamaa ja Kerttu Rahe ( Tartu Falco ) , parimad juuniorid : Matthias Jaaksoo ( Tallinna Nüke ) ja Veronika Lavrentjeva ( Tallinna Budo ) .
603681	17	S	Eesti Karate Föderatsiooni aasta parimad karatekad : Marko Luhamaa ja Kerttu Rahe , parimad juuniorid : Matthias Jaaksoo ja Veronika Lavrentjeva .
603681	17	Odeprel	nmod nmod nmod nmod amod root punct parataxis flat cc conj flat punct nmod parataxis punct punct amod conj punct appos flat punct nmod parataxis punct cc conj flat punct nmod parataxis punct punct
603681	17	Sdeprel	nmod nmod nmod nmod amod root punct appos flat cc conj flat _ _ _ _ punct amod conj punct appos flat _ _ _ _ cc conj flat _ _ _ _ punct
			
397914	5016	O	Ühel rähkmullaga põllul ei leitud ühtegi vihmaussi ( Lääne-Saaremaal , väga õhuke ja kivine muld ) .
397914	5016	S	Ühel rähkmullaga põllul ei leitud ühtegi vihmaussi .
397914	5016	Odeprel	det nmod root aux acl det nsubj:cop punct parataxis punct advmod conj cc conj conj punct punct
397914	5016	Sdeprel	det nmod obl aux acl det root _ _ _ _ _ _ _ _ _ punct
			
581509	1640	O	Nüüd pean õppima seda poolt , mis kuulub direktori kohustuste hulka , ja ma loodan , et mu kolleegid , kes mind on siin ( teatrijuhtide väljasõiduistungil Võsu lähedal 19 . juunil - toim . ) täna väga hästi vastu võtnud , aitavad mind , sest sellest abist ja heatahtlikkusest , mis mulle osutatakse , sõltub väga palju .
581509	1640	S	Nüüd pean õppima seda poolt , mis kuulub direktori kohustuste hulka , ja ma loodan , et mu kolleegid , kes mind on siin täna väga hästi vastu võtnud , aitavad mind , sest sellest abist ja heatahtlikkusest , mis mulle osutatakse , sõltub väga palju .
581509	1640	Odeprel	advmod aux root det obj punct nsubj acl:relcl nmod obl case punct cc nsubj conj punct mark nmod nsubj punct nsubj obj aux advmod punct nmod parataxis nmod case amod nmod punct nmod punct advmod advmod advmod compound:prt ccomp punct ccomp obj punct mark det obl cc conj punct obj obl acl:relcl punct advcl advmod advmod punct
581509	1640	Sdeprel	advmod aux root det obj punct nsubj acl:relcl nmod obl case punct cc nsubj conj punct mark nmod nsubj punct nsubj obj aux advmod _ _ _ _ _ _ _ _ _ _ advmod advmod advmod compound:prt acl:relcl punct ccomp obj punct mark det obl cc conj punct obj obl acl:relcl punct advcl advmod advmod punct
			
284929	2045	O	Martina Glagow ( Saksamaa ) +41,4 ( 0 ) .
284929	2045	S	Martina Glagow +41,4 .
284929	2045	Odeprel	nsubj:cop flat punct appos punct root punct parataxis punct punct
284929	2045	Sdeprel	root flat _ _ _ nummod _ _ _ punct
			
379499	132663	O	Mis puutub moraalijüngri tähendusse , siis mõistagi viib segadusse EKSS'i definitsioon : moraalijünger = silmakirjalik moraalinormide järgija ( EKSS III , 3 ) .
379499	132663	S	Mis puutub moraalijüngri tähendusse , siis mõistagi viib segadusse EKSS'i definitsioon : moraalijünger = silmakirjalik moraalinormide järgija .
379499	132663	Odeprel	nsubj advcl nmod obl punct advmod advmod root obl nmod nsubj punct appos flat amod nmod conj punct parataxis flat punct conj punct punct
379499	132663	Sdeprel	nsubj advcl nmod obl punct advmod advmod root obl nmod nsubj punct nmod flat amod nmod appos _ _ _ _ _ _ punct
			
439726	2742	O	Romaani ajalooliseks pidepunktiks on kriminaalide vaheline sõda ( 1946-50 ) :  Niisiis , kui Teine maailmasõda oli lõppemas , oli krimkade sõda parajasti alanud  [ .
439726	2742	S	Romaani ajalooliseks pidepunktiks on kriminaalide vaheline sõda : Niisiis , kui Teine maailmasõda oli lõppemas , oli krimkade sõda parajasti alanud [ .
439726	2742	Odeprel	nmod amod root cop obl amod nsubj:cop punct parataxis punct conj punct punct advmod punct mark det nsubj advcl xcomp punct aux nmod nsubj advmod conj punct punct
439726	2742	Sdeprel	nmod amod root cop obl amod nsubj:cop _ _ _ _ _ punct advmod punct mark amod nsubj advcl xcomp punct aux nmod nsubj advmod conj punct punct
			
378818	168289	O	Olgu etteruttavalt öeldud , et pärast reisilt naasmist külastasin septembrikuu ühel kenal päeval suurvürst Peeter Volkonskit ja suurvürstinna Maria Volkonskojat ( sündinud krahvinna Maria Panova ) nende Tartu kodus Annelinnas ning andsin kingituse üle .
378818	168289	S	Olgu etteruttavalt öeldud , et pärast reisilt naasmist külastasin septembrikuu ühel kenal päeval suurvürst Peeter Volkonskit ja suurvürstinna Maria Volkonskojat nende Tartu kodus Annelinnas ning andsin kingituse üle .
378818	168289	Odeprel	aux advmod root punct mark case nmod obl ccomp obj nummod amod obl nsubj appos flat cc conj appos flat punct parataxis nsubj flat flat punct det nmod obl obl cc conj obl case punct
378818	168289	Sdeprel	aux advmod root punct mark case nmod obl ccomp obj nummod amod obl nsubj appos flat cc conj appos flat _ _ _ _ _ _ nmod nmod obl obl cc conj obl case punct
			
636606	1616	O	Seoses sellega tuleks meeles pidada , et lennundussektoris saab asutamislepingu artiklid 85 ja 86 ning Euroopa Majanduspiirkonna lepingu artiklid 53 ja 54 täielikult rakendada nõukogu 14. detsembri 1987. aasta määrustega ( EMÜ ) nr 3975/87 ja ( EMÜ ) nr 3976/87 .
636606	1616	S	Seoses sellega tuleks meeles pidada , et lennundussektoris saab asutamislepingu artiklid 85 ja 86 ning Euroopa Majanduspiirkonna lepingu artiklid 53 ja 54 täielikult rakendada nõukogu 14. detsembri 1987. aasta määrustega nr 3975 / 87 ja nr 3976 / 87 .
636606	1616	Odeprel	case obl root obl csubj punct mark obl ccomp nmod nsubj nummod cc conj cc nmod nmod nmod obj nummod cc conj advmod conj obj amod nmod amod nmod obl punct parataxis punct nmod nummod punct flat cc punct parataxis punct nmod nummod punct conj
636606	1616	Sdeprel	case obl root obl csubj punct mark obl ccomp nmod nsubj nummod cc conj cc nmod nmod nmod nsubj nummod cc conj advmod conj obj amod nmod amod nmod obl _ _ _ nmod nummod punct flat cc _ _ _ conj nummod punct conj
			
394497	3988	O	11Välismaal on tabatud mitmeid Eestist pärit kurjategijaid ( 32 ) 15 : 5524.
394497	3988	S	11Välismaal on tabatud mitmeid Eestist pärit kurjategijaid 15 : 5524 .
394497	3988	Odeprel	obl aux root det obl advmod obj punct parataxis punct obl punct flat punct
394497	3988	Sdeprel	obl aux root det obl advmod obj _ _ _ nummod punct flat punct
			
700951	61134	O	ja kui sa nüüd tõele näkku vaatad , siis kas elad ära sellest 2500 kroonist , mis sulle lehe tegemise eest visatakse ( nii harva kui seda juhtub , tead sa ilmselt ise ) ?
700951	61134	S	ja kui sa nüüd tõele näkku vaatad , siis kas elad ära sellest 2500 kroonist , mis sulle lehe tegemise eest visatakse ?
700951	61134	Odeprel	cc mark nsubj advmod obl obl advcl punct advmod advmod root compound:prt obl nummod obl punct obj obl nmod obl case acl:relcl punct advmod advmod fixed nsubj parataxis punct parataxis nsubj advmod obl punct punct
700951	61134	Sdeprel	cc mark nsubj advmod obl obl advcl punct cc advmod root compound:prt obl nummod obl punct obj obl nmod obl case acl:relcl _ _ _ _ _ _ _ _ _ _ _ _ punct
			
37578	1475	O	Kella 03.00 paiku ei tulnud Miko ( 1983 ) ebaõige sõidukiiruse tõttu sõiduauto BMW juhtimisega toime .
37578	1475	S	Kella 03.00 paiku ei tulnud Miko ebaõige sõidukiiruse tõttu sõiduauto BMW juhtimisega toime .
37578	1475	Odeprel	obl nummod case aux acl nmod punct parataxis punct amod nmod case root nmod nmod nmod punct
37578	1475	Sdeprel	obl nummod case aux acl nmod _ _ _ amod nmod case nmod nmod root nmod punct
			
433198	39	O	Viimasel paaril nädalal on nii päevalehtedes ( EPL , 27.02 , PM , 15.03 ) kui ka Valgamaalases teravalt rünnatud Valga gümnaasiumi ja selle direktorit .
433198	39	S	Viimasel paaril nädalal on nii päevalehtedes kui ka Valgamaalases teravalt rünnatud Valga gümnaasiumi ja selle direktorit .
433198	39	Odeprel	amod nummod obl aux cc:preconj obl punct parataxis punct conj punct conj punct conj punct cc advmod obl advmod root nmod obj cc nmod conj punct
433198	39	Sdeprel	amod nummod obl cop cc:preconj obl _ _ _ _ _ _ _ _ _ cc advmod conj advmod root nmod conj cc nmod conj punct
			
701352	1037	O	suri lõpuks t*ra kõva ( sry väljenduse pärast ) ) ... saksa film vist oli muidu .
701352	1037	S	suri lõpuks t * ra kõva ) ... saksa film vist oli muidu .
701352	1037	Odeprel	root obl nsubj punct flat amod punct nmod parataxis case punct punct punct amod conj advmod conj conj punct
701352	1037	Sdeprel	root obl nsubj punct obl parataxis _ _ _ _ _ punct punct amod conj advmod conj conj punct
			
172128	745	O	Selleks ajaks , kui päev looja läheb , on kaks kojameest juba ennast pudeli ( tahaks loota et ) riigiviinaga ära sättinud ja suur pime väljas , kui nad redelite ning pesuvanni ja pooliku lapsevankriga oma lipuvabrikut kokku hakkavad pakkima .
172128	745	S	Selleks ajaks , kui päev looja läheb , on kaks kojameest juba ennast pudeli riigiviinaga ära sättinud ja suur pime väljas , kui nad redelite ning pesuvanni ja pooliku lapsevankriga oma lipuvabrikut kokku hakkavad pakkima .
172128	745	Odeprel	det obl punct mark nsubj compound:prt acl punct cop nummod nsubj:cop advmod nmod obl punct parataxis xcomp mark punct obl compound:prt root cc nsubj:cop nsubj:cop conj punct mark nsubj obl cc conj cc amod conj nmod obj compound:prt advcl xcomp punct
172128	745	Sdeprel	det obl punct mark nsubj compound:prt acl punct aux nummod nsubj advmod obj nmod _ _ _ _ _ obl compound:prt root cc nsubj:cop nsubj:cop conj punct mark nsubj obl cc conj cc amod conj nmod obj compound:prt advcl xcomp punct
			
665348	1191	O	sa unustasid kõige esimesele ( või teisele-kolmandale ) kohale kirjutada hinna .
665348	1191	S	sa unustasid kõige esimesele kohale kirjutada hinna .
665348	1191	Odeprel	nsubj root advmod obl punct cc conj punct compound:prt xcomp obj punct
665348	1191	Sdeprel	nsubj root advmod amod _ _ _ _ obl xcomp obj punct
			
370018	5436	O	Murano ( suur linnamaastur ) uus mudel , jõuab müügile : detsember
370018	5436	S	Murano uus mudel , jõuab müügile : detsember
370018	5436	Odeprel	nsubj:cop punct amod parataxis punct amod nsubj punct root obl punct parataxis
370018	5436	Sdeprel	nmod _ _ _ _ amod nsubj punct root obl punct parataxis
			
640616	2067254	O	Olen teinud hulgaliselt katseid 5 cm akusto plaatidega ( mitu tükki üksteise otsas neelab edukalt suht madalale ) püüdes neelata esimesi peegeldusi põrandalt , taga , esisenalt jne .
640616	2067254	S	Olen teinud hulgaliselt katseid 5 cm akusto plaatidega püüdes neelata esimesi peegeldusi põrandalt , taga , esisenalt jne .
640616	2067254	Odeprel	aux root advmod obj nummod nmod nmod nmod punct det nsubj obl case parataxis advmod obj obl punct obl acl amod obj obl punct conj punct conj nmod punct
640616	2067254	Sdeprel	aux root advmod obj nummod nmod nmod obl _ _ _ _ _ _ _ _ _ _ advcl acl amod obj obl punct conj punct conj nmod punct
			
283801	186	O	Voolu sagedus on seal 50 Hz ( meil 47 - 52 Hz ) , pinge aga 220-230V ( meil 210-250V ) .
283801	186	S	Voolu sagedus on seal 50 Hz , pinge aga 220-230V .
283801	186	Odeprel	nmod nsubj:cop cop advmod nummod root punct parataxis nummod punct conj nsubj:cop punct punct conj cc nmod punct parataxis nmod punct punct
283801	186	Sdeprel	nmod nsubj:cop cop advmod nummod root _ _ _ _ _ _ _ punct nsubj:cop cc conj _ _ _ _ punct
			
705277	8533	O	k2nga: CPU Info :(-AMD Duron , 747MHz , 64KB ( 0% Load ))  Temperature :(
705277	8533	S	k2nga : CPU Info : (-AMD Duron , 747MHz , 64KB ) Temperature :(
705277	8533	Odeprel	root punct nmod parataxis punct appos flat punct conj punct conj punct nummod parataxis punct punct conj punct
705277	8533	Sdeprel	root punct nmod parataxis punct appos flat punct conj punct conj _ _ _ _ punct flat punct
			
15429	2154	O	Tegevuskulud olid 1997. aastal 4,5 miljonit ja 1998. aastal 5,5 miljonit krooni ( sh. palgakulu 1,6 ja 2,3 miljonit ) .
15429	2154	S	Tegevuskulud olid 1997. aastal 4,5 miljonit ja 1998. aastal 5,5 miljonit krooni .
15429	2154	Odeprel	nsubj:cop cop amod obl compound root cc amod nmod compound nummod conj punct nmod parataxis nummod cc compound conj punct punct
15429	2154	Sdeprel	nsubj:cop cop amod obl compound root cc amod orphan compound nummod conj _ _ _ _ _ _ _ _ punct
			
546006	3630	O	Neis seoseis on Humala ja Volga restorani hoone ning kaubahalli kõrval asuv hotelli krunt ( meeldetuletuseks : kaua kestnud arheoloogilised kaevamised ning lõpuks vundamendiaugu kinniajamine ) head näited sellest , et arendustegevus ei sõltu võõrandamishinnast .
546006	3630	S	Neis seoseis on Humala ja Volga restorani hoone ning kaubahalli kõrval asuv hotelli krunt head näited sellest , et arendustegevus ei sõltu võõrandamishinnast .
546006	3630	Odeprel	det root cop nmod cc conj nmod obl cc conj case acl nmod nsubj:cop punct obl punct advmod parataxis amod nsubj cc advmod nmod conj punct amod nsubj:cop nmod punct mark nsubj aux acl obl punct
546006	3630	Sdeprel	det root cop nmod cc conj nmod obl cc obl case acl nmod nsubj:cop _ _ _ _ _ _ _ _ _ _ _ _ amod nsubj:cop nmod punct mark nsubj aux acl obl punct
			
497328	1451	O	Seitsmendik ( 14 ) noortest leidis , et praegu neile kutsevalik muret ei tee .
497328	1451	S	Seitsmendik noortest leidis , et praegu neile kutsevalik muret ei tee .
497328	1451	Odeprel	nmod punct parataxis punct obl root punct mark advmod obl nsubj obj aux ccomp punct
497328	1451	Sdeprel	nsubj _ _ _ nmod root punct mark advmod obl nsubj obj aux ccomp punct
			
185146	529	O	Valimistel kindlalt võitnud CDR , mis koosneb Kristlik-Demokraatlikust Talunike Parteist ( PNTCD ) ja Liberaalsest Koalitsioonist ( ANL ) , moodustas valitsuskoalitsiooni Rumeenia Ungarlaste Demokraatliku Liidu ( UDMR ) ja Sotsiaaldemokraatliku Liiduga , mis koosneb omakorda Demokraatlikust Parteist ( PD ) ja Rumeenia Sotsiaaldemokraatlikust Parteist ( PSDR ) .
