text,id,label,review,text_id,las,uas,la
Möödunud aastal sai Dima Peterburi psühholoogiaakadeemia spordipsühholoogi diplomi .,4372,"[{""start"": 9, ""end"": 15, ""text"": ""aastal"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4114,37.5,37.5,62.5
Valmis lõhnavee võib panna pihustipudelisse .,4385,"[{""start"": 27, ""end"": 43, ""text"": ""pihustipudelisse"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4280,80.0,80.0,80.0
Kõik autodes viibinud sõjaväelased said surma .,4393,"[{""start"": 0, ""end"": 12, ""text"": ""Kõik autodes"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4369,60.0,80.0,80.0
""" Kui intresse makstakse juba näiteks 500 krooni , siis oleks mõtet seda summat maksustada , "" märkis ta .",4396,"[{""start"": 38, ""end"": 48, ""text"": ""500 krooni"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4410,94.4,94.4,100.0
""" TV3 esitas hagi summale 2,66 miljonit krooni ja Kanal 2 samale summale , sest ETV lõpetas ühepoolselt reklaami mittenäitamise lepingu , "" ütles TV3 marketingiosakonna juhataja Liivi Ermas .",4402,"[{""start"": 13, ""end"": 25, ""text"": ""hagi summale"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4508,96.4,96.4,100.0
"Pühapäeviti on kavas veel teinegi omalaadne telemäng "" Teatriturniir "" , milles tuuakse esile markantseid seiku teatriajaloost ja kaasaja teatrielust ning esitatakse lustakaid erialaseid ülesandeid .",4403,"[{""start"": 73, ""end"": 79, ""text"": ""milles"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4538,92.0,92.0,96.0
Jutukas lobisedes või meili lugedes ju vestluse teist osapoolt ei näe .,4417,"[{""start"": 0, ""end"": 7, ""text"": ""Jutukas"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4686,81.8,90.9,90.9
""" Soovisime kunagi Tshaikat müüa alghinnaga veerand miljonit krooni .",4420,"[{""start"": 33, ""end"": 43, ""text"": ""alghinnaga"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4741,88.9,100.0,88.9
"Samas pole Eesti kehtestanud Lätile-Leedule tolle , küsimus pole milleski muus kui tootmise efektiivsuses ja kvaliteedis .",4438,"[{""start"": 11, ""end"": 16, ""text"": ""Eesti"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4836,56.2,62.5,75.0
"Teade tulekahjust Sõpruse puiestee korteris tuli kell 7.06 , teatas päästeameti korrapidaja .",4444,"[{""start"": 49, ""end"": 58, ""text"": ""kell 7.06"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,4971,90.9,90.9,90.9
"Kuid kui tullakse välja ideedega , kuidas elu paremaks muuta , "" tahaks ta esmalt veenduda , et need ei põhjusta veelgi hullemaid hädasid ja pettumusi "" .",4454,"[{""start"": 24, ""end"": 62, ""text"": ""ideedega , kuidas elu paremaks muuta ,"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,5081,95.2,95.2,100.0
"Mida aeg edasi , seda enam tundub , et istuva valitsuse prioriteediks kuulutatud regionaalne areng on propagandistlik üritus .",4474,"[{""start"": 17, ""end"": 21, ""text"": ""seda"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,5309,66.7,72.2,77.8
Üleeilselt maratonistungilt saabunud Lewinsky ei jaganud kommentaare ning nägi välja väsinud ja kahvatu .,4481,"[{""start"": 0, ""end"": 27, ""text"": ""Üleeilselt maratonistungilt"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,5399,75.0,75.0,91.7
""" Ta vastas õigesti , täielikult ning ausalt nii igale sõltumatu uurija kantselei kui ka vandemeeste kogu liikmete küsimusele , "" ütles Smith .",4482,"[{""start"": 33, ""end"": 125, ""text"": ""ning ausalt nii igale sõltumatu uurija kantselei kui ka vandemeeste kogu liikmete küsimusele"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,5401,75.0,75.0,83.3
"Elektrienergia kuutasu hakkab sõltuma ka sellest , kui suurt võimsust tarbitakse .",4499,"[{""start"": 38, ""end"": 48, ""text"": ""ka sellest"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,5693,70.0,70.0,100.0
"Tartu Ehitus- ja Kergetööstuskool kaalub kahe oma õpilase väljaheitmist , kui kohus nad Tartu Pauluse kalmistu sadakonna haua rüüstamises süüdi mõistab , kirjutab tänane Postimees .",4515,"[{""start"": 111, ""end"": 137, ""text"": ""sadakonna haua rüüstamises"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,5828,95.7,95.7,100.0
"Südamlikkust , mis puudutab ilutsemisse voolamata .",4527,"[{""start"": 28, ""end"": 39, ""text"": ""ilutsemisse"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,5974,83.3,100.0,83.3
Autot juhtis 1973. aastal sündinud Meelis .,4568,"[{""start"": 13, ""end"": 25, ""text"": ""1973. aastal"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,6495,60.0,60.0,80.0
"Kõige enam välistudengeid asub õppima Tartu ülikoolis , kuhu võeti vastu 192 välismaalast .",4569,"[{""start"": 38, ""end"": 53, ""text"": ""Tartu ülikoolis"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,6503,91.7,91.7,91.7
"Ehk veidi vähem , kuid kindlasti teisesuunalisi kulutusi haridusele nõuab transiidi- ja teenindusmaa seisus .",4587,"[{""start"": 74, ""end"": 107, ""text"": ""transiidi- ja teenindusmaa seisus"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,6746,90.9,90.9,100.0
"Vene keelt rahvuskeelena emakeeleks pidajate seas näeme teatavat venestumise tendentsi ( v.a poolakad ,",4615,"[{""start"": 36, ""end"": 49, ""text"": ""pidajate seas"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7097,91.7,91.7,91.7
"Kurikuulsa Mehmeti , Saksamaa vaieldamatult prominentseima päti väljasaatmine lau-päeval sarnanes tähtsa riigitegelase teele läkitamisega .",4617,"[{""start"": 98, ""end"": 137, ""text"": ""tähtsa riigitegelase teele läkitamisega"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7161,81.8,81.8,90.9
"Aasta 2002 on saanud traadita interneti ( WiFi ) läbimurdeaastaks Eestis , teatas internetilehekülg WiFi.ee.",4622,"[{""start"": 0, ""end"": 10, ""text"": ""Aasta 2002"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7223,57.1,57.1,78.6
"ÜRO erikomisjoni Iraagis kuulub 44 liiget , neist 28 on inspektorid , kellest omakorda kümme on ameeriklased ja viis britid .",4624,"[{""start"": 0, ""end"": 24, ""text"": ""ÜRO erikomisjoni Iraagis"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7239,83.3,83.3,88.9
"Ja viisin ta koju , "" meenutab Mall Kusti leidmist .",4625,"[{""start"": 13, ""end"": 17, ""text"": ""koju"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7280,90.0,90.0,90.0
"Vanemad , umbes 35-50 aastased pätid riietuvad viisakalt ja tegutsevad osavamalt , selgitas ta .",4634,"[{""start"": 19, ""end"": 21, ""text"": ""50"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7361,87.5,87.5,100.0
"Nooremad kaagid moodustavad niinimetatud Maardu kamba , nende ohvriks langedes tuleb arvestada ka võimalusega jõhkralt peksa saada , rääkis Kõrgmaa .",4635,"[{""start"": 95, ""end"": 109, ""text"": ""ka võimalusega"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7362,84.2,89.5,89.5
"Huvitav , kas keegi neist otsustajatest on Streimanni kriminaalasja toimikuga tutvunud .",4636,"[{""start"": 43, ""end"": 77, ""text"": ""Streimanni kriminaalasja toimikuga"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7376,77.8,100.0,77.8
"Tol ajal 15. aastasena , enne operatsiooni , oli väga suur löök ka see , et näos oli arm .",4644,"[{""start"": 0, ""end"": 42, ""text"": ""Tol ajal 15. aastasena , enne operatsiooni"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7486,69.2,69.2,84.6
"Andres Männart ütles , et tema teada lepingut ei lõpetatud .",4670,"[{""start"": 26, ""end"": 30, ""text"": ""tema"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7801,90.0,100.0,90.0
Sel viisil tekkinud eneseteadvus nõudis oma poliitilist identiteeti ehk Eesti riiki .,4680,"[{""start"": 0, ""end"": 10, ""text"": ""Sel viisil"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7931,60.0,60.0,80.0
"TV3 põhivanuserühmas 15-49 oli osakaal 18,7% ( Kanal 2 13,6% ja ETV 12,9% ) .",4683,"[{""start"": 0, ""end"": 26, ""text"": ""TV3 põhivanuserühmas 15-49"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,7951,66.7,75.0,66.7
"Otsust , et kõrghariduse probleemid jääksid tagaplaanile , valitsus teinud ei ole , kinnitas Kallas .",4690,"[{""start"": 44, ""end"": 56, ""text"": ""tagaplaanile"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,8076,86.7,100.0,86.7
"Alaveril pole midagi selle vastu , kui olümpiakoondise suusamehi testitakse , kuid ta palub säilitada eelkõige rahu .",4714,"[{""start"": 21, ""end"": 32, ""text"": ""selle vastu"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,8393,81.2,81.2,93.8
"Eesti Televisioon vaidlustas seadusevastaselt näidatud Saaremaa viina reklaami eest saadud 80 000kroonise rahatrahvi Tallinna ringkonnakohtus , kuna telekanal on seisukohal , et nemad pole seadust rikkunud .",4715,"[{""start"": 29, ""end"": 83, ""text"": ""seadusevastaselt näidatud Saaremaa viina reklaami eest"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,8400,95.2,95.2,100.0
Vanemad inimesed aga on ilmselt rohkem Venemaa poolt .,4719,"[{""start"": 39, ""end"": 52, ""text"": ""Venemaa poolt"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,8506,85.7,85.7,85.7
"Finantskeskuse loomine on juba jäänud silma paljudele maailma suurpankadele , kes valmistuvad seal oma kontori avamiseks .",4736,"[{""start"": 99, ""end"": 120, ""text"": ""oma kontori avamiseks"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,8848,85.7,85.7,85.7
"Rahvusvahelisse žüriisse kuuluvad floristika- , kunsti- , moe- ja poliitikategelased .",4738,"[{""start"": 0, ""end"": 24, ""text"": ""Rahvusvahelisse žüriisse"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,8861,66.7,66.7,77.8
""" Aga kullake , pärast seda , kui me müüsime klaveri , ei ole selleks enam mingit vajadust ! """,4743,"[{""start"": 16, ""end"": 27, ""text"": ""pärast seda"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,8936,94.4,94.4,100.0
"Lõuna-Eesti kalastajate klubi korraldatud võistlusel osales 25 kalameest : üheksa kaheliikmelist võistkonda ja seitse individuaalvõistlejat , kirjutab Võrumaa Teataja .",4745,"[{""start"": 42, ""end"": 52, ""text"": ""võistlusel"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,9033,78.9,78.9,89.5
11 protsenti küsitletud Pirita elanikest pidas linnaosa turvalisust kesiseks ja üheksa protsenti halvaks .,4761,"[{""start"": 24, ""end"": 40, ""text"": ""Pirita elanikest"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,9232,66.7,75.0,75.0
Nõnda on komplektis nii uusi kui ka kümne aasta taguseid töid .,4775,"[{""start"": 29, ""end"": 47, ""text"": ""kui ka kümne aasta"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,9447,87.5,100.0,87.5
Vahel oleme üksteist kogemata ka seriaali nimedega kutsunud - mind on Steniks hüütud ja ma ise olen Kleer Maibaumi Heleniks nimetanud .,4806,"[{""start"": 33, ""end"": 50, ""text"": ""seriaali nimedega"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,9865,90.0,100.0,90.0
"Henri - U. Lennuki "" Boob teab "" Tallinna Linnateatris 2004",4808,"[{""start"": 31, ""end"": 59, ""text"": ""\"" Tallinna Linnateatris 2004"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,9914,66.7,83.3,66.7
""" Kõige efektsem atraktsioon on ilmselt üheksa meetri kõrgune ja 21 meetrise sirutuslaiusega turnimisvõrk .",4835,"[{""start"": 40, ""end"": 53, ""text"": ""üheksa meetri"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,10227,46.2,46.2,76.9
"Elanikke masendab aeglus , millega abi kohale jõuab .",4849,"[{""start"": 27, ""end"": 34, ""text"": ""millega"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,10392,87.5,87.5,87.5
"Ei ole kuigi meeldiv olla 117 meetri kõrgusel : seinad tunduvad peale vajuvat , õhk seisab .",4874,"[{""start"": 26, ""end"": 45, ""text"": ""117 meetri kõrgusel"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,10668,92.9,92.9,100.0
"Magamistoa terve seina katsin fototapeediga , millel on riidekapiuste pildid .",4886,"[{""start"": 30, ""end"": 76, ""text"": ""fototapeediga , millel on riidekapiuste pildid"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,10798,80.0,80.0,80.0
14 minutit mänginud Kullamäe viskas 3 punkti .,4890,"[{""start"": 0, ""end"": 10, ""text"": ""14 minutit"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,10901,33.3,33.3,66.7
"Võitjad tabasid kolmeseid 16-st 9 , kaotajad 21-st 5 , vabavisked olid vastavalt 31/26 ja 17/11 .",4892,"[{""start"": 32, ""end"": 33, ""text"": ""9"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,10907,94.7,94.7,94.7
""" Baarimees viskas mind välja , sest ma lõin ta naisele külge ! """,4899,"[{""start"": 48, ""end"": 55, ""text"": ""naisele"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,11020,84.6,92.3,84.6
""" Tahtsime nimme olla täna kinos , et näidata , et kinosid tuleb ka juurde , "" ütles filmiajakirjanike ühingu esimees Jaan Ruus .",4903,"[{""start"": 22, ""end"": 32, ""text"": ""täna kinos"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,11094,95.5,95.5,95.5
"Mainitud teisest angaaridegrupist valmisid vaid vundamendid kahele võlvikruumile , need peaksid alles olema ka praegu , peitunult pinnasesse peaehitise kõrval .",4919,"[{""start"": 9, ""end"": 33, ""text"": ""teisest angaaridegrupist"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,11352,78.9,78.9,89.5
30. aprill 1996 - Tammsaare tee pikenduse piirikupitsat märgivad pidulikult maha abilinnapea Jaak Saarniit ja linnapea Jaak Tamm .,4928,"[{""start"": 0, ""end"": 15, ""text"": ""30. aprill 1996"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,11461,93.8,93.8,100.0
""" Kuigi mulle väga ei meeldi norskavad jõuluvanad ja Hongkongi ehted , las nad olla .",4947,"[{""start"": 8, ""end"": 13, ""text"": ""mulle"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,11628,93.3,93.3,100.0
Pronksikohtumiseks on isegi raskem häälestuda kui esikohamatshiks .,4995,"[{""start"": 0, ""end"": 18, ""text"": ""Pronksikohtumiseks"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,12187,85.7,100.0,85.7
