sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag
20753975,29752760,8,piinlema,,in,armuvalu,armuvalus,muru: irw ei ole vaja ma armuvalus piinlen,,,,
5483939,8791849,9,kahtlema,,in,aidsiteraapia,AIDSiteraapiates,"13. rahvusvahelisel AIDSikonverentsil kahtleb Lõuna-Aafrika president Thabo Mbeki AIDSiteraapiates ning paneb küsimärgi alla , kas HIV ikka on AIDSi põhjustaja .",,,,
3234373,5196400,15,sündima,,el,jätmine,jätmisest,""" Tagantjärele mõeldes võib ju öelda , et ega nüüd midagi selle korralduse täitmata jätmisest ei sündinud , aga kuna päästetööde juht lähtus otsesest ohust , mis oleks võinud seoses rongiliiklusega juhtuda , siis on siis ainest , mille üle arutleda , küllaga , "" märkis Laos .",,,,
3525328,5676753,14,sattuma,,adit,duširuum,duširuumi,""" Ainult tädi elab teises rütmis ja pahatihti satub valel ajal pooleks tunniks duširuumi , "" märgib Andre .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
19230986,28997035,6,tulenema,,el,etteheide,etteheitest,"Minu küsimus tuleneb põhiseaduskomisjonile tehtud etteheitest , mida ettekandja endale lubas .",,,,
2642837,4241012,13,sattuma,,adit,kellavärk,kellavärki,"Kogu järgneva kolme tunni ja 33 minuti vältel ei satu selle inimmasina kellavärki ühtegi , isegi väiksematki liivatera .",,,,
2060056,3286386,3,langema,,adit,eesistujaperiood,eesistujaperioodi,Suurbritannia pooleaastasesse eesistujaperioodi EL-is langeb teatavasti mitme üliolulise protsessi algus .,,,,
13191955,21103968,20,veenduma,,in,kehtestamine,kehtestamises,"AS Tallinna Sadam juhatuse esimees Enn Sarap ütles , et Tallinna Sadam oli juba mitu aastat tagasi veendunud viisavabaduse kehtestamises .",,,,
8116711,13026030,10,viitama,,all,Archimedes,Archimedesele,"Kallas märkis pakile lisatud kirjas , et raudkang viitab Archimedesele , kes tahtis sobiva toetuspunkti olemasolul kangiga maakera liigutada .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
146014,243396,4,muutma,,adit,teenistus,teenistusse,"“ Muutsin suhtumist teenistusse , nõudsin iseseisvat mõtlemist , ” kirjeldab Lillemägi ja lisab , et ka viimane ulatuslik õppus Tapa linnas oli planeeritud rahuvalve ja NATO taktikat silmas pidades .",,,,
2039079,3255618,8,viitama,,all,arvukus,arvukusele,Demograaf Kalev Kattus on viidanud vanade inimeste arvukusele kui Eesti lähima kümne aasta tõsisemaile sotsiaalprobleemile .,,,,
5042903,8092568,15,langema,,adit,kontekst,konteksti,"Ka reedel Riias lõppenud üliesinduslik Baltimaade e-äri foorum ei langenud ajalises mõttes eriti õnnestunud konteksti - täna ei räägi enam keegi uuest majandusest , milles harjunud seaduspärad ei kehti , ja Internetist , mis vana maailmakorralduse pea peale keerab .",,,,
7879258,12622240,26,juhinduma,,el,juhis,juhistest,"NSV Liidu ja Eesti hariduspoliitika , sh ajaloo õpetamine juhindus aastatel 1944-1953 peamiselt ÜK ( b ) P Keskkomitee varasematest ( 1934 ) juhistest .",,,,
19150727,28888133,4,tulenema,,el,bioloogia,bioloogiast,Kas see tuleneb bioloogiast või on siin mõni muu põhimõte ?,,,,
19107,32874,7,tulema,välja,el,Nightlight,Nightlightist,"Nüüd tahan küll väga , et Nightlightist midagi välja tuleks , ja kui , siis laulan nii kaua , kuni rahvas meid vastu võtab ja pakkumisi on .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
9110450,14648219,15,langema,,adit,kitsh,kitshi,"Kuid Munize paradoks on , et tema ebaharilik viis kunstiteost kopeerida ei lange sentimentaalsesse kitshi - nagu  à la  ristpistes “ Hommik männimetsas ” puhul üldiselt juhtub - , vaid on vaadeldav camp'i kategooriast lähtudes .",,,,
3209327,5154888,7,minema,vastu,in,Lihula,Lihulas,""" Aga see , kuidas valitsus Lihulas pimedas salaja vastu läks - see on uskumatu , "" lisas ta .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
8027634,12880883,3,veenduma,,in,sadam,sadamas,"Veendusin juba sadamas , et Kunigunde võis vihast ja ärritusest , rikkumata vere pulbitsedes rinnus , end laevale kaubelda .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,organisation,
12362222,19792445,5,sündima,,el,fakt,faktist,"Ulme ei sünni teaduslikust faktist , avastusest , arutleb ta enesekindlalt .",,,,
8575001,13745036,13,viitama,,all,direktiiv,direktiividele,"Toivo Jürgensoni kinnitusel on viga , et rahandusministeerium viitab pidevalt Euroopa Liidu direktiividele , kuigi Eesti ei ole Euroopa Liidu liige .",,,,
2625812,4213267,11,langema,,adit,keskpärasus,keskpärasusse,"1950 tuli Argentina esimeseks korvpalli maailmameistriks , kuid langes 1990-ndateni keskpärasusse .",,,,
1293971,2055691,18,juhinduma,,el,ettepanek,ettepanekutest,Keskhaigla peaarsti Andrus Mäesalu sõnul põhinesid haigla juhtkonna need otsused kirurgiakliiniku ettepanekutel ja juhindusid sotsiaalministeeriumi ravikvaliteedi komisjoni ettepanekutest .,,,,
8348688,13377758,25,langema,,adit,ecstasy-uim,Ecstasy-uima,"Tamarat tabas ilmutus - tunne , et ta on läbi murdnud ja avastanud “ uue vabadusetunnetuse ” - novembrikuus , kui ta langes esmakordselt Ecstasy-uima ning uppus orgiastilisse prallesse ühel Full Mooni pidudest , kus transimusa üürgab päevad ja ööd läbi .",,,,
1212949,1929243,23,viitama,,all,auk,augule,"Nad lisasid , et ühegi filmimise käigus ei ole ilmnenud midagi niisugust , mis viitaks plahvatuse , kokkupõrke või muu asjaolu põhjustatud augule laevakere veealustes osades .",,,,
5173316,8299848,8,kahtlema,,in,arukus,arukuses,Paljud üliarukad Mensa liikmed kahtlevad siiski ettevõtmise arukuses .,,,,
652824,1037208,11,saama,lahti,el,enamik,enamikust,"Ehk saaksime just "" töötu sõltumatuse "" rezhiimis hoobilt lahti enamikust "" vastuoludest "" , mis Juske head enesetunnet vasakpoolsuse juures häirivad ?",,,,
12368797,19802572,8,tulenema,,el,finantssüsteem,finantssüsteemist,"Esmane ja peamine probleem tuleneb puudulikult reguleeritud finantssüsteemist , mis suunab kapitali ebapraktiliselt ning lubab erasektoril koguda liigseid võlgu .",,,,
10547292,16906467,3,sattuma,,adit,füüsikainstituut,füüsikainstituuti,"Kui sattusin füüsikainstituuti , siis vedas mul eeskätt sellega , et akadeemik Karl Rebane oli seadnud lati kõrgele - ei ole olemas Eesti , Nõukogude Liidu või Tartu teadust , on üks füüsikateadus , ja kõik , mis te teete , peab olema maailmatasemel .",,,,
10938655,17519840,6,langema,,adit,DaimlerChrysler,DaimlerChrysleri,Isegi koos Smartiga ei lange DaimlerChrysleri keskmine alla 40 eluaasta .,,,,
8707705,13970105,20,sündima,,el,ahnus,ahnusest,"Kindlasti ei saanud Arasthavani anda käsku tema elanikke tappa ja vägistada ; see pidi olema õela Velzini isetegevus , ahnusest sündinud julmus , pimestav raev ja kadedus , mis oli talt meelemõistuse röövinud .",,,,
20786,35629,3,tulema,välja,el,garderoob,garderoobist,Ada tuli garderoobist välja .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
8989861,14453617,17,saama,lahti,el,külmatunne,külmatundest,"Kõik räägivad külmast ja isegi hommikuses vagunis , milles me Montmorency poole loksume , ei saa külmatundest lahti .",|S|AS|LS|ST|AST|LST|,,state,
18431726,27932226,37,juhinduma,,el,tunnetus,tunnetusest,"Vaimne reaalsus ja selle tunnetatud väärtused on meie tavaeludes = enam kohal kui materialist seda oma halvimas unenäoski näha oskab= , ammugi ilmsi tunnistada tahab ja ägedaimgi materialist juhindub ise = sellest vaimsest inspireeritud reaalsuse tunnetusest ja väärtustest pea samamoodi kui usklikud , kes Jumalat tunnistavad .",,,,
12929548,20682950,8,veenduma,,in,ammendumine,ammendumises,Muutuste ettevõtmiseks peab olema veendunud senise süsteemi ammendumises .,,,,
5902999,9475885,4,kahtlema,,in,Iraak,Iraagis,Saddami süüs kahtlevad Iraagis ja mujalgi maailmas aga vähesed .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
2228433,3564546,14,juhinduma,,el,ühisseisukoht,ühisseisukohast,"Läti välisminister Indulis Beržins ütles , et Läti juhindub oma otsuses Euroopa Liidu ühisseisukohast , mille EL-i välisministrid kujundavad septembris .",,,,
2032071,3243994,2,veenduma,,in,onkoloogiahaigla,Onkoloogiahaiglas,"Tallinna Onkoloogiahaiglas ja Tallinna Meremeeste Haiglas veendusin , et meditsiinitöötajad ei ole alati selleks , et aidata inimesi , vaid tihti selleks , et patsiente pika kepiga eemale peletada .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,organisation,ORG
3307566,5318060,17,muutma,,adit,koosseis,koosseisu,"TOKYO , 27. september ( AP-EPLO ) - Jaapani peaminister Junichiro Koizumi muutis esmaspäeval oma kabineti koosseisu , lootes tugevdada oma võimu ja tõsta reformide läbiviimise võimekust .",,,,
15898863,24734534,17,veenduma,,in,hüüdlause,hüüdlauses,"Kui miski mind Eesti raamatumaailmas häirib , siis see , et kirjastajad on veendunud laialt levinud hüüdlauses kõik me siin tunneme üksteist ja seetõttu pole ka vaja sõnagi kõnelda raamatute autoritest .",,,,
6322198,10158153,11,piinlema,,in,närvipinge,närvipinges,"Carter nägi , et litter käis Rootsi väravas ega piinelnud närvipinges",|S|AS|LS|ST|AST|LST|,,state,
19129787,28857684,8,juhinduma,,el,olukord,olukorrast,"Antud momendil on härra Opmann juhindunud praegusest olukorrast , kus ei ole kindlustussüsteemi , vaid on olemas riigimaks , sotsiaalmaks .",|S|AS|LS|ST|AST|LST|,,state,
11186130,17918309,11,viitama,,all,akvarelliharrastus,akvarelliharrastusele,Mall Vahtre näituse pealkiri “ Omaks võetud ” viitab kunstniku akvarelliharrastusele .,,,,
6428994,10335694,5,viitama,,all,Genosense,Genosense'ile,"Üks neist , kes Genosense'ile viitab , on Londoni vananemisspetsialist dr Mike Perring .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
15910056,24751357,1,saama,lahti,el,NEC,NEC'ist,"NEC'ist sain ka suht kiiresti lahti , nii et minu",,,,
12486056,19986080,7,sündima,,el,ellusuhtumine,ellusuhtumisest,"Kuna kõik inimese hädad sünnivad valest ellusuhtumisest , tuleks positiivse hoiaku kujundamist alustada kõige lihtsamast – naeruteraapiast .",,,,
4825682,7748218,8,johtuma,,el,ebaõnn,ebaõnnest,Turneed lootusrikkalt alustanud soomlasi pole pärast liidri ebaõnnest johtunud shokki esikolmikus .,|S|AS|LS|ST|AST|LST|,,state,
5660896,9078956,2,sündima,,el,kodu,kodust,Oma kodust ja kindlast perest sünnib elu,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
16896907,25986074,3,viitama,,all,apo,apole,samuti viitab apole vana hind 4700.- : |,,,,
1374659,2185860,8,tulenema,,el,aktiivsus,aktiivsusest,Tegelik norm seksuaalelus tuleneb mõlemale poolele sobivast aktiivsusest ja variantidest .,,,,
7068148,11358783,24,muutma,,adit,rütm,rütmi,"Jama või mitte ; kõik siin ilmas on suhteline , mu laps ; ometi , paari kohta sobiks hiilgavalt semikoolon , muudaks lause rütmi .",,,,
7364497,11819500,24,johtuma,,el,kehakaal,kehakaalust,"Eks sellele aidanud kõvasti kaasa emiiri ema mõnus eneseiroonia , aga muidugi ka tema teatud abitus , mis vähem east , rohkem aga kehakaalust johtus .",,,,
1684770,2682049,4,kahtlema,,in,apoliitilisus,apoliitilisuses,"Samas ma Paabo apoliitilisuses ei kahtle ja tean , et ta püüab end poliitikast võimalikult kaugele hoida .",,,,
16143772,25055211,13,kahtlema,,in,paratamatus,paratamatuses,"Ma alustan sellest , et ka mina ei kahtle Euroopa Liitu astumise paratamatuses , ma just rõhutaksin seda paratamatust , mis tuleneb meie geograafilisest asukohast ja majanduslikust seisundist .",,,,
16841702,25917070,4,tulema,välja,el,ala,aladest,1 väga vähestest aladest mis laksust kohe välja tuli .,,,,
10322721,16564395,3,sündima,,el,kaitsemäng,kaitsemängust,"“ Tugevast kaitsemängust sünnib edukas rünnak , ” tõdes Järv .",,,,
8555668,13712657,21,piinlema,,in,kütke,kütkeis,"Teie Anna Petrovna põleb sisemiselt , ta on tugev ja tark naine , kuid piinleb samamoodi elu mõttetuse ja igavuse kütkeis kui ülejäänud Tshehhovi tegelased .",,,,
10516729,16860022,3,kahtlema,,in,otsustus,otsustustes,Vallas tehtud otsustustes kahtlevad paljud .,,,,
17552605,26903509,3,viitama,,all,avamine,avamisele,"Kuigi jaama avamisele ei viidanud neljapäeva lõuna ajal veel miski , keerasid paljud autod Tallinna maanteelt tanklasse sisse .",|E|AE|EL|ET|AET|ELT|,,event,
8572837,13741436,1,johtuma,,el,panganduskriis,Panganduskriisist,Panganduskriisist johtunud ümberkorralduste tõttu on Soome jäänud vaid kolm suurt panka .,,,,
1716234,2732096,4,kahtlema,,in,kestvus,kestvuses,"Kahtlen säärase idülli kestvuses kohe tugevalt , aga Katrin ette ei muretse .",,,,
9026157,14512685,13,johtuma,,el,otsus,otsustest,Vanalinnaga seotud probleemid on johtunud suures osas riigi monopoolsetele õigustele tuginevatest läbimõtlemata otsustest .,,,,
5555696,8907981,9,tulema,välja,el,Osaka,Osakast,"Mänedžer Aivar Karotamm aga ütles eile , et Osakast ei tule kindlasti midagi välja ning Rio ripub küsimärgi otsas .",,,,
11226161,17987470,3,sündima,,el,kandidaat,kandidaatidest,Kõigist esitatud kandidaatidest on 1951. aastal sündinud Andris Berzinshil kõige suuremad kogemused nii linnapeana kui ka valitsuse töös .,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
12143168,19442929,23,johtuma,,el,põgenemine,põgenemisest,"Murrangulistel aastatel 80ndate lõpul oli bibliofiil tõsiselt hirmul , et äkki huvi vanaraamatu vastu üldse kaob , et äkki johtuski see kirg põgenemisest tegelikkuse eest .",,,,
2694491,4322272,13,tulenema,,el,erinõue,erinõuetest,"Kantselei haldusdirektor Andres Suurkuusk selgitas , et kardinate kõrge hind tuleneb lossikeskkonna erinõuetest .",,,,
1332914,2119187,4,sündima,,el,auk,august,Sündinud : 22. august 1963 Tartus .,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,DATE,,
7361246,11814112,18,johtuma,,el,rasestamissoov,rasestamissoovist,"Jah , seni pole jurisprudents üritanudki vägistamstoiminguid klassifitseerida kahte gruppi : aktid , mis johtuvad vägistaja tungivast rasestamissoovist ning aktid , mil vägistajal see soov puudub või sekundaarne on .",,,,
6549015,10535934,12,tulenema,,el,assotsiatsioonileping,assotsiatsioonilepingust,"Ansipi hinnangul peaks senisest rohkem kasutama võimalusi , mis tulenevad Egiptuse assotsiatsioonilepingust Euroopa Liiduga .",,,,
3659277,5893116,13,sattuma,,adit,Haapsalu,Haapsallu,""" See oli imeline juhus , et Lars Nexe ja teised rootslased Haapsallu sattusid ning meid aidata otsustasid , "" ütleb ka õilme Ainjärv .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC
11776324,18847282,2,juhinduma,,el,kehakuju,kehakujust,Juhindusime kehakujust tolleaegsetel gravüüridel .,,,,
11807664,18897372,10,saama,lahti,el,elukaaslane,elukaaslasest,Eksmodell Jerry Hall ei saa kuidagi lahti oma endisest elukaaslasest Mick Jaggerist .,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,
19614806,29202159,7,tulenema,,el,biase,biasest,mongo: kas zed tuleneb zed biasest ?,,,,
18994211,28668166,8,tulenema,,el,ajadimensioon,ajadimensioonist,"Näiteks inglaste mõtteruum tuleneb just nimelt üheteljelisest ajadimensioonist ja nad kasutavad selle täienduseks kolme ruumimõõdet , et asjadest aru saada .",,,,
4294744,6909878,13,muutma,,adit,omavalitsus,omavalitsusse,Lähis-Ida rahuprotsessi skeptiliselt suhtuva Netanyahu võit muutis oluliselt Iisraeli suhtumist nii Palestiina omavalitsusse kui ka venivatesse rahukõnelustesse Süüriaga .,,,,
19074446,28781871,1,tulema,välja,el,Kultuuriministeerium,Kultuuriministeeriumist,"Kultuuriministeeriumist välja tulnud muuseumiseaduse muutmise seaduse eelnõus oli just nimelt selline sõnastus , nagu teiegi soovisite - “ kuni viieks aastaks ” .",,,,
83074,141370,9,tulenema,,el,asukoht,asukohast,"Kui gammasähvatused toimuksid Galaktika kettas , tuleneks meie asukohast nende koondumine teatud taevapiirkondadesse .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
13762847,21946968,5,tulenema,,el,erisäte,erisätetest,"Kui arvutisüsteemide kasutamist käsitlevatest erisätetest ei tulene teisiti , peab asjaomase isiku käsitsi kirjutatud originaalallkiri olema lähtetolliasutusele jääval eksemplaril .",,,,
8494781,13615854,14,sündima,,el,Ust-Sõssolski,Ust-Sõssolskist,Kallistrat Zakov sündis 18. septembril 1866 Davponi külas Võlgorti vallas 3 versta kaugusel Ust-Sõssolskist .,|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC
2999060,4810304,4,viitama,,all,asutus,asutusele,Teadjamatele inimestele viitab asutusele vaid selle aadress : Juhkentali 58 - see on kaitsejõudude peastaabi aadress .,,,,
8283928,13285793,16,veenduma,,in,muuseumirahvas,muuseumirahvas,"Aga kui miski veab viltu , siis on selles ka midagi head , veendus nüüd muuseumirahvas .",,,,
16423817,25375015,3,kahtlema,,in,kirjapilt,kirjapildis,"Viimase õiges kirjapildis kahtlen ma sügavalt , aga tegu on väga toreda asjaga .",,,,
851154,1356445,8,sattuma,,adit,hingamispaus,hingamispausi,Ta tundlik iga sattus nõukogude rezhiimi esimesse hingamispausi 1950. aastate lõpus .,,,,
2429696,3895707,15,langema,,adit,meri,merre,"Kolmapäeva hommikupoolikul nähti Vilsandi lähedal meteoriiti , mis ereda valguse ja tugeva mürina saatel merre langes , kirjutas Meie Maa .",,,,
17983783,27365342,8,saama,lahti,el,istumine,istumisest,Ühtlasi saaks lahti sobimatust korraga kahel toolil istumisest .,,,,
7987933,12809528,7,saama,lahti,el,härmavõrguline,härmavõrgulisest,"Siis viimaks sai ta esimesena millestki härmavõrgulisest lahti , raputas oma ruugeid , lahtisi juukseid ja lausus kuhtunud , peaaegu paluval häälel :",,,,
