lemma|form|verbifraas|margend|lause|lause_id
otsing|otsinguil|läks lahkus siitkandist otsinguil inimesi|reason|Kui Kanepi kolhoos laiali läks , lahkus siitkandist äraelamise otsinguil hulk inimesi .|71637
üldjuht|üldjuhul|mis üldjuhul rahulikult liiguvad|other|Bremenit tabanud hiigellaine võis koosneda mitmest üksiklainest , mis üldjuhul rahulikult liiguvad .|78001
pesula|pesulas|Korra käid pesulas liitrit|loc_c|Korra käid pesulas - 100-150 liitrit ehk vannitäis vett jälle läinud .|81699
iminokk|iminokas|Teisalt liigub veri iminokas suunas|loc_c|Teisalt liigub veri sääse iminokas ainult ühes suunas .|88332
positsioon|positsioonilt|me astume tagasi positsioonilt|loc_a|Kuid kui me astume tagasi selt inimliku ülbuse positsioonilt , siis võime läheneda ka teisiti : see on keel , mis kõneleb läbi inimese ja mitte vastupidi .|89531
tulemus|tulemusel|tulemusel peaminister astus tagasi|other|Andres Tarandi valitsus 4. novembrist 1994.a. kuni 17. aprillini 1995.a. Tuli võimule seoses umbusalduse avaldamisega Mart Laarile , mille tulemusel peaminister astus tagasi .|97110
tualett|tualetis|Käisin tualetis puuderdamas|loc_c|Käisin tualetis nina puuderdamas ning tagasi tulles leidsin eest kaks vaenulikku leeri .|102110
ehituskomitee|ehituskomitees|me käisime Peterburis ehituskomitees|loc_c|Kui me käisime Peterburis ehituskomitees ja andsime infot meie firmade kohta - mida me toodame , missugused on meie võimalused - , sain aru , et neil on huvi Eesti ettevõtjate vastu , kes tuleksid oma kapitaliga ja lükkaksid mõnegi asja käima .|126110
ajama|Ajas|Ajas astus pihtimusega üles retsidivist|error|Eesti Ajas astus pihtimusega üles retsidivist Aivo Käoküla , kes tema enda kinnitust mööda teinud Moskvas salaja läbi KGB erikursuse , kaardistanud hiljem Türi pastoraadi ümbruse teed ning osalenud pastor Meri ja tema koduabilise tapmises .|135656
Inglismaa|Inglismaal|armastatakse siis Inglismaal käib suhtlemine kutsete abil|loc_c|Kui mandril armastatakse suhtlemisruumi laiendada tänavale ( inimesed söövad , joovad , veedavad aega , suhtlevad seal ) , siis Inglismaal käib suhtlemine rohkem kutsete abil ja eraldatumais paigus , nagu aiavastuvõttudel .|140421
kirjandus|kirjanduses|kirjanduses liiguvad väited|loc_a|Astronoomilises kirjanduses liiguvad väited , et 100-meetriste ja suuremate ohtlike asteroidide arv võib ulatuda 300 000.|143536
missioon|missioonil|nad käivad aeg missioonil|event|Sellisel juhul on Eesti rahuvalvekompanii pidevas valmisolekus , sinikiivritel on pikemad lepingud ja nad käivad kogu aeg missioonil .|146036
seitsmekümnes|seitsmekümnendatel|originaalitsemine käis juba seitsmekümnendatel|time|Nende eesnimed enam õiged eesti nimed polegi , nimedega originaalitsemine käis juba seitsmekümnendatel .|153263
komsomol|komsomoli|mees astus komsomoli|loc_a|Ajalooline paratamatus seisnes selles , et mees astus nii komsomoli kui parteisse olude sunnil , mitte iseenda algatusel .|161125
Võrumaa|Võrumaal|kes käis Taaliga koos koolis Võrumaal|loc_c|“ Ma tunnen Olari Taali kui jahi- ja kalameest ammusest ajast ja mul polnud põhjust kahelda , kui see taotlus tehti , ” kinnitab Villu Reiljan , kes käis Taaliga koos Viitina koolis Võrumaal .|166403
puhkepäev|puhkepäeval|meremehel jookseb palk puhkepäeval|time|Soome meremehel jookseb palk ka puhkepäeval .|171855
rühm|rühmas|rühmas käib lapsi üle Tallinna|loc_a|Darja ja Dima on suure töö ära teinud - rühmas , mis alustas Tallinna Tõnismäe reaalkooli lastega , käib lapsi üle Tallinna .|176315
semester|semestril|kes Amicusse astus semestril|time|Väike Trull on ju muude tunnuste poolest Oleg-Lembit Mutt , kes Amicusse astus alles teisel semestril 1939.|178666
vajadus|vajadusele|käis koos vastavalt vajadusele|other|Komitee koosnes ministritest ja teistest juhtivatest riigitegelastest ning käis koos vastavalt vajadusele .|180365
tapp|Tapalt|üldse käib inimest Tapalt väljaspool tööl|loc_c|KR :  Sadakond , üldse käib 500 inimest Tapalt väljaspool tööl .|183404
väljamaa|väljamaal|Leo käiski väljamaal hööveldamas|loc_c|Uskuge või mitte , Leo käiski väljamaal silmi hööveldamas .|187694
kesklinlane|kesklinlastest|Pendeldajaid liigub kesklinlastest rohkem tööpäevadel|other|Pendeldajaid liigub kesklinlastest suhteliselt rohkem ( erinevus kuni 10% ) tööpäevadel tööle mineku ja töölt tuleku ajal : hommikul kl 8 : 30-9 : 30 ja õhtul 16 : 30-18 : 00.|204251
võrgustik|võrgustikesse|kes on liikunud kiiremini võrgustikesse|loc_a|Kuigi Eesti on olnud üks neist maadest , kes on liikunud kõige kiiremini globaalsetesse kommunikatsiooni võrgustikesse , on Eesti kaotanud ligi pool sajandit globaalses moderniseerumise protsessis .|214317
juhutöö|juhutöödel|eestlased ookeani taga juhutöödel käivad|loc_a|Esimene kirjeldab , kuidas ettevõtlikud eestlased ookeani taga juhutöödel käivad .|217037
ühiskond|ühiskonnas|raha ühiskonnas liigub|loc_a|Need teadmised on a ) konkurentsivõimelised teadmised tehnoloogiavaldkonnast , millest ideed pärineb , b ) konkurentsivõimelised teadmised ärivaldkonnast ehk üldine arusaamine sellest , kuidas raha ühiskonnas liigub ja kuidas majandus toimib .|233281
kehtivus|kehtivusest|Nii käib siin jutt käitumisnormi kehtivusest läbi prisma|other|[ 3 ] Nii käib siin jutt sotsiaalse käitumisnormi õiguslikust kehtivusest läbi riigi seadusandliku tegevuse prisma .|239086
üleminekuriik|üleminekuriikides|sissesöömine käib üleminekuriikides|loc_c|Uute turgude sissesöömine käib üleminekuriikides ja Aafrikas .|243363
kasutusala|kasutusaladel|Samuti kasutusaladel käib haldusmenetluses testimine|event|Samuti nagu muudel kasutusaladel käib ka haldusmenetluses proportsionaalsuse testimine sobivuse , vajalikkuse ja mõõdukuse kaudu .|249280
tagajärg|tagajärjel|kes on ametist lahkunud tagajärjel|other|Vaatluse alt olen välja jätnud need ministrid , kes on ametist lahkunud ( a ) haiguse tagajärjel ( b ) terve valitsuse ametist ( c ) ühe valitsuse osapoole valitsusest lahkumisega .|251641
kvantmaailm|kvantmaailmas|aga kvantmaailmas liiguvad osakesed|loc_a|Et aga kvantmaailmas liiguvad osakesed valguse kiirusel , siis juba mõõtmise lõppedes on osakese asukoht muutunud ja kiirus samuti .|259464
Madalmaad|Madalmaile|Sittow on lahkunud poisina Tallinnast Madalmaile|loc_c|Sittow on lahkunud 15-aastase poisina Tallinnast Brüggesse Madalmaile ning tal on õnnestunud saada seal just nagu isegi ootamatult õpilaseks tollal väga kuulsa Hans Memlingi töökotta .|266002
paiste|paistel|lauajuppidel istub paistel meest|manner|Ja pakkudele seatud lauajuppidel istub tosina rasvaküünla paistel neli- või viiskümmend meest .|267804
doktoriõpe|doktoriõppesse|aastal astus R. Kangro doktoriõppesse suundus|loc_a|Samal aastal astus R. Kangro Tartu Ülikooli doktoriõppesse , kust 1992. a sügisel suundus õpinguid jätkama Carnegie Melloni Ülikooli .|286715
lävi|lävele|Astunud topoloogiaks lävele|loc_a|Astunud topoloogiaks nimetatava hoone lävele , heidame nüüd põgusa pilgu ka hoone sisemusse .|287782
jõud|jõule|käsi istus enne jõule vahi all|error|Lvovi parem käsi Nikolai Holopov istus enne jõule nädalakese vahi all .|309008
suvelõpupäev|suvelõpupäeval|suvelõpupäeval istuvad meest tänaval autosse|time|Ühel suvelõpupäeval istuvad kaks meest Pärja tänaval Astera direktori Andronovi autosse .|309055
koolitustellimus|koolitustellimustest|jutt käib koolitustellimustest erialadele|other|On olnud huvitav jälgida dispuuti kõrghariduse rahastamise teemal : pilkupüüdvad pealkirjad räägivad  haridusest  , aga jutt käib koolitustellimustest  erialadele  .|309667
multimeediastuudio|multimeediastuudios|multimeediastuudios istus|loc_c|Rootsi-poolses multimeediastuudios istus ja esines professor Björn Pehrson .|315868
varundusseade|varundusseadmesse|andmed liiguvad kettasüsteemist läbi serveri varundusseadmesse|loc_c|Varundatavad andmed liiguvad kettasüsteemist läbi serveri varundusseadmesse .|320413
MM-eriala|MM-erialale|Pärast klassi astusin MM-erialale|loc_a|Pärast kaheksandat klassi astusin TEMTi MM-erialale ( täna Tallinna Kõrgem Tehnikakool ) , 1987 lõpetasin (  c   um   l   aude  ) ja viisin paberid kohe TPI õhtusesse osakonda , tuli hakata end ise majandama .|323448
Taaveti|Taavetist|jutt käib Taavetist|other|( Am 5 : 10-12 ) Kui etiooplane Ebed-Melek , hoovkondlane , kes viibis kuningakojas , kuulis , et nad olid Jeremija pannud kaevu - kuningas istus parajasti Benjamini väravas - , siis Ebed-Melek läks kuningakojast ja rääkis kuningaga … ( Jr 38 : 7 ) Siis kuningas ( jutt käib Taavetist ) tõusis ja istus väravasse .|346052
teispoolsus|teispoolsusesse|teispoolsusesse lahkunud|loc_a|Kuna kristluse üheks “ firmamärgiks ” oli igavese elu idee , oli selge , et teispoolsusesse lahkunud nii nais- kui ka meespühakute hauad said erilise tähelepanu osaliseks .|348213
MM|MM-il|Viimati astus suursoosikuna võistlustulle sõudja MM-il teda|event|Viimati astus suursoosikuna võistlustulle sõudja Jüri Jaanson 1995. aasta MM-il , enne teda trekirattur Erika Salumäe Barcelona olümpial .|351962
rüseleja|rüselejal|rüselejal käisid sussid|owner|Lausetes  Järsku olid auto rattad taeva poole  'autol olid rattad ülespoole' ja  Nõrgemal rüselejal käisid sussid vastu taevast  toimib  taevas  ruumiorientiirina .|352434
rivistus|rivistuses|liider astub juunil Tallinnas Eesti vastu rivistuses|loc_a|Jalgpalli EM-i 9. valikgrupi liider Tshehhimaa astub 5. juunil Tallinnas Eesti vastu peaaegu parimas rivistuses .|353511
õpireis|õpireisidel|Käis õpireisidel Soomes|event|Käis õpireisidel Soomes , Saksamaal , Rootsis , Taanis .|360647
tsenter|tsentrist|tipus liigub õhk tsentrist eemale|loc_a|Äikesepilve tipus liigub kuivaks sadanud õhk orkaani tsentrist eemale ja moodustab orkaani ülaosas silmast mitmesaja kilomeetri kaugusele küündiva antitsüklonaalse õhupöörise .|365478
tasandik|Tasandikul|liiguvad tornaadod Tasandikul|loc_c|Eriti sagedasti tekivad ja liiguvad tornaadod Ameerika Ühendriikide Suurel Tasandikul , kus neid registreeritakse aastas üle 700 ja nad tapavad aastas üle 100 inimese .|365502
Niva|Nivas|haiglasse Nivas kõrvalistmel istunud|loc_c|Raskes seisus toimetati Märjamaa haiglasse Nivas juhi kõrvalistmel istunud hooldekodu velsker Enna ( 58 ) , kes sai hulgaliselt luumurde .|375339
kõrvaliste|kõrvalistmel|haiglasse Nivas kõrvalistmel istunud|loc_c|16.000 töötut oli eelmiselt töökohalt lahkunud omal soovil ja 16.000 olid enne tööotsingute alustamist mitteaktiivsed ( õppijad , lapsehoolduspuhkusel olijad , kodused ) .|375339
töökoht|töökohalt|töötut oli eelmiselt töökohalt lahkunud soovil|loc_a|16.000 töötut oli eelmiselt töökohalt lahkunud omal soovil ja 16.000 olid enne tööotsingute alustamist mitteaktiivsed ( õppijad , lapsehoolduspuhkusel olijad , kodused ) .|391736
vaateplatvorm|vaateplatvormile|mööda treppe kõrgele vaateplatvormile astunud|loc_c|""" Mulle meeldib siin väga , "" tunnistas mööda treppe kõrgele vaateplatvormile astunud ning moevaatemängu ja muusikat kaifiv kultuuriminister Signe Kivi "" Õhtulehele "" ."|396248
võim|Võimult|Võimult lahkunud|loc_a|""" Võimult lahkunud valitsusi aga vaadatakse tagantjärele nostalgiliselt - ega neil viga olnudki . """|400413
paber|paberil|paberil dokumente liigub vähem|error|Paljud Jõgevamaa vallavalitsused on internetiühenduse puudumise pärast mures , kuna üha rohkem informatsiooni riigiasutustest muutub tasapisi elektrooniliseks ning paberil dokumente liigub järjest vähem , kirjutab ajaleht Vooremaa .|403716
võitlustuli|võitlustulle|enne seda astuvad võitlustulle veel truppi|event|Laupäeval selgub õnnelik tiitliomanik , enne seda astuvad võitlustulle veel kaks truppi .|404431
korpus|korpuses|Päästearmee korpuses käis|loc_a|Päästearmee Kopli korpuses käis|408750
NBA-ahvatlus|NBA-ahvatlusele|Vaatamata NBA-ahvatlusele käis ta ülikoolitee lõpuni|other|"Vaatamata NBA-ahvatlusele käis ta ülikoolitee Wake Forestis lõpuni ja lõikab nüüd dividende . """|412173
protsess|protsessil|protsessil käis kuulamas juhataja|event|Linnakodanikke hämmastas , et Mamutovi protsessil käis kohtuotsust kuulamas Tartu autoregistribüroo juhataja Nikolai Sess .|425589
Vormsi|Vormsil|kolleeg pole käinud Vormsil saarel|loc_c|Minu hea eesti kolleeg pole käinud Vormsil ega Prangli saarel , aga meie abikaasaga viibisime möödunud nädalal Halliste jõel kanuumatkal .|432100
loom|loomale|astub perenaine mesimagusalt loomale ligi|other|""" Atlasss ! "" astub perenaine mesimagusalt suurele loomale ligi ja sügab tedagi sarvede tagant ."|432220
kaksik|kaksikutel|kaksikutel poegadel jookseb elusuvi|owner|Tema kaksikutel poegadel Savilil ja Simeonil jookseb neljas elusuvi .|459262
rahakott|rahakotile|Nädalavahetustel käin vastavalt rahakotile keskturul|other|Nädalavahetustel käin vastavalt oma rahakotile keskturul .|482600
sadul|sadulasse|lähe istun laupäeval sadulasse|loc_c|"Enne lennukisse minekut oli Tombak lahinguvalmis : "" Kui enesetunne hullemaks ei lähe , istun laupäeval sadulasse ."|484004
hommikupimedus|hommikupimeduses|Istus hommikupimeduses Otepääl autosse|time|Istus hommikupimeduses Otepääl autosse ja roolis Tallinna , võttis Toompeal peaministrilt preemia ja sõi temaga pidulikku lõunat , kohtus lugematute õnnitlejatega ja andis äsja spordi avastanuile intervjuusid .|484462
põlengupaik|põlengupaigal|Öösel põlengupaigal käinud|loc_c|Öösel põlengupaigal käinud inimesed rääkisid , et tuli sai alguse rahvamajaga ühe katuse alla ehitatud elektrita hoiuruumist , mille eraldi sissepääs oli lahti .|488913
muusikal|muusikalis|Esmakordselt astus püünele inimene muusikalis aastal|event|"Esmakordselt astus püünele porgandpaljas inimene New Yorgis muusikalis "" Juuksed "" 1968. aastal"|496016
pilv|pilvel|pilvel istuvat|loc_c|Tal on pikad juuksed , hall habe ja vasaku rinna kohal on tal tätoveering , mis kujutab pilvel istuvat naist .|500776
operatsioon|operatsioonil|käis operatsioonil ära|event|Võttis lihtsalt puhkuse varem välja ja käis operatsioonil ära .|505919
iimi|iimist|iimist power lahkub auto kohe lülitab|error|Re ( ogonek ) iimist power lahkub auto kohe , kui juht lülitab sisse kiirusehoidiku .|507962
meriväli|Meriväljal|Aleksandr istusid teisipäeval kodumajas Meriväljal tee tuli|error|Norrast Eestisse vääriskala vedav ja seda Keskturul müüv Oleg Lvov , 44 , ning Venemaalt Kesk-Euroopasse kala importiv Aleksandr Klepatš istusid teisipäeval Lvovi kodumajas Meriväljal Ida tee ja Heki tee nurgal , kui keskkriminaalpolitsei tuli , Lvovi käed raudu pani ja ta eeluurimisele viis .|509145
korsten|korstnale|haigur istus puhkama korstnale Inglismaal Northamptonis|loc_c|Kalalkäigult tulnud haigur istus puhkama Maureen Brewini korstnale Inglismaal Northamptonis .|510214
teelõik|teelõigul|mis liikus teelõigul eksikombel vastassuunas|loc_c|Kokkupõrke põhjustas rahukontingendile KFOR kuuluv sõiduk , mis liikus ühesuunalisel teelõigul eksikombel vastassuunas .|519181
draamateater|draamateatris|Lisaks jooksevad filmid tänavu draamateatris|loc_c|Lisaks juba mullu festivali filme demonstreerinud kinomajale , Sakala keskusele , kinole Sõprus ja vene kultuurikeskusele jooksevad festivali filmid tänavu ka vene draamateatris ja Tartu kinos Illusioon .|520449
maarjamaa|Maarjamaalt|kes nädala pärast lahkub Maarjamaalt|loc_c|""" Ega see mulle eriti veel kohale pole jõudnud , "" naerab lauljatar Hanna-Liina Võsa , kes nädala pärast lahkub Maarjamaalt ja alustab õpinguid Ameerikas ."|530925
kuku-klubi|Kuku-klubis|lapsepõlves käis ta Kuku-klubis söömas|loc_c|Ehkki lapsepõlves käis ta Kuku-klubis päevasel ajal söömas ning vaatas Kunstifondi ruumidest Niguliste kiriku põlemist .|531264
lähedus|läheduses|nad hommikuti ikka läheduses liiguksid|loc_a|""" Oleme patrullidele sõnad peale lugenud , et nad hommikuti ikka koolide läheduses liiguksid , "" märkis ta ."|543730
latt|latile|jooksis latile liialt sisse|loc_c|"Kõrgushüppe kohta kostis Nool , et jooksis 2.00-l latile liialt sisse : "" Jõudu jätkus , aga see ei suundunud üles ."|566993
äärelinn|äärelinnades|äärelinnades käivat lahingud|loc_c|Veebilehe andmeil viidi pühapäeval linna veel 800 võitlejat , äärelinnades käivat juba lahingud .|580034
Elvi|Elvis|südamesse astus Elvis aastal nägi|error|Raamatu autori südamesse astus Elvis umbes 1977. aastal , kui toona 13aastane Tõnu nägi telerist juhuslikult klippi Elvise matustest , mida austas oma kohaleolekuga ligi 7000 inimest .|594664
kriis|kriisile|kriisile otsimine jookseb täistuuridel|event|Jugoslaavia kriisile diplomaatilise lahenduse otsimine jookseb täistuuridel - esirinnas on vähemasti sõnades ikka Venemaa ja tema järel nüüd ka ÜRO peasekretär Kofi Annan , OSCE ja euroliit ning ilmselt kõige tõsisemalt viimase eesistujariik Saksamaa .|643647
rakk|rakku|lugemisajaks jooksevad emmed-issid leidmiseks mööda linna jalad rakku|state|Kohustusliku kirjanduse lugemisajaks jooksevad emmed-issid mõne teose leidmiseks mööda linna jalad rakku .|660120
luu|luust|see käib luust läbi|loc_c|Kui ta katsub perenaist majapidamistöödes abistada , saadetakse ta ära kambrisse , kui ta üritab seal klaverit mängida , hakkab haige vanaperemees tagatoas köhima , oigama ning palub viimaks : jätku kallis laps ometi järele , see käib luust ja lihast läbi !|660838
varjupaik|varjupaigas|Inge käivad varjupaigas abiks mees|loc_c|Inge Ojalal käivad varjupaigas abiks ka mees ja tütar .|701397
nüüdismaailm|nüüdismaailmas|nüüdismaailmas liigub tehnoloogia kiiresti käest kätte|loc_a|Ja nüüdismaailmas liigub tehnoloogia suhteliselt kiiresti käest kätte .|702711
nisupõld|nisupõllul|nisupõllul käib kuud ehitustegevus tahetakse|loc_c|Kosovo lõunaosas asuva Urosevaci linnast idas asuval nisupõllul käib juba kaks kuud kõva ehitustegevus , kus USA rahuvalvajatele püstitatava baasiga tahetakse sõduritele luua kodune atmosfäär ja kaitsta neid rünnakute eest .|718979
turbiinisaal|turbiinisaalis|tudengid astuvad täna publiku ette vanal Kalmuneiuga turbiinisaalis puiesteel|loc_c|"Teatrikooli XIX lennu tudengid astuvad täna publiku ette vanal seto lugulaulul põhineva "" Kalmuneiuga "" Tallinna vana elektrijaama turbiinisaalis Põhja puiesteel , nüüd energeetikamuuseumis ."|726358
trajektoor|trajektooril|Võrumaal trajektooril liikunud|loc_a|Võrumaal Ruusmäe , Rõngu , Antsla ja Sõmerpalu trajektooril liikunud maru tõttu langes seal rivist välja 450 trafopunkti .|731632
sügishooaeg|Sügishooajal|Sügishooajal käin ilmselt korda perega Rootsis pidamas|time|Sügishooajal käin ilmselt paar korda perega Rootsis ja mõned korrad mujal Euroopas konverentsidel või loengut pidamas .|745052
kuub|kuuel|jookseb kuuel|error|Suure sihi nimel teeb Tiidemann nädalas 25 treeningut -- ujub ja jookseb kuuel , vehkleb ja tulistab viiel ning ratsutab kolmel korral .|757483
vabaõhulava|vabaõhulaval|Eile Londonis vabaõhulaval üles astunud|loc_c|Eile Londonis suurel vabaõhulaval üles astunud Chris De Burgh oma kolmetunnisest Tamula kontserdist otseülekannet teha ei lubanud .|761801
Alatskivi|Alatskivil|lapsed käivad Alatskivil keskkoolis|loc_c|Pala lapsed käivad Alatskivil ja Tartus keskkoolis , Alatskivi vallaga on ühine vallaarst .|780609
kehastus|kehastuses|lavale astub ta kehastuses|state|Populaarne naiskriminalist Miss Marple toimetab juurdlusi Christie 12 romaanis ja 20 lühijutus , Vanemuise lavale astub ta Maimu Krinali kehastuses .|806246
toetus|toetusel|tõe-näoliselt astus Kvashnin järsult kaitseministri vastu välja toetusel|manner|Aga tõe-näoliselt astus Kvashnin nii järsult kaitseministri vastu välja president Vladimir Putini teatud toetusel .|817722
käsi-käsi|käsi-käes|Arusaamine käib käsi-käes küpsusega|manner|Arusaamine käib käsi-käes küpsusega .|822846
kultuurikolledõi|kultuurikolledõisse|astusin kultuurikolledõisse õppima|error|Küllap oleksingi mammiks jäänud , nagu mind mees ja hiljem lapsedki kutsusid , aga võtsin end kokku ja astusin kultuurikolledõisse raamatukogundust õppima .|849801
delta|deltas|deltas provintsis käisin linnas|loc_c|""" Kollase Jõe deltas , Shandongi provintsis käisin kahes linnas ."|862955
üliõpilane|üliõpilasest|aastal käis ta seal korda külas üliõpilasest vennal|state|Sel aastal käis ta seal teist korda külas oma üliõpilasest vennal .|878311
pluss|plussis|börsid liikusid reedel plussis|state|Euroopa börsid liikusid reedel plussis , kuid Wall Streeti avanemine miinuses vallandas kasumivõtmise .|878726
rahaauto|rahaautos|rahaautos istunud|loc_a|Tsurkan ja Harkin lavastasid rahaautos istunud Kuusksalule kallaletungi ning sõitsid rahaveomasinaga minema .|880360
kapitaalremont|kapitaalremondis|kilomeetrit buss on korra käinud kapitaalremondis|event|Miljon kilomeetrit ehk 25 korda ümber maakera sõitnud buss on ühe korra käinud kapitaalremondis .|880605
