form|lause
vangistusülemal|Leidub ka vastupidiseid näiteid - vabanev mees käis vangistusülemal kaks nädalat järel palvega ta edasi vanglasse jätta .
vannitoauksele|Käisin korduvalt vannitoauksele koputamas .
villipubis|luxi: raven villipubis ka käisid
xxx-ist|@ossignasju: mine vahi oma xxx-ist porri
zoloogias|dj_crule: Blade_77 sa zoloogias käisid ??
õppekülastusel|Nagu selgitas projekti juht Rein Org , käisid spetsialistid siinviibimise ajal ka õppekülastusel Valga veepuhastites .
õppelaenupirukast|Sel sügisel tõttasid tudengite õppelaenupirukast suurt tükki hammustama ka kõik kolm mobiiltelefonioperaatorit .
õppepolgust|Leedus Ruklas asuvast õppepolgust lahkus laupäeva õhtul 21 sõdurit omavoliliselt väeosast .
Bråtveitist|Kas jutt käib Bråtveitist , ei soostunud ta eile täpsustama .
Bråtveitist|Kas jutt käib Bråtveitist , ei soostunud ta eile täpsustama .
EADSis|EADSis ehk European Aeronautic Defence and Space Companys töötab 116000 inimest ja selle käive oli eelmisel aastal 372 miljardit krooni .
EADSile|EADSile kuulub uues kompaniis 37,5% aktsiatest , BAe'le 37,5% ja Finmeccanicale 25% .
Haideril|Tegelikult käivad Haideril nii kõvad neelud keskvõimu järele , et teda Kärntenis peaaegu ei nähtagi , leiavad kritiseerijad .
Haideril|Ainult et Haideril puuduvad löökrühmlased SA , SS-i või Stahlhelm ide näol , kelle abil opositsioon likvideerida ja riigis ainuvõim enda kätte haarata .
Herakleitosest|"Autorid paistavad võtvat tõsiselt Whiteheadi teesi "" Kogu läänemaine filosoofia on üksnes ääremärkused Platoni filosoofiale "" ( lk 165 ) - Platoniga astub dialoogi terve plejaad mõtlejaid Herakleitosest Derridani ."
Herakleitosest|EUROAMEERIKALIKUS mõtteviisis , kus Herakleitosest alates “ kõik voolab ” ja samasse jõkke kahte korda ei astuta , on aja kulg lineaarne ning kõigel vähemasti algus ( Loomine , Suur Pauk , jms ) .
ID-st|2sekundilisi lisapause ei tehta , s . t . sujuvad üleminekud on sujuvad üleminekud ja DiskID klapib ( eeldusel et sa räägid sellest CDDB ID-st ) .
ID'le|topicID viitab forumi ID'le .
Jääääras|Need ballaadid , mida nad Jääääras kirjutavad ja esitavad , on väga sügava sisuga ja see sõnum läheb kuulajatele korda .
Jääääral|Esinemised käivad nii Jääääral kui ka Jaan Söödi teisel bändil , Lindpriidel rohkem tuurikaupa .
KHKs|Salvestus sellest , kuidas möödub KHKs riistvara tund !
KHK's|Muig äkki teeme teema « Kes käib Tartu KHK's » ....
Lublinos|Saksamaa president Roman Herzog mälestas eile hommikul Moskva lähistel Lublinos Saksa sõjaväe kalmistul Teises maailmasõjas langenud Saksa sõdureid .
Lublinos|Eile käis Saksamaa president Moskva lähistel Lublinos Saksa sõjaväe kalmistul ja kohtus Venemaal elava 800 000 sakslase esindajatega .
aastapäevanäitustel|Aga vabariigi aastapäevanäitustel käis palju rohkem rahvast kui tavaliselt , ja ka arusaamisega ei tekkinud raskusi : kõik oli nö . sini-must-valgel kirjas .
aastapäevanäitusele|Näituse avamine toimus aastapäevanäitusele omase pidulikkusega , kultuuriminister Jaak Allik tänas kunstirahvast , et nad on üle elanud “ nii poliitilise kui hilisemad majandusliku surutise aastad ” ja kestma jäänud .
em'st|jutt käib kossu em'st
em'ile|üllatused lisavad em'ile vürtsi nagu see kommentaator ütles .
heliagedustest|Tähenärijatele veel täpsustuseks et jutt käib heliagedustest ehk siis inimese kuulde piirkonnast 20Hz - 20 ( 16 ) kHz .
heliagedustest|Tähenärijatele veel täpsustuseks et jutt käib heliagedustest ehk siis inimese kuulde piirkonnast 20Hz - 20 ( 16 ) kHz .
jalakäijasillale|Eskiisprojekt on juba valminud Turu tänava piirkonna jalakäijasillale .
jalakäijasillal|Paari tunni pärast märkas Särevere jalakäijasillal kõndinud inimene all vees lapse surnukeha .
jooksutunnis|Tee nüüd mõned ringid ; nagu hobune teeb jooksutunnis ringe , kuni muutub higiseks !
jooksutunnis|Nii harjutaski Greene ülikooli jalgpalluritega , Hobsoni juures käis aga kohusetruult jooksutunnis .
Järvesuul|Elektrijaama ehitust juhtinud toonane Võrumaa komsomoliinstruktor Andres Ojasoo käis ise Järvesuul poisse värbamas .
järvesuult|Sünnipäevaline ise oli Podmotsa küla - selline tore ja lihtne küla Eesti kaguservas , mille järvesuult avaneb vaade Venemaale - Kulje külale .
kohtla-järvel|enivei: mul sõber käis kohtla-järvel
kohtla-järvel|walking_cat: ma elan kohtla-järvel
kurusel|Miss Tartu '97 on Tartu Ülikoolis neljandal kurusel inglise filoloogiat õppiv 22-aastane Kai-Riin Bachmann , selgus eile öösel ööklubis Atlantis zhürii otsus .
kurustel|Kümne aasta jooksul on kaugkoolituse kurustel käinud 7000 inimest .
kõrgushüppepaigalt|Juubeldades kõrgushüppepaigalt lahkunud Shebrle sattus vastamisi Eesti antidopingu- komitee juhi Mihkel Mardnaga , kes teatas kohustusest saabuda dopingukontrolli .
kõrgushüppepaigale|Pahapill oli esimene kümnevõistleja , kes veel tibutava vihma saatel kõrgushüppepaigale naasis ja märja rajaga tutvus .
laskmistrennis|Mina käisin teismelisena alguses veel laskmistrennis ka , seega lasta ma oskan .
laskmistrennis|Kunagi laskmistrennis käinud Jarno on kõmmutanud jahil käies nii kitsi , põtru kui ka sigu , ja seda kõike vasaku käega .
libedarajal|See käib rate.ee libedarajal Tallinna lähedal Männikul .
libedarajal|"Valga maakonnast käis eelmisel aastal Tartu libedarajal koolitust saamas kümmekond juhti , "" ütles Indrek Madar ."
lossikirikus|Täna keskpäeval algab Stockholmi lossikirikus prints Bertili matusetseremoonia .
lossikirikus|Käisin kunagi 90-ndatel Haapsalu lossikirikus kontserdil , koorijuht ( naisterahvas ) oskas sõrmeliigutustega koori nii välja häälestada , et õhk kirikus hakkas vappuma .
mihklikuus|Aasta eest käis mihklikuus äge debatt kaitsekulutuste üle , kui seni vaesed relvajõud end inetu pardipoja seisusest välja murdsid .
mihklikuust|Rapla alevikus asub mihklikuust saadik ka loomaarst , kellelt loomade pidajad häda korral alati lahket abi ja juhatust võivad leida .
Motodoktorisse|Läksin Motodoktorisse .
motodoktoris|Käisin motodoktoris .
motoüritusele|20. oktoobril toimuvale motoüritusele ootavad korraldajad ligi 225 võistlejat Eestist , Lätist , Leedust , Venemaalt , Soomest ja Rootsist .
motoüritustel|Equ , viimasel ajal aktiivselt motoüritustel käinud -- 1984 Honda MBX125 F 1983 Honda CM400T
Mustmäel|hommikul lahkusin mittetahtlikult Mustmäel garaažist ema autoga . . . . .
Mustmäele|Ka pittu õnnitlusi maitsma ei jäänud võitja kauaks , vaid sõitis Mustmäele bändi bassimehe juurde end välja magama .
näevidele|Minule isiklikult Soolo näevidele ei käi .
näevidele|hedgehog: ära loe kui näevidele käib ...
olümpiapoodiumile|Niisiis , mitte ainult atleedid , vaid ka riigid ja rahvad astuvad olümpiapoodiumile .
olümpiapoodiumil|Kogu tänase päeva võõrustab kuulsaid külalisi Jüri Tamm , kes on kahel korral Sedõhhi seltsis olümpiapoodiumil seisnud .
ootepinkidel|Pimedas öises lennujaamas proovisin ootepinkidel koos kümnete teiste hommikust lendu ootavate inimestega suikuda .
ootepingile|See on võrdlemisi lõtv võrdlus , pealegi tuhandeid kordi ning nüansirikkamalt ( nüansid - nägemise närvid ! ) kasutatud , kuid peab tunnistama , et selle tagajärjel midagi juba tekkis , teie tundeimpulsist tabatud nägemisnärv saatis silma võrkkestale kujutise , mida juba järgmisel hetkel võiksite täpsustada , kui istuksite bussijaama ootepingile päikese eest varju pugenud mehe kõrvale ning küsiksite tema käest seda , mida küsivad kõik , kes arvavad , et kunst on üksinduse ülistus - aega , kella !
parteistaapidesse|Kaovad ära parteistaapidesse toodavad sularahakotid ja kummalised annetused riiulifirmade kaudu .
parteistaabis|Osa satub reamehena rindele tule alla , kolonelid istuvad parteistaabis ja liigutavad lahingukaardil nuppe .
pensioniskeemidele|3 ) õigusaktid , mis nõukogu on ühenduse piires liikuvate töötajate ja nende pereliikmete sotsiaalkindlustusõiguste kaitseks juba vastu võtnud , nimelt nõukogu 14. juuni 1971. aasta määrus ( EMÜ ) nr 1408/71 ( sotsiaalkindlustusskeemide kohaldamise kohta ühenduse piires liikuvate töötajate , füüsilisest isikust ettevõtjate ja nende pereliikmete suhtes )  4  ja nõukogu 21. märtsi 1972. aasta määrus ( EMÜ ) nr 574/72 , millega nähakse ette määruse ( EMÜ ) nr 1408/71 ( sotsiaalkindlustusskeemide kohaldamise kohta ühenduse piires liikuvate töötajate , füüsilisest isikust ettevõtjate ja nende pereliikmete suhtes ) rakendamise kord ,  5  käsitlevad ainult riiklikke pensioniskeeme ; nende määrustega ettenähtud kooskõlastussüsteem ei laiene täiendavatele pensioniskeemidele , välja arvatud skeemid , mida hõlmab määruse ( EMÜ ) nr 1408/71 artikli 1 punkti j esimeses lõigus määratletud mõiste “ õigusaktid ” või mille suhtes liikmesriik teeb kõnealuse artikli alusel avalduse ;
pensioniskeemist|Tähendab , laekumise puhul on tähtis , kui palju laekub sotsiaalmaksu , mitte kui palju inimesi lahkub 4% ulatuses riiklikust pensioniskeemist ja liitub kogumispensioniga .
Politseiaias|Ehkki teadaolevalt pole hotelli-kasiino külastajate või töötajatega Politseiaias ühtegi õnnetust juhtunud , seatakse pargi hotellipoolsesse ossa valvekaamera .
Politseiaias|""" Juuni esimesel nädalal valmib peenar Politseiaias ning vanalinna riputatakse 200 lilleamplit , "" ütles Sõtnik ."
primary's|Kolm pisemat Suitsude pere last , Moonika , Maarja ja Heino , käivad Hulli Stepney primary's ehk algkoolis , mis on nende jaoks üldse elu esimene kool .
primary -sse|Ma peale pikka pusimist jätsin primary -sse :
softivahetuses|Mul sama jama , käis softivahetuses , aga abi ei saanud :
softivahetusest|Või piisab äkki softivahetusest ?
spagaadis|kõik trance alaliigid , trumm ja bass , kõige rohkem meeldivad armin van buuren ja ferry corsten , kui vahel arvuti üle viskab , siis harjutan teises toas capoeirat , so võitluskunst , mida eddie gordo tekken3-s teeb , momendil harjutan käte peal keerutamist jalad spagaadis ( ma paindun väga hästi )
spagaadist|67 . minutil lõi Teet Allas spagaadist viigivärava .
superseksikale|""" Beverly Hillsi võmmi "" täht kinkis superseksikale Tracey Edmondsile hiiglasliku kollase briljandiga Cartier'sõrmuse ja palus teda endale naiseks , vahendab The Sun Ameerika ajakirjandust ."
superseksikatest|"Musta värvi superseksikatest "" astuge mu teelt eest "" saabastest kuni leebete , beežide-pruunide madala kontsaga seemisnahksete jalavarjudeni ."
tagasistumisest|Ühtlasi teatas ta tagasistumisest kõigist senistest ametitest .
tagasistumisel|Linnapea tagasistumisel lahkub ka linnavalitsus .
tagavedrudest|Mul muide on ka üks madaldussari üle , mis koosneb uutest tagavedrudest ja kasutatud esivedrudest .
tagavedrudest|Sorry , täiendus : jutt käib siin ja edaspidi vaid tagavedrudest .
tekstiiliettevõttes|Seoses uute investeeringutega suureneb EBRD osalus Utenos Trikotazases 15 , Trinyciai tekstiiliettevõttes aga 37 , 6 .
tekstiiliettevõttesse|Samas on kerkiva tekstiilihiiglase taga Poleschuki kinnitusel Venemaa puuvillaga kaubitseja Tecko huvid , kellele kuuluvad enamusaktsiad ning kust liiguvad tekstiiliettevõttesse ka rahavood investeeringuteks .
territoorumil|Pealkirjastades oma “ teesid ” küsimusega “ Kas ( Nõukogude ) Liit sünnib taas 2005. aastaks ? ” , võtavad autorid vaatluse alla võimaliku liitumisprotsessi endise N. Liidu jurisdiktsiooni all olnud territoorumil .
territoorumil|Kõige enam käisid nad Tallinnast väljas töölähetustel Lääne prefektuuri territoorumil , kus patrullisid 28 protsenti ajast .
transpordikomisjonile|Komisjonidele alluvad ametid valdkonniti , näiteks transpordikomisjonile allub transpordiamet .
transpordikomisjonis|Hamburgis Euroopa Liidu transpordikomisjonis käivad ettevalmistused uue liikluseeskirja ettevalmistamiseks .
turbaaukudest|Uulitsatpidi tulevad vatijopedes töötud mehed , jääpuurid peos - turbaaukudest näkkab talvel mõni kala .
turbaaukudes|Nõos elades käisin tihti turbaaukudes , kust võtsin purki konnakulleseid ja väikseid kalu ning jälgisin neid .
Vokaalstuudios|Vokaalstuudios käivad enamasti koorilauljad hääletreeningut tegemas .
vokaalstuudios|Viktoria Seimar 21aastane Viktoria Seimar on hevibändi Inferno laulja ning töötab Tallinnas vokaalstuudios Diapasoon laulu- ja vokaaltehnika õpetajana .
äratõukepakule|Kaseorg jooksis kolmandal katsel äratõukepakule kaheksa meetri mehe ilmega , kuid plastiliinist kontrollriba all varitses oma tundi õel deemon .
äratõukepakule|Võõrtreenerile meenus , missuguse kiirusega Nool Talence'is 7.93 kaugust hüpates äratõukepakule jooksis .
FS-il|Ma ei leia oma FS-il tagaistmete mootori kaitsmeid Istmed lakkasid töötamast koos niiet mõlemad mootorid läbi olla ei tohiks .
FS-l|Avastasin oma FS-l uue pahaloomulise haiguse .
FS-l|Avastasin oma FS-l uue pahaloomulise haiguse .
Firenightil|Festivali korraldaja Lauri Laubre sõnul esineb tänavusel Firenightil kuus välismaist artisti , kelle nimed avaldavad korraldajad lähipäevil .
Firenightil|Käisin Firenightil ilutulestikku vaatamas , Elton Johni kontserdil ja Rootsis U2 kontserdil .
Firenightil|Firenightil astub üles üle 20 esineja , sealhulgas mitmed maailmakuulsad välisesinejad .
Guildfordis|Guildfordis tekkis füüsikute ja teoloogide lähenemine .
Guildfordis|Guildfordis voolab inimmass , sh pool vagunitäit õlleseid Bohemian Rhapsodyt jörisevaid noori , perroonile , jättes meid omapäi vagunisse .
Guildfordis|Praegu käib ta veel tööl kümmekonna kilomeetri kaugusel Guildfordis , kus ministeeriumi hoonete ühes tiivas asub ka lastesõim .
Kivilinnas|Laupäeva öösel lõhuti Kivilinnas Anne tänavas seisnud Nissan Sunny aken , kuid seest midagi ei võetud .
Kivilinnas|Reede hommikul kell 5.30 jooksis Kivilinnas Jaama tänava maja trepikotta ähmis ja poriste rõivastega 18-aastane neiu ning helistas esimese ettejuhtunud korteri uksekella .
Kivilinnas|Eile varahommikul kell 6.30 märkas Kivilinnas tööle sõita kavatsenud mees , et tema Mazdasse on sisse murtud .
Kristinist|Kas sa tahad , et Kristinist ja kõigist järgmistest lastest saaks sportlased ?
Kristinil|Tajusin selle tähendust , kui käisin hiljuti Kristinil külas ja nägin teda pere keskel .
Kristinil|Ja Kristinil on tulemas luulekogu .
Peterhofis|Peterhofis käib mingi kamm , nagu noored ütlevad .
Peterhofis|üllatus ootas ees Peterhofis .
Peterhofis|Meile geograafiliselt lähimad sama esinduslikud näited asuvad Peterhofis , Rundales Kuramaal ja Drottningholmis Stockholmi külje all , olemuslikult lähedasemaid on Kadriorule aga Het Loo Hollandis .
aksel|korp15: kuule aksel ole kus
aksel|Tropp: ei tea aksel
aksel|glacier: millest siis jutt käib aksel
baariretkedel|Aga mulle , nagu öeldud , need ei sobinud ja ma panin need silma vaid oma baariretkedel .
baariretkelt|Matti , kes on õigusorganitega varemgi tegemist teinud , saabunud kolmapäeval baariretkelt nõudmisega , et naine talle auto ostaks .
baariretkedele|Nii mõneltki sugukondlikult istumiselt liikus onu hiljem omapäi mingitele baariretkedele .
dopinguärist|“ Ootasin , millal pomm plahvatab , sest teadsin dopinguärist ammu , ” kinnitas keset hooaega lõhkise küna ette sattunud Pütsep .
Dopinguäris|Dopinguäris liiguvad miljonid .
dopinguärile|Politsei leidis minu märkmete vahelt kviitungid , mis viitavat dopinguärile .
elementaarkoolis|Judge , kes jätkab shõule sketshide joonistamist , tunnistab , et see shõu pole mõeldud igaühele , näiteks väikestele lastele ja isegi tema enda emale , endisele ülikooli õppejõule , kes nüüd töötab elementaarkoolis bibliograafina .
elementaarkoolis|Elisabeth käis aruannete kohaselt 1850. aastast madam Wittenbergi erakoolis , 1854. aastast aga linna tütarlaste elementaarkoolis .
elementaarkoolis|1871. – 1882 . aastani töötas Lihula elementaarkoolis kirjanik Jakob Pärn .
iluvigadest|Eestlased aga said koduseinte ja publiku toel ( eriti käib see Luzgini mängu kohta ) oma iluvigadest jagu ning keerasid mõlemad kohtumised selgelt enda kasuks .
iluvigadele|Kõigile iluvigadele vaatamata : enam-vähem sellist Eesti riiki me ju tahtsime .
iluvigadest|Väikestest iluvigadest hoolimata on aga eksootilise välimuse ja sügavpruunide silmadega Cruzist saanud Euroopa filmi ja naiselikkuse sümbol , nagu seda oma hiilgeaegadel oli Sophia Loren .
kiiljahile|Vaimukosutuseks ja enesearendamiseks istuvad Tõnisted suvel ka neljamehe kiiljahile Melges 24 ja osalevad mõnel Põhjamaa regatil .
kiiljahil|Vendade ettevalmistuskavva kuulub ka purjetamine kiirel Melges-24 tüüpi kiiljahil , mille vennad Haavelid endale hiljuti muretsesid .
kiiljahil|Kõige hiljem jäävad eemale kiiljahil , Staril ja Solingul seilajad .
kõrvalkabiinis|Ei-ei , ruttas too meenutama , kuidas istus hiljuti võistlust kommenteerides eestlaste kõrvalkabiinis .
kõrvalkabiinides|Kaks tudengit vestlevad meeste WC kõrvalkabiinides :
kõrvalkabiinist|Vasakust kõrvalkabiinist kostab :
lasteajas|l__m_f_a__o: ma arvan ei sa peaksid lasteajas k2ima
lasteajas|kaisuke: osad vast käisid lasteajas
lasteajas|seega ei ole kunagi sööklatoitu söönud koolis ja lasteajas sõin kah harva .
likvidaatoritele|Põlevkivitööstuse likvidaatoritele tahaks aga meenutada vanasõna , et vanasse kaevu ära sülita enne , kui uus valmis kaevatud .
