collectionID	sentenceStart	changed	changes	original	short
661196	1189	1	"{""acl_cop"": 1}"	Mul on suht vana optiline hiir ja seega ei olnud sellel mingit CD -t kaasas	Mul on suht vana optiline hiir ja ei olnud sellel mingit CD -t kaasas
636629	309	0	{}	"Võin alati endale sünnipäevaks soovida , mida tahan . """	"Võin endale sünnipäevaks soovida , mida tahan . """
553459	345	0	{}	“ Tagasi tippsporti ?	“ tippsporti ?
705075	5443	0	{}	Ziil: heh väga koom pilt on sattunud mulle siia paremalepoole	Ziil : heh koom pilt on sattunud mulle paremalepoole
431267	675	1	"{""advcl_acl:relcl"": 1}"	See polegi tähtis , milline seos tekib , pigem on oluline see , millist sünonüümi me hakkame inimeste teadvusesse kinnistama .	See polegi tähtis , milline seos tekib , on oluline see , millist sünonüümi me hakkame inimeste teadvusesse kinnistama .
403201	101647	0	{}	Kummaline rammestav tunne tabas mind , olin äkki justnagu kodus ...	Kummaline rammestav tunne tabas mind , olin kodus ...
275901	7511	0	{}	Pissipott kuueteistkümne ruutmeetri suuruse kempsu nurgas on meile juba tuttav .	Pissipott kuueteistkümne ruutmeetri suuruse kempsu nurgas on meile tuttav .
489222	4013	0	{}	Tuhandete nõeltega 80meetrise masti abil registreerisid nad küll laenguid pingega 1,6 miljonit volti , seda väge kokku koguda oli aga võimatu .	Tuhandete nõeltega 80meetrise masti abil registreerisid nad laenguid pingega 1,6 miljonit volti , seda väge kokku koguda oli võimatu .
324296	547	0	{}	Paljudele üllatuseks mängis ManU nii tähtsas kohtumises ilma David Beckhamita .	Paljudele üllatuseks mängis tähtsas kohtumises ilma David Beckhamita .
705050	875174	0	{}	67. muudatusettepanek , autor Isamaaliidu fraktsioon , täielikult arvestatud .	67. muudatusettepanek , autor Isamaaliidu fraktsioon , arvestatud .
398458	547	1	"{""nsubj_nsubj:cop"": 1, ""aux_cop"": 1}"	Perestroika , Mihhail Gorbatshov ja Boriss Jeltsin on oma ülesande edukalt täitnud : Peterburis toodetu on piisavalt terav .	Perestroika , Mihhail Gorbatshov ja Boriss Jeltsin on oma ülesande täitnud : Peterburis toodetu on terav .
503708	1401	0	{}	Tervisliku linna ideoloogia näeb ette optimaalsel tasemel tervishoiuteenuste kättesaadavust kõigile ning kõrget tervisestandardit - palju terveid , vähe haigeid .	Tervisliku linna ideoloogia näeb ette optimaalsel tasemel tervishoiuteenuste kättesaadavust kõigile ning kõrget tervisestandardit - terveid , haigeid .
453770	1377	0	{}	Põllumajandusülikooli nõukogu otsustas luua rektorite galerii juba 1997. aasta sügisel , projekt läks maksma umbes 45 000 krooni .	Põllumajandusülikooli nõukogu otsustas luua rektorite galerii 1997. aasta sügisel , projekt läks maksma 45 000 krooni .
426380	1403	0	{}	Ajal , mil ametnike korrumpeeritus on meie noore riikluse üks valukohti , polegi vist päris alusetu karta , et meie õigust privaatsusele võib edaspidi kuritarvitada ja sellega manipuleerida mõni ahne ametnik , sedapuhku juba riigi ametlikus andmepangas sorides .	Ajal , mil ametnike korrumpeeritus on meie noore riikluse üks valukohti , polegi alusetu karta , et meie õigust privaatsusele võib kuritarvitada ja sellega manipuleerida mõni ahne ametnik , riigi ametlikus andmepangas sorides .
151592	1096	0	{}	Asustus peaks säilima , kasvõi läheb mõni pensionär elama või vähemalt suvel leiab kasutust , sõnas Vevers .	Asustus peaks säilima , läheb mõni pensionär elama või suvel leiab kasutust , sõnas Vevers .
705040	1338307	0	{}	Minu meelest juhtis ka härra Arro siin sellele tähelepanu .	Minu meelest juhtis härra Arro sellele tähelepanu .
198629	535	0	{}	Ettevõtte sõnul lähevad bussijuhid välismaale peamiselt veoautojuhiks , väga sageli minnakse ka ehitusele , kus töö ei ole nii pingeline .	Ettevõtte sõnul lähevad bussijuhid välismaale veoautojuhiks , minnakse ehitusele , kus töö ei ole pingeline .
127823	52	0	{}	Rohkem kui kümmet Rakvere tivolipõlengus kannatanut esindav Küllike Nammi advokaadibüroo võib OÜ Tivoli Tuur kohtusse kaevata , kuna firma pole seni reageerinud esimestele kahjunõuetele .	Kümmet Rakvere tivolipõlengus kannatanut esindav Küllike Nammi advokaadibüroo võib OÜ Tivoli Tuur kohtusse kaevata , kuna firma pole reageerinud esimestele kahjunõuetele .
1821	7381	0	{}	Ei olnud - peale selle , et Krüger on väga kaval inimene .	Ei olnud - peale selle , et Krüger on kaval inimene .
503469	1716	0	{}	Sotsiaalminister Tiiu Aro juhitav uimastipoliitikaga tegelev ministrite komisjon otsustas , et tänavu finantseerimata ja käivitamata jäänud projektid kantakse üle järgmise aasta tegevusplaani .	Sotsiaalminister Tiiu Aro juhitav uimastipoliitikaga tegelev ministrite komisjon otsustas , et finantseerimata ja käivitamata jäänud projektid kantakse üle järgmise aasta tegevusplaani .
465368	130	0	{}	Rohkearvulise ametliku delegatsiooni kõrval oli lennukis , mis maandus 20 . veebruari hommikul Borispoli lennuväljal , oma koha leidnud ka 63 Eesti äriringkondade esindajat .	Rohkearvulise ametliku delegatsiooni kõrval oli lennukis , mis maandus 20 . veebruari hommikul Borispoli lennuväljal , oma koha leidnud 63 Eesti äriringkondade esindajat .
451088	2869	0	{}	“ Meie maja on justkui erinoorsootöö mudel , ka teised omavalitsused võiksid luua samasuguseid asutusi , ” leiab ta .	“ Meie maja on justkui erinoorsootöö mudel , teised omavalitsused võiksid luua samasuguseid asutusi , ” leiab ta .
343864	1746	1	"{""cop_advcl"": 1, ""advcl_obl"": 1}"	Kas see tool oleks halvem , kui oleks valmistatud kotiriidest ?	See tool oleks halvem , kui oleks valmistatud kotiriidest ?
245643	689	0	{}	Tähtaega pikendati küll kaks korda , aga rangete valikukriteeriumite tõttu jäi enamus ettevõtteid siiski ukse taha .	Tähtaega pikendati kaks korda , aga rangete valikukriteeriumite tõttu jäi enamus ettevõtteid ukse taha .
585840	3751	0	{}	Sumovormi tõmbab Baruto selga vaid reedel , kui kohtub Vinni spordihoones noorte sumokatega .	Sumovormi tõmbab Baruto selga reedel , kui kohtub Vinni spordihoones noorte sumokatega .
637922	1723	1	"{""det_nummod"": 1}"	Eestlased on edasisi kavasid koos arutanud ning soovivad ka järgmistel hooaegadel ühes meeskonnas esineda .	Eestlased on edasisi kavasid koos arutanud ning soovivad järgmistel hooaegadel ühes meeskonnas esineda .
336168	5534	1	"{""obl_det"": 1, ""nsubj_obj"": 1}"	Mina pooldan teistsugust stiili : kui sa teistest isegi peajagu üle oled , pole kuigi arukas seda aplombiga veel ka afišeerida .	Mina pooldan teistsugust stiili : kui sa teistest peajagu üle oled , pole arukas seda aplombiga afišeerida .
593617	672	1	"{""det_nummod"": 1, ""nsubj_obj"": 1, ""obl_nmod"": 1}"	Äkki tormas üks pardijahiline lähedal asuvasse külasse .	Tormas üks pardijahiline asuvasse külasse .
674963	1150	1	"{""advcl_root"": 1, ""root_conj"": 1}"	Ent kui lusikaga vesiselt taldrikult söödav sardell tekitab vähemalt nostalgiat , siis Wilhelm jättis sööja külmaks .	Ent kui lusikaga vesiselt taldrikult söödav sardell tekitab nostalgiat , Wilhelm jättis sööja külmaks .
400345	673	1	"{""conj_obl"": 1}"	Seda kinnitab asjaolu , et äsja Isamaaliidu , Mõõdukate , Reformierakonna ja Rahva Usalduse toel linnapeaks valitud siseminister Jüri Mõis otsustas säilitada oma koha ja palga Riigikogus .	Seda kinnitab asjaolu , et Isamaaliidu , Mõõdukate , Reformierakonna ja Rahva Usalduse toel linnapeaks valitud siseminister Jüri Mõis otsustas säilitada oma koha ja palga Riigikogus .
121567	709	1	"{""obl_nummod"": 1}"	Reaalselt väheneb ametnike arv 20 võrra , kuid Partsi kinnitusel ei ole see problemaatiline , sest paljudes riigiasutustes on hulgaliselt täitmata kohti .	Väheneb ametnike arv 20 võrra , kuid Partsi kinnitusel ei ole see problemaatiline , sest paljudes riigiasutustes on täitmata kohti .
628662	943	1	"{""aux_cop"": 1}"	Seepärast olen ka selle teenuse menüüsse võtnud - inimene võib oma materjaliga siia tulla ning lasta selle vaibakaltsuks lõigata , püüab Kristel oma töötoas kõigile abivajajatele vastu tulla .	Olen selle teenuse menüüsse võtnud - inimene võib oma materjaliga tulla ning lasta selle vaibakaltsuks lõigata , püüab Kristel oma töötoas kõigile abivajajatele vastu tulla .
594447	322	1	"{""nsubj:cop_nmod"": 1}"	Samas on Naissaare pindala 18,6 ja Aegna vaid 2,9 ruutkilomeetrit .	On Naissaare pindala 18,6 ja Aegna 2,9 ruutkilomeetrit .
31780	2657	0	{}	Need näitasid , et Eesti on Euroopa kõige kiiremini vananev riik .	Need näitasid , et Eesti on Euroopa vananev riik .
346172	1274	0	{}	Need näitavad , kuidas Iraagist lähtuvat ohtu kirjeldava ettekande keelekasutust järk-järgult tugevamaks muudeti .	Need näitavad , kuidas Iraagist lähtuvat ohtu kirjeldava ettekande keelekasutust tugevamaks muudeti .
373794	2256	1	"{""conj_nsubj"": 1}"	Tema imiteeritavate nimistusse kuuluvad veel Heli Lääts , Eino Baskin , loomisel on Marju Läniku , aga võib-olla ka Maie Parriku kujud .	Tema imiteeritavate nimistusse kuuluvad Heli Lääts , Eino Baskin , loomisel on Marju Läniku , aga Maie Parriku kujud .
705133	111209	0	{}	Orgorgohtorrr: eeter kes homme võidab	Orgorgohtorrr : eeter kes võidab
705036	1677461	1	"{""nsubj_nmod"": 1}"	Ka meie oleme sellest seisukohast lähtudes Maaliidus võtnud juba varem seisukoha , et Vene ja Eesti vahel oleks vaja rahulepingut , sest meie Maaliidu eellased on väga tõsiselt tunnustanud Otto Tiefi valitsust ja sellega ei ole Venemaa veel rahulepingut sõlminud .	Meie oleme sellest seisukohast lähtudes Maaliidus võtnud seisukoha , et Vene ja Eesti vahel oleks vaja rahulepingut , sest meie Maaliidu eellased on tunnustanud Otto Tiefi valitsust ja sellega ei ole Venemaa rahulepingut sõlminud .
18026	755	0	{}	Kuigi viimase paarisaja tuhande hääle lugemine võib teisele kohale paigutada konservatiivse Rahvapartei , mille 26,9 -protsendiline tulemus jääb Vabaduspartei omale alla vaid 0,3 protsendipunktiga , tunnistavad kõik , et tegemist oli Haideri suurvõiduga .	Kuigi viimase paarisaja tuhande hääle lugemine võib teisele kohale paigutada konservatiivse Rahvapartei , mille 26,9 -protsendiline tulemus jääb Vabaduspartei omale alla 0,3 protsendipunktiga , tunnistavad kõik , et tegemist oli Haideri suurvõiduga .
460634	6241	0	{}	Isegi , kui ma mõtlen nii .	Isegi , kui ma mõtlen .
650277	3202	1	"{""advcl_root"": 1, ""aux_cop"": 1, ""compound:prt_advmod"": 1, ""root_conj"": 1}"	Lippmaa eile esitatud seaduseelnõu on hiljaks jäänud , kuid mis veel tähtsam – see läheb seadustega vastuollu , sest strateegiliste objektide nimekirja laiendamine on antud vaid valitsuse , mitte aga Riigikogu pädevusse .	Lippmaa esitatud seaduseelnõu on hiljaks jäänud , kuid mis tähtsam – see läheb seadustega vastuollu , sest strateegiliste objektide nimekirja laiendamine on antud valitsuse , aga Riigikogu pädevusse .
408473	2670	0	{}	Nii riik kui ka riiklikud meediakanalid on avalikult tunnistanud , et nad ei ole kehtiva ringhäälinguseadusega rahul , sest selles on küsimusi rohkem kui vastuseid .	Nii riik kui riiklikud meediakanalid on tunnistanud , et nad ei ole kehtiva ringhäälinguseadusega rahul , sest selles on küsimusi rohkem kui vastuseid .
466961	589	1	"{""acl_advcl"": 1, ""advcl_xcomp"": 1}"	“ Rahaliselt on kahju raske hinnata , kuna põlenud tiib pidi niikuinii remonti minema , ” ütles Jõgi .	“ on kahju raske hinnata , kuna põlenud tiib pidi remonti minema , ” ütles Jõgi .
608259	0	1	"{""obl_nmod"": 1}"	25. detsembril on Rakvere Teatri väikeses saalis taas minifestival Green Christmas .	25. detsembril on Rakvere Teatri väikeses saalis minifestival Green Christmas .
358699	452	0	{}	Praegu pensionipõlve pidava ja Kanaari saartel elava Melissa Wellsi tõi Tallinnasse reis , mille ta võttis ette oma ema lapsepõlve uurimiseks .	Pensionipõlve pidava ja Kanaari saartel elava Melissa Wellsi tõi Tallinnasse reis , mille ta võttis ette oma ema lapsepõlve uurimiseks .
559259	1755	0	{}	Näituse avab homme Eesti peaminister , ajaloolane Mart Laar ja Rootsi asepeaminister Hjelm-Wallen .	Näituse avab Eesti peaminister , ajaloolane Mart Laar ja Rootsi asepeaminister Hjelm-Wallen .
197716	1822	1	"{""obl_amod"": 1}"	Saateid peaks tegema praegusest hoopis enam , näiteks 48 tundi ööpäeva kohta .	Saateid peaks tegema praegusest , 48 tundi ööpäeva kohta .
328155	2592	1	"{""obj_obl"": 1, ""nmod_obl"": 1}"	Tubade täitumus jäi samas kohtade arvu nii suurest kasvust hoolimata peaaegu 2003. aasta tasemele .	Tubade täitumus jäi kohtade arvu suurest kasvust hoolimata 2003. aasta tasemele .
335357	921	0	{}	Eesti meistrivõistlustel ähvardab FC Florat , mille president Pohlak on , esmakordselt medalita jäämine .	Eesti meistrivõistlustel ähvardab FC Florat , mille president Pohlak on , medalita jäämine .
425806	3723	1	"{""aux_cop"": 1, ""nummod_det"": 1}"	Ilmselt ollakse hetkel väsinud nii intellektuaalsest kui ka probleemsest algest kunstis ja tundub , et ainus , mille järele janunetakse isegi “ esteetikas ” , on üks suur ja korralik orgasm .	Ollakse hetkel väsinud nii intellektuaalsest kui probleemsest algest kunstis ja tundub , et ainus , mille järele janunetakse “ esteetikas ” , on üks suur ja korralik orgasm .
625055	66482	1	"{""nsubj:cop_nsubj"": 1, ""cop_aux"": 1, ""obj_nsubj:cop"": 2, ""aux_cop"": 2}"	- tulevane netotulu/netokulu , mis pole veel tekkinud , kuid mille risk on juba täies ulatuses turvatud ( aruandva asutuse äranägemisel ja pädevate ametiasutuste eelneval loal võib siia lülitada ka tulevase netotulu/netokulu , mis pole veel raamatupidamises arvele võetud , kuid mille risk on juba täies ulatuses välisvaluuta tähtpäevatehingutega tagatud ; asutused peavad valitud võimalust kasutama järjekindlalt ) ,	- tulevane netotulu / netokulu , mis pole tekkinud , kuid mille risk on täies ulatuses turvatud ( aruandva asutuse äranägemisel ja pädevate ametiasutuste eelneval loal võib lülitada tulevase netotulu / netokulu , mis pole raamatupidamises arvele võetud , kuid mille risk on täies ulatuses välisvaluuta tähtpäevatehingutega tagatud ; asutused peavad valitud võimalust kasutama ) ,
646413	909	0	{}	Kindlasti ohkas kergendatult ka Chelsea treener Jose Mourinho , keda UEFA valimatu suuvärgi eest kahemängulise juhendamiskeeluga karistas ja kes eilset mängu « ühes vaikses kohas » vaatas .	Ohkas Chelsea treener Jose Mourinho , keda UEFA valimatu suuvärgi eest kahemängulise juhendamiskeeluga karistas ja kes eilset mängu « ühes vaikses kohas » vaatas .
341676	220	1	"{""root_nmod"": 1, ""nmod_flat"": 1, ""nsubj_root"": 1}"	Tõenäoliselt ootavad Reformierakonna ministrid oma koalitsioonipartnerite tuge ettepanekule , mis jätaks Eesti sõdurid aasta lõpuni Iraaki teenima .	Ootavad Reformierakonna ministrid oma koalitsioonipartnerite tuge ettepanekule , mis jätaks Eesti sõdurid aasta lõpuni Iraaki teenima .
606907	31155	1	"{""obl_nmod"": 1, ""obl_obj"": 1}"	- abi piiratakse 15%ga nende toodete keskmisest kogusest , mis on artikli 4 kohaselt ühenduses müüki pandud kolme kalastusaasta jooksul , mis eelnevad sellele kalastusaastale , mille suhtes abi antakse .	- abi piiratakse 15%ga nende toodete keskmisest kogusest , mis on artikli 4 ühenduses müüki pandud kolme kalastusaasta jooksul , mis eelnevad sellele kalastusaastale , mille suhtes abi antakse .
185520	1992	1	"{""nsubj_obl"": 1, ""compound:prt_case"": 1}"	Enne kui kiirabi kohale jõudis , olid vanemad oma lapsega juba 10-15 minutit tuttavad .	Kiirabi kohale jõudis , olid vanemad oma lapsega 10 - 15 minutit tuttavad .
113420	2369	1	"{""nsubj_obj"": 1}"	Küsisime , kuidas nad seda tegid ja miks andsid ainult kolm litsentsi .	Küsisime , kuidas nad seda tegid ja miks andsid kolm litsentsi .
402913	617	0	{}	Eilsega lõppes ametlikult valimiskampaania , esimesed tulemused hakkavad selguma aga esmaspäeva esimestel tundidel .	Eilsega lõppes valimiskampaania , esimesed tulemused hakkavad selguma esmaspäeva esimestel tundidel .
436190	98	0	{}	Vähe sellest , mõnede haigusjuhtumite hulk kasvab pidevalt .	, mõnede haigusjuhtumite hulk kasvab .
407511	2773	0	{}	Praegu minul selline alus puudub .	Minul selline alus puudub .
76203	159	0	{}	Pensionitõus ei ole suur , sest lahedaks äraelamiseks ei jätku sellest kaugeltki .	Pensionitõus ei ole suur , sest lahedaks äraelamiseks ei jätku sellest .
658156	2071	0	{}	Peek ostis mullu ka oksjonilt 460kohalise Paju suurfarmi , ostmiseks tuli laenu võtta sihtasutuselt Richard Werncke nimeline Põllumajandusfond .	Peek ostis oksjonilt 460kohalise Paju suurfarmi , ostmiseks tuli laenu võtta sihtasutuselt Richard Werncke nimeline Põllumajandusfond .
618879	4625	0	{}	Öelda , kui palju ma kuus kulutan , on väga raske .	Öelda , kui ma kuus kulutan , on raske .
176906	1279	1	"{""det_obj"": 1, ""acl_advcl"": 1, ""obj_obl"": 1}"	Leedu valitsus seevastu on panganduses hoopis aktiivsemalt tegev - ta kavatseb enda kätte jätta kolme suure panga aktsiate kontrollpaki , samuti on tal kavas asutada spetsiaalne pankade päästmise fond ning kompenseerida kõigi pankrotistunud pankade eraisikutest hoiustajaile kuni 2000 latti .	Leedu valitsus on panganduses tegev - ta kavatseb enda kätte jätta kolme suure panga aktsiate kontrollpaki , on tal kavas asutada spetsiaalne pankade päästmise fond ning kompenseerida kõigi pankrotistunud pankade eraisikutest hoiustajaile kuni 2000 latti .
21316	1721	0	{}	Kuna tegemist olnud sõbranna mehega , polnud klassiõde sõlminud temaga ametlikku lepingut ega ka ülitäpset eelarvet .	Kuna tegemist olnud sõbranna mehega , polnud klassiõde sõlminud temaga ametlikku lepingut ega ülitäpset eelarvet .
621394	92925	0	{}	( 2 ) Toll tunnistab aktsepteeritud tollideklaratsiooni enne kauba vabastamist deklarandi kirjaliku taotluse alusel kehtetuks , kui deklarant tõendab , et kaup deklareeriti selles tollideklaratsioonis nimetatud tolliprotseduurile ekslikult või selle tolliprotseduuri rakendamine kauba suhtes ei ole enam põhjendatud .	( 2 ) Toll tunnistab aktsepteeritud tollideklaratsiooni enne kauba vabastamist deklarandi kirjaliku taotluse alusel kehtetuks , kui deklarant tõendab , et kaup deklareeriti selles tollideklaratsioonis nimetatud tolliprotseduurile või selle tolliprotseduuri rakendamine kauba suhtes ei ole põhjendatud .
487263	632	1	"{""aux_cop"": 1, ""nsubj_nsubj:cop"": 1, ""root_acl"": 1, ""obj_root"": 1}"	Kuigi Sonera on Soome riigi kontrolli all , pole see siiani seganud firma kiiret arengut .	Kuigi Sonera on Soome riigi kontrolli all , pole see seganud firma kiiret arengut .
57990	6647	0	{}	Eltoni ja teiste külaliste võimalik esinemine õhtu jooksul salvestatakse samuti CD-le .	Eltoni ja teiste külaliste võimalik esinemine õhtu jooksul salvestatakse CD-le .
374471	1767	1	"{""xcomp_acl"": 1, ""obj_nsubj"": 1}"	Seespool on muudatused väiksemad , silma hakkavad ainult “ kellade ” kroomitud servad .	On muudatused väiksemad , silma hakkavad “ kellade ” kroomitud servad .
705169	197499	1	"{""parataxis_nmod"": 1}"	kossuvend: sitax seal naisi	Kossuvend : sitax naisi
239788	877	0	{}	Kuises arvestuses ulatus inflatsioon tingituna transpordi , toiduainete ja eluasemeteenuste kallinemisest 0,5% -niLisaks mootorikütustele mõjutas transporditeenuste kallinemist ka 9%-line hinnatõus kaugliini bussivedudel .	Kuises arvestuses ulatus inflatsioon transpordi , toiduainete ja eluasemeteenuste kallinemisest 0,5 % - niLisaks mootorikütustele mõjutas transporditeenuste kallinemist 9%-line hinnatõus kaugliini bussivedudel .
647847	11068	0	{}	printsesside mehed alati pole .	Printsesside mehed pole .
557438	1478	0	{}	Olen neile öelnud , et tulnukad varastasid Kasparovi ajud ja kavatsevad selle siirdada Elvise kehasse kuskil Neptuni planeedi lähistel , naljatas Greengard .	Olen neile öelnud , et tulnukad varastasid Kasparovi ajud ja kavatsevad selle siirdada Elvise kehasse Neptuni planeedi lähistel , naljatas Greengard .
525640	978	0	{}	Kontrolletenduse ajal sadas kogu aeg vihma , ” jääb rahulikuks ka lavastaja Mare Tommingas .	Kontrolletenduse ajal sadas kogu aeg vihma , ” jääb rahulikuks lavastaja Mare Tommingas .
485138	664	0	{}	Asjaosaliste avalikud ütlused meenutavad pigem päti juttu enne advokaadiga kohtumist - “ ei tea ” , “ uurimine näitabkuni pole maha võetud , on tagasiastumine isiklik küsimus ” .	Asjaosaliste avalikud ütlused meenutavad päti juttu enne advokaadiga kohtumist - “ ei tea ” , “ uurimine näitabkuni pole maha võetud , on tagasiastumine isiklik küsimus ” .
236032	823	0	{}	"Kas on veel ettepanekuid riigi majandusliku olukorra parandamiseks ? """	"On ettepanekuid riigi majandusliku olukorra parandamiseks ? """
371381	773	0	{}	""" Ateena mängude korralduskomitee ja isegi Rahvusvaheline Olümpiakomitee ei näe ette mingit rolli Olümpiale ."	""" Ateena mängude korralduskomitee ja Rahvusvaheline Olümpiakomitee ei näe ette mingit rolli Olümpiale ."
411922	654	0	{}	Kõige selle juures ei langeta äärmustesse ja maitsetustesse , mis kohati iseloomustavad tudengiüritusi neis linnades , mis püüavad Tartu kevadpäevi matkida .	Selle juures ei langeta äärmustesse ja maitsetustesse , mis iseloomustavad tudengiüritusi neis linnades , mis püüavad Tartu kevadpäevi matkida .
693312	1600460	0	{}	Teine põhimõtteliselt uus ettepanek näeb ette teha muudatusi Kaitseministeeriumi valitsemisalas .	Teine uus ettepanek näeb ette teha muudatusi Kaitseministeeriumi valitsemisalas .
22453	5	0	{}	Täna 222 aastat tagasi sündis kirjanik Suve Jaan ( Johann Friedrich Sommer ) ( 23.12.1777-18.01. 1851 ) .	222 aastat tagasi sündis kirjanik Suve Jaan ( Johann Friedrich Sommer ) ( 23.12.1777 - 18.01. 1851 ) .
481932	854	0	{}	See on põhjustatud häbiväärselt madalast miinimumpalgast , mida tuleks suurendada vähemalt tuhande kroonini .	See on põhjustatud madalast miinimumpalgast , mida tuleks suurendada tuhande kroonini .
496337	5143	1	"{""root_nsubj"": 1, ""aux_root"": 1}"	aidata enam ei saa Sind ehkki	Aidata ei saa Sind ehkki
550562	269	0	{}	Nii sai naiste turniiril neljanda paigutuse kauaaegne naiste tennise liider Steffi Graf , kes pole viimase aasta jooksul sisuliselt võistelnudki .	Sai naiste turniiril neljanda paigutuse kauaaegne naiste tennise liider Steffi Graf , kes pole viimase aasta jooksul võistelnudki .
306439	3107	0	{}	Dokfilmide vastu on mul nõrkus , aga neid näidatakse vähe .	Dokfilmide vastu on mul nõrkus , aga neid näidatakse .
275971	1117	1	"{""aux_cop"": 1, ""nsubj_nsubj:cop"": 1, ""xcomp_csubj:cop"": 1}"	"Isegi Inglismaal ei ole nad suutnud värvata nii palju naisi kui tahaksid ega neid integreerida . """	"Inglismaal ei ole nad suutnud värvata naisi kui tahaksid ega neid integreerida . """
318719	2988	1	"{""nmod_obl"": 1}"	Meedial riiki rünnata naljalt ei lubata	Meedial riiki rünnata ei lubata
280272	2418	1	"{""aux_cop"": 1, ""nsubj_nsubj:cop"": 1}"	Seniks olid Rudini kaastöötajad juba politseiga vestelnud .	Olid Rudini kaastöötajad politseiga vestelnud .
58574	405	1	"{""xcomp_acl"": 1}"	Ligi 10 aastat tagasi tähistati hauaplats sinna väidetavalt maetud sõjameeste nime kandvate dolomiitplaatidega .	10 aastat tagasi tähistati hauaplats maetud sõjameeste nime kandvate dolomiitplaatidega .
