COLLECTION	SPANSTART	TYPE	TEXT
523304	760	O	Teiseks motiveerib rühmas treenimine kindlasti rohkem kui üksi jõusaalis rassimine ja vaieldamatult on ka emotsionaalsem .
523304	760	S	Teiseks motiveerib rühmas treenimine kui jõusaalis rassimine ja on emotsionaalsem .
			
434861	885	O	Nii ei tohiks hooned ise täita rohkem kui 25 protsenti krundist , kuna teedele ja parkimiskohtadele jääb niikuinii umbes 15 protsenti maast .
434861	885	S	Ei tohiks hooned ise täita , kuna teedele ja parkimiskohtadele jääb 15 protsenti maast .
			
124445	738	O	Ootusärevust tekitav oli Von Krahlis näha rohkem kui 50 jaapani hipparit ( sõna on täielikult vaba halvustavast lisatähendusest ) , kes on kaasa teinud Can'i neljal plaadil , mis on mõjutanud suurt osa 1980-ndate ja 1990-ndate indie , eksperimentaalse techno jpt põlvkondi .
124445	738	S	Ootusärevust tekitav oli Von Krahlis näha 50 jaapani hipparit ( sõna on vaba halvustavast lisatähendusest ) , kes on kaasa teinud Can'i neljal plaadil , mis on mõjutanud suurt osa 1980-ndate ja 1990-ndate indie , eksperimentaalse techno jpt põlvkondi .
			
534946	278	O	Kuna Klein pani uue kuriteo toime talle 2004. aastal narkokuriteo eest määratud tingimisi vangistuse katseajal , siis peaks kohus Kleini uuele karistusele liitma varasema kandmata karistuse ning mehe lõplikuks karistuseks jääks rohkem kui neli aastat vangistust .
534946	278	S	Kuna Klein pani uue kuriteo toime talle 2004. aastal narkokuriteo eest määratud vangistuse katseajal , peaks kohus Kleini uuele karistusele liitma varasema kandmata karistuse ning mehe lõplikuks karistuseks jääks .
			
93468	1886	O	Plaani kuulub ka Milleeniumi Pärlikee festival , mille käigus tutvustatakse rohkem kui 50 aja- ja kultuuriloolist paika Thamesi kallastel .
93468	1886	S	Plaani kuulub Milleeniumi Pärlikee festival , mille käigus tutvustatakse paika Thamesi kallastel .
			
632768	381	O	Ma ei tea ka seda , kas sõber meeldib sellele tüdrukule rohkem kui mina .
632768	381	S	Ma ei tea seda , sõber meeldib sellele tüdrukule .
			
534886	4457	O	Niisiis ootab meid ees uus aasta ja uus ajastu , kus mängumaa avar , tegijaid palju ja vaatemängu tõenäoliselt rohkem kui küll .
534886	4457	S	Ootab meid ees uus aasta ja uus ajastu , kus mängumaa avar , tegijaid palju ja vaatemängu rohkem kui küll .
			
697368	8813	O	Ning niimoodi need jaburused levivad mida rathandac on endale pähe tuupinud rohkem kui piisavalt .
697368	8813	S	Ning need jaburused levivad mida rathandac on endale pähe tuupinud rohkem kui piisavalt .
			
347040	426	O	Ja neiu on nüüd rohkem kui rahul .
347040	426	S	Ja neiu on rohkem kui rahul .
			
393356	2372	O	Kuna Laura on reisinud rohkem kui ta mees , pühendas ta hulga aega  Jenna  ja  Barbara  - abielupaari 18aastaste kaksikutest laste harimisele ja hoolitses selle eest , et nad ei elaks poliitilises akvaariumis .
393356	2372	S	Kuna Laura on reisinud , pühendas ta hulga aega Jenna ja Barbara - abielupaari 18aastaste kaksikutest laste harimisele ja hoolitses selle eest , et nad ei elaks poliitilises akvaariumis .
			
570664	7092	O	Minu nägemuses peaks EOK president leidma selleks tööks rohkem aega , ka rohkem kui Tiit Nuudi leidis .
570664	7092	S	Minu nägemuses peaks EOK president leidma selleks tööks aega , Tiit Nuudi leidis .
			
123232	465	O	Meil aga on ettepanek , millega peaksid nõustuma mõlemad pooled : tuleks langetada naiste ja tõsta meeste tulumaksu - kuid vähem kui naiste oma alaneb .
123232	465	S	Meil on ettepanek , millega peaksid nõustuma mõlemad pooled : tuleks langetada naiste ja tõsta meeste tulumaksu - kuid naiste oma alaneb .
			
485012	1822	O	Konkurentsirohkes kaubanduses on lausa patt unustada äriedukuse põhitõde - rahulolev klient jagab kogetut kolme tuttavaga , rahulolematu aga rohkem kui kümnega .
485012	1822	S	Konkurentsirohkes kaubanduses on patt unustada äriedukuse põhitõde - rahulolev klient jagab kogetut kolme tuttavaga , rahulolematu .
			
114465	1386	O	""" Keskerakonna toetajate jaoks on vöidu märgid need rohkem kui 70 suurt ja väikest linna ning valda , kus keskerakondlased on ühe vöi teistsuguse koalitsiooni koosseisus vöimul , need kaheksa ministriportfelli , mis kuuluvad Keskerakonnale ülehomme ametisse astuvas valitsuses vöi 100-150 inimest , kes igal nädalal meiega liituvad , "" loetles Savisaar Keskerakonna edusamme ."
114465	1386	S	""" Keskerakonna toetajate jaoks on vöidu märgid need 70 suurt ja väikest linna ning valda , kus keskerakondlased on ühe vöi teistsuguse koalitsiooni koosseisus vöimul , need kaheksa ministriportfelli , mis kuuluvad Keskerakonnale ametisse astuvas valitsuses vöi 100 - 150 inimest , kes igal nädalal meiega liituvad , "" loetles Savisaar Keskerakonna edusamme ."
			
101497	573	O	"Ehkki n-ö teine väike Wismari haigla , mis esimese osaühisusena alla neelas , tegutses rohkem kui viis aastat , ütles Tallinna sotsiaal- ja tervishoiuameti juhataja Vahur Keldrima : "" Sellest osaühisusest sain teada möödunud aasta lõpus . """
101497	573	S	"Ehkki n-ö teine väike Wismari haigla , mis esimese osaühisusena alla neelas , tegutses , ütles Tallinna sotsiaal- ja tervishoiuameti juhataja Vahur Keldrima : "" Sellest osaühisusest sain teada möödunud aasta lõpus . """
			
299970	218	O	1159 dollarit ehk vähem kui 20 000 krooni maksma hakkav Fiva kaalub alla kilogrammi ning on vaid tolli paksune .
299970	218	S	1159 dollarit maksma hakkav Fiva kaalub alla kilogrammi ning on tolli paksune .
			
581718	1064	O	Vova tunnistab , et praegu on tal lihasmassi tõesti rohkem kui kunagi varem .
581718	1064	S	Vova tunnistab , et on tal lihasmassi rohkem kui varem .
			
326296	1790	O	Näiteks on valmis ehitatud jõe kaldapealne - Malecón , mis moodustab rohkem kui kolme kilomeetri pikkuse ala , kus paiknevad kaubanduskeskused ( sealhulgas põnevalt restaureeritud vanaaegne turuhoone ) , muuseumid , aiad haruldaste taimedega , basseinid kalade ja muude vee-elanikega jne.
326296	1790	S	On valmis ehitatud jõe kaldapealne - Malecón , mis moodustab kolme kilomeetri pikkuse ala , kus paiknevad kaubanduskeskused ( restaureeritud vanaaegne turuhoone ) , muuseumid , aiad haruldaste taimedega , basseinid kalade ja muude vee-elanikega jne .
			
481873	10166	O	Siis tundsin , et minu kirjutatud oli sellest isegi vähem kui 40% .
481873	10166	S	Tundsin , et minu kirjutatud oli sellest .
			
417493	2215	O	Milliseid tõendeid on tänaseks rohkem kui sügisel , mil kohtumõistmine Polishtshuki üle ebaõnnestus , Brand ei täpsusta .
417493	2215	S	Milliseid tõendeid on rohkem kui sügisel , mil kohtumõistmine Polishtshuki üle ebaõnnestus , Brand ei täpsusta .
			
632434	25142	O	b ) vahendid struktureeritud , mitmeaastastes kultuurialastes koostöölepingutes sisalduvate integreeritud meetmete jaoks ei tohiks moodustada mitte vähem kui 35 % programmi Kultuur 2000 aastaeelarvest ;
632434	25142	S	B ) vahendid struktureeritud , mitmeaastastes kultuurialastes koostöölepingutes sisalduvate integreeritud meetmete jaoks ei tohiks moodustada ;
			
46153	3624	O	Ma arvan , et kui kõik läheb sama hästi kui seni , hakkab tema raha toel saadud katseklaasilapsi olema rohkem kui ennustatud sada .
46153	3624	S	Ma arvan , et kui kõik läheb , hakkab tema raha toel saadud katseklaasilapsi olema ennustatud sada .
			
94476	65	O	Rohkem kui kolm kuud enne murdmaasuusatamise MK-etappi kogunevad Otepää metsaradadele maailma parimad orienteerujad - laupäevast teisipäevani peetakse maailma karikasarja osavõistluste raames tavaraja- ja teatejooks .
94476	65	S	Kolm kuud enne murdmaasuusatamise MK-etappi kogunevad Otepää metsaradadele maailma parimad orienteerujad - laupäevast teisipäevani peetakse maailma karikasarja osavõistluste raames tavaraja- ja teatejooks .
			
487090	880	O	Kriminaalvastutusele saab võtta rohkem kui 50 grammi kanepiga tabatud inimest , väiksem kogus toob haldusvastutuse .
487090	880	S	Kriminaalvastutusele saab võtta 50 grammi kanepiga tabatud inimest , väiksem kogus toob haldusvastutuse .
			
111962	0	O	Norralasest ostja soovib pikendada reisilaeva Georg Ots Eestis seismist , mille eest maksab ligi 2500 krooni päevas juba rohkem kui aasta jooksul AS Eesti Merelaevandus .
111962	0	S	Norralasest ostja soovib pikendada reisilaeva Georg Ots Eestis seismist , mille eest maksab ligi 2500 krooni päevas AS Eesti Merelaevandus .
			
663174	732	O	mul teine probleem , et saa rohkem kui kahte nuppu koos vajutada , ei toimi lihtsalt . !
663174	732	S	Mul teine probleem , et saa kahte nuppu koos vajutada , ei toimi . !
			
450486	2389	O	15 protsenti sõjaväekohuslastest kannatab alatoitluse all , 12 protsenti ehk kaks korda rohkem kui 1985. aastal on sisuliselt alkohoolikud ja 8 protsenti narkomaanid .
450486	2389	S	15 protsenti sõjaväekohuslastest kannatab alatoitluse all , 12 protsenti ehk kaks korda rohkem kui 1985. aastal on alkohoolikud ja 8 protsenti narkomaanid .
			
656887	1121	O	Mahtautole kohatult kõrges kabiinis ( päris püsti seal käima ei mahu , aga istuja pead lahutab samas laest rohkem kui pool meetrit ) valitseb isegi suverehvidega sõites üsna vali kumin .
656887	1121	S	Mahtautole kõrges kabiinis ( päris püsti käima ei mahu , aga istuja pead lahutab samas laest valitseb suverehvidega sõites vali kumin .
			
577634	1246	O	Et Eestist sirguks tõepoolest rohkem kui neli-viis laskesuusatajat , kellest mõni ükskord ka medalile sõidab , ei piisa sellest , kui vanaema koob lapselapsele kombinesooni , vanaisa meisterdab tammepuust suusad , poiss treenib nagu loom ja ongi korras .
577634	1246	S	Et Eestist sirguks neli-viis laskesuusatajat , kellest mõni medalile sõidab , ei piisa sellest , kui vanaema koob lapselapsele kombinesooni , vanaisa meisterdab tammepuust suusad , poiss treenib loom ja ongi korras .
			
403384	2749	O	Eks tundunud ka Mika Häkkise olukord veel jõulude paiku rohkem kui lootusetuna , nüüd aga kihutab ta vormeliroolis nagu mees muiste ning kavatseb MM-võistlustelgi konkurentidele oma auto tagarattaid näidata .
403384	2749	S	Tundunud Mika Häkkise olukord jõulude paiku , aga kihutab ta vormeliroolis nagu mees muiste ning kavatseb MM-võistlustelgi konkurentidele oma auto tagarattaid näidata .
			
290183	574	O	Rohkem kui 1500 aasta eest kaljust tahutud budakuju pea jäänustel kükitas paar valget tuvi .
290183	574	S	1500 aasta eest kaljust tahutud budakuju pea jäänustel kükitas paar valget tuvi .
			
686440	1737	O	Paljude meistrite nimed on küll unustatud , aga vaimne läkitus püsib nende töödes ja see mõjutab meid rohkem kui nii mõnegi nüüdisaegse kunstniku teosed .
686440	1737	S	Paljude meistrite nimed on unustatud , aga vaimne läkitus püsib nende töödes ja see mõjutab meid mõnegi nüüdisaegse kunstniku teosed .
			
173562	1622	O	Sel aastal sündis lapsi umbes poole rohkem kui valitsus vanemahüvitise prognoosides arvestas .
173562	1622	S	Sel aastal sündis lapsi umbes poole kui valitsus vanemahüvitise prognoosides arvestas .
			
94007	370	O	Ligi kolme tuhande kadeti lahkumine Zikhi Kõrgemast Sõjaväeakadeemiast oli ränk hoop Aserbaidžaani kaitseministeeriumile , mis alles suvel oli sattunud avalikkuse viha alla seoses rohkem kui kümne ajateenija surmaga kuumarabanduse tõttu .
94007	370	S	Kolme tuhande kadeti lahkumine Zikhi Kõrgemast Sõjaväeakadeemiast oli ränk hoop Aserbaidžaani kaitseministeeriumile , mis suvel oli sattunud avalikkuse viha alla seoses kümne ajateenija surmaga kuumarabanduse tõttu .
			
640616	408730	O	kahinaid on aga tõsiheal kroomil vähem ja kesksageduste moonutusi on väga märgatavalt vähem ( rohkem kui 2x ) .
640616	408730	S	Kahinaid on aga tõsiheal kroomil vähem ja kesksageduste moonutusi on vähem ( rohkem kui 2x ) .
			
806	8041	O	Kui mehel on vaimset energiat rohkem kui naisel , siis sünnib poeg , kui naine on suurema vaimse potentsiaaliga , siis tütar .
806	8041	S	Kui mehel on vaimset energiat rohkem kui naisel , sünnib poeg , kui naine on suurema vaimse potentsiaaliga , siis tütar .
			
441968	12	O	Ehitusinsenerid võtsid järgmise nädalani mõtlemisaega , et otsustada , kas Pae tänaval kaks inimest tapnud ja rohkem kui kolmkümmend koduta jätnud pommiplahvatuses purunenud maja tasub taastada või on see kasulikum maatasa lükata .
441968	12	S	Ehitusinsenerid võtsid järgmise nädalani mõtlemisaega , et otsustada , Pae tänaval kaks inimest tapnud ja kolmkümmend koduta jätnud pommiplahvatuses purunenud maja tasub taastada või on see kasulikum maatasa lükata .
			
395844	3036	O	Tiibeti autonoomse piirkonna pealinna elanike arv on praegu 250 000 inimest , kellest rohkem kui kolm viiendikku on hiinlased .
395844	3036	S	Tiibeti autonoomse piirkonna pealinna elanike arv on 250 000 inimest , kolm viiendikku on hiinlased .
			
95614	292	O	Sel tähtsal rahvariiete kandmise ja sugulaste kogunemise hetkel ei mõeldud , et enamikul täisealiseks tunnistatud näitsikuil on jäänud elada vähem kui poolsada aastat , kikilipsustatud ja anorakis noormeestel veidi üle neljakümne .
95614	292	S	Sel tähtsal rahvariiete kandmise ja sugulaste kogunemise hetkel ei mõeldud , et enamikul täisealiseks tunnistatud näitsikuil on jäänud elada , kikilipsustatud ja anorakis noormeestel üle neljakümne .
			
512536	1805	O	Realistlikud pildid ääremaalt müüvad ja toovad preemiaid ning erutavad rohkem kui eksootilisimadki reisikirjad ja mõjuvad koomilisemana mis tahes koomiksist .
512536	1805	S	Realistlikud pildid ääremaalt müüvad ja toovad preemiaid ning erutavad eksootilisimadki reisikirjad ja mõjuvad koomilisemana koomiksist .
			
273204	760	O	Paraku ei suutnud ta rohkem kui jagada uduseid ja üldsõnalisi lubadusi muuta põhjalikult Viljandi kultuurielu .
273204	760	S	Ei suutnud ta kui jagada uduseid ja üldsõnalisi lubadusi muuta Viljandi kultuurielu .
			
216188	327	O	Vastanutest rohkem kui veerand pooldas monumendi jätmist Tõnismäele muutmata kujul , ligi veerand eelistas selle ümberkujundamist kõiki Teises maailmasõjas langenuid mälestavaks memoriaaliks .
216188	327	S	Vastanutest pooldas monumendi jätmist Tõnismäele muutmata kujul , veerand eelistas selle ümberkujundamist kõiki Teises maailmasõjas langenuid mälestavaks memoriaaliks .
			
102910	3270	O	Kuid Põhjamaades tehakse aborte keskmiselt veel kolm korda vähem kui Eestis ja ka mitmete suguhaiguste esinemissagedus on meil märgatavalt kõrgem .
102910	3270	S	Kuid Põhjamaades tehakse aborte ja mitmete suguhaiguste esinemissagedus on meil kõrgem .
			
124599	508	O	Laulupeol osaleb kokku 831 koori enam kui 26 000 lauljaga ja tantsupeol 127 tantsurühma rohkem kui 7800 tantsijaga , lisaks 47 orkestrit üle 1600 noore instrumentalistiga ja peoliste täiskasvanud saatjad , ühtekokku 35 000 osalejat .
124599	508	S	Laulupeol osaleb kokku 831 koori ja tantsupeol 127 tantsurühma rohkem kui 7800 tantsijaga , lisaks 47 orkestrit üle 1600 noore instrumentalistiga ja peoliste täiskasvanud saatjad , 35 000 osalejat .
			
86175	476	O	Hea keskklassi kell aga maksab samapalju kui keskmine mobiil ehk paar tuhat krooni .
86175	476	S	Hea keskklassi kell aga maksab .
			
169079	185	O	Seekordsete süüdistusega saaks niigi juba kaheksa-aastast vanglakaristust kandva Venemaa endise jõukaima mehe vangi mõista veel rohkem kui 20 aastaks .
169079	185	S	Seekordsete süüdistusega saaks kaheksa-aastast vanglakaristust kandva Venemaa endise jõukaima mehe vangi mõista .
			
14025	13	O	Sel aastal hukatakse Amee-rika Ühendriikides 99 süü-dimõistetut , mis teeb ühe hukkamise vähemalt iga nelja päeva tagant ja on rohkem kui ühelgi aastal alates 1951. aastast , tempo aga kipub veelgi tõusma .
14025	13	S	Sel aastal hukatakse Amee-rika Ühendriikides 99 süü-dimõistetut , mis teeb ühe hukkamise iga nelja päeva tagant ja on rohkem kui ühelgi aastal alates 1951. aastast , tempo aga kipub tõusma .
			
413948	5229	O	Katkistele plangutükkidele kleebitud värvilised “ Vali mind ” -reklaamid ilmusid alles kahelviimasel nädalal ja neid oli märkimisväärselt vähem kui kevadel .
413948	5229	S	Katkistele plangutükkidele kleebitud värvilised “ Vali mind ” - reklaamid ilmusid kahelviimasel nädalal ja neid oli vähem kui kevadel .
			
140468	13	O	Pärast seda , kui hiljuti Šveitsis korraldatud uuringute tulemusena selgus , et elav muusika kahjustab noorte kuulmist rohkem kui näiteks MP-3 mängijad , tehti riigis uued reeglid , mille kohaselt peavad kontserdikorraldajad publikut hoiatama valju muusika ohtlikkusest kuulmisele .
140468	13	S	Pärast seda Šveitsis korraldatud uuringute tulemusena selgus , et elav muusika kahjustab noorte kuulmist , tehti riigis uued reeglid , mille kohaselt peavad kontserdikorraldajad publikut hoiatama valju muusika ohtlikkusest kuulmisele .
			
144602	45	O	Tallinna linnakassasse laekus eelmise aasta jooksul 6,879 miljardit krooni , seega 123,8 miljonit krooni ehk 1,8% rohkem kui kavandatud .
144602	45	S	Tallinna linnakassasse laekus eelmise aasta jooksul 6,879 miljardit krooni , 123,8 miljonit krooni ehk kui kavandatud .
			
4975	345	O	Roadster ehk kahekohaline eemaldatava katusega sportlik sõiduauto on tehtud inimestele , kellele on auto rohkem kui tarbeese .
4975	345	S	Roadster kahekohaline eemaldatava katusega sportlik sõiduauto on tehtud inimestele , kellele on auto rohkem kui tarbeese .
			
509545	785	O	31 . augusti öösel 1997 . aastal jälitasid fotoreporterid ühest Pariisi hotellist lahkuva Diana Mercedest , mis sööstis Alma tunnelis rohkem kui 100-kilomeetrilisel tunnikiirusel vastu betoonsammast .
509545	785	S	1997 . aastal jälitasid fotoreporterid ühest Pariisi hotellist lahkuva Diana Mercedest , mis sööstis Alma tunnelis 100-kilomeetrilisel tunnikiirusel vastu betoonsammast .
			
234871	385	O	Kuna nii on olnud varemgi , iseloomustavad arvud tegelikkust ja võib öelda , et uusi kodanikke tuli eelmisel aastal ilmale rohkem kui üle-eelmisel aastal .
234871	385	S	Kuna on olnud , iseloomustavad arvud tegelikkust ja võib öelda , et uusi kodanikke tuli eelmisel aastal ilmale .
			
199599	154	O	"Kümne enim vaadatud telesaate seas domineeris endiselt saatesari "" Tantsud tähtedega "" , naelutades telerite ette 91000 vaatajat rohkem kui teisel kohal olev "" Pealtnägija "" 275000 vaatajaga ."
199599	154	S	"Kümne enim vaadatud telesaate seas domineeris saatesari "" Tantsud tähtedega "" , naelutades telerite ette 91000 vaatajat ."
			
192803	9733	O	Palgatoetusega toetakse töö-andjat kuue kuu jooksul poole töötajale makstava palga ulatuses ( kuid mitte rohkem kui miinimumpalga ulatuses ) .
192803	9733	S	Palgatoetusega toetakse töö-andjat kuue kuu jooksul poole töötajale makstava palga ulatuses ( kuid rohkem kui miinimumpalga ulatuses ) .
			
329700	596	O	Tamberg on ARK-is riigilõivu kogunud OÜ Liivi Teeninduse ainuomanik , rohkem kui kümne miljoni krooni varguses süüdistatav ärimees jääb esialgu vahi alla kuni 27. oktoobrini .
329700	596	S	Tamberg on ARK-is riigilõivu kogunud OÜ Liivi Teeninduse ainuomanik , kümne miljoni krooni varguses süüdistatav ärimees jääb vahi alla kuni 27. oktoobrini .
			
258968	1885	O	On teada , et kogu maailmas elavad mehed vähem kui naised .
258968	1885	S	On teada , et kogu maailmas elavad mehed .
			
564280	2474	O	Menuka BBC sarja « Peter Ustinovi Venemaa » käigus sõitis oma vene päritolu alati rõõmuga rõhutav filmikuulsus läbi ligi 200 000 kilomeetrit ning külastas rohkem kui 30 linna .
564280	2474	S	Menuka BBC sarja « Peter Ustinovi Venemaa » käigus sõitis oma vene päritolu rõõmuga rõhutav filmikuulsus läbi ligi 200 000 kilomeetrit ning külastas 30 linna .
			
186535	3773	O	Firma teatel maksti Bütsantsi päritolu pühapildi eest 406 700 dollarit , mis on rohkem kui seni ühegi teise oksjonil müüdud ikooni eest terves maailmas .
186535	3773	S	Firma teatel maksti Bütsantsi päritolu pühapildi eest 406 700 dollarit , mis on ühegi teise oksjonil müüdud ikooni eest terves maailmas .
			
227779	29	O	Õpilasfirmast sündinud rohkem kui 100 000 valemivihikut kadusid septembri esimeste päevadega Eesti ja Läti kaupluseriiulitelt ning juba nädala pärast plaanib OÜ Realister juht Sten Saar ( 20 ) siseneda Soome turule .
227779	29	S	Õpilasfirmast sündinud 100 000 valemivihikut kadusid septembri esimeste päevadega Eesti ja Läti kaupluseriiulitelt ning nädala pärast plaanib OÜ Realister juht Sten Saar ( 20 ) siseneda Soome turule .
			
701693	916739	O	Peale selle on arutatava eelnõu sisu see , et lükata mitteeluruumi erastamine ja enampakkumine sellisel juhul edasi aega , kui rendilepingu lõppemiseni on jäänud vähem kui aasta , kui vahepeal ei muudeta rendilepingu tähtaega .
701693	916739	S	Peale selle on arutatava eelnõu sisu see , et lükata mitteeluruumi erastamine ja enampakkumine sellisel juhul edasi aega , kui rendilepingu lõppemiseni on jäänud , ei muudeta rendilepingu tähtaega .
			
543951	1560	O	Tartumaal suri selle aasta esimesel poolel 206 inimest rohkem kui sündis .
543951	1560	S	Tartumaal suri selle aasta esimesel poolel 206 inimest sündis .
			
588435	3431	O	""" Samuti austatakse sõidu liidrit rohkem kui teisel-kolmandal kohal kihutajat . """
588435	3431	S	""" austatakse sõidu liidrit kihutajat . """
			
681446	1545	O	edit : ma arvan , et see sobib fotograafia teema alla rohkem kui südamelt ära teemasse
681446	1545	S	Edit : ma arvan , et see sobib fotograafia teema alla ära teemasse
			
383417	754	O	Mis Rahvusvahelise Olümpiakomitee presidendile headmeelt teeb - lippe rohkem kui kunagi varem - , valmistab juba ammu peavalu olümpiamängude läbiviijatele , kes peavad külalised ära mahutama .
383417	754	S	Mis Rahvusvahelise Olümpiakomitee presidendile headmeelt teeb - lippe rohkem kui varem - , valmistab peavalu olümpiamängude läbiviijatele , kes peavad külalised ära mahutama .
			
487778	2075	O	Rohkem kui kahe kosmoses veedetud nädala jooksul tegid astronaudid mitmesuguseid eksperimente : kasvatasid taimi , sulatasid metalle ja mineraale , testisid avakosmoses veel mitmeid uusi kosmosemasinaid .
487778	2075	S	Kahe kosmoses veedetud nädala jooksul tegid astronaudid mitmesuguseid eksperimente : kasvatasid taimi , sulatasid metalle ja mineraale , testisid avakosmoses mitmeid uusi kosmosemasinaid .
			
624860	384	O	Wolf juhtis rohkem kui 4000 luurajat ja suutis värvata isegi Lääne-Saksa vastuluurejuhi Hans-Joachim Tiedge kaksikagendiks .
624860	384	S	Wolf juhtis 4000 luurajat ja suutis värvata Lääne-Saksa vastuluurejuhi Hans-Joachim Tiedge kaksikagendiks .
			
327283	11670	O	Vaatamata rahulolematusele usub rohkem kui pool vastajaist , et nende haridustee , töötee ja karjäär , materiaalne olukord ning perekonnaelu on läinud paremini kui nende eakaaslastel .
327283	11670	S	Vaatamata rahulolematusele usub pool vastajaist , et nende haridustee , töötee ja karjäär , materiaalne olukord ning perekonnaelu on läinud .
			
501530	2745	O	Müürsepa kaaslasi Ateena AEKst arvati Kreeka koondisse koguni neli , rohkem kui ühestki teisest klubist .
501530	2745	S	Müürsepa kaaslasi Ateena AEKst arvati Kreeka koondisse neli , rohkem kui ühestki teisest klubist .
			
244776	2631	O	Isegi riikides , kus on ette näidata eesrindlikum jäätmekäitlus , pole õnnestunud vähendada taaskasutatavate materjalide hulka segaprügis rohkem kui poole võrra .
244776	2631	S	Riikides , kus on ette näidata eesrindlikum jäätmekäitlus , pole õnnestunud vähendada taaskasutatavate materjalide hulka segaprügis .
			
383552	951	O	Ja veel enne seda oli elektrivõrgu kaudu töötavat internetiühendust Saksamaal Essenis rohkem kui kahesajas majapidamises mitu kuud testitud .
383552	951	S	Ja enne seda oli elektrivõrgu kaudu töötavat internetiühendust Saksamaal Essenis kahesajas majapidamises mitu kuud testitud .
			
491589	305	O	Rohkem kui poolteist aastat tagasi Tallinna Keskturul kulinaartooteid müünud , kuid turu juhtkonnaga tekkinud lahkhelide tõttu oma äri lõpetanud 43-aastase Inge Pruunsilla sõnul sai ta eelmise nädala lõpus teada , et võlgneb koos viivistega maksuametile ligi 7000 krooni .
